,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,22650.0,22600.0,23250.0,22450.0,71121.0,-10001.0,17534.0,-7533.0,0.1157,-560478.0,400.0,RISE
2020-06-04,22250.0,22900.0,22900.0,22150.0,59449.0,14341.0,-3708.0,-10633.0,0.1144,-552945.0,0.0,EVEN
2020-06-03,22250.0,22000.0,23800.0,22000.0,160275.0,16885.0,-5809.0,-11076.0,0.1147,-542312.0,250.0,RISE
2020-06-02,22000.0,21900.0,22100.0,21700.0,53927.0,11165.0,-1580.0,-9585.0,0.1151,-533817.0,0.0,EVEN
2020-06-01,22000.0,21700.0,22000.0,21300.0,37801.0,9545.0,-563.0,-8982.0,0.1152,-524232.0,300.0,RISE
2020-05-29,21700.0,22000.0,22300.0,21650.0,52654.0,22357.0,-15868.0,-6489.0,0.1153,-515250.0,500.0,FALL
2020-05-28,22200.0,23800.0,23800.0,21900.0,91976.0,37886.0,-15116.0,-22770.0,0.1173,-508761.0,700.0,FALL
2020-05-27,22900.0,23250.0,23300.0,22650.0,51924.0,11472.0,-11589.0,117.0,0.1184,-485991.0,0.0,EVEN
2020-05-26,22900.0,23050.0,23300.0,22600.0,43671.0,1501.0,-2389.0,888.0,0.1193,-486108.0,150.0,FALL
2020-05-25,23050.0,23500.0,23500.0,22250.0,42962.0,12573.0,-3173.0,-9400.0,0.1195,-486996.0,50.0,FALL
2020-05-22,23100.0,23650.0,23850.0,23050.0,70506.0,32996.0,-21065.0,-11931.0,0.1197,-477596.0,1150.0,FALL
2020-05-21,24250.0,24900.0,25050.0,24150.0,52851.0,19210.0,-14751.0,-4459.0,0.1213,-465665.0,550.0,FALL
2020-05-20,24800.0,24550.0,25100.0,24150.0,33030.0,681.0,1771.0,-2452.0,0.1224,-466774.0,200.0,FALL
2020-05-19,25000.0,23950.0,25300.0,23950.0,116464.0,-46346.0,26521.0,19825.0,0.1223,-464322.0,1800.0,RISE
2020-05-18,23200.0,23000.0,23250.0,22400.0,24313.0,-1708.0,-208.0,1916.0,0.1203,-484147.0,200.0,RISE
2020-05-15,23000.0,23050.0,23100.0,22400.0,34342.0,1346.0,-763.0,-583.0,0.1201,-486063.0,50.0,FALL
2020-05-14,23050.0,23550.0,23950.0,22900.0,48336.0,15313.0,-9803.0,-5510.0,0.1201,-485480.0,950.0,FALL
2020-05-13,24000.0,23500.0,24900.0,23050.0,42325.0,-6879.0,1448.0,5431.0,0.1209,-479970.0,150.0,RISE
2020-05-12,23850.0,24700.0,24750.0,23500.0,52015.0,8142.0,-3197.0,-4945.0,0.1207,-485401.0,850.0,FALL
2020-05-11,24700.0,24050.0,29000.0,23550.0,225272.0,14948.0,-8922.0,-6026.0,0.121,-480456.0,450.0,RISE
2020-05-08,24250.0,24550.0,24550.0,23900.0,26914.0,7216.0,-4482.0,-2734.0,0.1216,-474430.0,0.0,EVEN
2020-05-07,24250.0,24000.0,24400.0,23400.0,34541.0,-13.0,3200.0,-3187.0,0.1219,-471696.0,50.0,RISE
2020-05-06,24200.0,25200.0,25200.0,24000.0,39610.0,7402.0,-6731.0,-671.0,0.1216,-468509.0,350.0,FALL
2020-05-04,24550.0,24500.0,25000.0,24200.0,40624.0,11485.0,-4294.0,-7191.0,0.1221,-467838.0,750.0,FALL
2020-04-29,25300.0,25950.0,26250.0,25000.0,51565.0,7308.0,-4873.0,-2435.0,0.1225,-460647.0,650.0,FALL
2020-04-28,25950.0,24300.0,26000.0,23900.0,74002.0,3191.0,-1455.0,-1736.0,0.1228,-458212.0,1650.0,RISE
2020-04-27,24300.0,23300.0,24900.0,22800.0,79925.0,-11247.0,7557.0,3690.0,0.1229,-456476.0,1550.0,RISE
2020-04-24,22750.0,22450.0,23050.0,21750.0,56029.0,-5960.0,-3365.0,9325.0,0.1223,-460166.0,350.0,RISE
2020-04-23,22400.0,22100.0,22450.0,21850.0,43062.0,-4158.0,3699.0,459.0,0.1226,-469491.0,350.0,RISE
2020-04-22,22050.0,21750.0,22150.0,20850.0,71429.0,215.0,-14809.0,14594.0,0.1223,-469950.0,250.0,RISE
2020-04-21,21800.0,22100.0,22500.0,21200.0,57612.0,5155.0,-3589.0,-1566.0,0.1234,-484544.0,400.0,FALL
2020-04-20,22200.0,21500.0,22650.0,21500.0,64657.0,-9329.0,11561.0,-2232.0,0.1236,-482978.0,800.0,RISE
2020-04-17,21400.0,21000.0,22100.0,21000.0,69832.0,3185.0,-31.0,-3154.0,0.1226,-480746.0,400.0,RISE
2020-04-16,21000.0,21000.0,21100.0,20250.0,29994.0,3963.0,-3448.0,-515.0,0.1226,-477592.0,100.0,RISE
2020-04-14,20900.0,20150.0,21000.0,20050.0,29322.0,-5089.0,3312.0,1777.0,0.1228,-477077.0,350.0,RISE
2020-04-13,20550.0,21600.0,21650.0,20450.0,52391.0,15638.0,-8133.0,-7505.0,0.1226,-478854.0,950.0,FALL
2020-04-10,21500.0,21900.0,22500.0,21000.0,58515.0,7047.0,-610.0,-6437.0,0.1232,-471349.0,400.0,FALL
2020-04-09,21900.0,22150.0,22250.0,21250.0,67307.0,9972.0,-4316.0,-5656.0,0.1233,-464912.0,250.0,RISE
2020-04-08,21650.0,21350.0,22400.0,20000.0,103034.0,14393.0,-7195.0,-7198.0,0.1236,-459256.0,1050.0,RISE
