,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1385.0,1405.0,1450.0,1345.0,1669661.0,-22689.0,22689.0,0.0,0.0073,-93622.0,0.0,EVEN
2020-06-04,1385.0,1520.0,1530.0,1300.0,5012332.0,236132.0,-236132.0,0.0,0.0068,-93622.0,85.0,FALL
2020-06-03,1470.0,1485.0,1490.0,1430.0,925990.0,48574.0,-48574.0,0.0,0.012,-93622.0,15.0,FALL
2020-06-02,1485.0,1350.0,1535.0,1345.0,3599118.0,-142075.0,142075.0,0.0,0.0131,-93622.0,120.0,RISE
2020-06-01,1365.0,1410.0,1425.0,1350.0,571959.0,4464.0,-4464.0,0.0,0.0099,-93622.0,25.0,FALL
2020-05-29,1390.0,1425.0,1425.0,1350.0,545386.0,81882.0,-81882.0,0.0,0.01,-93622.0,0.0,EVEN
2020-05-28,1390.0,1430.0,1430.0,1290.0,800585.0,121777.0,-121777.0,0.0,0.0118,-93622.0,5.0,RISE
2020-05-27,1385.0,1470.0,1535.0,1380.0,1515785.0,301020.0,-301020.0,0.0,0.0144,-93622.0,80.0,FALL
2020-05-26,1465.0,1325.0,1500.0,1320.0,3493849.0,-258433.0,258433.0,0.0,0.0219,-93622.0,140.0,RISE
2020-05-25,1325.0,1335.0,1350.0,1270.0,866632.0,-72407.0,72407.0,0.0,0.0162,-93622.0,10.0,RISE
2020-05-22,1315.0,1360.0,1385.0,1280.0,1154376.0,6357.0,-6357.0,0.0,0.0146,-93622.0,35.0,FALL
2020-05-21,1350.0,1300.0,1385.0,1270.0,2010533.0,-23856.0,23856.0,0.0,0.0148,-93622.0,85.0,RISE
2020-05-20,1265.0,1230.0,1340.0,1225.0,1041995.0,26912.0,-26912.0,0.0,0.0143,-83403.0,35.0,RISE
2020-05-19,1230.0,1250.0,1285.0,1175.0,1672899.0,-160512.0,160512.0,0.0,0.0149,-83403.0,40.0,FALL
2020-05-18,1270.0,1330.0,1350.0,1230.0,842477.0,-59207.0,59207.0,0.0,0.0114,-83403.0,60.0,FALL
2020-05-15,1330.0,1385.0,1390.0,1315.0,701352.0,-34381.0,34381.0,0.0,0.0102,-83403.0,35.0,FALL
2020-05-14,1365.0,1400.0,1420.0,1345.0,510164.0,287.0,-287.0,0.0,0.0094,-83403.0,50.0,FALL
2020-05-13,1415.0,1400.0,1490.0,1360.0,1348938.0,-43389.0,43389.0,0.0,0.0094,-83403.0,35.0,RISE
2020-05-12,1380.0,1390.0,1440.0,1345.0,1449681.0,27233.0,-27233.0,0.0,0.0089,-83403.0,30.0,FALL
2020-05-11,1410.0,1465.0,1475.0,1320.0,3231718.0,-29920.0,29920.0,0.0,0.0095,-83403.0,55.0,FALL
2020-05-08,1465.0,1380.0,1585.0,1380.0,6151680.0,11109.0,-11108.0,-1.0,0.0088,-83403.0,90.0,RISE
2020-05-07,1375.0,1155.0,1460.0,1120.0,17642429.0,124688.0,-124688.0,0.0,0.0091,-83402.0,250.0,RISE
2020-05-06,1125.0,1610.0,1675.0,1125.0,8259535.0,-133988.0,133988.0,0.0,0.0118,-83402.0,480.0,LOWER_LIMIT
2020-05-04,1605.0,1600.0,1670.0,1540.0,1695594.0,-39071.0,39071.0,0.0,0.009000000000000001,-83402.0,175.0,FALL
2020-04-29,1780.0,1860.0,1910.0,1775.0,1835327.0,20623.0,-20623.0,0.0,0.0081,-83402.0,65.0,FALL
2020-04-28,1845.0,1810.0,1895.0,1730.0,2531181.0,43505.0,-43505.0,0.0,0.0085,-83402.0,55.0,RISE
2020-04-27,1790.0,1705.0,1870.0,1680.0,2141322.0,-50355.0,50355.0,0.0,0.0095,-83402.0,135.0,RISE
2020-04-24,1655.0,1670.0,1690.0,1630.0,569901.0,-6081.0,6081.0,0.0,0.0083,-83402.0,30.0,FALL
