,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,13300.0,13300.0,13350.0,13150.0,1908682.0,206131,-384930,178799,0.3509,16876199,50.0,FALL
2020-06-04,13350.0,13400.0,13450.0,13200.0,1685603.0,-23308,-50598,73906,0.3518,16697400,50.0,RISE
2020-06-03,13300.0,13300.0,13500.0,13250.0,2803512.0,177460,-289612,112152,0.3519,16623494,50.0,RISE
2020-06-02,13250.0,13250.0,13350.0,13150.0,1409314.0,-38901.0,78270.0,-39369.0,0.3526,17644436.0,50.0,FALL
2020-06-01,13300.0,13050.0,13300.0,13050.0,1440692.0,162163.0,-71709.0,-90454.0,0.3524,17683805.0,150.0,RISE
2020-05-29,13150.0,12950.0,13150.0,12850.0,2933185.0,55034.0,33849.0,-88883.0,0.3526,17774259.0,150.0,RISE
2020-05-28,13000.0,13100.0,13150.0,12900.0,2238184.0,245419.0,-286324.0,40905.0,0.3525,17863142.0,150.0,FALL
2020-05-27,13150.0,13250.0,13350.0,13050.0,2148099.0,773960.0,-334201.0,-439759.0,0.3531,17822237.0,150.0,FALL
2020-05-26,13300.0,13300.0,13300.0,13100.0,1894666.0,511483.0,-374308.0,-137175.0,0.3539,18261996.0,50.0,RISE
2020-05-25,13250.0,13300.0,13450.0,13150.0,1560940.0,358292.0,-289582.0,-68710.0,0.3548,18399171.0,100.0,RISE
2020-05-22,13150.0,13300.0,13450.0,13050.0,1930122.0,298149.0,-478513.0,180364.0,0.3555,18467881.0,200.0,FALL
2020-05-20,13550.0,13600.0,13750.0,13450.0,2072518.0,917812.0,-1062028.0,144216.0,0.35700000000000004,21603700.0,50.0,FALL
2020-05-19,13600.0,13750.0,13850.0,13500.0,1985962.0,828429.0,-329223.0,-499206.0,0.3595,21459484.0,50.0,FALL
2020-05-18,13650.0,13900.0,14050.0,13500.0,2467603.0,318487.0,4990.0,-323477.0,0.3602,21958690.0,200.0,FALL
2020-05-15,13850.0,14050.0,14100.0,13750.0,1694826.0,-65685.0,-47062.0,112747.0,0.3602,22282167.0,150.0,FALL
2020-05-14,14000.0,14250.0,14250.0,13850.0,2082929.0,124204.0,-119187.0,-5017.0,0.3603,22169420.0,200.0,FALL
2020-05-13,14200.0,13900.0,14250.0,13850.0,1853301.0,-288307.0,181937.0,106370.0,0.3606,22174437.0,350.0,RISE
2020-05-12,13850.0,13450.0,14100.0,13450.0,3398007.0,-593206.0,398516.0,194690.0,0.3601,22068067.0,400.0,RISE
2020-05-11,13450.0,13150.0,13600.0,13150.0,2446433.0,-334974.0,338308.0,-3334.0,0.3592,21873377.0,350.0,RISE
2020-05-08,13100.0,13200.0,13600.0,13100.0,2211679.0,125567.0,-433452.0,307885.0,0.3584,21876711.0,0.0,EVEN
2020-05-07,13100.0,12700.0,13250.0,12550.0,2387208.0,-217729.0,-17821.0,235550.0,0.3594,21568826.0,400.0,RISE
2020-05-06,12700.0,12850.0,12950.0,12550.0,1989007.0,730173.0,-330380.0,-399793.0,0.3594,21333276.0,50.0,FALL
2020-05-04,12750.0,13100.0,13200.0,12750.0,2183559.0,1102917.0,-596025.0,-506892.0,0.3601,21733069.0,600.0,FALL
2020-04-29,13350.0,13100.0,13350.0,13050.0,1690838.0,-112007.0,73742.0,38265.0,0.3615,22239961.0,300.0,RISE
2020-04-28,13050.0,13100.0,13300.0,12950.0,1600645.0,286130.0,-181899.0,-104231.0,0.3613,22201696.0,150.0,FALL
2020-04-27,13200.0,12850.0,13300.0,12700.0,1433740.0,-220648.0,32849.0,187799.0,0.3618,22305927.0,450.0,RISE
2020-04-24,12750.0,12950.0,13050.0,12700.0,1606398.0,373612.0,-208227.0,-165385.0,0.3617,22118128.0,200.0,FALL
2020-04-23,12950.0,12700.0,13150.0,12700.0,2088963.0,7181.0,-256323.0,249142.0,0.3621,22283513.0,300.0,RISE
2020-04-22,12650.0,12300.0,12950.0,12200.0,3430791.0,-223647.0,-724250.0,947897.0,0.3627,22034371.0,300.0,RISE
2020-04-21,12350.0,12300.0,12550.0,12100.0,2257924.0,156069.0,-492897.0,336828.0,0.3644,21086474.0,50.0,FALL
2020-04-20,12400.0,12200.0,12700.0,12200.0,2437088.0,-329757.0,-354673.0,684430.0,0.3654,20749646.0,250.0,RISE
2020-04-17,12150.0,12350.0,12400.0,12150.0,2162381.0,561620.0,-548623.0,-12997.0,0.366,20065216.0,0.0,EVEN
2020-04-16,12150.0,12000.0,12200.0,11800.0,1958525.0,415195.0,-742224.0,327029.0,0.3672,20078213.0,150.0,FALL
2020-04-14,12300.0,11800.0,12300.0,11700.0,1987722.0,-383678.0,101151.0,282527.0,0.3688,19751184.0,650.0,RISE
2020-04-13,11650.0,11950.0,12000.0,11550.0,1882273.0,432729.0,-137295.0,-295434.0,0.3685,19468657.0,300.0,FALL
2020-04-10,11950.0,12050.0,12100.0,11800.0,1925549.0,433745.0,-369148.0,-64597.0,0.3688,19764091.0,100.0,FALL
2020-04-09,12050.0,12200.0,12250.0,11950.0,1617904.0,205638.0,-258722.0,53084.0,0.3696,19828688.0,100.0,RISE
2020-04-08,11950.0,12050.0,12350.0,11750.0,2024905.0,139770.0,-363735.0,223965.0,0.3702,19775604.0,100.0,FALL
2020-04-07,12050.0,12400.0,12550.0,11800.0,3024409.0,951571.0,-460831.0,-490740.0,0.3711,19551639.0,200.0,FALL
2020-04-06,12250.0,11400.0,12300.0,11300.0,3006547.0,-531787.0,-450655.0,982442.0,0.3721,20042379.0,1000.0,RISE
2020-04-03,11250.0,11500.0,11700.0,11000.0,1926154.0,485730.0,-208240.0,-277490.0,0.3731,19059937.0,100.0,FALL
