,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3615.0,3625.0,3675.0,3590.0,30344.0,4935,1233,-6168,0.0204,-881867,20.0,RISE
2020-06-04,3595.0,3690.0,3725.0,3590.0,74213.0,21379,-40,-21339,0.0204,-875699,95.0,FALL
2020-06-03,3690.0,3675.0,3750.0,3650.0,110160.0,9584,4975,-14559,0.0204,-854360,40.0,RISE
2020-06-02,3650.0,3750.0,3780.0,3630.0,129729.0,2095.0,-871.0,-1224.0,0.0203,-851456.0,100.0,FALL
2020-06-01,3750.0,3760.0,3770.0,3685.0,29972.0,3258.0,-1320.0,-1938.0,0.0203,-850232.0,25.0,RISE
2020-05-29,3725.0,3705.0,3795.0,3655.0,72287.0,-3610.0,3692.0,-82.0,0.0203,-848294.0,45.0,RISE
2020-05-28,3680.0,3785.0,3790.0,3640.0,31273.0,-1239.0,1355.0,-116.0,0.0202,-848212.0,50.0,FALL
2020-05-27,3730.0,3790.0,3790.0,3670.0,12485.0,-971.0,1261.0,-290.0,0.0202,-848096.0,20.0,RISE
2020-05-26,3710.0,3680.0,3790.0,3645.0,44502.0,3862.0,-4207.0,345.0,0.0201,-847806.0,30.0,RISE
2020-05-25,3680.0,3655.0,3805.0,3655.0,70130.0,-17663.0,18620.0,-957.0,0.0203,-848151.0,5.0,FALL
2020-05-22,3685.0,3710.0,3720.0,3630.0,717095.0,1640.0,-1649.0,9.0,0.0197,-847194.0,5.0,FALL
2020-05-20,3680.0,3730.0,3730.0,3620.0,32202.0,8034.0,-1983.0,-6051.0,0.0198,-861975.0,35.0,FALL
2020-05-19,3715.0,3700.0,3720.0,3585.0,42571.0,2021.0,-2011.0,-10.0,0.0199,-855924.0,70.0,RISE
2020-05-18,3645.0,3590.0,3650.0,3535.0,27720.0,-2076.0,3226.0,-1150.0,0.0199,-855914.0,115.0,RISE
2020-05-15,3530.0,3550.0,3690.0,3530.0,28211.0,8866.0,514.0,-9380.0,0.0198,-854764.0,40.0,FALL
2020-05-14,3570.0,3700.0,3700.0,3555.0,19183.0,124.0,-555.0,431.0,0.0198,-845384.0,55.0,FALL
2020-05-13,3625.0,3695.0,3695.0,3615.0,23939.0,164.0,-187.0,23.0,0.0198,-845815.0,70.0,FALL
2020-05-12,3695.0,3700.0,3710.0,3535.0,48770.0,6727.0,-5673.0,-1054.0,0.0198,-845838.0,10.0,RISE
2020-05-11,3685.0,3560.0,3720.0,3515.0,78911.0,-3416.0,5177.0,-1761.0,0.02,-844784.0,125.0,RISE
2020-05-08,3560.0,3630.0,3640.0,3545.0,27298.0,-2297.0,2768.0,-471.0,0.0199,-843023.0,55.0,FALL
2020-05-07,3615.0,3575.0,3640.0,3545.0,24403.0,2583.0,-349.0,-2234.0,0.0198,-842552.0,40.0,RISE
2020-05-06,3575.0,3640.0,3700.0,3530.0,38139.0,860.0,-1042.0,182.0,0.0198,-840318.0,50.0,FALL
2020-05-04,3625.0,3570.0,3745.0,3570.0,30173.0,-12802.0,329.0,12473.0,0.0198,-840500.0,45.0,FALL
2020-04-29,3670.0,3675.0,3690.0,3600.0,44266.0,-273.0,2394.0,-2121.0,0.0198,-852973.0,5.0,FALL
2020-04-28,3675.0,3800.0,3800.0,3650.0,75420.0,15244.0,-1641.0,-13603.0,0.0197,-850852.0,120.0,FALL
2020-04-27,3795.0,3645.0,3865.0,3595.0,298418.0,86855.0,-50822.0,-36033.0,0.0198,-837249.0,150.0,RISE
2020-04-24,3645.0,3365.0,3685.0,3330.0,273961.0,40183.0,-26557.0,-13626.0,0.0212,-801216.0,315.0,RISE
2020-04-23,3330.0,3370.0,3390.0,3200.0,52815.0,-775.0,5689.0,-4914.0,0.0219,-787590.0,30.0,RISE
2020-04-22,3300.0,3330.0,3330.0,3200.0,28349.0,3263.0,-20.0,-3243.0,0.0217,-782676.0,20.0,FALL
2020-04-21,3320.0,3405.0,3460.0,3200.0,46260.0,4396.0,-3860.0,-536.0,0.0217,-779433.0,80.0,FALL
2020-04-20,3400.0,3345.0,3460.0,3315.0,122363.0,2934.0,2292.0,-5226.0,0.0218,-778897.0,100.0,RISE
2020-04-17,3300.0,3280.0,3340.0,3235.0,1406856.0,18501.0,3067.0,-21568.0,0.0218,-773671.0,30.0,RISE
2020-04-16,3270.0,3200.0,3290.0,3150.0,57032.0,7075.0,4068.0,-11143.0,0.0217,-752103.0,65.0,RISE
2020-04-14,3205.0,3190.0,3285.0,3165.0,99447.0,1277.0,-255.0,-1022.0,0.0216,-740960.0,15.0,RISE
2020-04-13,3190.0,3200.0,3200.0,3115.0,20302.0,-556.0,602.0,-46.0,0.0216,-739938.0,10.0,FALL
2020-04-10,3200.0,3200.0,3240.0,3130.0,32890.0,2837.0,-719.0,-2118.0,0.0216,-739892.0,0.0,EVEN
2020-04-09,3200.0,3255.0,3260.0,3130.0,53579.0,10669.0,-765.0,-9904.0,0.0216,-737774.0,5.0,RISE
2020-04-08,3195.0,3100.0,3200.0,3020.0,87978.0,9381.0,-512.0,-8869.0,0.0216,-727870.0,105.0,RISE
