,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,71700.0,71300.0,72200.0,70700.0,10428.0,-358,-236,594,0.0323,3027,500.0,RISE
2020-06-04,71200.0,72000.0,73500.0,71100.0,19051.0,1570,-1482,-88,0.0323,2433,400.0,FALL
2020-06-03,71600.0,71000.0,72500.0,71000.0,18752.0,-2867,2778,89,0.0325,2521,300.0,RISE
2020-06-02,71300.0,70300.0,71300.0,69900.0,7869.0,-764.0,615.0,149.0,0.0326,7720.0,600.0,RISE
2020-06-01,70700.0,70100.0,70800.0,69500.0,12012.0,3091.0,86.0,-3177.0,0.0325,7571.0,500.0,RISE
2020-05-29,70200.0,70900.0,71500.0,70100.0,10845.0,1188.0,-1090.0,-98.0,0.0325,10748.0,700.0,FALL
2020-05-28,70900.0,71700.0,72500.0,70900.0,13293.0,2333.0,-1430.0,-903.0,0.0327,10846.0,1300.0,FALL
2020-05-27,72200.0,72100.0,72600.0,71400.0,6851.0,-22.0,-249.0,271.0,0.0329,11749.0,100.0,RISE
2020-05-26,72100.0,72400.0,73100.0,71600.0,10794.0,-193.0,796.0,-603.0,0.0329,11478.0,400.0,RISE
2020-05-25,71700.0,72800.0,72800.0,70800.0,9139.0,-553.0,184.0,369.0,0.0328,12081.0,400.0,FALL
2020-05-22,72100.0,73500.0,73800.0,72100.0,8982.0,2908.0,-2659.0,-249.0,0.0328,11712.0,1400.0,FALL
2020-05-20,74200.0,73500.0,74300.0,72800.0,9444.0,-1313.0,444.0,869.0,0.0333,44366.0,1100.0,RISE
2020-05-19,73100.0,73200.0,75100.0,72900.0,13244.0,-1939.0,600.0,1339.0,0.0333,43497.0,200.0,RISE
2020-05-18,72900.0,74000.0,74000.0,72300.0,10906.0,3504.0,-1304.0,-2200.0,0.0332,42158.0,500.0,FALL
2020-05-15,73400.0,72200.0,73800.0,71600.0,13055.0,-4807.0,435.0,4372.0,0.0333,44358.0,1300.0,RISE
2020-05-14,72100.0,73100.0,73400.0,71900.0,8902.0,566.0,-365.0,-201.0,0.0333,39986.0,1200.0,FALL
2020-05-13,73300.0,72900.0,73300.0,71000.0,8536.0,277.0,-1707.0,1430.0,0.0333,40187.0,0.0,EVEN
2020-05-12,73300.0,74500.0,74600.0,71800.0,13941.0,3342.0,-4049.0,707.0,0.0335,38757.0,1400.0,FALL
2020-05-11,74700.0,73500.0,75000.0,73000.0,27329.0,-5784.0,758.0,5026.0,0.034,38050.0,700.0,RISE
2020-05-08,74000.0,76200.0,77000.0,73400.0,41041.0,13508.0,-5793.0,-7715.0,0.0339,33024.0,2400.0,FALL
2020-05-07,76400.0,73900.0,79100.0,73700.0,45328.0,-8243.0,2454.0,5789.0,0.0344,40739.0,2700.0,RISE
2020-05-06,73700.0,72100.0,73800.0,71300.0,24775.0,-11617.0,4783.0,6834.0,0.0341,34950.0,2900.0,RISE
2020-05-04,70800.0,71000.0,71500.0,68500.0,16073.0,-1261.0,1470.0,-209.0,0.0336,28116.0,300.0,FALL
2020-04-29,71100.0,71000.0,71600.0,70800.0,10632.0,2367.0,1580.0,-3947.0,0.0334,28325.0,100.0,FALL
2020-04-28,71200.0,73000.0,73500.0,70500.0,16635.0,3179.0,-51.0,-3128.0,0.0332,32272.0,200.0,FALL
2020-04-27,71400.0,70200.0,73600.0,70200.0,23033.0,-3667.0,5937.0,-2270.0,0.0332,35400.0,1300.0,RISE
2020-04-24,70100.0,70600.0,71300.0,69600.0,11234.0,774.0,-210.0,-564.0,0.0325,37670.0,1100.0,FALL
2020-04-23,71200.0,69500.0,71900.0,68600.0,14847.0,-3975.0,4511.0,-536.0,0.0325,38234.0,1100.0,RISE
2020-04-22,70100.0,69900.0,70500.0,67500.0,14002.0,2638.0,-1452.0,-1186.0,0.032,38770.0,200.0,RISE
2020-04-21,69900.0,72100.0,72100.0,68400.0,25671.0,-1595.0,2085.0,-490.0,0.0322,39956.0,2200.0,FALL
2020-04-20,72100.0,72700.0,73000.0,72000.0,11665.0,357.0,610.0,-967.0,0.0319,40446.0,600.0,FALL
2020-04-17,72700.0,72600.0,73800.0,72400.0,16226.0,2224.0,-1826.0,-398.0,0.0318,41413.0,0.0,EVEN
2020-04-16,72700.0,72900.0,72900.0,70000.0,15551.0,3487.0,-1301.0,-2186.0,0.032,41811.0,300.0,FALL
2020-04-14,73000.0,70500.0,74200.0,70100.0,26927.0,3834.0,-2581.0,-1253.0,0.032,43997.0,3000.0,RISE
2020-04-13,70000.0,68000.0,70600.0,66800.0,21623.0,-2317.0,234.0,2083.0,0.0323,45250.0,2300.0,RISE
2020-04-10,67700.0,67900.0,68000.0,66500.0,14143.0,1774.0,-1540.0,-234.0,0.0323,43167.0,100.0,FALL
2020-04-09,67800.0,68000.0,68000.0,66400.0,16426.0,3947.0,-2425.0,-1522.0,0.0324,43401.0,1500.0,RISE
2020-04-08,66300.0,66600.0,68400.0,64600.0,21168.0,729.0,-977.0,248.0,0.0327,44923.0,0.0,EVEN
2020-04-07,66300.0,65600.0,66400.0,64100.0,26258.0,2465.0,900.0,-3365.0,0.0329,44675.0,2400.0,RISE
2020-04-06,63900.0,62000.0,64400.0,62000.0,18766.0,-6330.0,3632.0,2698.0,0.0328,48040.0,1900.0,RISE
2020-04-03,62000.0,61900.0,62500.0,60600.0,12949.0,499.0,-610.0,111.0,0.0324,45342.0,200.0,RISE
2020-04-02,61800.0,61700.0,64000.0,58100.0,20118.0,2440.0,-3734.0,1294.0,0.0339,45231.0,100.0,RISE
2020-04-01,61700.0,59500.0,63300.0,59400.0,31694.0,-1311.0,738.0,573.0,0.0344,43937.0,1200.0,RISE
2020-03-31,60500.0,60000.0,62000.0,59300.0,25781.0,1266.0,-2017.0,751.0,0.0343,43364.0,1500.0,RISE
2020-03-30,59000.0,58800.0,60000.0,55500.0,19470.0,4193.0,-1974.0,-2219.0,0.0345,42613.0,200.0,RISE
2020-03-27,58800.0,56000.0,64900.0,55000.0,54229.0,2329.0,-4617.0,2288.0,0.0348,44832.0,4800.0,RISE
2020-03-26,54000.0,54800.0,57600.0,52700.0,38872.0,6535.0,-7940.0,1405.0,0.0353,42544.0,2900.0,RISE
2020-03-25,51100.0,44800.0,51400.0,44350.0,34992.0,-64.0,-1183.0,1247.0,0.0362,41139.0,7450.0,RISE
2020-03-24,43650.0,41100.0,43800.0,40850.0,28669.0,-3037.0,2192.0,845.0,0.0364,39892.0,3000.0,RISE
2020-03-23,40650.0,40550.0,42000.0,39950.0,30407.0,-4908.0,7125.0,-2217.0,0.0362,39047.0,3050.0,FALL
2020-03-20,43700.0,42050.0,45500.0,42050.0,33392.0,3258.0,1921.0,-5179.0,0.0354,41264.0,750.0,RISE
2020-03-19,42950.0,49800.0,51800.0,42500.0,36503.0,-2108.0,2562.0,-454.0,0.0351,46443.0,6850.0,FALL
2020-03-18,49800.0,51800.0,53100.0,49800.0,27466.0,3227.0,-671.0,-2556.0,0.0348,46897.0,1800.0,FALL
2020-03-17,51600.0,50300.0,53700.0,50300.0,23259.0,-759.0,2193.0,-1434.0,0.0349,49453.0,2900.0,FALL
2020-03-16,54500.0,58300.0,60000.0,53700.0,27525.0,6912.0,3459.0,-10371.0,0.0348,50887.0,3100.0,FALL
2020-03-13,57600.0,55800.0,60000.0,52600.0,35373.0,145.0,-4930.0,4785.0,0.0344,61258.0,4300.0,FALL
2020-03-12,61900.0,63000.0,66000.0,60000.0,22227.0,488.0,-820.0,332.0,0.035,56473.0,3000.0,FALL
2020-03-11,64900.0,67100.0,68000.0,64200.0,14644.0,6991.0,-2134.0,-4857.0,0.0351,56141.0,3000.0,FALL
2020-03-10,67900.0,67800.0,68000.0,66200.0,9433.0,45.0,-1463.0,1418.0,0.0352,60998.0,300.0,FALL
2020-03-09,68200.0,69100.0,69500.0,67700.0,11502.0,-346.0,-1508.0,1854.0,0.0354,59580.0,2900.0,FALL
2020-03-06,71100.0,71300.0,72100.0,68700.0,22611.0,4573.0,-4219.0,-354.0,0.0355,57726.0,1200.0,FALL
2020-03-05,72300.0,68800.0,73500.0,67500.0,23747.0,-2724.0,3330.0,-606.0,0.036000000000000004,58080.0,3500.0,RISE
2020-03-04,68800.0,68100.0,69600.0,67700.0,8740.0,3149.0,1438.0,-4587.0,0.0356,58686.0,500.0,RISE
2020-03-03,68300.0,68500.0,68600.0,67300.0,13564.0,-61.0,5039.0,-4978.0,0.0354,63273.0,1200.0,RISE
2020-03-02,67100.0,67200.0,67800.0,66000.0,13254.0,962.0,2436.0,-3398.0,0.0349,68251.0,200.0,FALL
2020-02-28,67300.0,71700.0,71700.0,67200.0,18105.0,4337.0,-186.0,-4151.0,0.0345,71649.0,3900.0,FALL
2020-02-27,71200.0,70300.0,72000.0,70300.0,5944.0,-363.0,412.0,-49.0,0.0344,75800.0,300.0,RISE
2020-02-26,70900.0,69900.0,71400.0,69200.0,11300.0,-553.0,1224.0,-671.0,0.0344,75849.0,400.0,RISE
2020-02-25,70500.0,74400.0,74400.0,70000.0,13243.0,2772.0,-2940.0,168.0,0.0341,76520.0,500.0,RISE
2020-02-24,70000.0,70100.0,71700.0,69800.0,13459.0,2435.0,-1315.0,-1120.0,0.0344,76352.0,1900.0,FALL
2020-02-21,71900.0,72300.0,73500.0,71800.0,12580.0,5847.0,-1247.0,-4600.0,0.0346,77472.0,1800.0,FALL
2020-02-20,73700.0,74700.0,75900.0,73700.0,6502.0,1885.0,881.0,-2766.0,0.0347,82072.0,1000.0,FALL
2020-02-19,74700.0,78000.0,78000.0,74600.0,11606.0,4662.0,-711.0,-3951.0,0.0346,84838.0,1900.0,FALL
2020-02-18,76600.0,76500.0,77500.0,76200.0,6011.0,2828.0,20.0,-2848.0,0.0347,88789.0,600.0,FALL
2020-02-17,77200.0,78400.0,78400.0,76600.0,6911.0,2473.0,106.0,-2579.0,0.0347,91637.0,1200.0,FALL
2020-02-14,78400.0,79000.0,79500.0,78000.0,6086.0,1213.0,-62.0,-1151.0,0.0347,94216.0,200.0,FALL
2020-02-13,78600.0,81000.0,81100.0,78100.0,19796.0,11495.0,-1961.0,-9534.0,0.0347,95367.0,2000.0,FALL
2020-02-12,80600.0,81100.0,82800.0,79800.0,13097.0,5841.0,22.0,-5863.0,0.0348,104901.0,600.0,FALL
2020-02-11,81200.0,78700.0,81200.0,78400.0,8864.0,-4090.0,2509.0,1581.0,0.0348,110764.0,3000.0,RISE
2020-02-10,78200.0,77500.0,78700.0,76100.0,6248.0,531.0,-1496.0,965.0,0.0345,109183.0,900.0,RISE
2020-02-07,77300.0,75000.0,78000.0,75000.0,10598.0,652.0,-1190.0,538.0,0.0347,108218.0,1700.0,RISE
2020-02-06,75600.0,73500.0,75700.0,73500.0,8325.0,-2225.0,2274.0,-49.0,0.0348,107680.0,2400.0,RISE
2020-02-05,73200.0,74500.0,75500.0,73000.0,11488.0,4580.0,-1111.0,-3469.0,0.0346,107729.0,1200.0,FALL
2020-02-04,74400.0,73200.0,75300.0,72800.0,8118.0,1944.0,215.0,-2159.0,0.0347,111198.0,700.0,RISE
2020-02-03,73700.0,74300.0,75400.0,72600.0,9545.0,1533.0,-1451.0,-82.0,0.0346,113357.0,2500.0,FALL
2020-01-31,76200.0,75100.0,77400.0,75100.0,6413.0,145.0,-625.0,480.0,0.0347,113439.0,300.0,FALL
2020-01-30,76500.0,79800.0,80000.0,76100.0,13395.0,2621.0,-191.0,-2430.0,0.0348,112959.0,2900.0,FALL
2020-01-29,79400.0,79400.0,80000.0,78400.0,6322.0,2664.0,-1465.0,-1199.0,0.035,115389.0,400.0,FALL
2020-01-28,79800.0,81000.0,82300.0,79700.0,15797.0,6982.0,-3844.0,-3138.0,0.0351,116588.0,2500.0,FALL
2020-01-23,82300.0,83100.0,83700.0,82000.0,8618.0,3463.0,-722.0,-2741.0,0.0352,119726.0,1200.0,FALL
2020-01-22,83500.0,83500.0,84400.0,82800.0,6508.0,-507.0,-252.0,759.0,0.0352,122467.0,800.0,RISE
2020-01-21,82700.0,83100.0,83700.0,82500.0,4379.0,-725.0,-937.0,1662.0,0.0352,121708.0,400.0,FALL
2020-01-20,83100.0,82800.0,83700.0,82200.0,6323.0,-810.0,-1283.0,2093.0,0.0352,120046.0,400.0,RISE
2020-01-17,82700.0,83200.0,83700.0,82700.0,4234.0,1085.0,-332.0,-753.0,0.0353,117953.0,400.0,FALL
2020-01-16,83100.0,83300.0,83900.0,82700.0,5862.0,-671.0,1089.0,-418.0,0.0354,118706.0,200.0,FALL
2020-01-15,83300.0,82800.0,83500.0,82800.0,5259.0,546.0,753.0,-1299.0,0.0348,119124.0,0.0,EVEN
2020-01-14,83300.0,83500.0,84200.0,83100.0,4906.0,18.0,-346.0,328.0,0.0346,120423.0,200.0,FALL
