,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3095.0,3005.0,3145.0,2980.0,1999726.0,-60484,60485,-1,0.0011,-2169018,90.0,RISE
2020-06-04,3005.0,3095.0,3095.0,3000.0,1551083.0,52911,-52910,-1,0.0,-2169017,65.0,FALL
2020-06-03,3070.0,3130.0,3145.0,3055.0,1540057.0,9379,-9343,-36,0.0,-2169016,50.0,FALL
2020-06-02,3120.0,3050.0,3140.0,2995.0,2672984.0,-151877.0,151880.0,-3.0,0.0032,-2168980.0,100.0,RISE
2020-06-01,3020.0,3005.0,3050.0,2980.0,1639311.0,-56539.0,56543.0,-4.0,0.0003,-2168977.0,15.0,RISE
2020-05-29,3005.0,3080.0,3110.0,2990.0,2129556.0,107958.0,-107952.0,-6.0,-0.0007,-2168973.0,70.0,FALL
2020-05-28,3075.0,3070.0,3145.0,2950.0,2781902.0,-74545.0,68146.0,6399.0,0.0013,-2168967.0,10.0,RISE
2020-05-27,3065.0,3115.0,3155.0,3050.0,1685467.0,-45021.0,45030.0,-9.0,0.0,-2175366.0,50.0,FALL
2020-05-26,3115.0,3135.0,3145.0,3095.0,1597930.0,-23514.0,23526.0,-12.0,-0.0048,-2175357.0,20.0,FALL
2020-05-25,3135.0,3200.0,3210.0,3125.0,1947854.0,85845.0,-85913.0,68.0,-0.0053,-2175345.0,45.0,FALL
2020-05-22,3180.0,3080.0,3180.0,3045.0,3319882.0,-86924.0,78049.0,8875.0,-0.0037,-2175413.0,70.0,RISE
2020-05-20,3185.0,3190.0,3250.0,3150.0,3729222.0,17030.0,-22658.0,5628.0,0.0,-2184235.0,10.0,RISE
2020-05-19,3175.0,3230.0,3360.0,3045.0,8352416.0,13965.0,-19274.0,5309.0,-0.0048,-2189863.0,155.0,FALL
2020-05-18,3330.0,3565.0,3595.0,3215.0,4954593.0,-54129.0,47441.0,6688.0,-0.0045,-2195172.0,225.0,FALL
2020-05-15,3555.0,3550.0,3625.0,3525.0,5110438.0,12206.0,-9076.0,-3130.0,-0.0054,-2201860.0,40.0,FALL
2020-05-14,3595.0,3460.0,3640.0,3430.0,10635941.0,15013.0,-15013.0,0.0,-0.0052,-2198730.0,110.0,RISE
2020-05-13,3485.0,3405.0,3620.0,3380.0,7676512.0,-3378.0,3378.0,0.0,-0.0049,-2198730.0,25.0,RISE
2020-05-12,3460.0,3500.0,3635.0,3420.0,8313787.0,-141.0,141.0,0.0,-0.005,-2198730.0,10.0,FALL
2020-05-11,3470.0,3380.0,3680.0,3345.0,10817314.0,11033.0,-11033.0,0.0,-0.005,-2198730.0,40.0,RISE
2020-05-08,3430.0,3800.0,3865.0,3425.0,25383659.0,9783.0,-9783.0,0.0,-0.0048,-2198730.0,180.0,FALL
2020-05-07,3610.0,3100.0,3610.0,3055.0,16165194.0,56116.0,-56116.0,0.0,-0.0046,-2198730.0,550.0,RISE
2020-05-06,3060.0,3055.0,3270.0,2995.0,7541089.0,-34209.0,34209.0,0.0,-0.0035,-2198730.0,25.0,RISE
2020-05-04,3035.0,3100.0,3250.0,3020.0,2683692.0,-1000.0,1000.0,0.0,-0.0042,-2198730.0,70.0,FALL
2020-04-29,3105.0,3230.0,3275.0,3080.0,4238612.0,-32712.0,32712.0,0.0,-0.0042,-2198730.0,90.0,FALL
2020-04-28,3195.0,3335.0,3370.0,3170.0,4370625.0,23257.0,-23256.0,-1.0,-0.0048,-2198730.0,140.0,FALL
2020-04-27,3335.0,3370.0,3380.0,3305.0,3484307.0,-13835.0,13835.0,0.0,-0.0044,-2198729.0,0.0,EVEN
2020-04-24,3335.0,3410.0,3550.0,3235.0,11481773.0,86385.0,-86385.0,0.0,-0.0046,-2198729.0,30.0,RISE
2020-04-23,3305.0,3395.0,3445.0,3295.0,6184425.0,69556.0,-69556.0,0.0,-0.003,-2198729.0,5.0,RISE
2020-04-22,3300.0,3270.0,3415.0,3230.0,7058370.0,-171250.0,171250.0,0.0,-0.0017,-2198729.0,130.0,FALL
2020-04-21,3430.0,3570.0,3865.0,3215.0,23604479.0,67652.0,-67652.0,0.0,-0.0049,-2198729.0,220.0,FALL
2020-04-20,3650.0,3455.0,4345.0,3380.0,57636548.0,-51662.0,61662.0,-10000.0,-0.0036,-2198729.0,125.0,RISE
2020-04-17,3525.0,3715.0,3780.0,3365.0,12949729.0,10515.0,-10515.0,0.0,-0.0048,-2188729.0,95.0,FALL
2020-04-16,3620.0,3830.0,3900.0,3615.0,6108100.0,244653.0,-244653.0,0.0,-0.0046,-2188729.0,350.0,FALL
2020-04-14,3970.0,3890.0,4160.0,3730.0,17034377.0,-6472.0,6472.0,0.0,0.0,-2188729.0,110.0,FALL
2020-04-13,4080.0,3600.0,4295.0,3380.0,28901904.0,140590.0,-140590.0,0.0,-0.0024,-2188729.0,735.0,RISE
2020-04-10,3345.0,3495.0,3495.0,3045.0,8381407.0,-135881.0,135881.0,0.0,0.0002,-2188729.0,180.0,FALL
2020-04-09,3525.0,3825.0,4100.0,3510.0,16900779.0,53141.0,-53141.0,0.0,-0.0023,-2188729.0,20.0,RISE
2020-04-08,3505.0,3565.0,3595.0,3350.0,10282311.0,10409.0,-10409.0,0.0,-0.0013,-2188729.0,175.0,FALL
2020-04-07,3680.0,4030.0,4030.0,3510.0,9930076.0,-17082.0,17082.0,0.0,-0.0011,-2188729.0,375.0,FALL
2020-04-06,4055.0,3995.0,4250.0,3865.0,12543642.0,-3617.0,3618.0,-1.0,-0.0014,-2188729.0,95.0,RISE
2020-04-03,3960.0,4030.0,4160.0,3730.0,10056916.0,-39772.0,37772.0,2000.0,-0.0015,-2188728.0,125.0,FALL
2020-04-02,4085.0,4405.0,4550.0,3965.0,11490444.0,-5559.0,5559.0,0.0,-0.0022,-2190728.0,185.0,FALL
2020-04-01,4270.0,4390.0,4870.0,3650.0,36138655.0,49886.0,-49886.0,0.0,-0.0023,-2190728.0,200.0,FALL
2020-03-31,4470.0,4215.0,5180.0,3870.0,52239142.0,-33194.0,34521.0,-1327.0,-0.0014,-2190728.0,470.0,RISE
2020-03-30,4000.0,3460.0,4000.0,3320.0,38500915.0,110335.0,-108363.0,-1972.0,-0.002,-2189401.0,720.0,RISE
2020-03-27,3280.0,3365.0,4055.0,2795.0,95160726.0,-66636.0,67664.0,-1028.0,0.0,-2187429.0,280.0,FALL
2020-03-26,3560.0,3560.0,3560.0,3405.0,21042301.0,-137549.0,34348.0,103201.0,0.0068,-2186401.0,820.0,UPPER_LIMIT
2020-03-25,2740.0,2590.0,2910.0,2530.0,48614832.0,-245133.0,245133.0,0.0,0.0061,-2289602.0,195.0,RISE
2020-03-24,2545.0,2450.0,2770.0,2370.0,37790386.0,-80848.0,80848.0,0.0,0.0015,-2289602.0,40.0,RISE
2020-03-23,2505.0,2585.0,2880.0,2405.0,43505794.0,-17866.0,17866.0,0.0,0.0,-2289602.0,75.0,FALL
2020-03-20,2580.0,2600.0,2720.0,2405.0,50899216.0,5201.0,2749.0,-7950.0,0.0,-2289602.0,10.0,RISE
2020-03-19,2570.0,2195.0,2570.0,2025.0,43482813.0,33196.0,-41306.0,8110.0,0.0,-2281652.0,590.0,UPPER_LIMIT
2020-03-18,1980.0,2220.0,2285.0,1950.0,10141830.0,-33422.0,33422.0,0.0,0.0,-2289762.0,105.0,FALL
2020-03-17,2085.0,1740.0,2135.0,1700.0,9168405.0,-14757.0,14757.0,0.0,0.0,-2289762.0,190.0,RISE
2020-03-16,1895.0,2000.0,2085.0,1880.0,4100975.0,-12386.0,11684.0,702.0,0.0,-2289762.0,40.0,FALL
2020-03-13,1935.0,1950.0,2140.0,1665.0,7450839.0,40662.0,-40662.0,0.0,0.0,-2290464.0,190.0,FALL
2020-03-12,2125.0,2195.0,2325.0,2070.0,5985526.0,-43558.0,43558.0,0.0,0.0,-2290464.0,225.0,FALL
2020-03-11,2350.0,2200.0,2540.0,2080.0,35411458.0,76664.0,-76664.0,0.0,0.0,-2290464.0,330.0,RISE
2020-03-10,2020.0,2120.0,2170.0,1960.0,6687181.0,-15291.0,14501.0,790.0,0.0,-2290464.0,230.0,FALL
2020-03-09,2250.0,2315.0,2575.0,2160.0,31580901.0,-14675.0,14675.0,0.0,0.0,-2291254.0,15.0,RISE
2020-03-06,2235.0,2100.0,2285.0,2050.0,16035983.0,-18800.0,10800.0,8000.0,0.0,-2291254.0,125.0,RISE
2020-03-05,2110.0,2275.0,2340.0,2030.0,13440793.0,27353.0,-27353.0,0.0,0.0,-2299254.0,200.0,FALL
2020-03-04,2310.0,2380.0,2500.0,2225.0,15574223.0,10311.0,-7093.0,-3218.0,0.0,-2299254.0,125.0,FALL
2020-03-03,2435.0,2310.0,2700.0,2195.0,62931713.0,-108757.0,107446.0,1311.0,0.0,-2296036.0,5.0,RISE
2020-03-02,2430.0,2555.0,2760.0,2295.0,95784776.0,61275.0,-4726.0,-56549.0,0.0,-2297347.0,145.0,RISE
