,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,4045.0,4180.0,4310.0,3990.0,2748940.0,53537,-51369,-2168,0.0069,101354,130.0,FALL
2020-06-04,4175.0,4155.0,4315.0,4125.0,2173963.0,-46913,47201,-288,0.0089,103522,50.0,FALL
2020-06-03,4225.0,4400.0,4420.0,4200.0,2630917.0,-1594,1936,-342,0.0071,103810,245.0,FALL
2020-06-02,4470.0,4435.0,4730.0,4345.0,14114618.0,-19737.0,19089.0,648.0,0.0072,104372.0,115.0,RISE
2020-06-01,4355.0,4540.0,4850.0,4255.0,19584323.0,71795.0,-52490.0,-19305.0,0.0065,103724.0,180.0,FALL
2020-05-29,4535.0,3620.0,4535.0,3600.0,37918465.0,-98722.0,102416.0,-3694.0,0.0086,123029.0,1045.0,UPPER_LIMIT
2020-05-28,3490.0,3390.0,3825.0,3360.0,7551331.0,188810.0,-195044.0,6234.0,0.0045,126723.0,130.0,RISE
2020-05-27,3360.0,3400.0,3410.0,3300.0,912088.0,-33053.0,33090.0,-37.0,0.0123,120489.0,50.0,FALL
2020-05-26,3410.0,3510.0,3510.0,3365.0,1063334.0,-17909.0,17356.0,553.0,0.0116,120526.0,80.0,FALL
2020-05-25,3490.0,3615.0,3640.0,3470.0,2095840.0,-108489.0,99824.0,8665.0,0.0109,119973.0,5.0,FALL
2020-05-22,3495.0,3660.0,3900.0,3455.0,7059285.0,39563.0,-40051.0,488.0,0.006999999999999999,111308.0,170.0,FALL
2020-05-20,3490.0,3535.0,3595.0,3480.0,1284126.0,32277.0,-32269.0,-8.0,0.0072,110641.0,30.0,FALL
2020-05-19,3520.0,3520.0,3545.0,3435.0,1025119.0,24471.0,-24476.0,5.0,0.0085,110649.0,0.0,EVEN
2020-05-18,3520.0,3425.0,3560.0,3360.0,2031859.0,88841.0,-18129.0,-70712.0,0.0095,110644.0,70.0,RISE
2020-05-15,3450.0,3260.0,3450.0,3170.0,2031722.0,-33540.0,32739.0,801.0,0.0102,181356.0,190.0,RISE
2020-05-14,3260.0,3355.0,3375.0,3215.0,930467.0,-13938.0,13836.0,102.0,0.0089,180555.0,135.0,FALL
2020-05-13,3395.0,3300.0,3465.0,3285.0,1248164.0,12871.0,-12887.0,16.0,0.0083,180453.0,35.0,RISE
2020-05-12,3360.0,3455.0,3490.0,3230.0,1297287.0,-70373.0,18252.0,52121.0,0.0088,180437.0,95.0,FALL
2020-05-11,3455.0,3630.0,3660.0,3400.0,2033120.0,-53599.0,28405.0,25194.0,0.0081,128316.0,275.0,FALL
2020-05-08,3730.0,3610.0,3800.0,3550.0,6502232.0,47391.0,-46792.0,-599.0,0.006999999999999999,103122.0,170.0,RISE
2020-05-07,3560.0,3560.0,3625.0,3430.0,2348142.0,-73100.0,70307.0,2793.0,0.0089,103721.0,5.0,RISE
2020-05-06,3555.0,3425.0,3915.0,3400.0,15610977.0,5033.0,-5227.0,194.0,0.006,100928.0,135.0,RISE
2020-05-04,3420.0,3250.0,3570.0,3170.0,8114053.0,98644.0,-90662.0,-7982.0,0.0062,100734.0,60.0,RISE
2020-04-29,3360.0,3420.0,3675.0,3235.0,9880048.0,-17409.0,17698.0,-289.0,0.0092,108716.0,140.0,FALL
2020-04-28,3500.0,3660.0,3940.0,3400.0,37191593.0,556890.0,-339351.0,-217539.0,0.0085,109005.0,220.0,RISE
2020-04-27,3280.0,2650.0,3280.0,2625.0,12781798.0,89638.0,-212868.0,123230.0,0.0221,326544.0,755.0,UPPER_LIMIT
2020-04-24,2525.0,2620.0,2630.0,2430.0,533122.0,106396.0,-106428.0,32.0,0.0307,203314.0,85.0,FALL
2020-04-23,2610.0,2530.0,2670.0,2500.0,685600.0,13645.0,-13911.0,266.0,0.0349,203282.0,90.0,RISE
2020-04-22,2520.0,2395.0,2520.0,2345.0,396632.0,-17343.0,17142.0,201.0,0.0355,203016.0,80.0,RISE
2020-04-21,2440.0,2535.0,2620.0,2330.0,716334.0,-49443.0,48821.0,622.0,0.0348,202815.0,100.0,FALL
2020-04-20,2540.0,2565.0,2620.0,2540.0,414878.0,-62998.0,63130.0,-132.0,0.0329,202193.0,45.0,FALL
2020-04-17,2585.0,2600.0,2660.0,2545.0,750930.0,12340.0,-12220.0,-120.0,0.0303,202325.0,15.0,FALL
2020-04-16,2600.0,2855.0,2860.0,2550.0,1122493.0,30328.0,-30317.0,-11.0,0.0309,202445.0,200.0,FALL
2020-04-14,2800.0,2565.0,2800.0,2540.0,1736095.0,-43708.0,14057.0,29651.0,0.0322,202456.0,235.0,RISE
2020-04-13,2565.0,2465.0,2770.0,2375.0,2729787.0,91790.0,-134510.0,42720.0,0.0316,172805.0,70.0,RISE
2020-04-10,2495.0,2320.0,2545.0,2265.0,1690909.0,-18521.0,-73125.0,91646.0,0.037000000000000005,130085.0,185.0,RISE
2020-04-09,2310.0,2300.0,2350.0,2265.0,390859.0,246.0,-344.0,98.0,0.0399,38439.0,40.0,RISE
2020-04-08,2270.0,2290.0,2330.0,2190.0,405226.0,-47459.0,47472.0,-13.0,0.0399,38341.0,5.0,RISE
2020-04-07,2265.0,2300.0,2310.0,2195.0,536952.0,2596.0,-2617.0,21.0,0.038,38354.0,70.0,RISE
2020-04-06,2195.0,2045.0,2375.0,2045.0,1694225.0,25123.0,-25119.0,-4.0,0.0382,38333.0,165.0,RISE
2020-04-03,2030.0,2030.0,2055.0,1980.0,158921.0,11134.0,-10925.0,-209.0,0.0392,38337.0,25.0,RISE
2020-04-02,2005.0,1980.0,2025.0,1920.0,286257.0,-128.0,321.0,-193.0,0.0396,38546.0,30.0,RISE
2020-04-01,1975.0,2010.0,2130.0,1950.0,486016.0,-30038.0,30013.0,25.0,0.0403,38739.0,35.0,FALL
2020-03-31,2010.0,1870.0,2080.0,1860.0,750602.0,-1706.0,1612.0,94.0,0.039,38714.0,155.0,RISE
2020-03-30,1855.0,1750.0,1870.0,1720.0,256716.0,6262.0,-6292.0,30.0,0.0389,38620.0,45.0,RISE
2020-03-27,1810.0,1850.0,1905.0,1700.0,447745.0,73174.0,-73203.0,29.0,0.0389,38590.0,15.0,RISE
2020-03-26,1795.0,1645.0,1830.0,1585.0,760550.0,59178.0,-58675.0,-503.0,0.0417,38561.0,185.0,RISE
2020-03-25,1610.0,1645.0,1650.0,1535.0,436696.0,31435.0,-30558.0,-877.0,0.044,39064.0,110.0,RISE
2020-03-24,1500.0,1450.0,1545.0,1395.0,395501.0,30064.0,-17514.0,-12550.0,0.045,39941.0,125.0,RISE
2020-03-23,1375.0,1385.0,1415.0,1300.0,376228.0,-66412.0,65256.0,1156.0,0.0462,52491.0,75.0,FALL
2020-03-20,1450.0,1330.0,1475.0,1325.0,575763.0,-45665.0,50085.0,-4420.0,0.0436,51335.0,120.0,RISE
