,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,7840.0,7700.0,7850.0,7650.0,365173.0,-29699,30005,-306,0.2273,-2896909,170.0,RISE
2020-06-04,7670.0,7770.0,7810.0,7670.0,335041.0,2288,-144,-2144,0.2267,-2896603,80.0,FALL
2020-06-03,7750.0,7950.0,7980.0,7700.0,831782.0,85205,-48922,-36283,0.2274,-2894459,200.0,FALL
2020-06-02,7950.0,7500.0,8050.0,7460.0,1728881.0,-64553.0,23207.0,41346.0,0.2283,-2723966.0,510.0,RISE
2020-06-01,7440.0,7280.0,7470.0,7280.0,359266.0,-18546.0,21266.0,-2720.0,0.2279,-2765312.0,230.0,RISE
2020-05-29,7210.0,7270.0,7460.0,7210.0,428395.0,2081.0,-9253.0,7172.0,0.2275,-2762592.0,60.0,FALL
2020-05-28,7270.0,7640.0,7740.0,7070.0,708923.0,12714.0,-12686.0,-28.0,0.2276,-2769764.0,410.0,FALL
2020-05-27,7680.0,7670.0,7760.0,7490.0,854559.0,-100702.0,97851.0,2851.0,0.2279,-2769736.0,70.0,RISE
2020-05-26,7610.0,7670.0,7850.0,7590.0,1290857.0,-77944.0,76257.0,1687.0,0.226,-2772587.0,10.0,RISE
2020-05-25,7600.0,8370.0,8680.0,7600.0,6475004.0,57842.0,-117312.0,59470.0,0.2246,-2774274.0,200.0,RISE
2020-05-22,7400.0,7090.0,7470.0,6800.0,1973069.0,66837.0,-70997.0,4160.0,0.2259,-2833744.0,320.0,RISE
2020-05-20,6820.0,6800.0,6920.0,6800.0,245635.0,-25312.0,20470.0,4842.0,0.2249,-2738047.0,10.0,FALL
2020-05-19,6830.0,7090.0,7090.0,6780.0,406531.0,26742.0,-22063.0,-4679.0,0.2245,-2742889.0,140.0,FALL
2020-05-18,6970.0,7010.0,7200.0,6960.0,670665.0,38712.0,-39745.0,1033.0,0.225,-2738210.0,30.0,FALL
2020-05-15,7000.0,6820.0,7080.0,6820.0,866835.0,-24546.0,26816.0,-2270.0,0.2258,-2739243.0,170.0,RISE
2020-05-14,6830.0,6630.0,6950.0,6630.0,756579.0,-69260.0,31578.0,37682.0,0.2253,-2736973.0,80.0,RISE
2020-05-13,6750.0,7000.0,7010.0,6670.0,902407.0,41311.0,-43181.0,1870.0,0.2248,-2774655.0,170.0,FALL
2020-05-12,6920.0,7500.0,7770.0,6910.0,7563585.0,329364.0,-352234.0,22870.0,0.2256,-2776525.0,570.0,RISE
2020-05-11,6350.0,6380.0,6440.0,6280.0,212125.0,-35070.0,-4900.0,39970.0,0.2323,-2799395.0,20.0,FALL
2020-05-08,6370.0,6330.0,6390.0,6290.0,146843.0,-29059.0,20881.0,8178.0,0.2324,-2839365.0,100.0,RISE
2020-05-07,6270.0,6280.0,6360.0,6220.0,175494.0,34192.0,-36670.0,2478.0,0.232,-2847543.0,0.0,EVEN
2020-05-06,6270.0,6190.0,6310.0,6080.0,439650.0,-98648.0,79549.0,19099.0,0.2327,-2850021.0,250.0,RISE
2020-05-04,6020.0,6080.0,6110.0,5950.0,187617.0,-423.0,-6615.0,7038.0,0.2312,-2869120.0,40.0,FALL
2020-04-29,6060.0,6080.0,6100.0,6040.0,113678.0,-311.0,-1536.0,1847.0,0.2313,-2876158.0,10.0,FALL
2020-04-28,6070.0,6120.0,6150.0,6040.0,149397.0,22229.0,-19127.0,-3102.0,0.2313,-2878005.0,50.0,FALL
2020-04-27,6120.0,6050.0,6150.0,6050.0,200342.0,-22848.0,22930.0,-82.0,0.2317,-2874903.0,120.0,RISE
2020-04-24,6000.0,6040.0,6090.0,5930.0,137162.0,3967.0,-4013.0,46.0,0.2312,-2874821.0,40.0,FALL
2020-04-23,6040.0,6050.0,6080.0,6000.0,157510.0,-24291.0,25990.0,-1699.0,0.2313,-2874867.0,50.0,RISE
2020-04-22,5990.0,6050.0,6050.0,5910.0,209892.0,12699.0,-11878.0,-821.0,0.2308,-2873168.0,80.0,FALL
2020-04-21,6070.0,6050.0,6160.0,5830.0,362730.0,8185.0,-7487.0,-698.0,0.231,-2872347.0,20.0,FALL
2020-04-20,6090.0,6070.0,6210.0,5990.0,247488.0,-29159.0,30508.0,-1349.0,0.2312,-2871649.0,80.0,RISE
2020-04-17,6010.0,6040.0,6100.0,6000.0,300645.0,18753.0,-21560.0,2807.0,0.2306,-2870300.0,20.0,FALL
2020-04-16,6030.0,6020.0,6090.0,5890.0,243407.0,30496.0,-31668.0,1172.0,0.2309,-2873107.0,10.0,RISE
