,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,76400.0,76200.0,76400.0,74600.0,145511.0,-14343,-263,14606,0.2976,-686525,200.0,RISE
2020-06-04,76200.0,75200.0,78800.0,75200.0,473140.0,-174678,99392,75286,0.2976,-701131,2000.0,RISE
2020-06-03,74200.0,72100.0,75500.0,71900.0,490051.0,-135377,69324,66053,0.2943,-776417,3200.0,RISE
2020-06-02,71000.0,71100.0,71600.0,71000.0,98924.0,37788.0,-11367.0,-26421.0,0.2921,-761547.0,700.0,FALL
2020-06-01,71700.0,71100.0,71900.0,70900.0,86972.0,2621.0,-8651.0,6030.0,0.2924,-735126.0,800.0,RISE
2020-05-29,70900.0,71300.0,72200.0,70200.0,163211.0,-24541.0,27108.0,-2567.0,0.2927,-741156.0,0.0,EVEN
2020-05-28,70900.0,73500.0,73500.0,70400.0,192277.0,27461.0,-12915.0,-14546.0,0.2918,-738589.0,2600.0,FALL
2020-05-27,73500.0,73500.0,75000.0,72400.0,200814.0,-4645.0,-90.0,4735.0,0.2922,-724043.0,500.0,RISE
2020-05-26,73000.0,71500.0,73000.0,71400.0,188992.0,-102530.0,28536.0,73994.0,0.2923,-728778.0,1900.0,RISE
2020-05-25,71100.0,70700.0,71800.0,70100.0,128935.0,-66507.0,12370.0,54137.0,0.2913,-802772.0,700.0,RISE
2020-05-22,70400.0,72600.0,72600.0,69500.0,280728.0,105301.0,-34902.0,-70399.0,0.29100000000000004,-856909.0,2200.0,FALL
2020-05-20,71900.0,72700.0,73000.0,71400.0,176568.0,44999.0,-5560.0,-39439.0,0.2915,-466793.0,600.0,FALL
2020-05-19,72500.0,74400.0,75300.0,71400.0,369658.0,18197.0,-14245.0,-3952.0,0.2917,-427354.0,600.0,FALL
2020-05-18,73100.0,71900.0,73400.0,70400.0,210228.0,-80816.0,-7197.0,88013.0,0.2922,-423402.0,1800.0,RISE
2020-05-15,71300.0,72500.0,72500.0,71000.0,125748.0,-2048.0,-5286.0,7334.0,0.2924,-511415.0,300.0,FALL
2020-05-14,71600.0,70500.0,71900.0,70100.0,221409.0,-29319.0,-5489.0,34808.0,0.2926,-518749.0,700.0,RISE
2020-05-13,70900.0,69000.0,72200.0,68900.0,247407.0,-2964.0,-6612.0,9576.0,0.2928,-553557.0,1200.0,RISE
2020-05-12,69700.0,71000.0,71700.0,69200.0,220643.0,3451.0,-25308.0,21857.0,0.2929,-563133.0,1400.0,FALL
2020-05-11,71100.0,73000.0,73300.0,68800.0,681802.0,4608.0,9720.0,-14328.0,0.2938,-584990.0,1000.0,FALL
2020-05-08,72100.0,73900.0,74400.0,71200.0,311621.0,85228.0,-82560.0,-2668.0,0.2934,-570662.0,800.0,FALL
2020-05-07,72900.0,69300.0,74100.0,69200.0,390709.0,61268.0,-151439.0,90171.0,0.2961,-567994.0,3500.0,RISE
2020-05-06,69400.0,72600.0,72600.0,68600.0,330067.0,108912.0,-104535.0,-4377.0,0.3011,-658165.0,1300.0,FALL
2020-05-04,70700.0,74000.0,76000.0,70200.0,368916.0,158331.0,-72393.0,-85938.0,0.3045,-653788.0,5700.0,FALL
2020-04-29,76400.0,76500.0,80800.0,75300.0,348137.0,-7927.0,-37262.0,45189.0,0.3069,-567850.0,0.0,EVEN
2020-04-28,76400.0,76300.0,78300.0,75100.0,246506.0,7073.0,-69342.0,62269.0,0.308,-613039.0,100.0,RISE
2020-04-27,76300.0,72200.0,77800.0,72000.0,394219.0,-97783.0,-41782.0,139565.0,0.3103,-675308.0,5500.0,RISE
2020-04-24,70800.0,74000.0,75400.0,70000.0,371377.0,119594.0,-87285.0,-32309.0,0.3116,-814873.0,700.0,FALL
2020-04-23,71500.0,67000.0,71500.0,66500.0,344644.0,-84343.0,21671.0,62672.0,0.3145,-782564.0,4500.0,RISE
2020-04-22,67000.0,65700.0,67700.0,65000.0,154226.0,9053.0,-5551.0,-3502.0,0.3138,-845236.0,1200.0,RISE
2020-04-21,65800.0,67800.0,69200.0,65600.0,218634.0,46551.0,-53682.0,7131.0,0.314,-841734.0,2100.0,FALL
2020-04-20,67900.0,66200.0,69200.0,65600.0,220700.0,-39524.0,9523.0,30001.0,0.3156,-848865.0,1700.0,RISE
2020-04-17,66200.0,66400.0,68100.0,66000.0,157875.0,56443.0,-38144.0,-18299.0,0.3151,-878866.0,200.0,RISE
2020-04-16,66000.0,66300.0,67000.0,65400.0,153745.0,23513.0,-55392.0,31879.0,0.3163,-860567.0,1400.0,FALL
2020-04-14,67400.0,67000.0,69600.0,66500.0,246134.0,-9041.0,-23832.0,32873.0,0.318,-892446.0,1000.0,RISE
2020-04-13,66400.0,64500.0,68000.0,63700.0,266073.0,-119010.0,20683.0,98327.0,0.3187,-925319.0,1900.0,RISE
2020-04-10,64500.0,64100.0,64900.0,63000.0,126511.0,-1640.0,-2464.0,4104.0,0.318,-1023646.0,600.0,RISE
2020-04-09,63900.0,65000.0,65100.0,63000.0,210458.0,39736.0,-50283.0,10547.0,0.318,-1027750.0,200.0,FALL
2020-04-08,64100.0,63500.0,64700.0,62800.0,195468.0,12780.0,-10158.0,-2622.0,0.3197,-1038297.0,100.0,FALL
2020-04-07,64200.0,66600.0,67000.0,63800.0,222664.0,106533.0,-76524.0,-30009.0,0.3202,-1035675.0,2000.0,FALL
2020-04-06,66200.0,65100.0,67400.0,65000.0,163117.0,-15148.0,-31838.0,46986.0,0.3228,-1005666.0,2400.0,RISE
2020-04-03,63800.0,69100.0,69100.0,63600.0,217176.0,1885.0,-24252.0,22367.0,0.3238,-1052652.0,800.0,RISE
2020-04-02,63000.0,61800.0,64500.0,59300.0,206807.0,-9523.0,-21240.0,30763.0,0.3245,-1075019.0,1500.0,RISE
2020-04-01,61500.0,64800.0,66500.0,61500.0,183538.0,-6086.0,-27458.0,33544.0,0.3252,-1105782.0,3300.0,FALL
2020-03-31,64800.0,64000.0,65800.0,62200.0,267827.0,-46309.0,-17017.0,63326.0,0.3261,-1139326.0,3200.0,RISE
2020-03-30,61600.0,58000.0,63900.0,56100.0,359271.0,-87617.0,-46459.0,134076.0,0.3267,-1202652.0,3000.0,RISE
2020-03-27,58600.0,58400.0,64200.0,56300.0,368634.0,7017.0,-60389.0,53372.0,0.3284,-1336728.0,2900.0,RISE
2020-03-26,55700.0,56900.0,58200.0,54900.0,254322.0,25274.0,-63096.0,37822.0,0.3304,-1390100.0,1300.0,FALL
2020-03-25,57000.0,57000.0,57700.0,54700.0,233039.0,9345.0,-13604.0,4259.0,0.3325,-1427922.0,2400.0,RISE
2020-03-24,54600.0,57000.0,57400.0,53500.0,250219.0,61017.0,-69976.0,8959.0,0.3329,-1432181.0,300.0,FALL
2020-03-23,54900.0,53200.0,59300.0,49600.0,334200.0,-32907.0,31445.0,1462.0,0.335,-1441140.0,2200.0,FALL
2020-03-20,57100.0,45050.0,57100.0,45050.0,222820.0,-48281.0,-4228.0,52509.0,0.3339,-1442602.0,13150.0,UPPER_LIMIT
2020-03-19,43950.0,50900.0,52000.0,43800.0,198103.0,-11798.0,-13877.0,25675.0,0.3339,-1495111.0,6950.0,FALL
2020-03-18,50900.0,51000.0,52500.0,50000.0,139137.0,-12047.0,17190.0,-5143.0,0.3344,-1520786.0,500.0,RISE
2020-03-17,50400.0,50100.0,52500.0,50000.0,153508.0,21691.0,-15717.0,-5974.0,0.3338,-1515643.0,2100.0,FALL
2020-03-16,52500.0,52700.0,56100.0,52300.0,173873.0,14235.0,-34680.0,20445.0,0.3344,-1509669.0,1100.0,FALL
2020-03-13,53600.0,55600.0,56300.0,51200.0,196782.0,-3726.0,-5614.0,9340.0,0.3355,-1530114.0,4000.0,FALL
