,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1620.0,1620.0,1650.0,1600.0,279609.0,-31924,33007,-1083,0.0314,-988309,25.0,FALL
2020-06-04,1645.0,1670.0,1685.0,1610.0,300713.0,-23766,23766,0,0.0301,-987226,25.0,FALL
2020-06-03,1670.0,1695.0,1700.0,1640.0,258098.0,34988,-34988,0,0.03,-987226,0.0,EVEN
2020-06-02,1670.0,1630.0,1695.0,1630.0,612357.0,-11042.0,11042.0,0.0,0.0313,-986169.0,40.0,RISE
2020-06-01,1630.0,1575.0,1650.0,1575.0,409671.0,-80805.0,80805.0,0.0,0.0309,-986169.0,55.0,RISE
2020-05-29,1575.0,1575.0,1590.0,1535.0,141974.0,-2026.0,2026.0,0.0,0.0278,-986169.0,15.0,RISE
2020-05-28,1560.0,1625.0,1645.0,1545.0,618162.0,-40388.0,40388.0,0.0,0.0277,-986169.0,50.0,FALL
2020-05-27,1610.0,1605.0,1620.0,1585.0,205038.0,-5249.0,6193.0,-944.0,0.0261,-986169.0,5.0,RISE
2020-05-26,1605.0,1605.0,1625.0,1585.0,215402.0,-30965.0,30966.0,-1.0,0.0259,-985225.0,0.0,EVEN
2020-05-25,1605.0,1560.0,1620.0,1560.0,242325.0,3560.0,-3105.0,-455.0,0.0247,-985224.0,35.0,RISE
2020-05-22,1570.0,1600.0,1635.0,1545.0,451141.0,56369.0,-56369.0,0.0,0.0248,-984769.0,10.0,FALL
2020-05-20,1560.0,1515.0,1635.0,1510.0,948842.0,19462.0,-19462.0,0.0,0.0261,-985803.0,50.0,RISE
2020-05-19,1510.0,1450.0,1510.0,1435.0,410738.0,-89764.0,89764.0,0.0,0.0268,-985803.0,60.0,RISE
2020-05-18,1450.0,1435.0,1460.0,1435.0,115182.0,-14883.0,14883.0,0.0,0.0233,-985803.0,0.0,EVEN
2020-05-15,1450.0,1445.0,1470.0,1435.0,135714.0,-5018.0,5018.0,0.0,0.0228,-985803.0,10.0,RISE
2020-05-14,1440.0,1465.0,1485.0,1435.0,120315.0,9807.0,-9807.0,0.0,0.0226,-985803.0,20.0,FALL
2020-05-13,1460.0,1445.0,1495.0,1435.0,131939.0,-15434.0,15564.0,-130.0,0.023,-985803.0,5.0,RISE
2020-05-12,1455.0,1480.0,1490.0,1415.0,220683.0,31427.0,-30701.0,-726.0,0.0224,-985673.0,25.0,FALL
2020-05-11,1480.0,1505.0,1530.0,1470.0,240504.0,33742.0,-33174.0,-568.0,0.0236,-984947.0,30.0,FALL
2020-05-08,1510.0,1505.0,1530.0,1490.0,267167.0,-14181.0,14181.0,0.0,0.0248,-984379.0,5.0,RISE
2020-05-07,1505.0,1525.0,1530.0,1490.0,307462.0,11986.0,-11986.0,0.0,0.0243,-984379.0,20.0,FALL
2020-05-06,1525.0,1530.0,1550.0,1510.0,210424.0,13868.0,-13868.0,0.0,0.0248,-984379.0,10.0,FALL
2020-05-04,1535.0,1460.0,1555.0,1440.0,537837.0,-53263.0,55263.0,-2000.0,0.0253,-984379.0,55.0,RISE
2020-04-29,1480.0,1425.0,1490.0,1410.0,310874.0,-56169.0,54169.0,2000.0,0.0232,-982379.0,55.0,RISE
2020-04-28,1425.0,1480.0,1485.0,1410.0,190476.0,10351.0,-10351.0,0.0,0.0211,-984379.0,25.0,FALL
2020-04-27,1450.0,1420.0,1460.0,1415.0,165803.0,-60032.0,60969.0,-937.0,0.0223,-984379.0,25.0,RISE
2020-04-24,1425.0,1485.0,1495.0,1400.0,439299.0,55974.0,-54846.0,-1128.0,0.02,-983442.0,55.0,FALL
2020-04-23,1480.0,1490.0,1495.0,1450.0,281681.0,-7154.0,7154.0,0.0,0.0221,-982314.0,25.0,RISE
2020-04-22,1455.0,1420.0,1470.0,1385.0,349660.0,-40253.0,40253.0,0.0,0.0218,-982314.0,0.0,EVEN
2020-04-21,1455.0,1515.0,1525.0,1380.0,642738.0,46735.0,-46735.0,0.0,0.0203,-982314.0,50.0,FALL
2020-04-20,1505.0,1455.0,1550.0,1450.0,660342.0,-31052.0,31052.0,0.0,0.0221,-982314.0,25.0,RISE
2020-04-17,1480.0,1470.0,1505.0,1420.0,544882.0,-31306.0,31306.0,0.0,0.0209,-982314.0,50.0,RISE
2020-04-16,1430.0,1460.0,1460.0,1370.0,667893.0,-32048.0,32048.0,0.0,0.0197,-982314.0,30.0,FALL
2020-04-14,1460.0,1525.0,1750.0,1430.0,8689471.0,263979.0,-263336.0,-643.0,0.0185,-982314.0,95.0,RISE
2020-04-13,1365.0,1340.0,1365.0,1290.0,562152.0,-3886.0,3886.0,0.0,0.0288,-981671.0,25.0,RISE
2020-04-10,1340.0,1400.0,1400.0,1310.0,324361.0,-13522.0,13564.0,-42.0,0.0286,-981671.0,40.0,FALL
2020-04-09,1380.0,1410.0,1410.0,1355.0,304383.0,-42672.0,42672.0,0.0,0.0281,-981629.0,10.0,FALL
2020-04-08,1390.0,1400.0,1410.0,1350.0,161642.0,8322.0,-8322.0,0.0,0.0268,-981629.0,10.0,FALL
2020-04-07,1400.0,1415.0,1435.0,1345.0,452261.0,1894.0,-1894.0,0.0,0.0271,-981629.0,5.0,FALL
2020-04-06,1405.0,1280.0,1405.0,1275.0,565901.0,12602.0,-12294.0,-308.0,0.0272,-981629.0,135.0,RISE
2020-04-03,1270.0,1310.0,1310.0,1215.0,279316.0,9543.0,-9746.0,203.0,0.0277,-981321.0,25.0,RISE
2020-04-02,1245.0,1180.0,1250.0,1120.0,268459.0,6511.0,-6511.0,0.0,0.028,-981524.0,55.0,RISE
2020-04-01,1190.0,1155.0,1240.0,1140.0,393252.0,26937.0,-26937.0,0.0,0.0283,-981524.0,35.0,RISE
2020-03-31,1155.0,1100.0,1185.0,1100.0,246587.0,-4683.0,4683.0,0.0,0.0293,-981524.0,60.0,RISE
2020-03-30,1095.0,1030.0,1110.0,1000.0,309411.0,-77286.0,77286.0,0.0,0.0292,-981524.0,25.0,RISE
2020-03-27,1070.0,1090.0,1135.0,1030.0,388189.0,36906.0,-37063.0,157.0,0.0262,-981524.0,25.0,RISE
2020-03-26,1045.0,1030.0,1085.0,1000.0,298922.0,23125.0,-29125.0,6000.0,0.0276,-981681.0,45.0,RISE
2020-03-25,1000.0,965.0,1040.0,960.0,373374.0,24657.0,-25540.0,883.0,0.0287,-987681.0,70.0,RISE
2020-03-24,930.0,905.0,964.0,890.0,444058.0,34859.0,-34859.0,0.0,0.0297,-988564.0,30.0,RISE
2020-03-23,900.0,960.0,992.0,895.0,261117.0,68440.0,-68440.0,0.0,0.0311,-988564.0,105.0,FALL
2020-03-20,1005.0,931.0,1010.0,931.0,261516.0,-68023.0,70868.0,-2845.0,0.0337,-988564.0,70.0,RISE
2020-03-19,935.0,1125.0,1160.0,901.0,614266.0,-26640.0,26640.0,0.0,0.0356,-985719.0,180.0,FALL
2020-03-18,1115.0,1180.0,1210.0,1115.0,294178.0,3174.0,-3174.0,0.0,0.0348,-985719.0,65.0,FALL
2020-03-17,1180.0,1100.0,1195.0,1090.0,290019.0,-52044.0,52044.0,0.0,0.035,-985719.0,15.0,FALL
2020-03-16,1195.0,1310.0,1380.0,1190.0,485199.0,-86913.0,86912.0,1.0,0.0316,-985719.0,105.0,FALL
2020-03-13,1300.0,1300.0,1375.0,1170.0,582093.0,19019.0,-19019.0,0.0,0.028,-985720.0,155.0,FALL
2020-03-12,1455.0,1525.0,1580.0,1395.0,373011.0,-12297.0,12297.0,0.0,0.0288,-985720.0,100.0,FALL
2020-03-11,1555.0,1665.0,1665.0,1540.0,288451.0,36916.0,-36916.0,0.0,0.0285,-985720.0,110.0,FALL
2020-03-10,1665.0,1580.0,1665.0,1570.0,167164.0,1772.0,-5772.0,4000.0,0.0299,-985720.0,25.0,RISE
2020-03-09,1640.0,1760.0,1760.0,1610.0,303759.0,31203.0,-31203.0,0.0,0.0301,-989720.0,140.0,FALL
2020-03-06,1780.0,1785.0,1800.0,1735.0,114549.0,31776.0,-31776.0,0.0,0.0313,-989720.0,25.0,FALL
2020-03-05,1805.0,1800.0,1820.0,1785.0,127826.0,-12235.0,12235.0,0.0,0.0326,-989720.0,40.0,RISE
2020-03-04,1765.0,1730.0,1770.0,1710.0,79495.0,10741.0,-10741.0,0.0,0.0321,-989720.0,25.0,RISE
2020-03-03,1740.0,1700.0,1770.0,1700.0,244250.0,-10711.0,10711.0,0.0,0.0325,-989720.0,70.0,RISE
2020-03-02,1670.0,1630.0,1690.0,1585.0,267446.0,-101458.0,101458.0,0.0,0.0321,-989720.0,25.0,RISE
2020-02-28,1645.0,1750.0,1760.0,1595.0,474765.0,-17520.0,17520.0,0.0,0.0282,-989720.0,125.0,FALL
2020-02-27,1770.0,1870.0,1880.0,1690.0,294959.0,39493.0,-39491.0,-2.0,0.0275,-989720.0,105.0,FALL
2020-02-26,1875.0,1850.0,1880.0,1835.0,182708.0,37010.0,27990.0,-65000.0,0.0288,-989718.0,25.0,FALL
2020-02-25,1900.0,1880.0,1915.0,1830.0,169691.0,-15390.0,15390.0,0.0,0.0277,-924718.0,35.0,RISE
2020-02-24,1865.0,1880.0,1950.0,1845.0,571396.0,-18415.0,-9085.0,27500.0,0.0271,-924718.0,115.0,FALL
2020-02-21,1980.0,2065.0,2085.0,1980.0,408807.0,34667.0,-34667.0,0.0,0.0294,-952218.0,85.0,FALL
2020-02-20,2065.0,2100.0,2100.0,2045.0,189128.0,-9121.0,9121.0,0.0,0.0265,-952218.0,10.0,FALL
2020-02-19,2075.0,2070.0,2080.0,2035.0,138929.0,-2842.0,2842.0,0.0,0.0261,-952218.0,5.0,RISE
2020-02-18,2070.0,2085.0,2095.0,2050.0,129508.0,17396.0,-17396.0,0.0,0.026,-952218.0,15.0,FALL
2020-02-17,2085.0,2085.0,2090.0,2060.0,144249.0,1961.0,-1961.0,0.0,0.0267,-952218.0,0.0,EVEN
2020-02-14,2085.0,2075.0,2095.0,2050.0,156323.0,-8034.0,8034.0,0.0,0.0268,-952218.0,10.0,RISE
2020-02-13,2075.0,2115.0,2115.0,2075.0,235691.0,21390.0,-21390.0,0.0,0.0264,-952218.0,40.0,FALL
2020-02-12,2115.0,2120.0,2130.0,2070.0,196709.0,-10890.0,10890.0,0.0,0.0273,-952218.0,0.0,EVEN
2020-02-11,2115.0,2140.0,2140.0,2080.0,260567.0,21909.0,-21909.0,0.0,0.0263,-952218.0,25.0,FALL
2020-02-10,2140.0,2180.0,2180.0,2115.0,159535.0,27289.0,-27289.0,0.0,0.0272,-952218.0,0.0,EVEN
2020-02-07,2140.0,2090.0,2145.0,2075.0,228294.0,-18380.0,18380.0,0.0,0.0282,-952218.0,45.0,RISE
2020-02-06,2095.0,2095.0,2115.0,2085.0,203878.0,-15362.0,15362.0,0.0,0.0275,-952218.0,0.0,EVEN
2020-02-05,2095.0,2140.0,2150.0,2070.0,209625.0,10512.0,-10512.0,0.0,0.0264,-952218.0,25.0,FALL
2020-02-04,2120.0,2055.0,2135.0,2055.0,217023.0,-30938.0,30938.0,0.0,0.0268,-952218.0,60.0,RISE
2020-02-03,2060.0,2050.0,2120.0,1950.0,910566.0,-51262.0,43762.0,7500.0,0.0256,-952218.0,80.0,FALL
2020-01-31,2140.0,2200.0,2250.0,2055.0,616285.0,-32049.0,25049.0,7000.0,0.0239,-959718.0,60.0,FALL
2020-01-30,2200.0,2290.0,2320.0,2165.0,610248.0,-6796.0,-16204.0,23000.0,0.0229,-966718.0,80.0,FALL
2020-01-29,2280.0,2410.0,2430.0,2280.0,1508516.0,68588.0,-67588.0,-1000.0,0.0236,-989718.0,95.0,FALL
2020-01-28,2375.0,2140.0,2465.0,2075.0,3792250.0,61568.0,-57568.0,-4000.0,0.0266,-988718.0,170.0,RISE
2020-01-23,2205.0,2190.0,2250.0,2130.0,304380.0,35965.0,-35965.0,0.0,0.0288,-984718.0,25.0,RISE
2020-01-22,2180.0,2150.0,2180.0,2125.0,272893.0,-28651.0,28651.0,0.0,0.0302,-984718.0,55.0,RISE
2020-01-21,2125.0,2125.0,2150.0,2090.0,241352.0,-20403.0,20403.0,0.0,0.0291,-984718.0,15.0,RISE
2020-01-20,2110.0,2125.0,2160.0,2100.0,250309.0,28762.0,-28762.0,0.0,0.0283,-984718.0,5.0,RISE
2020-01-17,2105.0,2105.0,2125.0,2090.0,178044.0,-23038.0,23038.0,0.0,0.0294,-984718.0,15.0,RISE
2020-01-16,2090.0,2085.0,2120.0,2075.0,198412.0,-9830.0,9830.0,0.0,0.0285,-984718.0,5.0,RISE
2020-01-15,2085.0,2055.0,2095.0,2055.0,140688.0,-20655.0,20655.0,0.0,0.0281,-984718.0,25.0,RISE
2020-01-14,2060.0,2070.0,2100.0,2050.0,188794.0,-11318.0,15458.0,-4140.0,0.0273,-984718.0,5.0,RISE
2020-01-13,2055.0,2025.0,2090.0,2020.0,252974.0,-24114.0,39148.0,-15034.0,0.0263,-980578.0,40.0,RISE
2020-01-10,2015.0,1985.0,2030.0,1980.0,137370.0,-14085.0,14085.0,0.0,0.0248,-965544.0,45.0,RISE
2020-01-09,1970.0,1940.0,1990.0,1925.0,148070.0,-32995.0,32995.0,0.0,0.0242,-965544.0,70.0,RISE
2020-01-08,1900.0,2000.0,2020.0,1895.0,432631.0,9284.0,-9284.0,0.0,0.0229,-965544.0,110.0,FALL
2020-01-07,2010.0,1990.0,2035.0,1990.0,110117.0,-19843.0,19843.0,0.0,0.0233,-965544.0,0.0,EVEN
2020-01-06,2010.0,2000.0,2060.0,1975.0,159436.0,20341.0,-20341.0,0.0,0.0225,-965544.0,30.0,FALL
2020-01-03,2040.0,2085.0,2090.0,2010.0,220142.0,6160.0,8773.0,-14933.0,0.0233,-965544.0,20.0,FALL
2020-01-02,2060.0,2040.0,2065.0,2015.0,139254.0,-12236.0,12236.0,0.0,0.023,-950611.0,30.0,RISE
2019-12-30,2030.0,2015.0,2075.0,2005.0,56085.0,-772.0,772.0,0.0,0.0225,-950611.0,5.0,FALL
2019-12-27,2035.0,1975.0,2035.0,1975.0,83450.0,-6562.0,6562.0,0.0,0.0225,-950611.0,60.0,RISE
2019-12-26,1975.0,1985.0,2010.0,1965.0,85574.0,-23786.0,23786.0,0.0,0.0222,-950611.0,10.0,FALL
2019-12-24,1985.0,1995.0,2005.0,1975.0,97166.0,10222.0,-10222.0,0.0,0.0213,-950611.0,10.0,FALL
2019-12-23,1995.0,2000.0,2015.0,1980.0,92083.0,16137.0,-16137.0,0.0,0.0217,-950611.0,0.0,EVEN
2019-12-20,1995.0,1985.0,2010.0,1980.0,90115.0,-15896.0,15896.0,0.0,0.0223,-950611.0,0.0,EVEN
2019-12-19,1995.0,2010.0,2020.0,1990.0,90285.0,-11191.0,11191.0,0.0,0.0217,-950611.0,15.0,FALL
2019-12-18,2010.0,1985.0,2050.0,1985.0,115950.0,-19788.0,19788.0,0.0,0.0213,-950611.0,5.0,RISE
2019-12-17,2005.0,1985.0,2030.0,1985.0,125695.0,-12981.0,12981.0,0.0,0.0205,-950611.0,0.0,EVEN
2019-12-16,2005.0,1960.0,2015.0,1945.0,176755.0,-32720.0,32720.0,0.0,0.02,-950611.0,50.0,RISE
2019-12-13,1955.0,1940.0,1960.0,1930.0,95369.0,-33389.0,33389.0,0.0,0.0187,-950611.0,35.0,RISE
2019-12-12,1920.0,1945.0,1965.0,1910.0,192644.0,-36181.0,21180.0,15001.0,0.0174,-950611.0,5.0,FALL
2019-12-11,1925.0,1950.0,1955.0,1910.0,160305.0,-12840.0,12840.0,0.0,0.0166,-965612.0,20.0,FALL
2019-12-10,1945.0,2000.0,2195.0,1915.0,1442973.0,58320.0,-58320.0,0.0,0.0161,-965612.0,35.0,RISE
2019-12-09,1910.0,1920.0,1955.0,1900.0,57524.0,-5228.0,-4772.0,10000.0,0.0184,-965612.0,0.0,EVEN
2019-12-06,1910.0,1850.0,1910.0,1850.0,50316.0,-16781.0,16781.0,0.0,0.0185,-975612.0,60.0,RISE
2019-12-05,1850.0,1875.0,1895.0,1845.0,85345.0,5162.0,-5162.0,0.0,0.0179,-975612.0,30.0,FALL
2019-12-04,1880.0,1900.0,1915.0,1860.0,64429.0,5494.0,-5494.0,0.0,0.0181,-975612.0,35.0,FALL
2019-12-03,1915.0,1900.0,1915.0,1860.0,69557.0,6807.0,-7342.0,535.0,0.0183,-975612.0,10.0,RISE
2019-12-02,1905.0,1890.0,1925.0,1890.0,62882.0,-7733.0,7733.0,0.0,0.0186,-976147.0,15.0,RISE
2019-11-29,1890.0,1910.0,1930.0,1880.0,74114.0,6720.0,-6720.0,0.0,0.0183,-976147.0,20.0,FALL
2019-11-28,1910.0,1925.0,1950.0,1895.0,71272.0,695.0,-695.0,0.0,0.0186,-976147.0,10.0,FALL
2019-11-27,1920.0,1930.0,1930.0,1895.0,86401.0,12009.0,-12009.0,0.0,0.0186,-976147.0,10.0,FALL
2019-11-26,1930.0,1910.0,1930.0,1880.0,63055.0,-4750.0,4750.0,0.0,0.0191,-976147.0,30.0,RISE
2019-11-25,1900.0,1880.0,1930.0,1880.0,58411.0,-4734.0,4734.0,0.0,0.0189,-976147.0,30.0,RISE
2019-11-22,1870.0,1870.0,1930.0,1855.0,128813.0,3401.0,-3285.0,-116.0,0.0187,-976147.0,10.0,RISE
2019-11-21,1860.0,1930.0,1955.0,1850.0,201847.0,9157.0,-4157.0,-5000.0,0.0188,-976031.0,70.0,FALL
2019-11-20,1930.0,2000.0,2005.0,1925.0,268274.0,50810.0,-50810.0,0.0,0.019,-971031.0,70.0,FALL
2019-11-19,2000.0,2025.0,2045.0,1990.0,110672.0,12236.0,-12236.0,0.0,0.021,-971031.0,10.0,FALL
2019-11-18,2010.0,1965.0,2035.0,1960.0,561297.0,-60528.0,44477.0,16051.0,0.0215,-971031.0,75.0,FALL
2019-11-15,2085.0,2130.0,2130.0,2080.0,165471.0,-1693.0,1693.0,0.0,0.0197,-987082.0,50.0,FALL
2019-11-14,2135.0,2140.0,2160.0,2120.0,81740.0,-764.0,764.0,0.0,0.0197,-987082.0,5.0,FALL
2019-11-13,2140.0,2180.0,2190.0,2115.0,222538.0,7947.0,53.0,-8000.0,0.0196,-987082.0,40.0,FALL
2019-11-12,2180.0,2195.0,2205.0,2160.0,119965.0,-15030.0,15030.0,0.0,0.0196,-979082.0,5.0,FALL
2019-11-11,2185.0,2230.0,2230.0,2155.0,167360.0,-965.0,5027.0,-4062.0,0.019,-979082.0,25.0,FALL
2019-11-08,2210.0,2205.0,2265.0,2195.0,210332.0,6120.0,-6120.0,0.0,0.0189,-975020.0,5.0,RISE
