,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,15550.0,14450.0,16750.0,14250.0,1191598.0,2489,-2816,327,0.0025,-700573,1350.0,RISE
2020-06-04,14200.0,14200.0,14450.0,14000.0,55196.0,-2415,2415,0,0.0031,-700900,50.0,RISE
2020-06-03,14150.0,14550.0,14650.0,14000.0,61354.0,17223,-1260,-15963,0.0026,-700900,200.0,FALL
2020-06-02,14350.0,14300.0,14500.0,14000.0,70125.0,-2061.0,2061.0,0.0,0.0028,-684937.0,150.0,FALL
2020-06-01,14500.0,13750.0,14950.0,13450.0,150639.0,1266.0,-1266.0,0.0,0.0024,-684937.0,600.0,RISE
2020-05-29,13900.0,13700.0,14200.0,13600.0,42539.0,-2625.0,2625.0,0.0,0.0027,-684937.0,100.0,FALL
2020-05-28,14000.0,14950.0,14950.0,13700.0,94355.0,-476.0,476.0,0.0,0.0021,-684937.0,400.0,FALL
2020-05-27,14400.0,14850.0,15150.0,14100.0,176522.0,2665.0,-2665.0,0.0,0.002,-684937.0,100.0,RISE
2020-05-26,14300.0,14900.0,15000.0,13900.0,296415.0,-3366.0,3366.0,0.0,0.0026,-684937.0,100.0,RISE
2020-05-25,14200.0,13600.0,14250.0,13150.0,124109.0,-604.0,700.0,-96.0,0.0019,-684937.0,450.0,RISE
2020-05-22,13750.0,13550.0,13900.0,13450.0,68938.0,-1587.0,1587.0,0.0,0.0017,-684841.0,50.0,FALL
2020-05-20,13250.0,13000.0,13400.0,12700.0,105257.0,-11708.0,11708.0,0.0,0.004,-684841.0,50.0,FALL
2020-05-19,13300.0,14450.0,15550.0,13100.0,592917.0,-12306.0,63.0,12243.0,0.0015,-684841.0,900.0,RISE
2020-05-18,12400.0,11400.0,13550.0,11200.0,610705.0,5030.0,-9235.0,4205.0,0.0015,-697084.0,1350.0,RISE
2020-05-15,11050.0,11350.0,11550.0,10950.0,44948.0,-1022.0,1022.0,0.0,0.0034,-701289.0,300.0,FALL
2020-05-14,11350.0,11500.0,11950.0,11350.0,51105.0,4489.0,-4489.0,0.0,0.0032,-701289.0,200.0,FALL
2020-05-13,11550.0,11350.0,11650.0,11150.0,41657.0,-2570.0,2570.0,0.0,0.0042,-701289.0,200.0,FALL
2020-05-12,11750.0,12050.0,12150.0,11450.0,46910.0,-6228.0,6228.0,0.0,0.0036,-701289.0,350.0,FALL
2020-05-11,12100.0,12300.0,12300.0,11750.0,64850.0,-2815.0,2860.0,-45.0,0.0023,-701289.0,300.0,FALL
2020-05-08,12400.0,12650.0,12700.0,12300.0,98046.0,-719.0,749.0,-30.0,0.0017,-701244.0,0.0,EVEN
2020-05-07,12400.0,12550.0,12550.0,12200.0,61540.0,3851.0,-3851.0,0.0,0.0016,-701214.0,100.0,FALL
2020-05-06,12500.0,12400.0,12750.0,12250.0,156208.0,6927.0,-6972.0,45.0,0.0024,-701214.0,50.0,RISE
2020-05-04,12450.0,12600.0,12600.0,11700.0,197679.0,8711.0,-8711.0,0.0,0.0038,-701259.0,50.0,FALL
2020-04-29,12500.0,13900.0,13950.0,12300.0,522625.0,12525.0,-12525.0,0.0,0.0057,-701259.0,1250.0,FALL
2020-04-28,13750.0,11050.0,14200.0,10950.0,1867229.0,98827.0,-2254.0,-96573.0,0.0083,-701259.0,2800.0,RISE
2020-04-27,10950.0,10800.0,11000.0,10650.0,23261.0,-3592.0,3592.0,0.0,0.0088,-604686.0,0.0,EVEN
2020-04-24,10950.0,11350.0,11400.0,10900.0,17561.0,5079.0,-5079.0,0.0,0.008,-604686.0,250.0,FALL
2020-04-23,11200.0,11050.0,11300.0,10950.0,26381.0,4611.0,-4611.0,0.0,0.0091,-604686.0,150.0,RISE
2020-04-22,11050.0,10550.0,11100.0,10350.0,24805.0,3313.0,-3313.0,0.0,0.01,-604686.0,150.0,RISE
2020-04-21,10900.0,11000.0,11200.0,10500.0,49806.0,1595.0,-1595.0,0.0,0.0107,-604686.0,100.0,FALL
2020-04-20,11000.0,10650.0,11300.0,10500.0,58886.0,-6192.0,10192.0,-4000.0,0.0111,-604686.0,600.0,RISE
2020-04-17,10400.0,10400.0,10500.0,10250.0,29286.0,-1489.0,4489.0,-3000.0,0.0089,-600686.0,300.0,RISE
2020-04-16,10100.0,10200.0,10250.0,10000.0,22080.0,-3770.0,3770.0,0.0,0.008,-597686.0,100.0,FALL
2020-04-14,10200.0,10400.0,10400.0,10100.0,18600.0,1104.0,1762.0,-2866.0,0.0072,-597686.0,100.0,RISE
2020-04-13,10100.0,10550.0,10550.0,10100.0,22215.0,2753.0,-2753.0,0.0,0.0068,-594820.0,450.0,FALL
2020-04-10,10550.0,10900.0,10900.0,10000.0,47310.0,3984.0,-3987.0,3.0,0.0074,-594820.0,150.0,RISE
2020-04-09,10400.0,9960.0,10850.0,9960.0,80855.0,3711.0,2486.0,-6197.0,0.0082,-594823.0,450.0,RISE
2020-04-08,9950.0,9240.0,9970.0,9000.0,62305.0,4227.0,-1225.0,-3002.0,0.0077,-588626.0,720.0,RISE
2020-04-07,9230.0,9440.0,9450.0,8850.0,54551.0,3787.0,-2785.0,-1002.0,0.008,-585624.0,690.0,RISE
2020-04-06,8540.0,8280.0,8540.0,8050.0,21841.0,-6295.0,6296.0,-1.0,0.0086,-584622.0,260.0,RISE
2020-04-03,8280.0,8210.0,8400.0,8100.0,10417.0,2536.0,-2552.0,16.0,0.0072,-584621.0,80.0,RISE
2020-04-02,8200.0,8140.0,8340.0,7920.0,11514.0,-1335.0,1336.0,-1.0,0.0078,-584637.0,30.0,RISE
2020-04-01,8170.0,8250.0,8690.0,8000.0,37408.0,2440.0,-357.0,-2083.0,0.0075,-584636.0,140.0,FALL
2020-03-31,8310.0,8300.0,8450.0,8100.0,31325.0,1553.0,-1319.0,-234.0,0.0076,-582553.0,220.0,RISE
2020-03-30,8090.0,7750.0,8090.0,7320.0,24635.0,-407.0,410.0,-3.0,0.0079,-582319.0,190.0,RISE
2020-03-27,7900.0,8330.0,9150.0,7600.0,93338.0,6391.0,-3252.0,-3139.0,0.0078,-582316.0,0.0,EVEN
2020-03-26,7900.0,6760.0,8710.0,6400.0,126108.0,10318.0,-5361.0,-4957.0,0.0085,-579177.0,1200.0,RISE
2020-03-25,6700.0,6400.0,6900.0,6200.0,30356.0,2435.0,3516.0,-5951.0,0.0096,-574220.0,650.0,RISE
2020-03-24,6050.0,5720.0,6060.0,5720.0,22229.0,-292.0,5530.0,-5238.0,0.0088,-568269.0,330.0,RISE
2020-03-23,5720.0,6000.0,6070.0,5430.0,32683.0,3189.0,-190.0,-2999.0,0.0077,-563031.0,830.0,FALL
2020-03-20,6550.0,6340.0,6940.0,6250.0,22528.0,-2919.0,2922.0,-3.0,0.0077,-560032.0,150.0,RISE
2020-03-19,6400.0,7780.0,8000.0,6200.0,26285.0,3420.0,-3420.0,0.0,0.0071,-560029.0,1380.0,FALL
2020-03-18,7780.0,8130.0,8130.0,7740.0,11198.0,2607.0,-2612.0,5.0,0.0078,-560029.0,80.0,FALL
2020-03-17,7860.0,7060.0,8100.0,7060.0,19211.0,-5303.0,6312.0,-1009.0,0.0084,-560034.0,190.0,FALL
2020-03-16,8050.0,8170.0,8600.0,8050.0,27481.0,410.0,-409.0,-1.0,0.006999999999999999,-559025.0,380.0,FALL
2020-03-13,8430.0,8140.0,9000.0,7780.0,60390.0,-10861.0,10867.0,-6.0,0.0079,-559024.0,1260.0,FALL
2020-03-12,9690.0,10750.0,10750.0,9510.0,34899.0,3522.0,-3522.0,0.0,0.0059,-559018.0,1010.0,FALL
2020-03-11,10700.0,11000.0,11200.0,10600.0,12891.0,33.0,-31.0,-2.0,0.0067,-559018.0,500.0,FALL
2020-03-10,11200.0,10950.0,11200.0,10800.0,16867.0,993.0,-966.0,-27.0,0.0063,-559016.0,50.0,FALL
2020-03-09,11250.0,11150.0,11600.0,11000.0,20462.0,-91.0,85.0,6.0,0.0065,-558989.0,400.0,FALL
2020-03-06,11650.0,12000.0,12000.0,11500.0,15137.0,1149.0,-1152.0,3.0,0.0065,-558995.0,400.0,FALL
2020-03-05,12050.0,11750.0,12150.0,11600.0,42270.0,-5010.0,5032.0,-22.0,0.0067,-558998.0,450.0,RISE
2020-03-04,11600.0,11100.0,11600.0,11000.0,18741.0,-1325.0,1354.0,-29.0,0.0057,-558976.0,450.0,RISE
2020-03-03,11150.0,11300.0,11400.0,11050.0,19727.0,-2370.0,2383.0,-13.0,0.0054,-558947.0,150.0,RISE
2020-03-02,11000.0,11800.0,11800.0,11000.0,30954.0,597.0,-584.0,-13.0,0.0049,-558934.0,850.0,FALL
2020-02-28,11850.0,11800.0,12000.0,11100.0,49868.0,1418.0,-1426.0,8.0,0.005,-558921.0,350.0,FALL
2020-02-27,12200.0,12550.0,12600.0,12100.0,20536.0,1508.0,-1481.0,-27.0,0.0053,-558929.0,450.0,FALL
2020-02-26,12650.0,12650.0,12700.0,12400.0,12855.0,411.0,-414.0,3.0,0.0056,-558902.0,0.0,EVEN
2020-02-25,12650.0,12300.0,12800.0,12300.0,25092.0,-4468.0,4454.0,14.0,0.0057,-558905.0,100.0,RISE
2020-02-24,12550.0,12550.0,13150.0,12450.0,18422.0,676.0,-628.0,-48.0,0.0048,-558919.0,600.0,FALL
2020-02-21,13150.0,13300.0,13400.0,12900.0,14758.0,1530.0,-1524.0,-6.0,0.0049,-558871.0,250.0,FALL
2020-02-20,13400.0,13900.0,14100.0,13250.0,11887.0,1311.0,-1309.0,-2.0,0.0052,-558865.0,400.0,FALL
2020-02-19,13800.0,13950.0,14000.0,13400.0,7694.0,1670.0,-1665.0,-5.0,0.0055,-558863.0,150.0,FALL
2020-02-18,13950.0,14200.0,14300.0,13750.0,11481.0,904.0,-805.0,-99.0,0.0058,-558858.0,250.0,FALL
2020-02-17,14200.0,14300.0,14300.0,13900.0,11230.0,358.0,-363.0,5.0,0.006,-558759.0,100.0,FALL
2020-02-14,14300.0,14300.0,14500.0,14050.0,15605.0,-423.0,407.0,16.0,0.0061,-558764.0,0.0,EVEN
2020-02-13,14300.0,14100.0,14450.0,14100.0,20469.0,-1291.0,1275.0,16.0,0.005,-558780.0,150.0,RISE
2020-02-12,14150.0,14000.0,14150.0,13650.0,10587.0,-1614.0,1595.0,19.0,0.0047,-558796.0,250.0,RISE
2020-02-11,13900.0,14000.0,14000.0,13700.0,10251.0,-300.0,288.0,12.0,0.0043,-558815.0,100.0,FALL
2020-02-10,14000.0,13900.0,14000.0,13500.0,5267.0,986.0,-1004.0,18.0,0.0043,-558827.0,100.0,RISE
2020-02-07,13900.0,14000.0,14100.0,13700.0,5692.0,103.0,-111.0,8.0,0.0045,-558845.0,0.0,EVEN
2020-02-06,13900.0,13950.0,14000.0,13700.0,7053.0,-444.0,299.0,145.0,0.0045,-558853.0,200.0,RISE
2020-02-05,13700.0,13950.0,13950.0,13600.0,8098.0,378.0,-389.0,11.0,0.0045,-558998.0,50.0,FALL
2020-02-04,13750.0,13200.0,13900.0,13200.0,17518.0,-2846.0,2739.0,107.0,0.0045,-559009.0,350.0,RISE
2020-02-03,13400.0,12900.0,13400.0,12550.0,23801.0,-1603.0,1599.0,4.0,0.004,-559116.0,100.0,FALL
2020-01-31,13500.0,13650.0,13650.0,13350.0,11233.0,1864.0,-1866.0,2.0,0.0036,-559120.0,150.0,FALL
2020-01-30,13650.0,13750.0,13850.0,13350.0,18322.0,509.0,-511.0,2.0,0.004,-559122.0,450.0,FALL
2020-01-29,14100.0,14050.0,14150.0,13500.0,14614.0,-860.0,-302.0,1162.0,0.0041,-559124.0,300.0,RISE
2020-01-28,13800.0,14200.0,14350.0,13300.0,54022.0,495.0,-500.0,5.0,0.0042,-560286.0,1150.0,FALL
2020-01-23,14950.0,14900.0,15050.0,14700.0,6417.0,-585.0,-433.0,1018.0,0.0043,-560291.0,100.0,FALL
2020-01-22,15050.0,14900.0,15200.0,14850.0,13709.0,-2723.0,2820.0,-97.0,0.0044,-561309.0,200.0,RISE
2020-01-21,14850.0,15150.0,15350.0,14850.0,10307.0,652.0,-406.0,-246.0,0.0038,-561212.0,300.0,FALL
2020-01-20,15150.0,15450.0,15750.0,15100.0,13879.0,-872.0,805.0,67.0,0.0039,-560966.0,450.0,FALL
2020-01-17,15600.0,15900.0,15900.0,15500.0,10972.0,-914.0,913.0,1.0,0.0037,-561033.0,100.0,FALL
