,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5500.0,0.0,0.0,0.0,0.0,0,0,0,0.0,967385,0.0,EVEN
2020-06-04,5500.0,0.0,0.0,0.0,0.0,0,0,0,0.0205,967385,0.0,EVEN
2020-06-03,5500.0,0.0,0.0,0.0,0.0,0,0,0,0.0205,967385,0.0,EVEN
2020-06-02,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967385.0,0.0,EVEN
2020-06-01,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,967385.0,0.0,EVEN
2020-05-28,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203,967385.0,0.0,EVEN
2020-05-21,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967389.0,0.0,EVEN
2019-07-29,5500.0,6400.0,6550.0,5400.0,2464724.0,65214.0,-30671.0,-34543.0,0.0223,967389.0,750.0,FALL
2019-07-26,6250.0,7620.0,7790.0,5690.0,11117381.0,-77661.0,77166.0,495.0,0.024,1001932.0,1870.0,FALL
2019-07-25,8120.0,8390.0,8450.0,8080.0,237966.0,3044.0,-3044.0,0.0,0.0186,1001437.0,290.0,FALL
2019-07-24,8410.0,8640.0,8650.0,8230.0,442966.0,12724.0,-12724.0,0.0,0.0186,1001437.0,270.0,FALL
2019-07-23,8680.0,8520.0,8860.0,8330.0,1281755.0,29482.0,-29482.0,0.0,0.0194,1001437.0,160.0,RISE
2019-07-22,8520.0,8340.0,8550.0,8100.0,361206.0,23624.0,-23624.0,0.0,0.0212,1001437.0,170.0,RISE
2019-07-19,8350.0,8600.0,8670.0,8280.0,576508.0,-28941.0,28941.0,0.0,0.0222,1001437.0,410.0,FALL
2019-07-18,8760.0,8180.0,9390.0,8100.0,1836848.0,79873.0,-79873.0,0.0,0.0203,1001437.0,560.0,RISE
2019-07-17,8200.0,8370.0,8490.0,7990.0,105145.0,3432.0,-3432.0,0.0,0.0255,1001437.0,150.0,FALL
2019-07-16,8350.0,8500.0,8540.0,8300.0,113114.0,3410.0,-3410.0,0.0,0.0261,1001437.0,120.0,FALL
2019-07-15,8470.0,8280.0,8570.0,8240.0,108037.0,-18512.0,18512.0,0.0,0.0264,1001437.0,40.0,RISE
2019-07-12,8430.0,8420.0,8450.0,8300.0,48177.0,-2515.0,2515.0,0.0,0.0252,1001437.0,40.0,RISE
2019-07-11,8390.0,8150.0,8450.0,8000.0,159814.0,51244.0,-51244.0,0.0,0.025,1001437.0,270.0,RISE
2019-07-10,8120.0,7960.0,8180.0,7960.0,84651.0,-476.0,476.0,0.0,0.0283,1001437.0,170.0,RISE
2019-07-09,7950.0,8160.0,8160.0,7910.0,130728.0,15014.0,-15014.0,0.0,0.0281,1001437.0,210.0,FALL
2019-07-08,8160.0,8400.0,8400.0,8090.0,109820.0,11556.0,-11556.0,0.0,0.0291,1001437.0,240.0,FALL
2019-07-05,8400.0,8350.0,8450.0,8290.0,40480.0,6683.0,-6683.0,0.0,0.0298,1001437.0,60.0,RISE
