,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2785.0,2800.0,2815.0,2705.0,371540.0,57011,-57011,0,0.0481,-3744105,50.0,FALL
2020-06-04,2835.0,2635.0,2895.0,2635.0,1600118.0,-53675,64301,-10626,0.0506,-3744105,200.0,RISE
2020-06-03,2635.0,2700.0,2710.0,2600.0,203250.0,48650,-43650,-5000,0.0478,-3733479,35.0,FALL
2020-06-02,2670.0,2630.0,2700.0,2620.0,177709.0,-4021.0,9021.0,-5000.0,0.0497,-3764109.0,40.0,RISE
2020-06-01,2630.0,2565.0,2670.0,2560.0,136283.0,-32119.0,32119.0,0.0,0.0493,-3759109.0,50.0,RISE
2020-05-29,2580.0,2640.0,2640.0,2500.0,229851.0,-2738.0,2738.0,0.0,0.0479,-3759109.0,40.0,FALL
2020-05-28,2620.0,2780.0,2780.0,2545.0,380931.0,128281.0,-118281.0,-10000.0,0.0478,-3759109.0,135.0,FALL
2020-05-27,2755.0,2725.0,2845.0,2675.0,345204.0,677.0,-677.0,0.0,0.053,-3749109.0,60.0,RISE
2020-05-26,2695.0,2660.0,2745.0,2635.0,294999.0,-82477.0,82477.0,0.0,0.053,-3749109.0,35.0,RISE
2020-05-25,2660.0,2615.0,2690.0,2615.0,186770.0,-24721.0,24721.0,0.0,0.0494,-3749109.0,25.0,RISE
2020-05-22,2635.0,2705.0,2740.0,2585.0,300555.0,75883.0,-56883.0,-19000.0,0.0483,-3749109.0,65.0,FALL
2020-05-21,2700.0,2730.0,2830.0,2670.0,704406.0,-43750.0,43750.0,0.0,0.0491,-4088177.0,90.0,RISE
2020-05-20,2610.0,2520.0,2685.0,2520.0,408610.0,-60702.0,60702.0,0.0,0.0471,-4088177.0,100.0,RISE
2020-05-19,2510.0,2415.0,2535.0,2415.0,374610.0,-94644.0,94644.0,0.0,0.0419,-4088177.0,115.0,RISE
2020-05-18,2395.0,2390.0,2425.0,2315.0,177506.0,-31576.0,31576.0,0.0,0.0377,-4088177.0,15.0,RISE
2020-05-15,2380.0,2450.0,2450.0,2370.0,178979.0,3802.0,-3802.0,0.0,0.0363,-4088177.0,60.0,FALL
2020-05-14,2440.0,2420.0,2455.0,2380.0,148278.0,-6066.0,6066.0,0.0,0.0365,-4088177.0,10.0,FALL
2020-05-13,2450.0,2395.0,2465.0,2350.0,203519.0,-6387.0,6387.0,0.0,0.0362,-4088177.0,25.0,RISE
2020-05-12,2425.0,2545.0,2555.0,2375.0,353712.0,68193.0,-68193.0,0.0,0.0359,-4088177.0,120.0,FALL
2020-05-11,2545.0,2645.0,2675.0,2510.0,245755.0,91002.0,-71002.0,-20000.0,0.039,-4088177.0,105.0,FALL
2020-05-08,2650.0,2590.0,2650.0,2570.0,245510.0,-67694.0,67694.0,0.0,0.0421,-4068177.0,85.0,RISE
2020-05-07,2565.0,2580.0,2590.0,2545.0,195591.0,-45574.0,45574.0,0.0,0.0391,-4068177.0,15.0,RISE
2020-05-06,2550.0,2540.0,2555.0,2510.0,184122.0,-11872.0,11872.0,0.0,0.0371,-4068177.0,10.0,RISE
2020-05-04,2540.0,2560.0,2575.0,2490.0,200264.0,-7358.0,45858.0,-38500.0,0.0367,-4068177.0,20.0,FALL
2020-04-29,2560.0,2590.0,2600.0,2535.0,173786.0,-24246.0,-14254.0,38500.0,0.0346,-4029677.0,30.0,FALL
2020-04-28,2590.0,2630.0,2670.0,2545.0,236575.0,17199.0,-2199.0,-15000.0,0.0353,-4068177.0,45.0,FALL
2020-04-27,2635.0,2630.0,2660.0,2605.0,154085.0,-39257.0,39257.0,0.0,0.0354,-4053177.0,5.0,RISE
2020-04-24,2630.0,2730.0,2760.0,2610.0,280808.0,24732.0,-19732.0,-5000.0,0.0336,-4053177.0,100.0,FALL
2020-04-23,2730.0,2740.0,2845.0,2690.0,452474.0,26963.0,-26963.0,0.0,0.0358,-4048177.0,5.0,FALL
2020-04-22,2735.0,2655.0,2750.0,2655.0,248017.0,30025.0,-30025.0,0.0,0.037000000000000005,-4048177.0,45.0,FALL
2020-04-21,2780.0,2740.0,2780.0,2525.0,576045.0,38545.0,-38545.0,0.0,0.0384,-4048177.0,15.0,RISE
2020-04-20,2765.0,2670.0,2785.0,2595.0,441641.0,-9799.0,9799.0,0.0,0.0409,-4048177.0,95.0,RISE
2020-04-17,2670.0,2555.0,2925.0,2500.0,2121688.0,258903.0,-258203.0,-700.0,0.0405,-4048177.0,235.0,RISE
2020-04-16,2435.0,2270.0,2435.0,2265.0,229911.0,-39998.0,39999.0,-1.0,0.0519,-4047477.0,130.0,RISE
2020-04-14,2305.0,2275.0,2355.0,2265.0,160685.0,-50763.0,50763.0,0.0,0.0501,-4047476.0,35.0,RISE
2020-04-13,2270.0,2350.0,2350.0,2175.0,238654.0,-9992.0,9992.0,0.0,0.0479,-4047476.0,80.0,FALL
2020-04-10,2350.0,2490.0,2490.0,2250.0,325451.0,13220.0,-13220.0,0.0,0.0474,-4047476.0,60.0,FALL
2020-04-09,2410.0,2350.0,2440.0,2345.0,284408.0,-5912.0,5912.0,0.0,0.048,-4047476.0,95.0,RISE
2020-04-08,2315.0,2255.0,2350.0,2185.0,320397.0,-40641.0,60641.0,-20000.0,0.0477,-4047476.0,55.0,RISE
2020-04-07,2260.0,2350.0,2355.0,2200.0,450022.0,46657.0,-6657.0,-40000.0,0.0451,-4027476.0,15.0,RISE
2020-04-06,2245.0,2150.0,2255.0,2105.0,260206.0,-5467.0,5467.0,0.0,0.0454,-3987476.0,95.0,RISE
2020-04-03,2150.0,2150.0,2170.0,2090.0,399668.0,-27559.0,27559.0,0.0,0.0451,-3987476.0,55.0,RISE
2020-04-02,2095.0,2025.0,2115.0,1975.0,276050.0,-41595.0,41595.0,0.0,0.0439,-3987476.0,30.0,RISE
2020-04-01,2065.0,2100.0,2145.0,2010.0,432890.0,-24834.0,24834.0,0.0,0.0424,-3987476.0,15.0,FALL
2020-03-31,2080.0,2000.0,2140.0,1970.0,936955.0,-181613.0,79287.0,102326.0,0.0413,-3987476.0,5.0,RISE
2020-03-30,2075.0,1935.0,2080.0,1865.0,426875.0,24039.0,-74039.0,50000.0,0.0378,-4089802.0,75.0,RISE
2020-03-27,2000.0,1970.0,2115.0,1880.0,850891.0,24047.0,-24047.0,0.0,0.0411,-4139802.0,160.0,RISE
2020-03-26,1840.0,1715.0,1955.0,1670.0,667496.0,39870.0,-39870.0,0.0,0.0424,-4139802.0,125.0,RISE
2020-03-25,1715.0,1625.0,1740.0,1600.0,702380.0,-90377.0,90377.0,0.0,0.0413,-4139802.0,165.0,RISE
2020-03-24,1550.0,1505.0,1580.0,1500.0,400301.0,-91482.0,91482.0,0.0,0.037000000000000005,-4139802.0,80.0,RISE
2020-03-23,1470.0,1525.0,1560.0,1450.0,496084.0,1409.0,-1409.0,0.0,0.0329,-4139802.0,200.0,FALL
2020-03-20,1670.0,1530.0,1790.0,1510.0,530737.0,-6729.0,6729.0,0.0,0.033,-4139802.0,125.0,RISE
2020-03-19,1545.0,1960.0,2020.0,1530.0,1009807.0,-116832.0,117832.0,-1000.0,0.0331,-4139802.0,435.0,FALL
2020-03-18,1980.0,2145.0,2200.0,1980.0,361508.0,-7583.0,-17417.0,25000.0,0.0279,-4138802.0,155.0,FALL
2020-03-17,2135.0,1980.0,2240.0,1960.0,541589.0,-134022.0,134019.0,3.0,0.0271,-4163802.0,90.0,FALL
2020-03-16,2225.0,2400.0,2510.0,2225.0,1354902.0,-98007.0,98006.0,1.0,0.022,-4163805.0,230.0,FALL
2020-03-13,2455.0,2400.0,2520.0,2180.0,822416.0,-57935.0,57935.0,0.0,0.0207,-4163806.0,180.0,FALL
