,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,24800.0,24750.0,25150.0,24500.0,225068.0,14967,38990,-53957,0.1649,-658380,100.0,RISE
2020-06-04,24700.0,25000.0,25250.0,24500.0,296935.0,30537,19913,-50450,0.1638,-604423,300.0,FALL
2020-06-03,25000.0,25950.0,26050.0,24900.0,439671.0,112915,-52040,-60875,0.1632,-553973,850.0,FALL
2020-06-02,25850.0,25800.0,26000.0,25350.0,226032.0,-9136.0,-5077.0,14213.0,0.1647,-501292.0,300.0,RISE
2020-06-01,25550.0,25100.0,25550.0,24850.0,164355.0,1179.0,-7014.0,5835.0,0.1649,-515505.0,450.0,RISE
2020-05-29,25100.0,25400.0,25650.0,25050.0,239305.0,-6268.0,-6925.0,13193.0,0.1651,-521340.0,350.0,FALL
2020-05-28,25450.0,25400.0,25550.0,24900.0,350895.0,11059.0,35024.0,-46083.0,0.1653,-534533.0,150.0,FALL
2020-05-27,25600.0,25500.0,25600.0,25200.0,173653.0,-13046.0,14916.0,-1870.0,0.1643,-488450.0,100.0,RISE
2020-05-26,25500.0,26150.0,26200.0,25200.0,367519.0,86805.0,8329.0,-95134.0,0.1646,-486580.0,650.0,FALL
2020-05-25,26150.0,26150.0,26650.0,25800.0,257034.0,20207.0,-1800.0,-18407.0,0.1643,-391446.0,200.0,RISE
2020-05-22,25950.0,26050.0,26350.0,25500.0,306000.0,-52452.0,37286.0,15166.0,0.1644,-373039.0,450.0,FALL
2020-05-21,26400.0,26400.0,26600.0,25650.0,396990.0,21103.0,-6884.0,-14219.0,0.1633,210525.0,150.0,RISE
2020-05-20,26250.0,25000.0,26300.0,24900.0,756340.0,-178511.0,191552.0,-13041.0,0.1635,224744.0,1600.0,RISE
2020-05-19,24650.0,25850.0,26400.0,24650.0,702213.0,96660.0,23863.0,-120523.0,0.158,237785.0,1100.0,FALL
2020-05-18,25750.0,25750.0,26550.0,25150.0,743139.0,-65509.0,40266.0,25243.0,0.1573,358308.0,700.0,FALL
2020-05-15,26450.0,27000.0,28000.0,26000.0,924898.0,67562.0,-31339.0,-36223.0,0.1561,333065.0,100.0,RISE
2020-05-14,26350.0,25600.0,27000.0,25250.0,534814.0,-14135.0,-9272.0,23407.0,0.157,369288.0,500.0,RISE
2020-05-13,25850.0,24100.0,25850.0,23950.0,605235.0,-65739.0,5811.0,59928.0,0.1573,345881.0,1450.0,RISE
2020-05-12,24400.0,23600.0,24550.0,22950.0,468678.0,800.0,-91171.0,90371.0,0.1571,285953.0,800.0,RISE
2020-05-11,23600.0,23850.0,24000.0,23300.0,220338.0,-34878.0,-18246.0,53124.0,0.1597,195582.0,150.0,FALL
2020-05-08,23750.0,24350.0,24500.0,23250.0,476352.0,72964.0,-95723.0,22759.0,0.1602,142458.0,250.0,FALL
2020-05-07,24000.0,23100.0,24450.0,22750.0,579241.0,-124678.0,-1178.0,125856.0,0.163,119699.0,800.0,RISE
2020-05-06,23200.0,21900.0,23200.0,21450.0,430642.0,46642.0,-64565.0,17923.0,0.163,-6157.0,1700.0,RISE
2020-05-04,21500.0,21350.0,21950.0,20850.0,253485.0,41129.0,-6984.0,-34145.0,0.1649,-24080.0,400.0,FALL
2020-04-29,21900.0,22350.0,22500.0,21750.0,191542.0,31861.0,-30342.0,-1519.0,0.1651,10065.0,500.0,FALL
2020-04-28,22400.0,22750.0,22800.0,22100.0,245153.0,-25961.0,-32041.0,58002.0,0.1658,11584.0,50.0,FALL
2020-04-27,22450.0,21650.0,22750.0,21450.0,501327.0,-141630.0,-40951.0,182581.0,0.1668,-46418.0,1100.0,RISE
2020-04-24,21350.0,19950.0,21750.0,19600.0,686396.0,-174237.0,-59305.0,233542.0,0.1679,-228999.0,1350.0,RISE
2020-04-23,20000.0,19100.0,20000.0,18950.0,240192.0,-42455.0,17439.0,25016.0,0.1696,-462541.0,1100.0,RISE
2020-04-22,18900.0,18900.0,18950.0,18600.0,164504.0,10819.0,1210.0,-12029.0,0.1691,-487557.0,150.0,FALL
2020-04-21,19050.0,19100.0,19250.0,18450.0,283672.0,-39560.0,31142.0,8418.0,0.1691,-475528.0,150.0,FALL
2020-04-20,19200.0,19400.0,19600.0,19100.0,192974.0,12382.0,10003.0,-22385.0,0.1676,-483946.0,250.0,FALL
2020-04-17,19450.0,19750.0,19900.0,19350.0,272599.0,57345.0,-12650.0,-44695.0,0.1672,-461561.0,100.0,FALL
2020-04-16,19550.0,19300.0,19650.0,18800.0,229681.0,-27399.0,8504.0,18895.0,0.1675,-416866.0,0.0,EVEN
2020-04-14,19550.0,19950.0,19950.0,19450.0,220411.0,-14191.0,-40753.0,54944.0,0.1672,-435761.0,100.0,FALL
2020-04-13,19650.0,18900.0,19900.0,18650.0,368857.0,-90085.0,21862.0,68223.0,0.1684,-490705.0,800.0,RISE
2020-04-10,18850.0,18900.0,19100.0,18600.0,226366.0,23294.0,10885.0,-34179.0,0.1678,-558928.0,250.0,FALL
2020-04-09,19100.0,19250.0,19300.0,18850.0,353530.0,4932.0,9583.0,-14515.0,0.1675,-524749.0,300.0,RISE
2020-04-08,18800.0,18850.0,19300.0,18700.0,222854.0,16050.0,-9710.0,-6340.0,0.1673,-510234.0,300.0,FALL
2020-04-07,19100.0,19500.0,19550.0,18700.0,312071.0,-4964.0,1502.0,3462.0,0.1676,-503894.0,100.0,FALL
2020-04-06,19200.0,19100.0,19750.0,18900.0,375498.0,-19933.0,8948.0,10985.0,0.1675,-507356.0,500.0,RISE
2020-04-03,18700.0,20100.0,21800.0,18250.0,1037570.0,235249.0,-50506.0,-184743.0,0.1673,-518341.0,250.0,RISE
2020-04-02,18450.0,17950.0,18600.0,17400.0,440707.0,-52682.0,-32596.0,85278.0,0.1695,-333598.0,1000.0,RISE
2020-04-01,17450.0,17100.0,19300.0,16950.0,673708.0,-30893.0,4700.0,26193.0,0.1705,-418876.0,500.0,RISE
2020-03-31,16950.0,16350.0,17700.0,16350.0,308498.0,8789.0,-19808.0,11019.0,0.1704,-445069.0,950.0,RISE
2020-03-30,16000.0,15250.0,16200.0,14900.0,201885.0,-5347.0,-11332.0,16679.0,0.171,-456088.0,500.0,RISE
2020-03-27,15500.0,15950.0,16050.0,15050.0,215432.0,15244.0,-26802.0,11558.0,0.1713,-472767.0,200.0,RISE
2020-03-26,15300.0,15400.0,16000.0,15150.0,315636.0,79878.0,-66040.0,-13838.0,0.1721,-484325.0,0.0,EVEN
2020-03-25,15300.0,14650.0,15350.0,14450.0,275624.0,-14509.0,21921.0,-7412.0,0.1749,-470487.0,1000.0,RISE
2020-03-24,14300.0,14000.0,14600.0,13750.0,245561.0,72566.0,-53578.0,-18988.0,0.1743,-463075.0,550.0,RISE
2020-03-23,13750.0,13700.0,14000.0,13250.0,192251.0,17054.0,-34547.0,17493.0,0.1758,-444087.0,750.0,FALL
2020-03-20,14500.0,13250.0,14500.0,13250.0,186267.0,-1584.0,-15561.0,17145.0,0.1768,-461580.0,1300.0,RISE
2020-03-19,13200.0,14650.0,15000.0,13150.0,268920.0,-66759.0,37943.0,28816.0,0.1773,-478725.0,1400.0,FALL
2020-03-18,14600.0,15550.0,15900.0,14500.0,159198.0,46944.0,-21608.0,-25336.0,0.1762,-507541.0,1000.0,FALL
2020-03-17,15600.0,15050.0,15800.0,14800.0,171533.0,-20252.0,4470.0,15782.0,0.1768,-482205.0,50.0,RISE
2020-03-16,15550.0,15950.0,16250.0,15550.0,167786.0,-5790.0,29309.0,-23519.0,0.1767,-497987.0,300.0,FALL
2020-03-13,15850.0,15050.0,16000.0,14750.0,433117.0,-12184.0,43311.0,-31127.0,0.1759,-474468.0,850.0,FALL
2020-03-12,16700.0,17750.0,17800.0,16500.0,320258.0,45665.0,28464.0,-74129.0,0.1745,-443341.0,1100.0,FALL
2020-03-11,17800.0,18300.0,18400.0,17700.0,186155.0,18916.0,36590.0,-55506.0,0.1737,-369212.0,550.0,FALL
2020-03-10,18350.0,18750.0,18900.0,18100.0,180833.0,48955.0,-14930.0,-34025.0,0.1727,-313706.0,300.0,FALL
2020-03-09,18650.0,19700.0,19700.0,18400.0,180410.0,32114.0,3090.0,-35204.0,0.1733,-279681.0,950.0,FALL
2020-03-06,19600.0,19850.0,19850.0,19350.0,119450.0,37376.0,-12549.0,-24827.0,0.1732,-244477.0,450.0,FALL
2020-03-05,20050.0,20050.0,20150.0,19750.0,115492.0,40904.0,942.0,-41846.0,0.1736,-219650.0,150.0,RISE
2020-03-04,19900.0,19400.0,20100.0,19400.0,70949.0,7012.0,-2251.0,-4761.0,0.1735,-177804.0,350.0,RISE
2020-03-03,19550.0,20050.0,20250.0,19400.0,133328.0,19844.0,7246.0,-27090.0,0.1737,-173043.0,200.0,FALL
2020-03-02,19750.0,19950.0,19950.0,19000.0,108889.0,-471.0,-227.0,698.0,0.1735,-145953.0,150.0,RISE
2020-02-28,19600.0,20500.0,20500.0,19400.0,177166.0,-10811.0,-9524.0,20335.0,0.1731,-146651.0,950.0,FALL
2020-02-27,20550.0,20450.0,20700.0,20350.0,86363.0,21691.0,-11269.0,-10422.0,0.1735,-166986.0,100.0,FALL
2020-02-26,20650.0,20550.0,20800.0,20300.0,85155.0,11752.0,-4752.0,-7000.0,0.1739,-156564.0,150.0,FALL
2020-02-25,20800.0,20150.0,20850.0,20150.0,127181.0,3859.0,-20920.0,17061.0,0.1739,-149564.0,450.0,RISE
2020-02-24,20350.0,21200.0,21550.0,20350.0,176404.0,49375.0,-31228.0,-18147.0,0.1745,-166625.0,950.0,FALL
2020-02-21,21300.0,21550.0,21550.0,21250.0,88644.0,8524.0,-14592.0,6068.0,0.1753,-148478.0,400.0,FALL
2020-02-20,21700.0,22150.0,22350.0,21600.0,149152.0,13617.0,3441.0,-17058.0,0.1758,-154546.0,450.0,FALL
2020-02-19,22150.0,22600.0,23100.0,21950.0,197775.0,19273.0,-11924.0,-7349.0,0.1757,-137488.0,450.0,FALL
2020-02-18,22600.0,22750.0,22900.0,22450.0,138606.0,-25452.0,5627.0,19825.0,0.17600000000000002,-130139.0,250.0,FALL
2020-02-17,22850.0,21700.0,22900.0,21600.0,277673.0,-83834.0,9469.0,74365.0,0.1758,-149964.0,1100.0,RISE
2020-02-14,21750.0,21750.0,22100.0,21450.0,168358.0,-18790.0,-8302.0,27092.0,0.1755,-224329.0,150.0,RISE
2020-02-13,21600.0,21300.0,21900.0,21300.0,249345.0,-32584.0,-10056.0,42640.0,0.1757,-251421.0,350.0,RISE
2020-02-12,21250.0,20950.0,21300.0,20950.0,120114.0,3154.0,18262.0,-21416.0,0.1759,-294061.0,200.0,RISE
2020-02-11,21050.0,21200.0,21350.0,20900.0,97036.0,38938.0,3364.0,-42302.0,0.1752,-272645.0,0.0,EVEN
2020-02-10,21050.0,21000.0,21150.0,20800.0,46763.0,7205.0,-6404.0,-801.0,0.1751,-230343.0,0.0,EVEN
2020-02-07,21050.0,21300.0,21400.0,20950.0,86163.0,20511.0,-12457.0,-8054.0,0.1753,-229542.0,250.0,FALL
2020-02-06,21300.0,21000.0,21400.0,21000.0,86928.0,8979.0,-790.0,-8189.0,0.1757,-221488.0,450.0,RISE
2020-02-05,20850.0,21000.0,21050.0,20750.0,83644.0,20335.0,-136.0,-20199.0,0.1757,-213299.0,50.0,FALL
2020-02-04,20900.0,20700.0,20950.0,20350.0,165127.0,64318.0,-15610.0,-48708.0,0.1756,-193100.0,50.0,RISE
2020-02-03,20850.0,20500.0,20900.0,20250.0,144480.0,6895.0,-14533.0,7638.0,0.1761,-144392.0,100.0,FALL
2020-01-31,20950.0,21050.0,21250.0,20950.0,55023.0,-3572.0,-2887.0,6459.0,0.1765,-152030.0,150.0,FALL
2020-01-30,21100.0,21300.0,21500.0,20950.0,108395.0,42184.0,-13255.0,-28929.0,0.1766,-158489.0,200.0,FALL
2020-01-29,21300.0,21500.0,21750.0,21300.0,87578.0,47838.0,-5147.0,-42691.0,0.1771,-129560.0,100.0,FALL
2020-01-28,21400.0,21750.0,22150.0,21350.0,128362.0,23869.0,-27100.0,3231.0,0.1771,-86869.0,1000.0,FALL
2020-01-23,22400.0,22400.0,22500.0,22100.0,97680.0,12965.0,-1999.0,-10966.0,0.1772,-90100.0,50.0,FALL
2020-01-22,22450.0,22150.0,22550.0,22150.0,85953.0,-12890.0,-14703.0,27593.0,0.177,-79134.0,250.0,RISE
2020-01-21,22200.0,22100.0,22350.0,22050.0,80561.0,4110.0,-4510.0,400.0,0.1773,-106727.0,50.0,RISE
2020-01-20,22150.0,22150.0,22350.0,21700.0,152292.0,21122.0,29810.0,-50932.0,0.1774,-107127.0,0.0,EVEN
2020-01-17,22150.0,22200.0,22350.0,22050.0,76127.0,28477.0,-16458.0,-12019.0,0.1763,-56195.0,100.0,FALL
2020-01-16,22250.0,22400.0,22400.0,22100.0,82234.0,28301.0,4186.0,-32487.0,0.1768,-44176.0,100.0,FALL
2020-01-15,22350.0,22250.0,22450.0,22050.0,65901.0,-4941.0,-10123.0,15064.0,0.1757,-11689.0,100.0,RISE
2020-01-14,22250.0,21750.0,22400.0,21750.0,139476.0,-14262.0,10555.0,3707.0,0.1758,-26753.0,600.0,RISE
2020-01-13,21650.0,21650.0,21850.0,21550.0,111700.0,67401.0,-51121.0,-16280.0,0.1755,-30460.0,100.0,RISE
2020-01-10,21550.0,21800.0,21900.0,21550.0,97967.0,49968.0,-38880.0,-11088.0,0.1769,-14180.0,350.0,FALL
2020-01-09,21900.0,21550.0,21900.0,21550.0,117051.0,4245.0,-15201.0,10956.0,0.1779,-3092.0,500.0,RISE
2020-01-08,21400.0,21900.0,21900.0,21300.0,136773.0,58822.0,-31022.0,-27800.0,0.1783,-14048.0,650.0,FALL
2020-01-07,22050.0,22150.0,22350.0,22000.0,72138.0,21502.0,2116.0,-23618.0,0.1791,13752.0,50.0,FALL
2020-01-06,22100.0,22450.0,22750.0,22000.0,115857.0,32033.0,-2675.0,-29358.0,0.179,37370.0,750.0,FALL
2020-01-03,22850.0,23050.0,23100.0,22600.0,87767.0,21946.0,-4148.0,-17798.0,0.179,66728.0,50.0,FALL
2020-01-02,22900.0,23200.0,23200.0,22900.0,69146.0,19107.0,-4392.0,-14715.0,0.1791,84526.0,300.0,FALL
2019-12-30,23200.0,23350.0,23400.0,23050.0,55550.0,-1241.0,5107.0,-3866.0,0.1791,99241.0,100.0,FALL
2019-12-27,23300.0,23000.0,23300.0,22800.0,75637.0,3529.0,-2504.0,-1025.0,0.1789,103107.0,0.0,EVEN
2019-12-26,23300.0,23450.0,23450.0,23100.0,64107.0,-8240.0,6200.0,2040.0,0.1791,104132.0,50.0,FALL
2019-12-24,23350.0,23450.0,23700.0,23300.0,67575.0,-1876.0,-93.0,1969.0,0.1793,102092.0,200.0,FALL
2019-12-23,23550.0,23700.0,23700.0,23450.0,54109.0,4606.0,-10393.0,5787.0,0.1795,100123.0,0.0,EVEN
2019-12-20,23550.0,23350.0,23550.0,23150.0,48487.0,-4122.0,9631.0,-5509.0,0.1801,94336.0,300.0,RISE
2019-12-19,23250.0,23350.0,23450.0,23150.0,41605.0,-4224.0,-2123.0,6347.0,0.1798,99845.0,100.0,FALL
2019-12-18,23350.0,23450.0,23700.0,23350.0,48196.0,-172.0,233.0,-61.0,0.18,93498.0,200.0,FALL
2019-12-17,23550.0,23650.0,23800.0,23350.0,64985.0,2958.0,-18410.0,15452.0,0.1801,93559.0,250.0,FALL
2019-12-16,23800.0,23600.0,23850.0,23400.0,75065.0,-15689.0,-38609.0,54298.0,0.1806,78107.0,200.0,RISE
2019-12-13,23600.0,23500.0,23650.0,23250.0,102373.0,-5006.0,-24594.0,29600.0,0.1818,23809.0,300.0,RISE
2019-12-12,23300.0,23200.0,23650.0,23100.0,216739.0,-12506.0,-17947.0,30453.0,0.1826,-5791.0,200.0,RISE
2019-12-11,23100.0,23200.0,23250.0,22900.0,60371.0,-12255.0,-3425.0,15680.0,0.1832,-36244.0,50.0,RISE
2019-12-10,23050.0,22600.0,23100.0,22600.0,46025.0,-11835.0,-92.0,11927.0,0.1833,-51924.0,350.0,RISE
2019-12-09,22700.0,23000.0,23250.0,22650.0,68121.0,14038.0,-4603.0,-9435.0,0.1834,-63851.0,400.0,FALL
2019-12-06,23100.0,22800.0,23150.0,22800.0,39012.0,9136.0,-14006.0,4870.0,0.1837,-54416.0,200.0,RISE
2019-12-05,22900.0,22800.0,23050.0,22700.0,44157.0,-5104.0,142.0,4962.0,0.1841,-59286.0,50.0,RISE
2019-12-04,22850.0,23000.0,23100.0,22850.0,52724.0,5581.0,-17187.0,11606.0,0.1842,-64248.0,400.0,FALL
2019-12-03,23250.0,23400.0,23400.0,23000.0,44019.0,-1742.0,-10750.0,12492.0,0.1847,-75854.0,200.0,FALL
2019-12-02,23450.0,23050.0,23500.0,23000.0,42801.0,-15238.0,-7836.0,23074.0,0.185,-88346.0,300.0,RISE
2019-11-29,23150.0,23500.0,23550.0,22850.0,92738.0,1368.0,-18683.0,17315.0,0.1852,-111420.0,300.0,FALL
2019-11-28,23450.0,23350.0,23550.0,23050.0,35970.0,-2888.0,-10205.0,13093.0,0.1858,-128735.0,0.0,EVEN
2019-11-27,23450.0,23800.0,23800.0,23350.0,61024.0,-7486.0,-25155.0,32641.0,0.1861,-141828.0,100.0,FALL
