,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,11750.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-122612,0.0,EVEN
2020-06-04,11750.0,0.0,0.0,0.0,0.0,0,0,0,0.0081,-122612,0.0,EVEN
2020-06-03,11750.0,0.0,0.0,0.0,0.0,0,0,0,0.0081,-122612,0.0,EVEN
2020-06-02,11750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-125212.0,0.0,EVEN
2020-06-01,11750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,-125212.0,0.0,EVEN
2020-05-21,11750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135944.0,0.0,EVEN
2019-09-23,1175.0,1030.0,1400.0,993.0,14866635.0,82328.0,-82328.0,0.0,0.0091,-135944.0,65.0,RISE
2019-09-20,1110.0,1175.0,1175.0,1105.0,2396264.0,-5073.0,5073.0,0.0,0.0138,-135944.0,80.0,FALL
2019-09-19,1190.0,1125.0,1295.0,1105.0,9293930.0,-24230.0,24230.0,0.0,0.0158,-135944.0,105.0,RISE
2019-09-18,1085.0,1205.0,1210.0,1045.0,6184077.0,-98972.0,98972.0,0.0,0.0167,-135944.0,135.0,FALL
2019-09-17,1220.0,1260.0,1375.0,1175.0,7118000.0,-34233.0,34233.0,0.0,0.0099,-135944.0,140.0,FALL
2019-09-16,1360.0,1445.0,1445.0,1335.0,4063777.0,29585.0,-29585.0,0.0,0.0093,-135944.0,20.0,FALL
2019-09-11,1380.0,1450.0,1525.0,1365.0,8750232.0,-29041.0,29041.0,0.0,0.0089,-135944.0,90.0,FALL
2019-09-10,1470.0,1975.0,1975.0,1470.0,20797854.0,-48741.0,48741.0,0.0,0.0088,-135944.0,630.0,LOWER_LIMIT
2019-09-09,2100.0,2290.0,2850.0,2010.0,16681527.0,-69184.0,69184.0,0.0,0.0066,-135944.0,430.0,FALL
2019-09-06,2530.0,2325.0,2820.0,2320.0,3453524.0,91233.0,-91233.0,0.0,0.0039,-135944.0,45.0,RISE
2019-09-05,2485.0,2525.0,2590.0,2360.0,2118633.0,16502.0,-16502.0,0.0,0.004,-135944.0,175.0,FALL
2019-09-04,2660.0,2545.0,2735.0,2390.0,3273680.0,29461.0,-29461.0,0.0,0.0036,-135944.0,140.0,RISE
2019-09-03,2520.0,2860.0,2900.0,2210.0,4945704.0,-34244.0,34244.0,0.0,0.0034,-135944.0,175.0,FALL
2019-09-02,2695.0,2650.0,2900.0,2605.0,3298051.0,12097.0,-12097.0,0.0,0.0021,-135944.0,195.0,RISE
2019-08-30,2500.0,2345.0,2745.0,2285.0,3674027.0,-20234.0,20234.0,0.0,0.0054,-135944.0,215.0,RISE
2019-08-29,2285.0,2330.0,2480.0,2000.0,5868839.0,-74859.0,74859.0,0.0,0.0081,-135944.0,165.0,FALL
2019-08-28,2450.0,3195.0,3220.0,2365.0,12928863.0,-66388.0,66388.0,0.0,0.0053,-135944.0,925.0,FALL
2019-08-27,3375.0,3595.0,3625.0,3090.0,853633.0,12848.0,-12848.0,0.0,0.0032,-135944.0,205.0,FALL
2019-08-26,3580.0,3630.0,3670.0,3500.0,154311.0,9301.0,-9301.0,0.0,0.0035,-135944.0,120.0,FALL
2019-08-23,3700.0,3690.0,3740.0,3620.0,161855.0,19920.0,-19920.0,0.0,0.0038,-135944.0,15.0,FALL
2019-08-22,3715.0,3690.0,3765.0,3505.0,409902.0,58739.0,-58736.0,-3.0,0.0047,-135944.0,20.0,RISE
2019-08-21,3695.0,3520.0,3735.0,3520.0,521483.0,-74896.0,74896.0,0.0,0.006999999999999999,-135941.0,175.0,RISE
2019-08-20,3520.0,3380.0,3620.0,3360.0,650620.0,-38631.0,38631.0,0.0,0.0039,-135941.0,175.0,RISE
2019-08-19,3345.0,3260.0,3520.0,3155.0,592856.0,2404.0,-2404.0,0.0,0.0021,-135941.0,85.0,RISE
2019-08-16,3260.0,3730.0,3830.0,3240.0,787751.0,2768.0,-2768.0,0.0,0.0019,-135941.0,280.0,FALL
2019-08-14,3540.0,3600.0,3635.0,3150.0,737224.0,5295.0,-5295.0,0.0,0.0031,-135941.0,115.0,FALL
2019-08-13,3655.0,3760.0,3765.0,3600.0,262731.0,-10947.0,10947.0,0.0,0.0033,-135941.0,5.0,RISE
2019-08-12,3650.0,3490.0,3650.0,3360.0,196375.0,3978.0,-3978.0,0.0,0.003,-135941.0,155.0,RISE
2019-08-09,3495.0,3335.0,3570.0,3335.0,189145.0,22.0,-22.0,0.0,0.0032,-135941.0,170.0,RISE
2019-08-08,3325.0,3035.0,3425.0,2980.0,287107.0,-2586.0,2585.0,1.0,0.0032,-135941.0,280.0,RISE
2019-08-07,3045.0,3300.0,3425.0,2990.0,347702.0,-10017.0,10016.0,1.0,0.0031,-135942.0,255.0,FALL
2019-08-06,3300.0,3435.0,3640.0,3150.0,313191.0,-5754.0,5752.0,2.0,0.0027,-135943.0,415.0,FALL
2019-08-05,3715.0,3980.0,4020.0,3585.0,233742.0,15708.0,-15709.0,1.0,0.0025,-135945.0,265.0,FALL
2019-08-02,3980.0,3970.0,3980.0,3770.0,257754.0,23518.0,-23518.0,0.0,0.0031,-135946.0,5.0,RISE
2019-08-01,3975.0,3880.0,4100.0,3795.0,196614.0,21817.0,-21818.0,1.0,0.0041,-135946.0,5.0,RISE
2019-07-31,3970.0,4075.0,4160.0,3920.0,212351.0,18963.0,-18956.0,-7.0,0.0029,-135947.0,95.0,FALL
2019-07-30,4065.0,4175.0,4175.0,3920.0,291803.0,27828.0,-27838.0,10.0,0.0035,-135940.0,50.0,FALL
2019-07-29,4115.0,4185.0,4600.0,3840.0,1268663.0,30769.0,-30769.0,0.0,0.0047,-135950.0,95.0,RISE
2019-07-26,4020.0,4050.0,4180.0,3955.0,454881.0,36890.0,-36890.0,0.0,0.006,-135950.0,30.0,FALL
2019-07-25,4050.0,3725.0,4145.0,3705.0,1182189.0,-58118.0,58118.0,0.0,0.0075,-135950.0,330.0,RISE
2019-07-24,3720.0,3730.0,3800.0,3660.0,178082.0,482.0,-482.0,0.0,0.0051,-135950.0,20.0,RISE
2019-07-23,3700.0,3820.0,3875.0,3675.0,208144.0,3817.0,-3817.0,0.0,0.0049,-135950.0,120.0,FALL
2019-07-22,3820.0,3995.0,3995.0,3815.0,120125.0,9533.0,-9533.0,0.0,0.0051,-135950.0,150.0,FALL
2019-07-19,3970.0,3910.0,4010.0,3900.0,137626.0,-12639.0,12639.0,0.0,0.0054,-135950.0,60.0,RISE
2019-07-18,3910.0,3950.0,3985.0,3810.0,107833.0,742.0,-742.0,0.0,0.0049,-135950.0,40.0,FALL
2019-07-17,3950.0,3900.0,4005.0,3815.0,188698.0,1201.0,-1201.0,0.0,0.0049,-135950.0,50.0,RISE
2019-07-16,3900.0,3925.0,4000.0,3820.0,93241.0,-4317.0,4317.0,0.0,0.0048,-135950.0,65.0,FALL
2019-07-15,3965.0,3910.0,4045.0,3865.0,125943.0,-1366.0,1366.0,0.0,0.0046,-135950.0,25.0,FALL
2019-07-12,3990.0,4065.0,4090.0,3940.0,121734.0,25130.0,-25130.0,0.0,0.0045,-135950.0,70.0,FALL
2019-07-11,4060.0,4050.0,4175.0,4000.0,135135.0,-11150.0,11150.0,0.0,0.0056,-135950.0,10.0,RISE
2019-07-10,4050.0,3970.0,4130.0,3970.0,177129.0,-12065.0,12065.0,0.0,0.0051,-135950.0,10.0,RISE
2019-07-09,4040.0,4040.0,4200.0,3960.0,291923.0,24097.0,-24097.0,0.0,0.0046,-135950.0,145.0,FALL
2019-07-08,4185.0,4110.0,4290.0,4100.0,389838.0,-11241.0,11241.0,0.0,0.0056,-135950.0,35.0,RISE
2019-07-05,4150.0,4030.0,4245.0,4000.0,354879.0,-1341.0,1341.0,0.0,0.0051,-135950.0,130.0,RISE
2019-07-04,4020.0,3860.0,4045.0,3810.0,324097.0,-28647.0,28647.0,0.0,0.005,-135950.0,210.0,RISE
2019-07-03,3810.0,3945.0,3945.0,3720.0,257086.0,26195.0,-26195.0,0.0,0.0037,-135950.0,25.0,FALL
2019-07-02,3835.0,3720.0,3975.0,3710.0,229998.0,371.0,-371.0,0.0,0.0048,-135950.0,115.0,RISE
2019-07-01,3720.0,3800.0,3800.0,3585.0,151103.0,8263.0,-8263.0,0.0,0.0048,-135950.0,80.0,FALL
2019-06-28,3800.0,3600.0,4040.0,3600.0,623084.0,-31273.0,31273.0,0.0,0.0052,-135950.0,200.0,RISE
2019-06-27,3600.0,3780.0,3830.0,3570.0,247556.0,1277.0,-1277.0,0.0,0.0037,-135950.0,175.0,FALL
2019-06-26,3775.0,3900.0,4000.0,3720.0,260496.0,18401.0,-18401.0,0.0,0.0038,-135950.0,225.0,FALL
2019-06-25,4000.0,4060.0,4115.0,3900.0,190770.0,4016.0,-4016.0,0.0,0.0046,-135950.0,65.0,FALL
2019-06-24,4065.0,4100.0,4195.0,3950.0,289226.0,33788.0,-33788.0,0.0,0.0047,-135950.0,120.0,FALL
2019-06-21,4185.0,4035.0,4280.0,4035.0,422501.0,-39204.0,39204.0,0.0,0.0061,-135950.0,125.0,RISE
2019-06-20,4060.0,4040.0,4180.0,3985.0,251315.0,292.0,-292.0,0.0,0.0045,-135950.0,25.0,RISE
2019-06-19,4035.0,4190.0,4225.0,3850.0,436814.0,-1615.0,1615.0,0.0,0.0044,-135950.0,160.0,FALL
2019-06-18,4195.0,4230.0,4405.0,4000.0,373536.0,-2892.0,2892.0,0.0,0.0043,-135950.0,25.0,FALL
2019-06-17,4220.0,4355.0,4475.0,4220.0,619254.0,-11627.0,11627.0,0.0,0.0039,-135950.0,80.0,FALL
2019-06-14,4300.0,4195.0,4370.0,3900.0,807268.0,7078.0,-7078.0,0.0,0.0035,-135950.0,105.0,RISE
2019-06-13,4195.0,3975.0,4335.0,3975.0,1331105.0,-9874.0,9874.0,0.0,0.0037,-135950.0,220.0,RISE
2019-06-12,3975.0,3430.0,4135.0,3425.0,2147823.0,26330.0,-26330.0,0.0,0.0031,-135950.0,555.0,RISE
2019-06-11,3420.0,3425.0,3455.0,3310.0,153488.0,-9420.0,9420.0,0.0,0.0043,-135950.0,55.0,FALL
2019-06-10,3475.0,3450.0,3485.0,3250.0,208435.0,24628.0,-24628.0,0.0,0.0038,-135950.0,5.0,RISE
2019-06-07,3470.0,3355.0,3480.0,3150.0,222665.0,-21093.0,21093.0,0.0,0.0049,-135950.0,125.0,RISE
2019-06-05,3345.0,3590.0,3590.0,3305.0,191012.0,-10139.0,10139.0,0.0,0.0042,-135950.0,270.0,FALL
2019-06-04,3615.0,3660.0,3695.0,3240.0,388200.0,-3244.0,3244.0,0.0,0.0031,-135950.0,45.0,FALL
2019-06-03,3660.0,3655.0,3815.0,3575.0,96442.0,4883.0,-4883.0,0.0,0.003,-135950.0,150.0,FALL
2019-05-31,3810.0,3805.0,3865.0,3520.0,135317.0,11346.0,-11346.0,0.0,0.0022,-135950.0,5.0,RISE
2019-05-30,3805.0,3825.0,3855.0,3500.0,130312.0,4571.0,-4571.0,0.0,0.0027,-135950.0,15.0,FALL
2019-05-29,3820.0,3745.0,3865.0,3700.0,101425.0,-11026.0,11026.0,0.0,0.003,-135950.0,80.0,RISE
2019-05-28,3740.0,3940.0,3940.0,3695.0,118258.0,-2801.0,2801.0,0.0,0.0024,-135950.0,125.0,FALL
2019-05-27,3865.0,3980.0,3980.0,3750.0,77050.0,6489.0,-6489.0,0.0,0.0023,-135950.0,80.0,FALL
2019-05-24,3945.0,3915.0,3980.0,3860.0,56203.0,-5062.0,5062.0,0.0,0.0026,-135950.0,30.0,RISE
2019-05-23,3915.0,3885.0,3995.0,3810.0,44381.0,4231.0,-4231.0,0.0,0.0024,-135950.0,10.0,FALL
2019-05-22,3925.0,3925.0,4070.0,3700.0,152040.0,26875.0,-26875.0,0.0,0.0026,-135950.0,0.0,EVEN
2019-05-21,3925.0,4000.0,4030.0,3800.0,163759.0,4648.0,-4648.0,0.0,0.0037,-135950.0,110.0,FALL
2019-05-20,4035.0,4005.0,4110.0,3960.0,86998.0,6636.0,-6636.0,0.0,0.004,-135950.0,160.0,FALL
2019-05-17,4195.0,4175.0,4295.0,4115.0,29412.0,1078.0,-1078.0,0.0,0.0043,-135950.0,25.0,RISE
2019-05-16,4170.0,4280.0,4280.0,4100.0,74960.0,13032.0,-13032.0,0.0,0.0043,-135950.0,110.0,FALL
2019-05-15,4280.0,4050.0,4450.0,3950.0,127218.0,-878.0,878.0,0.0,0.005,-135950.0,250.0,RISE
2019-05-14,4030.0,4030.0,4140.0,4030.0,57544.0,1734.0,-1734.0,0.0,0.005,-135950.0,120.0,FALL
2019-05-13,4150.0,4205.0,4210.0,4070.0,66086.0,3848.0,-3848.0,0.0,0.0051,-135950.0,15.0,FALL
2019-05-10,4165.0,4240.0,4295.0,4100.0,80465.0,5553.0,-5553.0,0.0,0.0049,-135950.0,75.0,FALL
2019-05-09,4240.0,4390.0,4395.0,4100.0,181175.0,7835.0,-7835.0,0.0,0.0052,-135950.0,115.0,FALL
2019-05-08,4355.0,4450.0,4575.0,4180.0,124727.0,8132.0,-8132.0,0.0,0.0054,-135950.0,165.0,FALL
2019-05-07,4520.0,4495.0,4600.0,4415.0,147855.0,-18369.0,18369.0,0.0,0.0057,-135950.0,20.0,RISE
2019-05-03,4500.0,4495.0,4555.0,4330.0,174215.0,11195.0,-11195.0,0.0,0.0046,-135950.0,5.0,RISE
2019-05-02,4495.0,4450.0,4590.0,4400.0,211774.0,4813.0,-4813.0,0.0,0.0051,-135950.0,45.0,RISE
2019-04-30,4450.0,4375.0,4550.0,4360.0,298973.0,13521.0,-13521.0,0.0,0.0053,-135950.0,50.0,RISE
2019-04-29,4400.0,4325.0,4560.0,4300.0,257708.0,-25449.0,25449.0,0.0,0.0067,-135950.0,75.0,RISE
2019-04-26,4325.0,4450.0,4450.0,4315.0,59757.0,5234.0,-5234.0,0.0,0.0057,-135950.0,100.0,FALL
2019-04-25,4425.0,4490.0,4490.0,4310.0,82880.0,12505.0,-12505.0,0.0,0.0057,-135950.0,65.0,FALL
2019-04-24,4490.0,4285.0,4545.0,4280.0,346945.0,-5747.0,5747.0,0.0,0.0062,-135950.0,155.0,RISE
2019-04-23,4335.0,4365.0,4500.0,4255.0,243102.0,-17170.0,17170.0,0.0,0.006,-135950.0,0.0,EVEN
2019-04-22,4335.0,4235.0,4350.0,4220.0,80235.0,-935.0,935.0,0.0,0.0053,-135950.0,55.0,RISE
2019-04-19,4280.0,4275.0,4310.0,4165.0,46718.0,3367.0,-3367.0,0.0,0.0051,-135950.0,0.0,EVEN
2019-04-18,4280.0,4130.0,4330.0,4010.0,253300.0,3437.0,-3437.0,0.0,0.0051,-135950.0,145.0,RISE
2019-04-17,4135.0,4290.0,4290.0,4090.0,53386.0,3041.0,-3041.0,0.0,0.0051,-135950.0,65.0,FALL
2019-04-16,4200.0,4180.0,4390.0,4000.0,204616.0,19484.0,-19484.0,0.0,0.0053,-135950.0,95.0,RISE
2019-04-15,4105.0,4285.0,4345.0,4040.0,358264.0,12807.0,-12807.0,0.0,0.0061,-135950.0,250.0,FALL
2019-04-12,4355.0,4640.0,4640.0,4295.0,262298.0,15740.0,-15740.0,0.0,0.0066,-135950.0,245.0,FALL
2019-04-11,4600.0,4525.0,4640.0,4470.0,140563.0,9377.0,-9377.0,0.0,0.0075,-135950.0,0.0,EVEN
2019-04-10,4600.0,4460.0,4690.0,4400.0,286083.0,-20327.0,20327.0,0.0,0.0079,-135950.0,120.0,RISE
2019-04-09,4480.0,4600.0,4600.0,4450.0,86748.0,-6104.0,6104.0,0.0,0.0071,-135950.0,10.0,RISE
2019-04-08,4470.0,4480.0,4575.0,4420.0,66403.0,4193.0,-4193.0,0.0,0.0068,-135950.0,0.0,EVEN
2019-04-05,4470.0,4540.0,4585.0,4400.0,131132.0,5117.0,-5117.0,0.0,0.006999999999999999,-135950.0,75.0,FALL
2019-04-04,4545.0,4490.0,4610.0,4435.0,81548.0,6355.0,-6355.0,0.0,0.0072,-135950.0,45.0,RISE
2019-04-03,4500.0,4505.0,4550.0,4400.0,64936.0,13414.0,-13414.0,0.0,0.0075,-135950.0,95.0,FALL
