,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,4850.0,4175.0,4850.0,4120.0,1071647.0,-34932,23371,11561,0.0017,-517818,645.0,RISE
2020-06-04,4205.0,4420.0,4450.0,4125.0,613350.0,7110,-7110,0,0.0,-529379,190.0,FALL
2020-06-03,4395.0,4470.0,4500.0,4185.0,666273.0,-8935,8935,0,0.0,-529379,25.0,FALL
2020-06-02,4420.0,4480.0,4665.0,4340.0,899840.0,15573.0,-15573.0,0.0,-0.0012,-529379.0,60.0,FALL
2020-06-01,4480.0,4490.0,4670.0,4380.0,936098.0,8385.0,-8385.0,0.0,0.0,-529379.0,95.0,FALL
2020-05-29,4575.0,4425.0,4600.0,4330.0,1041808.0,-33489.0,33489.0,0.0,0.0,-529379.0,175.0,RISE
2020-05-28,4400.0,4350.0,4560.0,4240.0,1311523.0,1301.0,-1301.0,0.0,0.0,-529379.0,10.0,RISE
2020-05-27,4390.0,4175.0,4390.0,4000.0,1292865.0,35159.0,-35159.0,0.0,0.0,-529379.0,275.0,RISE
2020-05-26,4115.0,4095.0,4350.0,3985.0,1796890.0,13770.0,-13770.0,0.0,0.0,-529379.0,45.0,FALL
2020-05-25,4160.0,3805.0,4225.0,3750.0,2641318.0,-46338.0,46338.0,0.0,0.0,-529379.0,350.0,RISE
2020-05-22,3810.0,3600.0,4160.0,3525.0,5141131.0,39719.0,-39719.0,0.0,0.0,-529379.0,280.0,RISE
2020-05-21,3530.0,3500.0,3620.0,3420.0,470669.0,-915.0,915.0,0.0,0.0001,-525850.0,10.0,FALL
2020-05-20,3540.0,3520.0,3650.0,3455.0,573598.0,-11473.0,11473.0,0.0,0.0,-525850.0,70.0,FALL
2020-05-19,3610.0,3355.0,3665.0,3205.0,1216366.0,31986.0,-32086.0,100.0,0.0,-525850.0,285.0,RISE
2020-05-18,3325.0,3275.0,3455.0,3180.0,772651.0,-50598.0,50517.0,81.0,0.0,-525950.0,30.0,FALL
2020-05-15,3355.0,3750.0,3750.0,3290.0,1322405.0,-13343.0,13343.0,0.0,0.0,-526031.0,400.0,FALL
2020-05-14,3755.0,3710.0,3840.0,3495.0,1451638.0,17692.0,-17692.0,0.0,0.0,-526031.0,55.0,FALL
2020-05-13,3810.0,3595.0,4000.0,3560.0,3864612.0,-15746.0,15746.0,0.0,0.0,-526031.0,185.0,RISE
2020-05-12,3625.0,3940.0,4210.0,3500.0,9578433.0,18684.0,-18655.0,-29.0,0.0,-526031.0,165.0,RISE
2020-05-11,3460.0,3130.0,3460.0,3035.0,1910668.0,1356.0,-1328.0,-28.0,0.0,-526002.0,365.0,RISE
2020-05-08,3095.0,3460.0,3470.0,3075.0,2656762.0,78182.0,-57354.0,-20828.0,0.0,-525974.0,110.0,RISE
2020-05-07,2985.0,2775.0,2995.0,2730.0,2002362.0,-13081.0,-7804.0,20885.0,0.0004,-505146.0,215.0,RISE
2020-05-06,2770.0,2750.0,2830.0,2695.0,961036.0,-18068.0,18068.0,0.0,0.0009,-526031.0,25.0,FALL
2020-05-04,2795.0,2505.0,2910.0,2490.0,3585834.0,10568.0,-9986.0,-582.0,0.0,-526031.0,90.0,RISE
2020-04-29,2705.0,2690.0,2865.0,2550.0,9661993.0,135537.0,-137033.0,1496.0,0.0003,-525449.0,500.0,RISE
2020-04-28,2205.0,2175.0,2205.0,2080.0,312043.0,10925.0,-10925.0,0.0,0.0105,-526945.0,85.0,RISE
2020-04-27,2120.0,2110.0,2170.0,2045.0,301594.0,-10864.0,10864.0,0.0,0.0113,-526945.0,5.0,RISE
2020-04-24,2115.0,2255.0,2255.0,2090.0,510672.0,27402.0,-27402.0,0.0,0.0108,-526945.0,140.0,FALL
