,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,11700.0,11500.0,11750.0,11350.0,4704.0,-797,1200,-403,0.0404,78033,200.0,RISE
2020-06-04,11500.0,11150.0,11600.0,11150.0,11735.0,-3027,3347,-320,0.0403,78436,350.0,RISE
2020-06-03,11150.0,11300.0,11450.0,11000.0,7759.0,2812,2000,-4812,0.04,78756,300.0,FALL
2020-06-02,11450.0,11000.0,11450.0,10900.0,14724.0,-10781,12677,-1896,0.0399,120287,500.0,RISE
2020-06-01,10950.0,10850.0,11000.0,10800.0,549.0,-176,51,125,0.039,122183,100.0,RISE
2020-05-29,10850.0,10900.0,11000.0,10800.0,2011.0,-754,400,354,0.039,122058,150.0,FALL
2020-05-28,11000.0,10850.0,11050.0,10850.0,2916.0,-1936,2000,-64,0.0389,121704,0.0,EVEN
2020-05-27,11000.0,11000.0,11000.0,10800.0,2061.0,-574,600,-26,0.0388,121768,50.0,RISE
2020-05-26,10950.0,10650.0,10950.0,10650.0,3536.0,-915,893,22,0.0388,121794,200.0,RISE
2020-05-25,10750.0,10700.0,10850.0,10600.0,2388.0,-686,684,2,0.0387,121772,50.0,RISE
2020-05-22,10700.0,11150.0,11150.0,10700.0,8561.0,-616,621,-5,0.0386,121770,450.0,FALL
2020-05-21,11150.0,11000.0,11150.0,10900.0,3735.0,-2996,2994,2,0.0386,100413,200.0,RISE
2020-05-20,10950.0,10800.0,11000.0,10800.0,3936.0,-697,700,-3,0.0384,100411,0.0,EVEN
2020-05-19,10950.0,10800.0,11000.0,10750.0,2939.0,-672,700,-28,0.0383,100414,150.0,RISE
2020-05-18,10800.0,10700.0,10800.0,10450.0,4693.0,795,1199,-1994,0.0001,100442,100.0,RISE
2020-05-15,10700.0,10750.0,10850.0,10600.0,2689.0,1980,0,-1980,0.0,102436,50.0,FALL
2020-05-14,10750.0,10800.0,10950.0,10750.0,1440.0,-347,316,31,-0.0001,104416,250.0,FALL
2020-05-13,11000.0,10950.0,11100.0,10800.0,2679.0,1559,-1564,5,-0.0001,104385,150.0,FALL
2020-05-12,11150.0,10850.0,11200.0,10600.0,5574.0,-4946,0,4946,0.0,104380,300.0,RISE
2020-05-11,10850.0,10950.0,11000.0,10700.0,1070.0,462,0,-462,0.0,99434,150.0,FALL
2020-05-08,11000.0,11300.0,11300.0,11000.0,2035.0,1698,-1010,-688,0.0384,99896,300.0,FALL
2020-05-07,11300.0,11300.0,11300.0,11000.0,1667.0,-948,350,598,0.0385,100584,50.0,RISE
2020-05-06,11250.0,11300.0,11300.0,11200.0,109.0,-89,0,89,0.0,99986,50.0,RISE
2020-05-04,11200.0,10900.0,11350.0,10900.0,5404.0,-2775,-654,3429,0.0384,99897,100.0,RISE
2020-04-29,11100.0,10850.0,11100.0,10800.0,1652.0,-392,400,-8,0.0385,96468,150.0,RISE
2020-04-28,10950.0,10950.0,10950.0,10850.0,594.0,-1,0,1,0.0,96476,100.0,RISE
2020-04-27,10850.0,10900.0,10950.0,10800.0,1531.0,480,-419,-61,0.0385,96475,100.0,RISE
2020-04-24,10750.0,10850.0,10950.0,10750.0,499.0,-118,100,18,0.0385,96536,100.0,FALL
2020-04-23,10850.0,11000.0,11000.0,10850.0,160.0,-72,0,72,0.0385,96518,50.0,FALL
2020-04-22,10900.0,10800.0,11000.0,10800.0,393.0,-162,100,62,0.0003,96446,100.0,FALL
2020-04-21,11000.0,11200.0,11200.0,10850.0,1079.0,24,-11,-13,0.0003,96384,250.0,FALL
2020-04-20,11250.0,11100.0,11250.0,10950.0,1603.0,-493,300,193,0.0003,96397,50.0,RISE
2020-04-17,11200.0,10750.0,11200.0,10750.0,3864.0,-2668,2840,-172,0.0002,96204,450.0,RISE
2020-04-16,10750.0,10700.0,10850.0,10600.0,354.0,33,-13,-20,0.0,96376,50.0,RISE
2020-04-14,10700.0,10900.0,10900.0,10700.0,903.0,0,20,-20,0.0,96396,150.0,FALL
2020-04-13,10850.0,10600.0,10900.0,10550.0,1900.0,-805,400,405,0.0,96416,0.0,EVEN
2020-04-10,10850.0,10750.0,10850.0,10700.0,180.0,3,0,-3,0.0,96011,0.0,EVEN
2020-04-09,10850.0,10800.0,10850.0,10550.0,1847.0,-742,293,449,0.0002,96014,50.0,RISE
2020-04-08,10800.0,10400.0,10850.0,10400.0,2825.0,-1355,540,815,0.0002,95565,250.0,RISE
2020-04-07,10550.0,10150.0,10550.0,10150.0,2425.0,-1458,400,1058,0.0002,94750,400.0,RISE
2020-04-06,10150.0,10100.0,10200.0,9950.0,4799.0,-1601,1000,601,0.0001,93692,50.0,RISE
2020-04-03,10100.0,10150.0,10150.0,9940.0,4332.0,1388,673,-2061,0.0,93091,0.0,EVEN
2020-04-02,10100.0,10150.0,10150.0,10050.0,420.0,263,0,-263,0.0,95152,0.0,EVEN
2020-04-01,10100.0,10250.0,10400.0,10050.0,3375.0,-1805,714,1091,0.0381,95415,150.0,FALL
2020-03-31,10250.0,10300.0,10350.0,10050.0,2459.0,-430,600,-170,0.0381,94324,0.0,EVEN
2020-03-30,10250.0,10150.0,10250.0,9940.0,851.0,-396,193,203,0.038,94494,100.0,RISE
2020-03-27,10150.0,10300.0,10400.0,9900.0,2875.0,-514,10,504,0.038,94291,100.0,FALL
2020-03-26,10250.0,9870.0,10300.0,9690.0,3934.0,-908,0,908,0.038,93787,350.0,RISE
2020-03-25,9900.0,9640.0,9920.0,9460.0,1382.0,-198,24,174,0.038,92879,300.0,RISE
2020-03-24,9600.0,9360.0,9660.0,9270.0,3630.0,1285,0,-1285,0.038,92705,240.0,RISE
2020-03-23,9360.0,9420.0,9420.0,9130.0,2759.0,-1544,6,1538,0.038,93990,290.0,FALL
2020-03-20,9650.0,9220.0,9650.0,9220.0,1357.0,-564,89,475,0.038,92452,410.0,RISE
2020-03-19,9240.0,9850.0,10000.0,9020.0,3250.0,-165,31,134,0.038,91977,660.0,FALL
2020-03-18,9900.0,10300.0,10300.0,9900.0,2626.0,18,-10,-8,0.038,91843,150.0,FALL
2020-03-17,10050.0,10750.0,10950.0,9980.0,31466.0,6487,-13281,6794,0.0381,91851,950.0,FALL
2020-03-16,11000.0,11150.0,11150.0,10450.0,4789.0,-1988,983,1005,0.0391,85057,100.0,RISE
2020-03-13,10900.0,10250.0,10950.0,9310.0,17223.0,-9816,9588,228,0.039,84052,200.0,RISE
2020-03-12,10700.0,10950.0,11150.0,10450.0,1882.0,-586,5,581,0.0383,83824,450.0,FALL
2020-03-11,11150.0,11200.0,11300.0,10950.0,2135.0,-1008,-30,1038,0.0383,83243,150.0,FALL
2020-03-10,11300.0,10950.0,11300.0,10750.0,5678.0,-2356,1197,1159,0.0381,82205,350.0,RISE
2020-03-09,10950.0,10650.0,10950.0,10050.0,11963.0,-6281,1900,4381,0.038,81046,300.0,RISE
2020-03-06,10650.0,10550.0,10650.0,10550.0,185.0,-23,0,23,0.0376,76665,0.0,EVEN
2020-03-05,10650.0,10550.0,10750.0,10450.0,4021.0,-3622,1000,2622,0.0375,76642,150.0,RISE
2020-03-04,10500.0,10300.0,10550.0,10200.0,4758.0,-3622,900,2722,0.0375,74020,200.0,RISE
2020-03-03,10300.0,10400.0,10500.0,10050.0,37113.0,3245,9876,-13121,0.0374,71298,50.0,FALL
2020-03-02,10350.0,11150.0,11150.0,10300.0,62525.0,29241,17113,-46354,0.0367,84419,750.0,FALL
2020-02-28,11100.0,11100.0,11100.0,10700.0,4815.0,-1356,970,386,0.0354,130773,0.0,EVEN
2020-02-27,11100.0,11200.0,11450.0,10800.0,4879.0,-1321,995,326,0.0354,130387,100.0,FALL
2020-02-26,11200.0,11300.0,11300.0,11100.0,847.0,-111,-5,116,0.0353,130061,100.0,FALL
2020-02-25,11300.0,10850.0,11450.0,10500.0,39802.0,-559,-141,700,0.0353,129945,500.0,RISE
2020-02-24,10800.0,10400.0,10850.0,10300.0,4418.0,-1183,11,1172,0.0353,129245,300.0,RISE
2020-02-21,10500.0,10900.0,10900.0,10500.0,10777.0,-2409,88,2321,0.0353,128073,450.0,FALL
2020-02-20,10950.0,10950.0,11050.0,10950.0,860.0,-13,1,12,0.0353,125752,200.0,FALL
2020-02-19,11150.0,11250.0,11250.0,11050.0,1876.0,-534,6,528,0.0353,125740,100.0,FALL
