,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3860.0,3825.0,3890.0,3825.0,265651.0,-53334,53334,0,0.0426,-364729,5.0,RISE
2020-06-04,3855.0,3885.0,3885.0,3810.0,313059.0,-10793,11048,-255,0.0405,-364729,20.0,FALL
2020-06-03,3875.0,3875.0,3930.0,3800.0,406589.0,-26480,27101,-621,0.0401,-364474,10.0,RISE
2020-06-02,3865.0,3910.0,3985.0,3855.0,906150.0,1453.0,710.0,-2163.0,0.039,-363467.0,5.0,FALL
2020-06-01,3870.0,3885.0,3915.0,3820.0,423100.0,25917.0,-27369.0,1452.0,0.039,-361304.0,10.0,FALL
2020-05-29,3880.0,3745.0,4000.0,3700.0,1870736.0,25315.0,-25315.0,0.0,0.0401,-362756.0,140.0,RISE
2020-05-28,3740.0,3840.0,3930.0,3680.0,865567.0,-27358.0,27358.0,0.0,0.0411,-362756.0,95.0,FALL
2020-05-27,3835.0,3870.0,3870.0,3815.0,255472.0,-12347.0,12347.0,0.0,0.04,-362756.0,5.0,FALL
2020-05-26,3840.0,3925.0,3940.0,3820.0,453100.0,23870.0,-24345.0,475.0,0.0395,-362756.0,35.0,FALL
2020-05-25,3875.0,3790.0,3935.0,3775.0,1072440.0,22599.0,-22599.0,0.0,0.0405,-363231.0,105.0,RISE
2020-05-22,3770.0,3680.0,3770.0,3675.0,300460.0,-57646.0,57646.0,0.0,0.0413,-363231.0,70.0,RISE
2020-05-21,3700.0,3775.0,3805.0,3670.0,428482.0,44315.0,-44413.0,98.0,0.0391,-363091.0,70.0,FALL
2020-05-20,3770.0,3745.0,3785.0,3730.0,275950.0,8636.0,-8636.0,0.0,0.0408,-363189.0,65.0,RISE
2020-05-19,3705.0,3760.0,3765.0,3640.0,465615.0,-80147.0,79458.0,689.0,0.0412,-363189.0,40.0,FALL
2020-05-18,3745.0,3830.0,3845.0,3730.0,461895.0,11518.0,-11697.0,179.0,0.0381,-363878.0,60.0,FALL
2020-05-15,3805.0,3785.0,3950.0,3740.0,1054884.0,-55415.0,55415.0,0.0,0.0385,-364057.0,35.0,RISE
2020-05-14,3770.0,3890.0,3935.0,3760.0,721098.0,16454.0,-17001.0,547.0,0.0364,-364057.0,150.0,FALL
2020-05-13,3920.0,3900.0,4010.0,3810.0,555628.0,16257.0,-13257.0,-3000.0,0.037000000000000005,-364604.0,20.0,FALL
2020-05-12,3940.0,3995.0,3995.0,3785.0,747266.0,-8333.0,7840.0,493.0,0.0376,-361604.0,20.0,FALL
2020-05-11,3960.0,3965.0,4050.0,3920.0,1127478.0,-14278.0,14278.0,0.0,0.0373,-362097.0,25.0,RISE
2020-05-08,3935.0,4005.0,4105.0,3910.0,2101471.0,11230.0,-11088.0,-142.0,0.0367,-362097.0,70.0,FALL
2020-05-07,4005.0,4270.0,4285.0,3900.0,3653661.0,35510.0,-35510.0,0.0,0.0372,-361955.0,45.0,FALL
2020-05-06,4050.0,3800.0,4530.0,3770.0,16131073.0,337118.0,-336818.0,-300.0,0.0399,-361955.0,230.0,RISE
2020-05-04,3820.0,3400.0,3980.0,3330.0,9719540.0,147808.0,-150808.0,3000.0,0.053,-361655.0,615.0,RISE
2020-04-29,3205.0,3165.0,3260.0,3165.0,387592.0,22416.0,-22416.0,0.0,0.0588,-364655.0,55.0,RISE
2020-04-28,3150.0,3215.0,3280.0,3145.0,228927.0,14632.0,-14632.0,0.0,0.0597,-364655.0,50.0,FALL
2020-04-27,3200.0,3170.0,3215.0,3120.0,164781.0,6879.0,1442.0,-8321.0,0.0603,-364655.0,45.0,RISE
2020-04-24,3155.0,3300.0,3360.0,3135.0,747536.0,116068.0,-116068.0,0.0,0.0602,-356334.0,50.0,FALL
2020-04-23,3205.0,3060.0,3245.0,3030.0,738513.0,2768.0,-10663.0,7895.0,0.0647,-356334.0,190.0,RISE
2020-04-22,3015.0,2950.0,3045.0,2950.0,222203.0,52808.0,-52808.0,0.0,0.0651,-364229.0,20.0,FALL
2020-04-21,3035.0,3070.0,3095.0,2810.0,278591.0,45995.0,-45995.0,0.0,0.0672,-364229.0,35.0,FALL
2020-04-20,3070.0,2925.0,3100.0,2925.0,249527.0,-64117.0,64117.0,0.0,0.069,-364229.0,160.0,RISE
2020-04-17,2910.0,2920.0,2965.0,2895.0,173864.0,268.0,-268.0,0.0,0.0665,-364229.0,5.0,FALL
2020-04-16,2915.0,2945.0,2955.0,2845.0,169926.0,33385.0,-33385.0,0.0,0.0665,-364229.0,30.0,FALL
2020-04-14,2945.0,2940.0,3050.0,2935.0,204430.0,-16637.0,16637.0,0.0,0.0678,-364229.0,10.0,FALL
2020-04-13,2955.0,2880.0,3285.0,2800.0,1355086.0,53851.0,-53851.0,0.0,0.0671,-364229.0,75.0,RISE
2020-04-10,2880.0,2905.0,2930.0,2625.0,119580.0,12400.0,-12400.0,0.0,0.0692,-364229.0,20.0,FALL
