,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,488.0,486.0,492.0,481.0,137398.0,-850,851,-1,0.0318,-2764749,2.0,RISE
2020-06-04,486.0,484.0,494.0,482.0,124248.0,-7582,7582,0,0.0318,-2764748,2.0,RISE
2020-06-03,484.0,482.0,493.0,479.0,164623.0,21637,-11457,-10180,0.0315,-2764748,1.0,RISE
2020-06-02,483.0,481.0,484.0,472.0,172362.0,-1439.0,1439.0,0.0,0.0319,-2830239.0,2.0,RISE
2020-06-01,481.0,484.0,494.0,476.0,139102.0,4312.0,585.0,-4897.0,0.0318,-2830239.0,3.0,FALL
2020-05-29,484.0,484.0,493.0,476.0,112102.0,-1047.0,1047.0,0.0,0.0318,-2825342.0,1.0,FALL
2020-05-28,485.0,498.0,499.0,472.0,242477.0,24661.0,-24661.0,0.0,0.0318,-2825342.0,11.0,FALL
2020-05-27,496.0,498.0,511.0,489.0,425866.0,3384.0,-3384.0,0.0,0.0325,-2825342.0,1.0,RISE
2020-05-26,495.0,503.0,508.0,492.0,236366.0,-4430.0,4430.0,0.0,0.0327,-2825342.0,14.0,FALL
2020-05-25,509.0,492.0,515.0,486.0,301771.0,-3973.0,3973.0,0.0,0.0325,-2825342.0,15.0,RISE
2020-05-22,494.0,495.0,505.0,485.0,202936.0,5586.0,-5586.0,0.0,0.0324,-2825342.0,5.0,FALL
2020-05-21,499.0,503.0,507.0,498.0,126529.0,-257.0,257.0,0.0,0.0326,-2294502.0,4.0,FALL
2020-05-20,503.0,501.0,510.0,495.0,212636.0,271.0,-1531.0,1260.0,0.0326,-2294502.0,2.0,RISE
2020-05-19,501.0,503.0,507.0,493.0,179796.0,-4299.0,4299.0,0.0,0.0326,-2295762.0,2.0,FALL
2020-05-18,503.0,511.0,511.0,482.0,213246.0,-18209.0,5488.0,12721.0,0.0325,-2295762.0,9.0,FALL
2020-05-15,512.0,487.0,516.0,487.0,302453.0,-25299.0,9894.0,15405.0,0.0323,-2308483.0,24.0,RISE
2020-05-14,488.0,483.0,495.0,483.0,256259.0,-16531.0,814.0,15717.0,0.032,-2323888.0,1.0,RISE
2020-05-13,487.0,498.0,503.0,485.0,131865.0,-25202.0,9634.0,15568.0,0.032,-2339605.0,11.0,FALL
2020-05-12,498.0,502.0,504.0,489.0,215471.0,13148.0,-28654.0,15506.0,0.0317,-2355173.0,6.0,FALL
2020-05-11,504.0,515.0,515.0,499.0,162147.0,9690.0,-9690.0,0.0,0.0326,-2370679.0,11.0,FALL
2020-05-08,515.0,509.0,528.0,503.0,314730.0,-21947.0,21947.0,0.0,0.0329,-2370679.0,5.0,RISE
2020-05-07,510.0,508.0,526.0,502.0,351309.0,-12736.0,12736.0,0.0,0.0322,-2370679.0,1.0,RISE
2020-05-06,509.0,501.0,509.0,495.0,208078.0,-1697.0,1697.0,0.0,0.0318,-2370679.0,3.0,RISE
2020-05-04,506.0,505.0,507.0,480.0,352425.0,-44101.0,44101.0,0.0,0.0317,-2370679.0,7.0,FALL
2020-04-29,513.0,487.0,559.0,486.0,2451713.0,52454.0,-52454.0,0.0,0.0304,-2370679.0,26.0,RISE
2020-04-28,487.0,485.0,496.0,477.0,102499.0,7530.0,-7529.0,-1.0,0.032,-2370679.0,1.0,RISE
2020-04-27,486.0,487.0,489.0,480.0,192193.0,2706.0,-2706.0,0.0,0.0322,-2370678.0,3.0,FALL
2020-04-24,489.0,488.0,506.0,478.0,152806.0,4730.0,-4730.0,0.0,0.0323,-2370678.0,1.0,FALL
2020-04-23,490.0,482.0,493.0,476.0,144808.0,-38300.0,38300.0,0.0,0.0325,-2370678.0,7.0,RISE
2020-04-22,483.0,482.0,484.0,469.0,171425.0,-197.0,197.0,0.0,0.0313,-2370678.0,6.0,FALL
2020-04-21,489.0,498.0,508.0,473.0,190896.0,-8366.0,8366.0,0.0,0.0313,-2370678.0,9.0,FALL
2020-04-20,498.0,503.0,516.0,485.0,350912.0,-33587.0,33587.0,0.0,0.031,-2370678.0,5.0,FALL
