,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,6050.0,5730.0,6170.0,5600.0,892949.0,94682,-64104,-30578,0.0461,-1156031,160.0,RISE
2020-06-04,5890.0,4865.0,5890.0,4850.0,1456260.0,-142060,142060,0,0.0496,-1125453,985.0,RISE
2020-06-03,4905.0,4900.0,4950.0,4775.0,232916.0,49984,-49984,0,0.0418,-1125453,45.0,RISE
2020-06-02,4860.0,4850.0,5030.0,4765.0,847110.0,-38344.0,38344.0,0.0,0.0445,-1126053.0,130.0,RISE
2020-06-01,4730.0,4325.0,4740.0,4325.0,503248.0,-97892.0,97892.0,0.0,0.0424,-1126053.0,425.0,RISE
2020-05-29,4305.0,4355.0,4355.0,4195.0,80056.0,2102.0,-2102.0,0.0,0.037000000000000005,-1126053.0,40.0,FALL
2020-05-28,4345.0,4385.0,4440.0,4110.0,105677.0,15421.0,-15421.0,0.0,0.0371,-1126053.0,55.0,FALL
2020-05-27,4400.0,4340.0,4580.0,4215.0,308081.0,6406.0,-6187.0,-219.0,0.038,-1126053.0,65.0,RISE
2020-05-26,4335.0,4340.0,4360.0,4260.0,52217.0,7615.0,-7615.0,0.0,0.0383,-1125834.0,5.0,FALL
2020-05-25,4340.0,4280.0,4360.0,4155.0,94248.0,-12479.0,12735.0,-256.0,0.0387,-1125834.0,55.0,RISE
2020-05-22,4285.0,4350.0,4375.0,4185.0,100959.0,10588.0,-10588.0,0.0,0.038,-1125578.0,95.0,FALL
2020-05-21,4380.0,4400.0,4400.0,4270.0,70529.0,7632.0,-7632.0,0.0,0.0386,-1450107.0,45.0,RISE
2020-05-20,4335.0,4330.0,4370.0,4240.0,112697.0,11640.0,-11640.0,0.0,0.039,-1450107.0,5.0,RISE
2020-05-19,4330.0,4440.0,4440.0,4255.0,177053.0,44195.0,-44195.0,0.0,0.0397,-1450107.0,100.0,FALL
2020-05-18,4430.0,4390.0,4500.0,4270.0,366365.0,-25097.0,25097.0,0.0,0.0421,-1450107.0,40.0,RISE
2020-05-15,4390.0,4075.0,4460.0,3990.0,692199.0,-60984.0,60984.0,0.0,0.0407,-1450107.0,375.0,RISE
2020-05-14,4015.0,3925.0,4030.0,3920.0,115234.0,-15254.0,17114.0,-1860.0,0.0374,-1450107.0,55.0,RISE
2020-05-13,3960.0,3800.0,3980.0,3730.0,103458.0,-13520.0,13520.0,0.0,0.0364,-1448247.0,125.0,RISE
2020-05-12,3835.0,3900.0,3900.0,3680.0,91409.0,6465.0,-5977.0,-488.0,0.0357,-1448247.0,65.0,FALL
2020-05-11,3900.0,4035.0,4035.0,3870.0,45027.0,2787.0,-2394.0,-393.0,0.036000000000000004,-1447759.0,15.0,FALL
2020-05-08,3915.0,3905.0,3960.0,3870.0,45748.0,-4566.0,4566.0,0.0,0.0361,-1447366.0,15.0,RISE
2020-05-07,3900.0,3900.0,4035.0,3855.0,26500.0,-956.0,956.0,0.0,0.0359,-1447366.0,0.0,EVEN
2020-05-06,3900.0,3900.0,3950.0,3850.0,23937.0,-877.0,877.0,0.0,0.0359,-1447366.0,15.0,FALL
2020-05-04,3915.0,3930.0,3970.0,3795.0,73035.0,11886.0,-11886.0,0.0,0.0358,-1447366.0,120.0,FALL
2020-04-29,4035.0,4060.0,4060.0,3935.0,66417.0,-479.0,479.0,0.0,0.0365,-1447366.0,10.0,FALL
