,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,18800.0,18300.0,19000.0,18100.0,156301.0,-24064,16328,7736,0.3011,-73785,300.0,RISE
2020-06-04,18500.0,18800.0,19050.0,18050.0,270668.0,-6309,20823,-14514,0.3003,-81521,500.0,FALL
2020-06-03,19000.0,18350.0,19750.0,18300.0,832764.0,-74215,183982,-109767,0.2999,-67007,750.0,RISE
2020-06-02,18250.0,17200.0,18250.0,17150.0,435792.0,-50917.0,51568.0,-651.0,0.2915,42760.0,1100.0,RISE
2020-06-01,17150.0,16950.0,17450.0,16950.0,241069.0,6737.0,-15159.0,8422.0,0.2891,43411.0,200.0,RISE
2020-05-29,16950.0,16200.0,17400.0,16200.0,482615.0,-97320.0,101231.0,-3911.0,0.2898,34989.0,600.0,RISE
2020-05-28,16350.0,16700.0,16850.0,15850.0,333504.0,-58791.0,74081.0,-15290.0,0.2851,38900.0,350.0,RISE
2020-05-27,16000.0,15800.0,16050.0,15600.0,224746.0,-31577.0,-5257.0,36834.0,0.2817,54190.0,250.0,RISE
2020-05-26,15750.0,15500.0,15950.0,15400.0,155655.0,-19554.0,-8436.0,27990.0,0.2819,17356.0,300.0,RISE
2020-05-25,15450.0,15250.0,15500.0,15100.0,93218.0,-17469.0,13679.0,3790.0,0.2823,-10634.0,250.0,RISE
2020-05-21,15950.0,15600.0,16000.0,15400.0,235903.0,-9373.0,14513.0,-5140.0,0.2833,8841.0,350.0,RISE
2020-05-20,15600.0,15200.0,15750.0,15100.0,228594.0,-29767.0,29992.0,-225.0,0.2825,13981.0,550.0,RISE
2020-05-19,15050.0,15200.0,15450.0,14900.0,145505.0,-29859.0,26389.0,3470.0,0.2811,14206.0,50.0,RISE
2020-05-18,15000.0,15250.0,15250.0,14800.0,99807.0,-2685.0,3057.0,-372.0,0.2798,10736.0,100.0,FALL
2020-05-15,15100.0,14800.0,15150.0,14550.0,168439.0,-43513.0,43104.0,409.0,0.2795,11108.0,350.0,RISE
2020-05-14,14750.0,14750.0,15200.0,14550.0,147974.0,1437.0,2210.0,-3647.0,0.2774,10699.0,0.0,EVEN
2020-05-13,14750.0,14750.0,14850.0,14450.0,120877.0,4186.0,-8187.0,4001.0,0.277,14346.0,250.0,FALL
2020-05-12,15000.0,15200.0,15300.0,14750.0,150275.0,16349.0,-17099.0,750.0,0.2771,10345.0,300.0,FALL
2020-05-11,15300.0,14950.0,15400.0,14750.0,341513.0,-128585.0,130234.0,-1649.0,0.2777,9595.0,350.0,RISE
2020-05-08,14950.0,14450.0,15200.0,14350.0,460870.0,-39988.0,24070.0,15918.0,0.2717,11244.0,700.0,RISE
2020-05-07,14250.0,14000.0,14350.0,13950.0,157087.0,20613.0,639.0,-21252.0,0.2706,-4674.0,250.0,RISE
2020-05-06,14000.0,13950.0,14100.0,13850.0,77976.0,3933.0,-12233.0,8300.0,0.2705,16578.0,50.0,RISE
2020-05-04,13950.0,13700.0,14050.0,13650.0,142934.0,-10404.0,21049.0,-10645.0,0.2711,8278.0,0.0,EVEN
2020-04-29,13950.0,13550.0,14100.0,13350.0,236243.0,-25312.0,-39459.0,64771.0,0.27,18923.0,300.0,RISE
2020-04-28,13650.0,13750.0,13850.0,13400.0,135594.0,28760.0,-26249.0,-2511.0,0.2718,-45848.0,100.0,FALL
2020-04-27,13750.0,13850.0,14000.0,13650.0,117421.0,21714.0,4043.0,-25757.0,0.273,-43337.0,100.0,FALL
2020-04-24,13850.0,14200.0,14200.0,13850.0,97389.0,21270.0,-14048.0,-7222.0,0.2728,-17580.0,400.0,FALL
2020-04-23,14250.0,14100.0,14400.0,13900.0,103314.0,8236.0,-12080.0,3844.0,0.2731,-10358.0,250.0,RISE
2020-04-22,14000.0,14000.0,14100.0,13750.0,97556.0,14553.0,-6176.0,-8377.0,0.2737,-14202.0,200.0,FALL
2020-04-21,14200.0,14550.0,14750.0,13850.0,245833.0,31772.0,-29854.0,-1918.0,0.274,-5825.0,350.0,FALL
2020-04-20,14550.0,14950.0,15200.0,14550.0,200844.0,-14380.0,8257.0,6123.0,0.2753,-3907.0,450.0,FALL
2020-04-17,15000.0,14400.0,15400.0,14300.0,488909.0,33508.0,-8713.0,-24795.0,0.2748,-10030.0,850.0,RISE
2020-04-16,14150.0,14100.0,14400.0,13950.0,114481.0,21669.0,-17115.0,-4554.0,0.2752,14765.0,0.0,EVEN
2020-04-14,14150.0,14050.0,14350.0,13750.0,175908.0,-8235.0,1406.0,6829.0,0.2769,19319.0,400.0,RISE
2020-04-13,13750.0,14050.0,14500.0,13750.0,196540.0,6245.0,4438.0,-10683.0,0.2766,12490.0,350.0,FALL
2020-04-10,14100.0,14050.0,14250.0,13300.0,226041.0,-24166.0,-16420.0,40586.0,0.2764,23173.0,250.0,RISE
2020-04-09,13850.0,14300.0,14350.0,13750.0,161066.0,32511.0,-27356.0,-5155.0,0.277,-17413.0,150.0,FALL
2020-04-08,14000.0,13700.0,14400.0,13600.0,257924.0,-21278.0,14546.0,6732.0,0.2783,-12258.0,400.0,RISE
2020-04-07,13600.0,13850.0,14100.0,13500.0,189760.0,39507.0,-21936.0,-17571.0,0.2776,-18990.0,50.0,FALL
2020-04-06,13650.0,13500.0,13800.0,13350.0,164968.0,18505.0,6289.0,-24794.0,0.2786,-1419.0,150.0,RISE
2020-04-03,13500.0,13950.0,14250.0,13500.0,134422.0,18751.0,-10859.0,-7892.0,0.2783,23375.0,350.0,FALL
2020-04-02,13850.0,14100.0,14300.0,13600.0,169324.0,46818.0,-47603.0,785.0,0.2789,31267.0,200.0,FALL
2020-04-01,14050.0,13950.0,14950.0,13750.0,347324.0,24029.0,-32246.0,8217.0,0.2811,30482.0,150.0,RISE
2020-03-31,13900.0,14200.0,14200.0,13500.0,296068.0,12986.0,-45618.0,32632.0,0.2826,22265.0,0.0,EVEN
2020-03-30,13900.0,13650.0,13900.0,13200.0,211034.0,-4562.0,-11570.0,16132.0,0.2847,-10367.0,100.0,FALL
2020-03-27,14000.0,14400.0,14450.0,13150.0,343797.0,4665.0,4974.0,-9639.0,0.2846,-26499.0,0.0,EVEN
