,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,485.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-7426550,0.0,EVEN
2020-06-04,485.0,0.0,0.0,0.0,0.0,0,0,0,0.0425,-7426550,0.0,EVEN
2020-06-03,485.0,0.0,0.0,0.0,0.0,0,0,0,0.0425,-7426550,0.0,EVEN
2020-06-02,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7426550.0,0.0,EVEN
2020-06-01,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425,-7426550.0,0.0,EVEN
2019-03-12,485.0,477.0,540.0,475.0,8758816.0,137076.0,-137076.0,0.0,0.0418,-7426795.0,10.0,RISE
2019-03-11,475.0,506.0,514.0,472.0,3898440.0,88126.0,-88126.0,0.0,0.0442,-7426795.0,31.0,FALL
2019-03-08,506.0,478.0,568.0,474.0,21829285.0,153057.0,-153057.0,0.0,0.0455,-7426795.0,27.0,RISE
2019-03-07,479.0,470.0,507.0,470.0,2777044.0,-244335.0,244335.0,0.0,0.0484,-7426795.0,9.0,RISE
2019-03-06,470.0,486.0,490.0,468.0,3589907.0,-50815.0,50815.0,0.0,0.0431,-7426795.0,29.0,FALL
2019-03-05,499.0,490.0,499.0,480.0,3179509.0,-330771.0,330771.0,0.0,0.042,-7426795.0,8.0,FALL
2019-03-04,507.0,502.0,523.0,482.0,1792598.0,-287315.0,287315.0,0.0,0.0356,-7426795.0,3.0,FALL
2019-02-28,510.0,550.0,555.0,501.0,3078130.0,63242.0,-63242.0,0.0,0.0299,-7426795.0,40.0,FALL
2019-02-27,550.0,528.0,575.0,528.0,5959017.0,25707.0,-25707.0,0.0,0.0311,-7426795.0,19.0,RISE
2019-02-26,531.0,543.0,553.0,530.0,3046990.0,129242.0,-129242.0,0.0,0.0316,-7426795.0,5.0,FALL
2019-02-25,536.0,535.0,547.0,519.0,2514393.0,-563034.0,563034.0,0.0,0.0341,-7426795.0,2.0,RISE
2019-02-22,534.0,539.0,555.0,534.0,3466502.0,-163332.0,163332.0,0.0,0.0232,-7426795.0,5.0,FALL
2019-02-21,539.0,566.0,607.0,519.0,14280544.0,153263.0,-153264.0,1.0,0.0205,-7426795.0,27.0,FALL
2019-02-20,566.0,650.0,658.0,553.0,13713986.0,140238.0,-140238.0,0.0,0.0234,-7426796.0,84.0,FALL
2019-02-19,650.0,608.0,667.0,607.0,4845051.0,-205142.0,205142.0,0.0,0.0278,-7426796.0,32.0,FALL
2019-02-18,682.0,671.0,690.0,664.0,2316857.0,-252954.0,252954.0,0.0,0.0235,-7426796.0,15.0,RISE
2019-02-15,667.0,671.0,680.0,664.0,1451978.0,-123459.0,123459.0,0.0,0.0183,-7426796.0,2.0,FALL
2019-02-14,669.0,675.0,675.0,662.0,1311480.0,46385.0,-46385.0,0.0,0.0154,-7426796.0,3.0,FALL
2019-02-13,672.0,674.0,681.0,656.0,2168965.0,-23110.0,23110.0,0.0,0.0162,-7426796.0,2.0,FALL
2019-02-12,674.0,671.0,687.0,666.0,1976644.0,-88758.0,88758.0,0.0,0.0157,-7426796.0,9.0,RISE
2019-02-11,665.0,658.0,697.0,658.0,4068209.0,55811.0,-55811.0,0.0,0.0137,-7426796.0,21.0,RISE
2019-02-08,644.0,638.0,667.0,634.0,3282800.0,159744.0,-159744.0,0.0,0.0148,-7426796.0,1.0,RISE
2019-02-07,643.0,693.0,696.0,603.0,6549509.0,-197703.0,197703.0,0.0,0.0181,-7426796.0,88.0,FALL
2019-02-01,731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,-7426796.0,0.0,EVEN
2019-01-31,731.0,767.0,771.0,729.0,3171673.0,116087.0,-116087.0,0.0,0.014,-7426796.0,27.0,FALL
2019-01-30,758.0,761.0,777.0,757.0,2984025.0,-136402.0,136402.0,0.0,0.0164,-7426796.0,0.0,EVEN
2019-01-29,758.0,788.0,800.0,755.0,3784731.0,82286.0,-82286.0,0.0,0.0133,-7426796.0,30.0,FALL
2019-01-28,788.0,784.0,814.0,771.0,8627991.0,20078.0,-20078.0,0.0,0.015,-7426796.0,18.0,RISE
2019-01-25,770.0,800.0,801.0,760.0,5325813.0,-30202.0,30202.0,0.0,0.0154,-7426796.0,12.0,FALL
