,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2090.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-572670,0.0,EVEN
2020-06-04,2090.0,0.0,0.0,0.0,0.0,0,0,0,0.0001,-572670,0.0,EVEN
2020-06-03,2090.0,0.0,0.0,0.0,0.0,0,0,0,0.0001,-572670,0.0,EVEN
2020-06-02,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-572670.0,0.0,EVEN
2020-05-27,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-572670.0,0.0,EVEN
2020-04-27,2090.0,2060.0,2090.0,2015.0,12414.0,-1365.0,-128.0,1493.0,0.0,-572670.0,10.0,FALL
2020-04-24,2100.0,2085.0,2100.0,2050.0,5762.0,-131.0,128.0,3.0,0.0,-574163.0,5.0,RISE
2020-04-23,2095.0,2110.0,2110.0,2070.0,243.0,-11.0,0.0,11.0,0.0,-574166.0,10.0,RISE
2020-04-22,2085.0,2065.0,2100.0,2065.0,2552.0,760.0,0.0,-760.0,0.0,-574177.0,15.0,RISE
2020-04-21,2070.0,2060.0,2085.0,2060.0,3271.0,2470.0,0.0,-2470.0,0.0,-573417.0,10.0,RISE
2020-04-20,2060.0,2005.0,2060.0,2005.0,1550.0,848.0,0.0,-848.0,0.0,-570947.0,0.0,EVEN
2020-04-17,2060.0,2020.0,2060.0,2020.0,25734.0,15234.0,0.0,-15234.0,0.0,-570099.0,5.0,RISE
2020-04-16,2055.0,2045.0,2060.0,2040.0,29890.0,4107.0,0.0,-4107.0,0.0,-554865.0,10.0,RISE
2020-04-14,2045.0,2015.0,2045.0,2015.0,7703.0,1287.0,0.0,-1287.0,0.0,-550758.0,5.0,RISE
2020-04-13,2040.0,2015.0,2040.0,2010.0,4543.0,1860.0,0.0,-1860.0,0.0,-549471.0,5.0,RISE
2020-04-10,2035.0,2030.0,2035.0,2030.0,510.0,-10.0,0.0,10.0,0.0,-547611.0,0.0,EVEN
2020-04-09,2035.0,2035.0,2035.0,2010.0,2128.0,-1030.0,0.0,1030.0,0.0,-547621.0,5.0,RISE
2020-04-08,2030.0,2025.0,2035.0,2010.0,8360.0,-1556.0,0.0,1556.0,0.0,-548651.0,0.0,EVEN
2020-04-07,2030.0,2015.0,2030.0,2015.0,2192.0,-20.0,0.0,20.0,0.0,-550207.0,15.0,RISE
2020-04-06,2015.0,2010.0,2015.0,2010.0,807.0,756.0,0.0,-756.0,0.0,-550227.0,10.0,RISE
2020-04-03,2005.0,2015.0,2015.0,2000.0,1165.0,-1156.0,0.0,1156.0,0.0,-549471.0,0.0,EVEN
2020-04-02,2005.0,2015.0,2015.0,1995.0,24173.0,8912.0,0.0,-8912.0,0.0,-550627.0,5.0,FALL
2020-04-01,2010.0,2000.0,2035.0,2000.0,485.0,-447.0,0.0,447.0,0.0,-541715.0,5.0,FALL
2020-03-31,2015.0,2035.0,2035.0,2010.0,2552.0,-1525.0,0.0,1525.0,0.0,-542162.0,5.0,FALL
2020-03-30,2020.0,2005.0,2025.0,2000.0,7121.0,1246.0,0.0,-1246.0,0.0,-543687.0,0.0,EVEN
2020-03-27,2020.0,2035.0,2035.0,2005.0,101.0,-99.0,0.0,99.0,0.0001,-542441.0,20.0,RISE
2020-03-26,2000.0,1995.0,2025.0,1995.0,6642.0,4479.0,0.0,-4479.0,0.0,-542540.0,0.0,EVEN
2020-03-25,2000.0,1995.0,2010.0,1995.0,75937.0,-4211.0,0.0,4211.0,0.0,-538061.0,5.0,RISE
2020-03-24,1995.0,2000.0,2000.0,1980.0,9973.0,-6187.0,0.0,6187.0,0.0,-542272.0,10.0,FALL
2020-03-23,2005.0,2015.0,2015.0,1965.0,14060.0,-1734.0,0.0,1734.0,0.0001,-548459.0,15.0,FALL
2020-03-20,2020.0,2015.0,2020.0,2010.0,1674.0,-211.0,0.0,211.0,0.0001,-550193.0,0.0,EVEN
2020-03-19,2020.0,2000.0,2030.0,2000.0,3806.0,-61.0,0.0,61.0,0.0001,-550404.0,5.0,FALL
2020-03-18,2025.0,2030.0,2035.0,2010.0,17361.0,-9422.0,0.0,9422.0,0.0001,-550465.0,5.0,FALL
2020-03-17,2030.0,2035.0,2035.0,2015.0,5535.0,-1650.0,0.0,1650.0,0.0001,-559887.0,5.0,FALL
2020-03-16,2035.0,2045.0,2045.0,2010.0,2231.0,-642.0,0.0,642.0,0.0001,-561537.0,10.0,FALL
2020-03-13,2045.0,2015.0,2045.0,2015.0,11415.0,-3907.0,0.0,3907.0,0.0001,-562179.0,5.0,FALL
2020-03-12,2050.0,2050.0,2050.0,2030.0,2337.0,-50.0,0.0,50.0,0.0001,-566086.0,15.0,RISE
2020-03-11,2035.0,2055.0,2055.0,2035.0,5033.0,0.0,0.0,0.0,0.0001,-566136.0,20.0,FALL
2020-03-10,2055.0,2035.0,2055.0,2035.0,11.0,-2.0,0.0,2.0,0.0001,-566136.0,0.0,EVEN
2020-03-09,2055.0,2055.0,2060.0,2040.0,493.0,-390.0,0.0,390.0,0.0001,-566138.0,0.0,EVEN
2020-03-06,2055.0,2055.0,2060.0,2040.0,262.0,-10.0,0.0,10.0,0.0001,-566528.0,0.0,EVEN
2020-03-05,2055.0,2055.0,2055.0,2040.0,4722.0,-4010.0,0.0,4010.0,0.0001,-566538.0,0.0,EVEN
2020-03-04,2055.0,2050.0,2055.0,2040.0,703.0,-2.0,0.0,2.0,0.0001,-570548.0,0.0,EVEN
2020-03-03,2055.0,2055.0,2055.0,2050.0,1019.0,-20.0,0.0,20.0,0.0001,-570550.0,15.0,RISE
2020-03-02,2040.0,2055.0,2055.0,2040.0,785.0,602.0,0.0,-602.0,0.0001,-570570.0,15.0,FALL
2020-02-28,2055.0,2045.0,2055.0,2035.0,3902.0,619.0,0.0,-619.0,0.0001,-569968.0,5.0,RISE
2020-02-27,2050.0,2050.0,2050.0,2040.0,1656.0,-10.0,0.0,10.0,0.0001,-569349.0,0.0,EVEN
2020-02-26,2050.0,2050.0,2050.0,2040.0,445.0,-20.0,0.0,20.0,0.0001,-569359.0,10.0,RISE
2020-02-25,2040.0,2105.0,2105.0,2030.0,31868.0,30733.0,0.0,-30733.0,0.0001,-569379.0,30.0,FALL
2020-02-24,2070.0,2085.0,2085.0,2040.0,1053.0,-20.0,0.0,20.0,0.0001,-538646.0,25.0,FALL
2020-02-21,2095.0,2050.0,2095.0,2050.0,6458.0,-430.0,0.0,430.0,0.0001,-538666.0,0.0,EVEN
2020-02-20,2095.0,2105.0,2110.0,2050.0,5665.0,-30.0,0.0,30.0,0.0001,-539096.0,10.0,RISE
2020-02-19,2085.0,2100.0,2100.0,2085.0,215.0,-1.0,0.0,1.0,0.0001,-539126.0,20.0,FALL
2020-02-18,2105.0,2070.0,2105.0,2070.0,285.0,-20.0,0.0,20.0,0.0001,-539127.0,25.0,RISE
2020-02-17,2080.0,2080.0,2080.0,2080.0,57.0,-10.0,0.0,10.0,0.0001,-539147.0,10.0,RISE
2020-02-14,2070.0,2080.0,2080.0,2070.0,556.0,-543.0,0.0,543.0,0.0001,-539157.0,5.0,FALL
2020-02-13,2075.0,2065.0,2075.0,2050.0,3510.0,-1297.0,0.0,1297.0,0.0001,-539700.0,15.0,RISE
2020-02-12,2060.0,2055.0,2060.0,2050.0,3550.0,-3420.0,0.0,3420.0,0.0001,-540997.0,5.0,RISE
