,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,38000.0,37550.0,38050.0,37550.0,143.0,0,0,0,0.0,-3249,450.0,RISE
2020-06-04,37550.0,37300.0,38050.0,37250.0,433.0,0,0,0,0.0181,-3249,300.0,RISE
2020-06-03,37250.0,37300.0,37700.0,37200.0,629.0,0,0,0,0.0181,-3249,50.0,FALL
2020-06-02,37300.0,36500.0,37350.0,36500.0,374.0,0.0,0.0,0.0,0.0,-3552.0,200.0,RISE
2020-06-01,37100.0,36300.0,37400.0,36300.0,133.0,0.0,0.0,0.0,0.0181,-3552.0,0.0,EVEN
2020-05-29,37100.0,36900.0,37300.0,35950.0,514.0,0.0,0.0,0.0,0.0181,-3552.0,400.0,RISE
2020-05-28,36700.0,37000.0,37500.0,36700.0,586.0,0.0,0.0,0.0,0.0181,-3552.0,950.0,FALL
2020-05-27,37650.0,37800.0,37800.0,37400.0,113.0,0.0,0.0,0.0,0.0181,-3552.0,250.0,RISE
2020-05-26,37400.0,37200.0,37850.0,36650.0,558.0,0.0,0.0,0.0,0.0181,-3552.0,200.0,RISE
2020-05-25,37200.0,36500.0,37250.0,36500.0,304.0,0.0,0.0,0.0,0.0181,-3552.0,200.0,RISE
2020-05-22,37000.0,37000.0,37150.0,36500.0,290.0,0.0,0.0,0.0,0.0181,-3552.0,250.0,FALL
2020-05-21,37250.0,36600.0,37600.0,36600.0,332.0,0.0,0.0,0.0,0.0,-4549.0,0.0,EVEN
2020-05-20,37250.0,36850.0,37500.0,35900.0,332.0,0.0,0.0,0.0,0.0181,-4549.0,350.0,RISE
2020-05-19,36900.0,36300.0,37050.0,35300.0,1466.0,0.0,0.0,0.0,0.0181,-4549.0,800.0,RISE
2020-05-18,36100.0,35400.0,36300.0,35400.0,2096.0,600.0,0.0,-600.0,0.0181,-4549.0,1150.0,RISE
2020-05-15,34950.0,34700.0,35150.0,34600.0,147.0,0.0,0.0,0.0,0.0181,-3949.0,100.0,RISE
2020-05-14,34850.0,34600.0,35200.0,34600.0,94.0,0.0,0.0,0.0,0.0181,-3949.0,300.0,FALL
2020-05-13,35150.0,34950.0,35150.0,34400.0,78.0,0.0,0.0,0.0,0.0181,-3949.0,200.0,RISE
2020-05-12,34950.0,35400.0,35800.0,34850.0,399.0,0.0,0.0,0.0,0.0181,-3949.0,600.0,FALL
2020-05-08,35450.0,35450.0,35800.0,35150.0,506.0,0.0,0.0,0.0,0.0181,-3949.0,0.0,EVEN
2020-05-07,35450.0,35000.0,35500.0,35000.0,594.0,0.0,0.0,0.0,0.0181,-3949.0,750.0,RISE
2020-05-04,34700.0,35000.0,36000.0,34000.0,802.0,-10.0,0.0,10.0,0.0181,-3949.0,300.0,FALL
2020-04-29,35000.0,35100.0,35950.0,34500.0,264.0,0.0,0.0,0.0,0.0181,-3959.0,100.0,FALL
2020-04-28,35100.0,35550.0,35550.0,34600.0,262.0,0.0,0.0,0.0,0.0181,-3959.0,450.0,FALL
2020-04-27,35550.0,34900.0,35550.0,34600.0,221.0,0.0,0.0,0.0,0.0181,-3959.0,800.0,RISE
2020-04-24,34750.0,34000.0,34750.0,33950.0,44.0,-1.0,0.0,1.0,0.0181,-3959.0,250.0,RISE
2020-04-23,34500.0,33950.0,34500.0,33950.0,14.0,0.0,0.0,0.0,0.0181,-3960.0,650.0,RISE
2020-04-22,33850.0,33850.0,34200.0,33000.0,365.0,0.0,0.0,0.0,0.0181,-3960.0,300.0,FALL
2020-04-21,34150.0,35400.0,35400.0,34050.0,830.0,0.0,0.0,0.0,0.0181,-3960.0,1250.0,FALL
2020-04-20,35400.0,35700.0,35700.0,35000.0,643.0,0.0,0.0,0.0,0.0181,-3960.0,250.0,FALL
2020-04-17,35650.0,35950.0,35950.0,34650.0,286.0,0.0,0.0,0.0,0.0181,-3960.0,1550.0,RISE
2020-04-16,34100.0,33950.0,34200.0,33600.0,233.0,0.0,0.0,0.0,0.0181,-3960.0,150.0,RISE
2020-04-14,33950.0,33500.0,33950.0,33000.0,233.0,10.0,0.0,-10.0,0.0181,-3960.0,450.0,RISE
2020-04-13,33500.0,32650.0,33700.0,32350.0,205.0,-10.0,0.0,10.0,0.0181,-3950.0,850.0,RISE
2020-04-10,32650.0,32450.0,33200.0,32400.0,233.0,-11.0,0.0,11.0,0.0181,-3960.0,200.0,RISE
