,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,9300.0,9280.0,9430.0,9230.0,51927.0,-9814,9814,0,0.0257,-53603,30.0,FALL
2020-06-04,9330.0,9700.0,9720.0,9230.0,173031.0,6851,-6851,0,0.0241,-53603,30.0,RISE
2020-06-03,9300.0,9350.0,9380.0,9170.0,64378.0,6039,-6039,0,0.0252,-53603,80.0,RISE
2020-06-02,9220.0,9290.0,9290.0,9100.0,49966.0,2486.0,-2478.0,-8.0,0.0262,-46834.0,70.0,FALL
2020-06-01,9290.0,9140.0,9360.0,9140.0,54893.0,-1445.0,1445.0,0.0,0.0266,-46826.0,160.0,RISE
2020-05-29,9130.0,9200.0,9240.0,8890.0,61315.0,1817.0,-1817.0,0.0,0.0264,-46826.0,60.0,FALL
2020-05-28,9190.0,9620.0,9620.0,9070.0,99375.0,27259.0,-25759.0,-1500.0,0.0267,-46826.0,270.0,FALL
2020-05-27,9460.0,9670.0,9810.0,9340.0,160753.0,26099.0,-27599.0,1500.0,0.031,-45326.0,120.0,FALL
2020-05-26,9580.0,9210.0,9680.0,9130.0,200569.0,-29803.0,29991.0,-188.0,0.0356,-46826.0,450.0,RISE
2020-05-25,9130.0,9060.0,9190.0,8910.0,109365.0,-12988.0,12988.0,0.0,0.0306,-46638.0,20.0,RISE
2020-05-22,9110.0,9360.0,9420.0,9060.0,144309.0,8427.0,-8286.0,-141.0,0.0284,-46638.0,310.0,FALL
2020-05-21,9420.0,9390.0,9450.0,9270.0,84860.0,3927.0,-3927.0,0.0,0.0298,-35698.0,80.0,RISE
2020-05-20,9340.0,9400.0,9510.0,9270.0,106001.0,17515.0,-17515.0,0.0,0.0305,-35698.0,60.0,FALL
2020-05-19,9400.0,8980.0,9530.0,8980.0,249665.0,-34710.0,34710.0,0.0,0.0334,-35698.0,450.0,RISE
2020-05-18,8950.0,9130.0,9140.0,8770.0,111788.0,1891.0,-1891.0,0.0,0.0276,-35698.0,180.0,RISE
2020-05-15,8770.0,8710.0,8810.0,8500.0,84251.0,3482.0,-3482.0,0.0,0.0279,-35698.0,70.0,RISE
2020-05-14,8700.0,8990.0,9050.0,8640.0,121894.0,10876.0,-10876.0,0.0,0.0285,-35698.0,360.0,FALL
2020-05-13,9060.0,8880.0,9100.0,8750.0,68658.0,-1626.0,1626.0,0.0,0.0303,-35698.0,20.0,FALL
2020-05-12,9080.0,9190.0,9270.0,8900.0,103522.0,10398.0,-10398.0,0.0,0.03,-35698.0,110.0,FALL
2020-05-11,9190.0,9240.0,9390.0,9070.0,194094.0,26480.0,-26480.0,0.0,0.0318,-35698.0,10.0,FALL
2020-05-08,9200.0,8800.0,9240.0,8740.0,243942.0,-10891.0,10891.0,0.0,0.0362,-35698.0,490.0,RISE
2020-05-07,8710.0,8690.0,8880.0,8510.0,62219.0,3209.0,-3209.0,0.0,0.0344,-35698.0,60.0,RISE
2020-05-06,8650.0,8550.0,8740.0,8520.0,122428.0,-1911.0,1890.0,21.0,0.0349,-35698.0,150.0,RISE
2020-05-04,8500.0,8510.0,8620.0,8350.0,102844.0,1941.0,294.0,-2235.0,0.0347,-35719.0,100.0,FALL
2020-04-29,8600.0,8230.0,8690.0,8230.0,195129.0,-22499.0,22499.0,0.0,0.0346,-33484.0,330.0,RISE
2020-04-28,8270.0,8380.0,8390.0,8100.0,26781.0,-1865.0,1865.0,0.0,0.0309,-33484.0,30.0,FALL
2020-04-27,8300.0,8360.0,8500.0,8150.0,95293.0,-15727.0,15727.0,0.0,0.0306,-33484.0,10.0,FALL
2020-04-24,8310.0,8480.0,8480.0,8190.0,51208.0,5296.0,-5411.0,115.0,0.0279,-33484.0,180.0,FALL
2020-04-23,8490.0,8610.0,8620.0,8350.0,67572.0,-803.0,-1826.0,2629.0,0.0288,-33599.0,100.0,FALL
2020-04-22,8590.0,8230.0,8590.0,8080.0,58627.0,4550.0,-6097.0,1547.0,0.0291,-36228.0,140.0,RISE
2020-04-21,8450.0,8670.0,8670.0,8060.0,55160.0,3831.0,-3831.0,0.0,0.0302,-37775.0,180.0,FALL
2020-04-20,8630.0,8650.0,8760.0,8450.0,72974.0,3534.0,-3385.0,-149.0,0.0308,-37775.0,10.0,RISE
2020-04-17,8620.0,8330.0,8730.0,8200.0,152103.0,-23833.0,23833.0,0.0,0.0314,-37626.0,420.0,RISE
2020-04-16,8200.0,8150.0,8250.0,7900.0,26164.0,688.0,-688.0,0.0,0.0274,-37626.0,40.0,RISE
2020-04-14,8160.0,7910.0,8250.0,7910.0,52947.0,-14881.0,15274.0,-393.0,0.0275,-37626.0,290.0,RISE
2020-04-13,7870.0,8350.0,8360.0,7850.0,52954.0,16686.0,-16686.0,0.0,0.025,-37233.0,530.0,FALL
