,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2625.0,2640.0,2670.0,2600.0,61769.0,-6949,6949,0,0.0184,2637,10.0,FALL
2020-06-04,2635.0,2690.0,2690.0,2610.0,73198.0,344,-344,0,0.0181,2637,10.0,FALL
2020-06-03,2645.0,2635.0,2670.0,2605.0,70372.0,718,-718,0,0.0181,2637,10.0,RISE
2020-06-02,2635.0,2655.0,2655.0,2585.0,40908.0,-2647.0,2647.0,0.0,0.0181,2637.0,10.0,RISE
2020-06-01,2625.0,2600.0,2640.0,2535.0,72662.0,2850.0,-2850.0,0.0,0.018000000000000002,2637.0,70.0,RISE
2020-05-29,2555.0,2530.0,2625.0,2500.0,72255.0,-8864.0,8864.0,0.0,0.0181,2637.0,20.0,FALL
2020-05-28,2575.0,2655.0,2665.0,2460.0,150583.0,15203.0,-15203.0,0.0,0.0177,2637.0,55.0,FALL
2020-05-27,2630.0,2610.0,2650.0,2585.0,144263.0,-8631.0,8631.0,0.0,0.0184,2637.0,25.0,RISE
2020-05-26,2605.0,2545.0,2650.0,2540.0,284341.0,-46616.0,46616.0,0.0,0.018000000000000002,2637.0,65.0,RISE
2020-05-25,2540.0,2500.0,2820.0,2500.0,1425351.0,28641.0,-28641.0,0.0,0.0157,2637.0,40.0,RISE
2020-05-22,2500.0,2550.0,2585.0,2465.0,80121.0,9093.0,-9093.0,0.0,0.0171,2637.0,60.0,FALL
2020-05-21,2560.0,2600.0,2605.0,2535.0,64870.0,-5540.0,5540.0,0.0,0.0176,1083.0,0.0,EVEN
2020-05-20,2560.0,2565.0,2580.0,2515.0,42297.0,-2150.0,2150.0,0.0,0.0173,1083.0,60.0,RISE
2020-05-19,2500.0,2480.0,2600.0,2480.0,81478.0,-8060.0,8060.0,0.0,0.0172,1083.0,30.0,RISE
2020-05-18,2470.0,2565.0,2565.0,2450.0,50600.0,-7181.0,7181.0,0.0,0.0168,1083.0,55.0,FALL
2020-05-15,2525.0,2495.0,2535.0,2480.0,24802.0,-6173.0,6173.0,0.0,0.0164,1083.0,25.0,RISE
2020-05-14,2500.0,2555.0,2555.0,2480.0,47253.0,-4954.0,4954.0,0.0,0.0161,1083.0,60.0,FALL
2020-05-13,2560.0,2560.0,2590.0,2505.0,13272.0,-2110.0,2110.0,0.0,0.0159,1083.0,0.0,EVEN
2020-05-12,2560.0,2560.0,2570.0,2480.0,68589.0,-2540.0,2540.0,0.0,0.0158,1083.0,0.0,EVEN
2020-05-11,2560.0,2605.0,2620.0,2530.0,99657.0,1735.0,-1735.0,0.0,0.0156,1083.0,50.0,FALL
2020-05-08,2610.0,2640.0,2680.0,2575.0,131403.0,-13605.0,13605.0,0.0,0.0157,1083.0,30.0,FALL
2020-05-07,2640.0,2640.0,2790.0,2600.0,263842.0,8536.0,-8536.0,0.0,0.015,1083.0,40.0,RISE
2020-05-06,2600.0,2540.0,2635.0,2505.0,335130.0,1716.0,-1716.0,0.0,0.0155,1083.0,65.0,RISE
2020-05-04,2535.0,2400.0,2535.0,2400.0,97633.0,-16311.0,16311.0,0.0,0.0156,1083.0,110.0,RISE
2020-04-29,2425.0,2400.0,2540.0,2400.0,211914.0,-6116.0,6116.0,0.0,0.0147,1083.0,25.0,RISE
2020-04-28,2400.0,2395.0,2470.0,2350.0,105869.0,-3586.0,3587.0,-1.0,0.0144,1083.0,5.0,RISE
2020-04-27,2395.0,2415.0,2430.0,2350.0,110168.0,-11909.0,11909.0,0.0,0.0143,1084.0,35.0,RISE
2020-04-24,2360.0,2500.0,2560.0,2340.0,289416.0,-1287.0,1287.0,0.0,0.0137,1084.0,165.0,FALL
2020-04-23,2525.0,2515.0,2690.0,2440.0,1102220.0,2905.0,-2905.0,0.0,0.0136,1084.0,165.0,FALL
2020-04-22,2690.0,2270.0,2780.0,2245.0,2768316.0,36309.0,-36309.0,0.0,0.0137,1084.0,340.0,RISE
2020-04-21,2350.0,2290.0,2610.0,2100.0,1632783.0,48910.0,-48910.0,0.0,0.0156,1084.0,35.0,RISE
2020-04-20,2315.0,2330.0,2460.0,2280.0,248271.0,12537.0,-12537.0,0.0,0.018000000000000002,1084.0,25.0,RISE
2020-04-17,2290.0,2320.0,2350.0,2265.0,221414.0,-22440.0,22440.0,0.0,0.0186,1084.0,65.0,FALL
2020-04-16,2355.0,2130.0,2440.0,2090.0,859560.0,-39286.0,39286.0,0.0,0.0175,1084.0,230.0,RISE
2020-04-14,2125.0,2090.0,2145.0,2035.0,67031.0,-12928.0,12928.0,0.0,0.0155,1084.0,80.0,RISE
2020-04-13,2045.0,2175.0,2175.0,2045.0,40666.0,5762.0,-5762.0,0.0,0.0149,1084.0,100.0,FALL
2020-04-10,2145.0,2190.0,2195.0,2065.0,128501.0,9470.0,-9470.0,0.0,0.0152,1084.0,25.0,FALL
2020-04-09,2170.0,2205.0,2205.0,2125.0,112899.0,-3419.0,3419.0,0.0,0.0157,1084.0,15.0,RISE
2020-04-08,2155.0,2195.0,2240.0,2135.0,109321.0,-653.0,653.0,0.0,0.0155,1084.0,40.0,FALL
2020-04-07,2195.0,2195.0,2230.0,2120.0,171917.0,-33840.0,33840.0,0.0,0.0155,1084.0,5.0,RISE
2020-04-06,2190.0,2195.0,2240.0,2110.0,103368.0,-10385.0,10385.0,0.0,0.0138,1084.0,50.0,RISE
2020-04-03,2140.0,2120.0,2165.0,2090.0,54073.0,11198.0,-11198.0,0.0,0.0132,1084.0,20.0,RISE
2020-04-02,2120.0,2120.0,2150.0,2040.0,40639.0,-2223.0,2223.0,0.0,0.0138,1084.0,0.0,EVEN
2020-04-01,2120.0,2140.0,2230.0,2000.0,156929.0,-9042.0,9042.0,0.0,0.0137,1084.0,25.0,FALL
2020-03-31,2145.0,2080.0,2220.0,2035.0,80865.0,2540.0,-2540.0,0.0,0.0132,1084.0,120.0,RISE
2020-03-30,2025.0,1850.0,2065.0,1850.0,90960.0,-7395.0,7395.0,0.0,0.0134,1084.0,105.0,RISE
2020-03-27,1920.0,1870.0,1950.0,1800.0,144388.0,15597.0,-15597.0,0.0,0.013,1084.0,80.0,RISE
2020-03-26,1840.0,1770.0,1945.0,1770.0,157041.0,24555.0,-24555.0,0.0,0.014,1084.0,50.0,RISE
2020-03-25,1790.0,1790.0,1850.0,1700.0,110561.0,19525.0,-19525.0,0.0,0.0153,1084.0,105.0,RISE
2020-03-24,1685.0,1590.0,1685.0,1590.0,72743.0,13407.0,-13407.0,0.0,0.0162,1084.0,120.0,RISE
2020-03-23,1565.0,1460.0,1700.0,1460.0,132112.0,17726.0,-17726.0,0.0,0.017,1084.0,30.0,FALL
2020-03-20,1595.0,1365.0,1625.0,1365.0,321405.0,-25337.0,25337.0,0.0,0.0178,1084.0,245.0,RISE
2020-03-19,1350.0,1820.0,1840.0,1320.0,371497.0,-21628.0,22128.0,-500.0,0.0166,1084.0,500.0,FALL
2020-03-18,1850.0,2045.0,2190.0,1840.0,107925.0,-8311.0,8311.0,0.0,0.0156,1584.0,215.0,FALL
2020-03-17,2065.0,1800.0,2150.0,1800.0,104874.0,-4741.0,4741.0,0.0,0.0153,1584.0,15.0,RISE
2020-03-16,2050.0,2055.0,2240.0,2050.0,121674.0,-13348.0,13348.0,0.0,0.0151,1584.0,100.0,FALL
2020-03-13,2150.0,2100.0,2250.0,1935.0,249024.0,-8410.0,8410.0,0.0,0.0164,1584.0,260.0,FALL
2020-03-12,2410.0,2630.0,2630.0,2300.0,267064.0,41187.0,-41187.0,0.0,0.016,1584.0,235.0,FALL
2020-03-11,2645.0,2720.0,2760.0,2500.0,87568.0,8580.0,-8580.0,0.0,0.0181,1584.0,115.0,FALL
2020-03-10,2760.0,2600.0,2770.0,2565.0,160426.0,18239.0,-18239.0,0.0,0.0185,1584.0,100.0,RISE
2020-03-09,2660.0,2795.0,2830.0,2600.0,87350.0,18335.0,-18335.0,0.0,0.0194,1584.0,190.0,FALL
2020-03-06,2850.0,2915.0,2915.0,2795.0,51858.0,18150.0,-18150.0,0.0,0.0203,1584.0,70.0,FALL
2020-03-05,2920.0,2915.0,2940.0,2885.0,30615.0,-2750.0,2750.0,0.0,0.0212,1584.0,5.0,RISE
2020-03-04,2915.0,2810.0,2915.0,2785.0,44168.0,-4041.0,4041.0,0.0,0.0211,1584.0,70.0,RISE
2020-03-03,2845.0,2930.0,2930.0,2825.0,29486.0,7620.0,-7620.0,0.0,0.0209,1584.0,5.0,FALL
