,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,20450.0,20450.0,20800.0,20400.0,12812.0,274,-518,244,0.0234,-113358,100.0,FALL
2020-06-04,20550.0,20650.0,20650.0,20250.0,24697.0,-3803,2757,1046,0.0235,-113602,100.0,RISE
2020-06-03,20450.0,20850.0,20850.0,20250.0,8216.0,3001,-2886,-115,0.024,-114648,50.0,FALL
2020-06-02,20500.0,20100.0,20700.0,20100.0,21976.0,-2902.0,2971.0,-69.0,0.0245,-114565.0,400.0,RISE
2020-06-01,20100.0,19750.0,20200.0,19750.0,9965.0,-1600.0,1600.0,0.0,0.024,-114496.0,300.0,RISE
2020-05-29,19800.0,19750.0,20150.0,19300.0,10775.0,551.0,-551.0,0.0,0.0236,-114496.0,200.0,FALL
2020-05-28,20000.0,20450.0,20500.0,19750.0,30755.0,7783.0,-2566.0,-5217.0,0.0238,-114496.0,200.0,FALL
2020-05-27,20200.0,20350.0,20350.0,20050.0,8881.0,-283.0,283.0,0.0,0.0243,-109279.0,0.0,EVEN
2020-05-26,20200.0,20450.0,20500.0,20100.0,10333.0,1672.0,-1133.0,-539.0,0.0242,-109279.0,0.0,EVEN
2020-05-25,20200.0,20200.0,20500.0,19900.0,17052.0,-457.0,207.0,250.0,0.0244,-108740.0,100.0,FALL
2020-05-21,20650.0,20400.0,20750.0,20100.0,33535.0,-5497.0,4108.0,1389.0,0.0248,-100454.0,450.0,RISE
2020-05-20,20200.0,20300.0,20450.0,20000.0,15772.0,-4483.0,4483.0,0.0,0.024,-101843.0,50.0,FALL
2020-05-19,20250.0,20300.0,20750.0,20000.0,16360.0,-333.0,2315.0,-1982.0,0.0232,-101843.0,50.0,FALL
2020-05-18,20300.0,20550.0,20600.0,20000.0,15070.0,-710.0,25.0,685.0,0.0227,-99861.0,100.0,FALL
2020-05-15,20400.0,20400.0,20800.0,20300.0,33894.0,-70.0,2070.0,-2000.0,0.0227,-100546.0,0.0,EVEN
2020-05-14,20400.0,20500.0,20700.0,20150.0,11310.0,278.0,-278.0,0.0,0.0223,-98546.0,100.0,FALL
2020-05-13,20500.0,20050.0,20500.0,20050.0,16401.0,1217.0,-177.0,-1040.0,0.0223,-98546.0,0.0,EVEN
