,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,7090.0,7140.0,7140.0,7010.0,52693.0,-17121,17967,-846,0.0271,-266835,30.0,RISE
2020-06-04,7060.0,7100.0,7180.0,6960.0,86792.0,-2141,16412,-14271,0.0251,-265989,10.0,FALL
2020-06-03,7070.0,7120.0,7170.0,7000.0,56229.0,15135,-1397,-13738,0.0232,-251718,30.0,FALL
2020-06-02,7100.0,7040.0,7170.0,7040.0,45490.0,-11943.0,16606.0,-4663.0,0.0234,-262109.0,60.0,RISE
2020-06-01,7040.0,7070.0,7150.0,7000.0,52420.0,4329.0,4934.0,-9263.0,0.0215,-257446.0,30.0,FALL
2020-05-29,7070.0,6970.0,7180.0,6950.0,59526.0,611.0,6244.0,-6855.0,0.021,-248183.0,30.0,FALL
2020-05-28,7100.0,7290.0,7340.0,6910.0,62254.0,15745.0,-15745.0,0.0,0.0207,-241328.0,180.0,FALL
2020-05-27,7280.0,7400.0,7440.0,7210.0,58817.0,15407.0,-7808.0,-7599.0,0.0224,-241328.0,70.0,FALL
2020-05-26,7350.0,7310.0,7410.0,7190.0,82629.0,-25132.0,25132.0,0.0,0.0233,-233729.0,140.0,RISE
2020-05-25,7210.0,7140.0,7320.0,7080.0,45693.0,-6427.0,7033.0,-606.0,0.0205,-233729.0,10.0,RISE
2020-05-21,7390.0,7490.0,7600.0,7350.0,38646.0,5587.0,-3184.0,-2403.0,0.0192,-324501.0,60.0,FALL
2020-05-20,7450.0,7310.0,7490.0,7310.0,55671.0,-12856.0,12856.0,0.0,0.0196,-322098.0,140.0,RISE
2020-05-19,7310.0,7150.0,7340.0,7100.0,52154.0,-14487.0,14487.0,0.0,0.0181,-322098.0,210.0,RISE
2020-05-18,7100.0,7110.0,7260.0,7010.0,60635.0,-6787.0,14293.0,-7506.0,0.0165,-322098.0,150.0,FALL
2020-05-15,7250.0,7280.0,7300.0,7040.0,43634.0,-4674.0,4574.0,100.0,0.0149,-314592.0,150.0,RISE
2020-05-14,7100.0,7270.0,7390.0,7060.0,78996.0,2587.0,-2587.0,0.0,0.0144,-314692.0,300.0,FALL
2020-05-13,7400.0,7390.0,7410.0,7160.0,69438.0,-18489.0,18591.0,-102.0,0.0147,-314692.0,10.0,RISE
2020-05-12,7390.0,7600.0,7660.0,7340.0,72510.0,10604.0,-9434.0,-1170.0,0.0127,-314590.0,230.0,FALL
2020-05-11,7620.0,7820.0,7850.0,7550.0,95105.0,11091.0,-10287.0,-804.0,0.0137,-313420.0,120.0,FALL
2020-05-08,7740.0,7670.0,7810.0,7600.0,164698.0,-28840.0,28840.0,0.0,0.0149,-312616.0,80.0,RISE
2020-05-07,7660.0,7630.0,7800.0,7520.0,118941.0,-12091.0,14092.0,-2001.0,0.0117,-312616.0,60.0,RISE
2020-05-06,7600.0,7680.0,7790.0,7500.0,153555.0,18707.0,-12366.0,-6341.0,0.0101,-310615.0,80.0,FALL
2020-05-04,7680.0,7200.0,8450.0,7020.0,1197607.0,38420.0,-30242.0,-8178.0,0.0115,-304274.0,480.0,RISE
2020-04-29,7200.0,7130.0,7290.0,7040.0,71746.0,5633.0,751.0,-6384.0,0.0148,-296096.0,70.0,RISE
2020-04-28,7130.0,7400.0,7400.0,6980.0,89507.0,8607.0,828.0,-9435.0,0.0148,-289712.0,50.0,FALL
2020-04-27,7180.0,7130.0,7310.0,7130.0,67460.0,-4067.0,5320.0,-1253.0,0.0146,-280277.0,100.0,RISE
2020-04-24,7080.0,7170.0,7300.0,7020.0,121529.0,-8460.0,10460.0,-2000.0,0.014,-279024.0,170.0,FALL
2020-04-23,7250.0,7200.0,7440.0,7130.0,136742.0,8040.0,-7808.0,-232.0,0.0129,-277024.0,130.0,RISE
2020-04-22,7120.0,6950.0,7150.0,6880.0,99884.0,11170.0,-11170.0,0.0,0.0137,-276792.0,0.0,EVEN
2020-04-21,7120.0,7120.0,7290.0,6750.0,237578.0,29689.0,-23629.0,-6060.0,0.015,-276792.0,30.0,RISE
2020-04-20,7090.0,6610.0,7100.0,6410.0,213617.0,-18161.0,18161.0,0.0,0.0177,-270732.0,600.0,RISE
2020-04-17,6490.0,6300.0,6490.0,6170.0,130357.0,-6300.0,6300.0,0.0,0.0157,-270732.0,350.0,RISE
2020-04-16,6140.0,5810.0,6180.0,5750.0,118018.0,-17704.0,25949.0,-8245.0,0.015,-270732.0,330.0,RISE
2020-04-14,5810.0,5780.0,5840.0,5700.0,42064.0,-8285.0,8288.0,-3.0,0.0121,-262487.0,30.0,RISE
2020-04-13,5780.0,5940.0,5990.0,5650.0,45009.0,5512.0,-10546.0,5034.0,0.0112,-262484.0,160.0,FALL
2020-04-10,5940.0,5920.0,6010.0,5620.0,56160.0,-2624.0,-6754.0,9378.0,0.0124,-267518.0,20.0,RISE
2020-04-09,5920.0,5910.0,5980.0,5760.0,73857.0,-3257.0,2846.0,411.0,0.0131,-276896.0,90.0,RISE
2020-04-08,5830.0,5840.0,5890.0,5680.0,60587.0,-5910.0,-5193.0,11103.0,0.0128,-277307.0,10.0,RISE
2020-04-07,5820.0,5720.0,5900.0,5520.0,87393.0,-16567.0,6781.0,9786.0,0.0134,-288410.0,180.0,RISE
2020-04-06,5640.0,5500.0,5640.0,5380.0,52266.0,-9597.0,10167.0,-570.0,0.0127,-298196.0,170.0,RISE
2020-04-03,5470.0,5320.0,5560.0,5260.0,41723.0,9170.0,-8705.0,-465.0,0.0115,-297626.0,70.0,RISE
2020-04-02,5400.0,5330.0,5420.0,5150.0,42103.0,-10433.0,7189.0,3244.0,0.0144,-297161.0,100.0,RISE
2020-04-01,5300.0,5160.0,5420.0,5120.0,65091.0,-11082.0,2153.0,8929.0,0.0136,-300405.0,140.0,RISE
2020-03-31,5160.0,4945.0,5230.0,4945.0,64724.0,11958.0,-11958.0,0.0,0.0136,-309334.0,215.0,RISE
2020-03-30,4945.0,4650.0,4965.0,4650.0,29898.0,-9120.0,9120.0,0.0,0.015,-309334.0,55.0,RISE
2020-03-27,4890.0,4980.0,5120.0,4680.0,67828.0,-19402.0,-6.0,19408.0,0.0139,-309334.0,65.0,RISE
2020-03-26,4825.0,4720.0,4920.0,4410.0,72974.0,-14214.0,-4814.0,19028.0,0.0139,-328742.0,105.0,RISE
2020-03-25,4720.0,4510.0,4900.0,4510.0,64732.0,4544.0,-5937.0,1393.0,0.0145,-347770.0,285.0,RISE
2020-03-24,4435.0,4270.0,4485.0,4020.0,65060.0,-23905.0,11709.0,12196.0,0.0151,-349163.0,565.0,RISE
2020-03-23,3870.0,3655.0,4195.0,3510.0,122706.0,-13437.0,-23673.0,37110.0,0.0139,-361359.0,180.0,FALL
2020-03-20,4050.0,3505.0,4270.0,3505.0,189673.0,-43336.0,3072.0,40264.0,0.0165,-398469.0,600.0,RISE
2020-03-19,3450.0,4395.0,4405.0,3420.0,159219.0,-8184.0,8180.0,4.0,0.0162,-438733.0,930.0,FALL
2020-03-18,4380.0,4525.0,4645.0,4245.0,136908.0,14136.0,-14139.0,3.0,0.0154,-438737.0,115.0,FALL
2020-03-17,4495.0,4045.0,4645.0,3920.0,240210.0,-20714.0,32326.0,-11612.0,0.0174,-438740.0,105.0,FALL
2020-03-16,4600.0,5000.0,5050.0,4510.0,101390.0,7119.0,-7119.0,0.0,0.0143,-427128.0,250.0,FALL
2020-03-13,4850.0,4850.0,5170.0,4505.0,233707.0,-6377.0,6377.0,0.0,0.0151,-427128.0,700.0,FALL
2020-03-12,5550.0,6220.0,6220.0,5330.0,234901.0,-12668.0,3236.0,9432.0,0.0144,-427128.0,670.0,FALL
2020-03-11,6220.0,6500.0,6500.0,6060.0,71140.0,15756.0,-15757.0,1.0,0.0141,-436560.0,290.0,FALL
2020-03-10,6510.0,6200.0,6610.0,6120.0,69006.0,8459.0,-8405.0,-54.0,0.0158,-436561.0,210.0,RISE
2020-03-09,6300.0,6700.0,6700.0,6230.0,112693.0,29472.0,-29475.0,3.0,0.0168,-436507.0,510.0,FALL
2020-03-06,6810.0,6860.0,7000.0,6700.0,61803.0,-1285.0,-3160.0,4445.0,0.02,-436510.0,230.0,FALL
2020-03-05,7040.0,6870.0,7120.0,6830.0,79226.0,-14361.0,14361.0,0.0,0.0204,-440955.0,280.0,RISE
2020-03-04,6760.0,6530.0,6900.0,6470.0,33664.0,-11764.0,11816.0,-52.0,0.0188,-440955.0,130.0,RISE
2020-03-03,6630.0,6780.0,6940.0,6600.0,53543.0,1620.0,-1620.0,0.0,0.0175,-440903.0,20.0,FALL
2020-03-02,6650.0,6410.0,6710.0,6310.0,92441.0,2004.0,-2004.0,0.0,0.0177,-440903.0,150.0,RISE
2020-02-28,6500.0,6890.0,6980.0,6430.0,125920.0,9813.0,-16959.0,7146.0,0.0179,-440903.0,640.0,FALL
2020-02-27,7140.0,7470.0,7520.0,7010.0,134686.0,6752.0,-12078.0,5326.0,0.0198,-448049.0,360.0,FALL
2020-02-26,7500.0,7520.0,7590.0,7110.0,94387.0,1803.0,-8834.0,7031.0,0.0211,-453375.0,80.0,FALL
2020-02-25,7580.0,7390.0,7830.0,7300.0,172933.0,10974.0,-26078.0,15104.0,0.0221,-460406.0,270.0,RISE
