,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,477.0,482.0,482.0,460.0,127469.0,-11180,11453,-273,0.0231,-90490,11.0,RISE
2020-06-04,466.0,464.0,470.0,455.0,165689.0,-11689,12168,-479,0.0229,-90217,6.0,RISE
2020-06-03,460.0,458.0,467.0,457.0,183085.0,-11260,11886,-626,0.0227,-89738,3.0,RISE
2020-06-02,457.0,469.0,469.0,451.0,154349.0,-12868.0,13145.0,-277.0,0.0237,-88787.0,0.0,EVEN
2020-06-01,457.0,454.0,459.0,444.0,171428.0,-10433.0,10303.0,130.0,0.0234,-88510.0,5.0,RISE
2020-05-29,452.0,458.0,464.0,444.0,121747.0,9396.0,-9297.0,-99.0,0.0233,-88640.0,6.0,FALL
2020-05-28,458.0,473.0,482.0,450.0,449674.0,-612.0,802.0,-190.0,0.0234,-88541.0,15.0,FALL
2020-05-27,473.0,464.0,477.0,462.0,227827.0,-3574.0,3616.0,-42.0,0.0234,-88351.0,9.0,RISE
2020-05-26,464.0,466.0,488.0,461.0,359214.0,3305.0,-3307.0,2.0,0.0233,-88309.0,3.0,FALL
2020-05-25,467.0,465.0,472.0,459.0,94298.0,8640.0,-8662.0,22.0,0.0234,-88311.0,4.0,RISE
2020-05-21,460.0,453.0,465.0,440.0,392906.0,8943.0,-8942.0,-1.0,0.024,-77709.0,8.0,RISE
2020-05-20,452.0,450.0,456.0,432.0,399391.0,915.0,-938.0,23.0,0.0242,-77708.0,2.0,RISE
2020-05-19,450.0,446.0,456.0,440.0,248649.0,396.0,-406.0,10.0,0.0242,-77731.0,4.0,RISE
2020-05-18,446.0,444.0,451.0,436.0,65990.0,7939.0,-7960.0,21.0,0.0242,-77741.0,3.0,FALL
2020-05-15,449.0,447.0,455.0,437.0,82353.0,14181.0,-14542.0,361.0,0.0243,-77762.0,1.0,FALL
2020-05-14,450.0,440.0,461.0,430.0,235378.0,17983.0,-18215.0,232.0,0.0246,-78123.0,11.0,RISE
2020-05-13,439.0,442.0,442.0,431.0,80776.0,1894.0,-1959.0,65.0,0.0249,-78355.0,6.0,RISE
2020-05-12,433.0,448.0,448.0,430.0,127758.0,11176.0,-11484.0,308.0,0.025,-78420.0,12.0,FALL
2020-05-11,445.0,448.0,459.0,440.0,109945.0,-791.0,746.0,45.0,0.0252,-78728.0,2.0,FALL
2020-05-08,447.0,439.0,449.0,434.0,226226.0,-2947.0,3541.0,-594.0,0.0251,-78773.0,15.0,RISE
2020-05-07,432.0,432.0,440.0,427.0,56624.0,-1188.0,1126.0,62.0,0.0251,-78179.0,0.0,EVEN
2020-05-06,432.0,431.0,434.0,422.0,146923.0,5813.0,-6166.0,353.0,0.0251,-78241.0,0.0,EVEN
2020-05-04,432.0,435.0,440.0,427.0,153742.0,-247.0,-96.0,343.0,0.0252,-78594.0,2.0,FALL
2020-04-29,434.0,436.0,442.0,427.0,90309.0,-8862.0,4159.0,4703.0,0.0252,-78937.0,2.0,RISE
2020-04-28,432.0,443.0,443.0,424.0,110170.0,-3488.0,3578.0,-90.0,0.0251,-83640.0,3.0,FALL
2020-04-27,435.0,426.0,436.0,425.0,147596.0,-11175.0,11154.0,21.0,0.025,-83550.0,10.0,RISE
2020-04-24,425.0,447.0,479.0,405.0,843316.0,3004.0,-3043.0,39.0,0.0248,-83571.0,25.0,FALL
2020-04-23,450.0,456.0,470.0,442.0,145736.0,7246.0,-7485.0,239.0,0.0249,-83610.0,4.0,FALL
2020-04-22,454.0,447.0,454.0,438.0,160131.0,15780.0,-15781.0,1.0,0.025,-83849.0,6.0,FALL
2020-04-21,460.0,444.0,470.0,425.0,353711.0,-2292.0,2290.0,2.0,0.0253,-83850.0,4.0,RISE
2020-04-20,456.0,460.0,461.0,444.0,272982.0,18865.0,-18607.0,-258.0,0.0253,-83852.0,9.0,RISE
2020-04-17,447.0,415.0,447.0,414.0,299284.0,-21627.0,21955.0,-328.0,0.0256,-83594.0,31.0,RISE
2020-04-16,416.0,414.0,427.0,411.0,207167.0,4016.0,-3938.0,-78.0,0.0252,-83266.0,2.0,RISE
2020-04-14,414.0,406.0,418.0,405.0,150445.0,-21611.0,21665.0,-54.0,0.0253,-83188.0,8.0,RISE
2020-04-13,406.0,406.0,420.0,400.0,133657.0,-7806.0,7730.0,76.0,0.0249,-83134.0,10.0,FALL
2020-04-10,416.0,408.0,417.0,403.0,182253.0,5453.0,-5410.0,-43.0,0.0248,-83210.0,7.0,RISE
2020-04-09,409.0,425.0,430.0,407.0,197304.0,17162.0,-17630.0,468.0,0.0248,-83167.0,2.0,FALL
2020-04-08,411.0,419.0,428.0,395.0,275866.0,18466.0,-18713.0,247.0,0.0252,-83635.0,1.0,RISE
2020-04-07,410.0,398.0,418.0,395.0,369221.0,29169.0,-29282.0,113.0,0.0255,-83882.0,17.0,RISE
2020-04-06,393.0,387.0,400.0,385.0,262645.0,40770.0,-40748.0,-22.0,0.026,-83995.0,8.0,RISE
2020-04-03,385.0,377.0,398.0,362.0,496657.0,-17142.0,17209.0,-67.0,0.0267,-83973.0,24.0,RISE
2020-04-02,361.0,363.0,365.0,344.0,123842.0,-17543.0,17603.0,-60.0,0.0264,-83906.0,2.0,FALL
2020-04-01,363.0,359.0,383.0,351.0,558966.0,-41135.0,41062.0,73.0,0.0261,-83846.0,6.0,RISE
2020-03-31,357.0,370.0,370.0,347.0,278707.0,-1325.0,1166.0,159.0,0.0254,-83919.0,16.0,RISE
2020-03-30,341.0,327.0,344.0,307.0,439155.0,-64054.0,63975.0,79.0,0.0261,-84078.0,4.0,FALL
2020-03-27,345.0,389.0,389.0,343.0,573763.0,50254.0,-50304.0,50.0,0.025,-84157.0,3.0,FALL
2020-03-26,348.0,329.0,380.0,329.0,965357.0,63183.0,-62841.0,-342.0,0.0258,-84207.0,19.0,RISE
2020-03-25,329.0,316.0,335.0,316.0,270474.0,58083.0,-57944.0,-139.0,0.0269,-83865.0,16.0,RISE
2020-03-24,313.0,306.0,326.0,302.0,294361.0,84966.0,-61878.0,-23088.0,0.028,-83726.0,7.0,RISE
2020-03-23,306.0,341.0,344.0,303.0,820787.0,182475.0,-137912.0,-44563.0,0.0291,-60638.0,0.0,EVEN
2020-03-20,306.0,281.0,315.0,281.0,469515.0,-49816.0,85602.0,-35786.0,0.0315,-16075.0,6.0,RISE
2020-03-19,300.0,337.0,376.0,292.0,564321.0,26706.0,-26806.0,100.0,0.03,19711.0,52.0,FALL
2020-03-18,352.0,370.0,384.0,350.0,221050.0,24409.0,-24449.0,40.0,0.0304,19611.0,8.0,FALL
2020-03-17,360.0,315.0,370.0,315.0,273863.0,-13518.0,13862.0,-344.0,0.031,19571.0,17.0,FALL
2020-03-16,377.0,378.0,410.0,370.0,241899.0,11589.0,-11699.0,110.0,0.0308,19915.0,0.0,EVEN
2020-03-13,377.0,371.0,412.0,341.0,353152.0,-6012.0,5334.0,678.0,0.031,19805.0,39.0,FALL
2020-03-12,416.0,431.0,449.0,408.0,535133.0,27719.0,-22829.0,-4890.0,0.0309,19127.0,36.0,FALL
2020-03-11,452.0,495.0,495.0,448.0,206871.0,31478.0,-31646.0,168.0,0.0313,24017.0,23.0,FALL
2020-03-10,475.0,458.0,493.0,446.0,362066.0,144.0,3734.0,-3878.0,0.032,23849.0,2.0,FALL
2020-03-09,477.0,520.0,520.0,470.0,322303.0,13630.0,-16917.0,3287.0,0.0319,27727.0,47.0,FALL
2020-03-06,524.0,537.0,540.0,516.0,172772.0,15568.0,-16572.0,1004.0,0.0322,24440.0,13.0,FALL
2020-03-05,537.0,520.0,537.0,520.0,71524.0,-18336.0,18488.0,-152.0,0.0326,23436.0,11.0,RISE
2020-03-04,526.0,523.0,531.0,513.0,179043.0,-18675.0,18648.0,27.0,0.0323,23588.0,3.0,RISE
2020-03-03,523.0,517.0,530.0,510.0,172239.0,-43227.0,45316.0,-2089.0,0.0321,23561.0,13.0,RISE
