,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,30400.0,30000.0,30700.0,29700.0,416308.0,-15226,6571,8655,0.0117,-1389302,100.0,RISE
2020-06-04,30300.0,29550.0,30600.0,29350.0,713714.0,-45582,5388,40194,0.0111,-1397957,1100.0,RISE
2020-06-03,29200.0,29550.0,29650.0,29050.0,193126.0,12010,783,-12793,0.0106,-1438151,50.0,FALL
2020-06-02,29250.0,29500.0,29500.0,28900.0,183054.0,-1914.0,607.0,1307.0,0.0106,-1425358.0,150.0,RISE
2020-06-01,29100.0,28150.0,29300.0,28100.0,300640.0,-2167.0,1731.0,436.0,0.0105,-1426665.0,1150.0,RISE
2020-05-29,27950.0,27700.0,28500.0,27450.0,236943.0,24876.0,3295.0,-28171.0,0.0104,-1427101.0,300.0,FALL
2020-05-28,28250.0,29400.0,29700.0,27450.0,417808.0,13626.0,-125.0,-13501.0,0.0101,-1398930.0,950.0,FALL
2020-05-27,29200.0,30300.0,30300.0,28900.0,517836.0,58890.0,-2535.0,-56355.0,0.0101,-1385429.0,1100.0,FALL
2020-05-26,30300.0,30550.0,30800.0,30050.0,297561.0,-3855.0,8752.0,-4897.0,0.0103,-1329074.0,400.0,FALL
2020-05-25,30700.0,30600.0,30850.0,30000.0,327403.0,24336.0,-10269.0,-14067.0,0.0095,-1324177.0,150.0,RISE
2020-05-21,30700.0,29900.0,30850.0,29400.0,771121.0,-23049.0,2690.0,20359.0,0.0117,-1306110.0,1050.0,RISE
2020-05-20,29650.0,29000.0,29650.0,28850.0,418582.0,18027.0,-116.0,-17911.0,0.0115,-1326469.0,400.0,RISE
2020-05-19,29250.0,29350.0,29600.0,28850.0,596488.0,-4719.0,-4066.0,8785.0,0.0123,-1308558.0,500.0,RISE
2020-05-18,28750.0,28400.0,28750.0,27800.0,477844.0,23807.0,-31774.0,7967.0,0.0126,-1317343.0,750.0,RISE
2020-05-15,28000.0,28450.0,28600.0,27500.0,399968.0,-14531.0,9820.0,4711.0,0.0153,-1325310.0,0.0,EVEN
2020-05-14,28000.0,27800.0,28750.0,27700.0,576403.0,7958.0,-7938.0,-20.0,0.0145,-1330021.0,200.0,RISE
2020-05-13,27800.0,27350.0,28000.0,27300.0,328277.0,28724.0,-24310.0,-4414.0,0.0152,-1330001.0,300.0,FALL
2020-05-12,28100.0,27650.0,28350.0,26950.0,469851.0,-8675.0,-6915.0,15590.0,0.0173,-1325587.0,750.0,RISE
2020-05-11,27350.0,28450.0,28450.0,27350.0,340241.0,31164.0,-25556.0,-5608.0,0.0189,-1341177.0,750.0,FALL
2020-05-08,28100.0,28350.0,28600.0,27650.0,542490.0,-21500.0,6947.0,14553.0,0.0211,-1335569.0,300.0,RISE
2020-05-07,27800.0,27400.0,28400.0,27250.0,791624.0,-8466.0,-2623.0,11089.0,0.0205,-1350122.0,600.0,RISE
