,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2000.0,1980.0,2000.0,1950.0,769151.0,-49450,49450,0,0.0339,-1155061,30.0,RISE
2020-06-04,1970.0,1935.0,2015.0,1920.0,1761270.0,-307158,307158,0,0.0321,-1155061,40.0,RISE
2020-06-03,1930.0,1960.0,1995.0,1920.0,1001306.0,17693,-17693,0,0.0221,-1155061,15.0,FALL
2020-06-02,1945.0,1940.0,1985.0,1910.0,1046643.0,-104424.0,104424.0,0.0,0.0264,-1155061.0,10.0,RISE
2020-06-01,1935.0,1865.0,1950.0,1865.0,673595.0,-212877.0,212877.0,0.0,0.0225,-1155061.0,75.0,RISE
2020-05-29,1860.0,1925.0,1935.0,1840.0,685846.0,-133584.0,133585.0,-1.0,0.0148,-1155061.0,40.0,FALL
2020-05-28,1900.0,1940.0,2035.0,1890.0,2588572.0,27094.0,-27094.0,0.0,0.0099,-1155060.0,40.0,FALL
2020-05-27,1940.0,1990.0,2020.0,1910.0,3195965.0,461244.0,-461244.0,0.0,0.0109,-1155060.0,5.0,FALL
2020-05-26,1945.0,1865.0,1945.0,1845.0,1403252.0,-230319.0,230319.0,0.0,0.0295,-1155060.0,85.0,RISE
2020-05-25,1860.0,1850.0,1870.0,1825.0,388103.0,-102661.0,102661.0,0.0,0.0229,-1155060.0,15.0,RISE
2020-05-21,1880.0,1880.0,1895.0,1860.0,406270.0,-16535.0,16535.0,0.0,0.0188,-1154824.0,0.0,EVEN
2020-05-20,1880.0,1855.0,1890.0,1850.0,507362.0,-197862.0,197862.0,0.0,0.0182,-1154824.0,25.0,RISE
2020-05-19,1855.0,1845.0,1895.0,1820.0,1021657.0,-7428.0,7428.0,0.0,0.0109,-1154824.0,20.0,RISE
2020-05-18,1835.0,1815.0,1935.0,1800.0,1907305.0,62958.0,-62958.0,0.0,0.0106,-1154824.0,5.0,RISE
2020-05-15,1830.0,1870.0,1890.0,1815.0,741793.0,18595.0,-18595.0,0.0,0.0129,-1154824.0,40.0,FALL
2020-05-14,1870.0,1855.0,1905.0,1855.0,522233.0,-1596.0,1596.0,0.0,0.0136,-1154824.0,10.0,FALL
2020-05-13,1880.0,1860.0,1910.0,1845.0,448620.0,-11499.0,11499.0,0.0,0.0136,-1154824.0,10.0,FALL
2020-05-12,1890.0,1880.0,1935.0,1850.0,663009.0,7774.0,-7774.0,0.0,0.0131,-1154824.0,15.0,FALL
2020-05-11,1905.0,1915.0,1965.0,1855.0,1586173.0,-37764.0,37764.0,0.0,0.0134,-1154824.0,10.0,RISE
2020-05-08,1895.0,1885.0,1930.0,1885.0,769553.0,-4579.0,4579.0,0.0,0.012,-1154824.0,0.0,EVEN
2020-05-07,1895.0,1895.0,1920.0,1835.0,1336883.0,-24091.0,24091.0,0.0,0.0118,-1154824.0,5.0,RISE
2020-05-06,1890.0,1935.0,1980.0,1885.0,1917415.0,45632.0,-45632.0,0.0,0.0122,-1154824.0,15.0,FALL
2020-05-04,1905.0,2045.0,2115.0,1905.0,4259485.0,-81237.0,81237.0,0.0,0.0138,-1154824.0,180.0,FALL
2020-04-29,2085.0,2140.0,2370.0,2040.0,17939608.0,91682.0,-91682.0,0.0,0.0108,-1154824.0,110.0,FALL
2020-04-28,2195.0,2120.0,2320.0,1985.0,15867768.0,48928.0,-48928.0,0.0,0.0132,-1154824.0,115.0,RISE
2020-04-27,2080.0,2110.0,2160.0,2055.0,3731182.0,-24139.0,24139.0,0.0,0.015,-1154824.0,40.0,RISE
2020-04-24,2040.0,2035.0,2115.0,1990.0,4756536.0,63808.0,-63808.0,0.0,0.0141,-1154824.0,20.0,RISE
2020-04-23,2020.0,1970.0,2060.0,1950.0,3972855.0,-37601.0,37601.0,0.0,0.0159,-1154824.0,75.0,RISE
2020-04-22,1945.0,1920.0,2015.0,1855.0,1935428.0,110566.0,-110566.0,0.0,0.0145,-1154824.0,5.0,RISE
2020-04-21,1940.0,1995.0,2000.0,1830.0,1990755.0,-99951.0,99951.0,0.0,0.0186,-1154824.0,60.0,FALL
2020-04-20,2000.0,2000.0,2040.0,1975.0,2114370.0,27898.0,-27898.0,0.0,0.0176,-1154824.0,5.0,RISE
2020-04-17,1995.0,1995.0,2020.0,1960.0,1798114.0,-111532.0,111532.0,0.0,0.0195,-1154824.0,5.0,RISE
2020-04-16,1990.0,1990.0,2070.0,1940.0,2464267.0,79369.0,-79369.0,0.0,0.0154,-1154824.0,0.0,EVEN
2020-04-14,1990.0,2050.0,2140.0,1965.0,4977008.0,-48891.0,48891.0,0.0,0.0184,-1154824.0,35.0,FALL
2020-04-13,2025.0,1945.0,2285.0,1860.0,28468099.0,-17956.0,17956.0,0.0,0.0166,-1154824.0,50.0,RISE
2020-04-10,1975.0,1895.0,2080.0,1745.0,10445571.0,50225.0,-50225.0,0.0,0.016,-1154824.0,105.0,RISE
2020-04-09,1870.0,1855.0,2020.0,1835.0,5682579.0,296944.0,-296944.0,0.0,0.0178,-1154824.0,50.0,RISE
2020-04-08,1820.0,1735.0,1850.0,1670.0,4105252.0,-203107.0,203108.0,-1.0,0.0291,-1154824.0,95.0,RISE
2020-04-07,1725.0,1725.0,1780.0,1690.0,2555169.0,-20112.0,20112.0,0.0,0.0215,-1154823.0,25.0,RISE
2020-04-06,1700.0,1620.0,1750.0,1620.0,3055115.0,-100261.0,100261.0,0.0,0.0217,-1154823.0,70.0,RISE
2020-04-03,1630.0,1715.0,1795.0,1600.0,3628726.0,74963.0,-74963.0,0.0,0.018000000000000002,-1154823.0,0.0,EVEN
2020-04-02,1630.0,1620.0,1745.0,1505.0,5632407.0,-75481.0,75481.0,0.0,0.0211,-1154823.0,10.0,RISE
2020-04-01,1620.0,1790.0,2055.0,1620.0,32895694.0,63830.0,-63830.0,0.0,0.0183,-1154823.0,115.0,FALL
2020-03-31,1735.0,1375.0,1735.0,1360.0,9471652.0,36891.0,-36891.0,0.0,0.0208,-1154823.0,395.0,RISE
2020-03-30,1340.0,1250.0,1400.0,1205.0,1967301.0,-69129.0,69129.0,0.0,0.0209,-1154823.0,70.0,RISE
2020-03-27,1270.0,1340.0,1385.0,1210.0,2563872.0,113674.0,-113674.0,0.0,0.0191,-1154823.0,5.0,FALL
2020-03-26,1275.0,1205.0,1370.0,1150.0,3833682.0,273932.0,-273932.0,0.0,0.0236,-1154823.0,90.0,RISE
2020-03-25,1185.0,1165.0,1280.0,1130.0,2720515.0,313832.0,-313832.0,0.0,0.0338,-1154823.0,80.0,RISE
2020-03-24,1105.0,1060.0,1115.0,1035.0,892050.0,17799.0,-17799.0,0.0,0.0456,-1154823.0,90.0,RISE
2020-03-23,1015.0,1040.0,1080.0,1000.0,1285155.0,-100083.0,100083.0,0.0,0.0486,-1154823.0,105.0,FALL
2020-03-20,1120.0,1055.0,1160.0,1020.0,1449196.0,47633.0,-47633.0,0.0,0.0472,-1154823.0,70.0,RISE
2020-03-19,1050.0,1290.0,1325.0,1020.0,1637814.0,-202237.0,202237.0,0.0,0.049,-1154823.0,210.0,FALL
2020-03-18,1260.0,1420.0,1445.0,1245.0,1427562.0,133996.0,-133996.0,0.0,0.0414,-1154823.0,120.0,FALL
2020-03-17,1380.0,1240.0,1490.0,1220.0,2778978.0,-130511.0,130511.0,0.0,0.0465,-1154823.0,40.0,RISE
2020-03-16,1340.0,1415.0,1470.0,1335.0,1230658.0,-170932.0,170931.0,1.0,0.0417,-1154823.0,70.0,FALL
2020-03-13,1410.0,1530.0,1530.0,1305.0,2449163.0,-460230.0,460230.0,0.0,0.0351,-1154824.0,205.0,FALL
2020-03-12,1615.0,1670.0,1725.0,1585.0,1973284.0,-186795.0,186795.0,0.0,0.0179,-1154824.0,70.0,FALL
2020-03-11,1685.0,1775.0,1805.0,1640.0,2456491.0,164144.0,-151991.0,-12153.0,0.0108,-1154824.0,95.0,FALL
2020-03-10,1780.0,1680.0,1790.0,1665.0,3387698.0,-180609.0,180609.0,0.0,0.0154,-1142671.0,50.0,RISE
2020-03-09,1730.0,1820.0,1855.0,1730.0,2629335.0,-100294.0,88141.0,12153.0,0.0085,-1142671.0,140.0,FALL
2020-03-06,1870.0,1875.0,1940.0,1825.0,3061792.0,-32657.0,6657.0,26000.0,0.0044,-1154824.0,50.0,FALL
2020-03-05,1920.0,2040.0,2060.0,1895.0,5281073.0,148934.0,-127934.0,-21000.0,0.0037,-1180824.0,105.0,FALL
2020-03-04,2025.0,2045.0,2075.0,1940.0,6032725.0,-3937.0,8937.0,-5000.0,0.0076,-1159824.0,5.0,RISE
2020-03-03,2020.0,2225.0,2295.0,2000.0,12452418.0,94030.0,-94030.0,0.0,0.0041,-1154824.0,95.0,FALL
2020-03-02,2115.0,2350.0,2450.0,2115.0,13767607.0,-12875.0,14175.0,-1300.0,0.0069,-1154824.0,260.0,FALL
2020-02-28,2375.0,2260.0,2375.0,2220.0,3849904.0,41852.0,-39981.0,-1871.0,0.0063,-1153524.0,75.0,RISE
2020-02-27,2300.0,2255.0,2315.0,2220.0,3822687.0,25665.0,-25663.0,-2.0,0.0068,-1151653.0,25.0,RISE
2020-02-26,2275.0,2415.0,2440.0,2275.0,6952218.0,24986.0,-11657.0,-13329.0,0.0077,-1151651.0,330.0,FALL
2020-02-25,2605.0,1985.0,2605.0,1840.0,69865967.0,123820.0,-138820.0,15000.0,0.0065,-1138322.0,600.0,UPPER_LIMIT
2020-02-24,2005.0,1915.0,2450.0,1860.0,29918580.0,52688.0,-1714.0,-50974.0,0.0114,-1153322.0,40.0,RISE
2020-02-21,1965.0,2065.0,2225.0,1945.0,4617765.0,76245.0,-126219.0,49974.0,0.0113,-1102348.0,195.0,FALL
2020-02-20,2160.0,2215.0,2385.0,2055.0,10352320.0,50021.0,-50021.0,0.0,0.0153,-1152322.0,120.0,FALL
