,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3125.0,3155.0,3160.0,3075.0,93305.0,-5792,5792,0,0.1376,-61884,15.0,FALL
2020-06-04,3140.0,3220.0,3235.0,3100.0,159953.0,-10907,10907,0,0.1373,-61884,55.0,FALL
2020-06-03,3195.0,3205.0,3325.0,3195.0,547431.0,12331,-12331,0,0.1369,-61884,15.0,RISE
2020-06-02,3180.0,3165.0,3180.0,3110.0,225265.0,10297.0,-10297.0,0.0,0.1374,-70650.0,15.0,RISE
2020-06-01,3165.0,3080.0,3385.0,3060.0,1877902.0,31835.0,-31835.0,0.0,0.1378,-70650.0,85.0,RISE
2020-05-29,3080.0,3090.0,3115.0,3010.0,111313.0,2812.0,-2812.0,0.0,0.1391,-70650.0,35.0,FALL
2020-05-28,3115.0,3050.0,3220.0,2960.0,554750.0,-1591.0,3560.0,-1969.0,0.1392,-70650.0,95.0,RISE
2020-05-27,3020.0,3100.0,3135.0,2980.0,211056.0,19481.0,-19481.0,0.0,0.1391,-68681.0,0.0,EVEN
2020-05-26,3020.0,2945.0,3075.0,2905.0,279712.0,-19966.0,19966.0,0.0,0.1399,-68681.0,90.0,RISE
2020-05-25,2930.0,2885.0,2945.0,2855.0,81880.0,-9024.0,9024.0,0.0,0.1391,-68681.0,75.0,RISE
2020-05-21,2940.0,2935.0,3090.0,2935.0,304846.0,35012.0,-35012.0,0.0,0.1377,-106169.0,20.0,RISE
2020-05-20,2920.0,2890.0,2950.0,2845.0,144322.0,-34424.0,34424.0,0.0,0.1391,-106169.0,30.0,RISE
2020-05-19,2890.0,2890.0,2915.0,2860.0,79199.0,8213.0,-8213.0,0.0,0.1377,-106169.0,10.0,RISE
2020-05-18,2880.0,2855.0,2925.0,2800.0,215875.0,34321.0,6992.0,-41313.0,0.138,-106169.0,80.0,RISE
2020-05-15,2800.0,2750.0,2850.0,2700.0,157625.0,-21753.0,21753.0,0.0,0.1377,-64856.0,20.0,RISE
2020-05-14,2780.0,2805.0,2835.0,2700.0,74001.0,859.0,-859.0,0.0,0.1368,-64856.0,5.0,FALL
2020-05-13,2785.0,2800.0,2800.0,2700.0,42915.0,2298.0,-2298.0,0.0,0.1369,-64856.0,20.0,FALL
2020-05-12,2805.0,2865.0,2865.0,2745.0,36255.0,4228.0,-4228.0,0.0,0.13699999999999998,-64856.0,30.0,FALL
