,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,46300.0,48100.0,48100.0,46250.0,800.0,5,-4,-1,0.079,167906,50.0,FALL
2020-06-04,46350.0,48150.0,48150.0,46150.0,796.0,170,-31,-139,0.079,167907,200.0,FALL
2020-06-03,46550.0,46000.0,47000.0,46000.0,789.0,-53,2,51,0.079,168046,550.0,RISE
2020-06-02,46000.0,45500.0,46000.0,45400.0,747.0,56.0,14.0,-70.0,0.079,171129.0,600.0,RISE
2020-06-01,45400.0,44700.0,45500.0,44700.0,1614.0,12.0,19.0,-31.0,0.079,171199.0,500.0,RISE
2020-05-29,44900.0,44900.0,44900.0,44600.0,408.0,27.0,0.0,-27.0,0.079,171230.0,0.0,EVEN
2020-05-28,44900.0,44500.0,45000.0,44500.0,1454.0,101.0,0.0,-101.0,0.079,171257.0,400.0,RISE
2020-05-27,44500.0,44050.0,44900.0,44050.0,1338.0,-47.0,0.0,47.0,0.079,171358.0,250.0,RISE
2020-05-26,44250.0,44100.0,44250.0,44050.0,472.0,234.0,0.0,-234.0,0.079,171311.0,150.0,RISE
2020-05-25,44100.0,44050.0,44300.0,44000.0,256.0,31.0,0.0,-31.0,0.079,171545.0,50.0,RISE
2020-05-21,44250.0,44050.0,44250.0,44050.0,498.0,218.0,-26.0,-192.0,0.079,183838.0,200.0,RISE
2020-05-20,44050.0,43700.0,44150.0,43700.0,352.0,49.0,-16.0,-33.0,0.079,184030.0,50.0,FALL
2020-05-19,44100.0,43600.0,44100.0,43600.0,1725.0,49.0,-84.0,35.0,0.079,184063.0,500.0,RISE
2020-05-18,43600.0,43600.0,43600.0,43200.0,351.0,-92.0,-48.0,140.0,0.079,184028.0,0.0,EVEN
2020-05-15,43600.0,43000.0,43600.0,43000.0,571.0,56.0,-60.0,4.0,0.079,183888.0,500.0,RISE
2020-05-14,43100.0,43050.0,43600.0,42300.0,728.0,207.0,-73.0,-134.0,0.079,183884.0,0.0,EVEN
2020-05-13,43100.0,43950.0,43950.0,42800.0,2133.0,504.0,-108.0,-396.0,0.0791,184018.0,850.0,FALL
2020-05-12,43950.0,44300.0,44300.0,43550.0,2266.0,846.0,-165.0,-681.0,0.0791,184414.0,250.0,FALL
2020-05-11,44200.0,44850.0,44850.0,44050.0,1710.0,1215.0,-82.0,-1133.0,0.0791,185095.0,200.0,FALL
2020-05-08,44400.0,45050.0,45050.0,44400.0,1426.0,1311.0,-161.0,-1150.0,0.0791,186228.0,150.0,FALL
2020-05-07,44550.0,45150.0,45150.0,44400.0,1805.0,1435.0,-267.0,-1168.0,0.0791,187378.0,650.0,FALL
2020-05-06,45200.0,45200.0,45200.0,44700.0,2145.0,1825.0,-6.0,-1819.0,0.0792,188546.0,0.0,EVEN
2020-05-04,45200.0,45450.0,45600.0,44800.0,1609.0,1101.0,0.0,-1101.0,0.0792,190365.0,250.0,FALL
2020-04-29,45450.0,45600.0,45800.0,45100.0,2248.0,1787.0,61.0,-1848.0,0.0792,191466.0,0.0,EVEN
