,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,36700.0,36800.0,37050.0,36350.0,5385.0,1669,-789,-880,0.0807,369601,350.0,RISE
2020-06-04,36350.0,35700.0,37650.0,35500.0,27758.0,312,-283,-29,0.0808,370481,950.0,RISE
2020-06-03,35400.0,34900.0,35600.0,34900.0,12452.0,1222,-2923,1701,0.0808,370510,500.0,RISE
2020-06-02,34900.0,34350.0,34900.0,34300.0,3589.0,1091.0,-1284.0,193.0,0.0812,368809.0,300.0,RISE
2020-06-01,34600.0,34600.0,34600.0,34000.0,5897.0,-254.0,-472.0,726.0,0.0814,368616.0,100.0,RISE
2020-05-29,34500.0,34500.0,34500.0,33650.0,10245.0,2011.0,-5039.0,3028.0,0.0815,367890.0,0.0,EVEN
2020-05-28,34500.0,34750.0,34800.0,33750.0,9953.0,2141.0,-4358.0,2217.0,0.0822,364862.0,100.0,RISE
2020-05-27,34400.0,34400.0,34600.0,34300.0,5991.0,2155.0,-1755.0,-400.0,0.0828,362645.0,100.0,RISE
2020-05-26,34300.0,34700.0,34700.0,33950.0,23654.0,12253.0,-4431.0,-7822.0,0.083,363045.0,0.0,EVEN
2020-05-25,34300.0,35300.0,35450.0,34150.0,20310.0,6926.0,-3930.0,-2996.0,0.0837,370867.0,1000.0,FALL
2020-05-21,36150.0,36050.0,36400.0,35950.0,6901.0,2161.0,-3900.0,1739.0,0.0845,373718.0,150.0,RISE
2020-05-20,36000.0,36450.0,36450.0,35750.0,9847.0,2792.0,-5166.0,2374.0,0.0851,371979.0,100.0,FALL
2020-05-19,36100.0,35600.0,36400.0,35250.0,23103.0,1307.0,-12749.0,11442.0,0.0858,369605.0,1300.0,RISE
2020-05-18,34800.0,35400.0,35400.0,34650.0,6923.0,3709.0,-2521.0,-1188.0,0.0876,358163.0,500.0,FALL
2020-05-15,35300.0,36000.0,36000.0,35100.0,7326.0,2745.0,-3085.0,340.0,0.08800000000000001,359351.0,700.0,FALL
2020-05-14,36000.0,35850.0,37300.0,35100.0,15059.0,2569.0,-6018.0,3449.0,0.0884,359011.0,200.0,FALL
2020-05-13,36200.0,36000.0,36200.0,35300.0,11925.0,2450.0,-5469.0,3019.0,0.0893,355562.0,50.0,RISE
2020-05-12,36150.0,36600.0,36800.0,35950.0,10709.0,2558.0,-2965.0,407.0,0.09,352543.0,850.0,FALL
2020-05-11,37000.0,37650.0,37850.0,36950.0,18263.0,9336.0,-7021.0,-2315.0,0.0904,352136.0,1300.0,FALL
2020-05-08,38300.0,37900.0,38650.0,37900.0,17299.0,1626.0,-8151.0,6525.0,0.0914,354451.0,250.0,RISE
2020-05-07,38050.0,37850.0,38050.0,37300.0,12964.0,346.0,-7010.0,6664.0,0.0926,347926.0,200.0,RISE
2020-05-06,37850.0,37350.0,38200.0,37350.0,6806.0,453.0,-901.0,448.0,0.0936,341262.0,50.0,RISE
2020-05-04,37800.0,38500.0,38500.0,36650.0,12626.0,4784.0,-1057.0,-3727.0,0.0937,340814.0,750.0,FALL
2020-04-29,38550.0,38150.0,38700.0,37850.0,8891.0,968.0,197.0,-1165.0,0.0938,344541.0,350.0,RISE
2020-04-28,38200.0,38200.0,39300.0,38150.0,9440.0,386.0,-347.0,-39.0,0.0938,345706.0,50.0,RISE
2020-04-27,38150.0,37700.0,38350.0,37600.0,6764.0,1910.0,-1412.0,-498.0,0.0939,345745.0,550.0,RISE
2020-04-24,37600.0,38300.0,38300.0,37200.0,4618.0,1559.0,-670.0,-889.0,0.0941,346243.0,650.0,FALL
2020-04-23,38250.0,38900.0,38900.0,37200.0,6274.0,1408.0,-903.0,-505.0,0.0942,347132.0,550.0,RISE
2020-04-22,37700.0,36800.0,37750.0,36700.0,6618.0,1188.0,-1627.0,439.0,0.0944,347637.0,100.0,FALL
2020-04-21,37800.0,38750.0,38750.0,37000.0,8183.0,2892.0,-1006.0,-1886.0,0.0946,347198.0,950.0,FALL
2020-04-20,38750.0,39550.0,39950.0,38750.0,9797.0,5632.0,-1630.0,-4002.0,0.0947,349084.0,800.0,FALL
2020-04-17,39550.0,39300.0,40350.0,38800.0,9713.0,2188.0,-2054.0,-134.0,0.095,353086.0,1250.0,RISE
2020-04-16,38300.0,38150.0,38450.0,37750.0,3229.0,2228.0,-1496.0,-732.0,0.0953,353220.0,200.0,FALL
2020-04-14,38500.0,38400.0,38500.0,37500.0,4862.0,990.0,-2539.0,1549.0,0.0955,353952.0,400.0,RISE
2020-04-13,38100.0,38450.0,38750.0,37650.0,5506.0,1144.0,-960.0,-184.0,0.0959,352403.0,350.0,FALL
2020-04-10,38450.0,38650.0,38650.0,37600.0,4186.0,1141.0,-536.0,-605.0,0.096,352587.0,150.0,RISE
2020-04-09,38300.0,38300.0,38550.0,37550.0,9056.0,2887.0,-2757.0,-130.0,0.0961,353192.0,850.0,RISE
2020-04-08,37450.0,35100.0,37750.0,35000.0,23738.0,-5435.0,-664.0,6099.0,0.0965,353322.0,2550.0,RISE
2020-04-07,34900.0,34700.0,36000.0,34500.0,20567.0,3006.0,-9949.0,6943.0,0.0966,347223.0,400.0,RISE
2020-04-06,34500.0,33600.0,34900.0,33600.0,17093.0,-2047.0,-5194.0,7241.0,0.098,340280.0,1100.0,RISE
2020-04-03,33400.0,34250.0,34400.0,33100.0,6486.0,4438.0,-3086.0,-1352.0,0.0987,333039.0,850.0,FALL
2020-04-02,34250.0,32850.0,34350.0,32500.0,5610.0,-697.0,289.0,408.0,0.0992,334391.0,1550.0,RISE
2020-04-01,32700.0,33900.0,35400.0,32500.0,30070.0,-2537.0,1731.0,806.0,0.0991,333983.0,1800.0,FALL
2020-03-31,34500.0,33500.0,34500.0,33250.0,13598.0,207.0,218.0,-425.0,0.0989,333177.0,1400.0,RISE
