,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,175000.0,176000.0,177000.0,173000.0,274746.0,-17581,1919,15662,0.295,-696199,2000.0,RISE
2020-06-04,173000.0,171000.0,179000.0,170000.0,807378.0,-132542,82480,50062,0.2949,-711861,3000.0,RISE
2020-06-03,170000.0,168000.0,171000.0,168000.0,406145.0,-35926,9191,26735,0.2936,-761923,3000.0,RISE
2020-06-02,167000.0,164500.0,167500.0,164000.0,162994.0,-3039.0,10613.0,-7574.0,0.2934,-749339.0,1000.0,RISE
2020-06-01,166000.0,163500.0,167000.0,162000.0,220312.0,-25761.0,53099.0,-27338.0,0.2932,-741765.0,3000.0,RISE
2020-05-29,163000.0,165500.0,166000.0,162000.0,380315.0,78703.0,-8876.0,-69827.0,0.2923,-714427.0,3500.0,FALL
2020-05-28,166500.0,171000.0,171000.0,165500.0,312398.0,93118.0,-21986.0,-71132.0,0.2923,-644600.0,3000.0,FALL
2020-05-27,169500.0,168000.0,169500.0,167500.0,221775.0,14478.0,29904.0,-44382.0,0.2926,-573468.0,2000.0,RISE
2020-05-26,167500.0,168500.0,169500.0,166500.0,315733.0,122108.0,-84688.0,-37420.0,0.2921,-529086.0,1000.0,FALL
2020-05-25,168500.0,171000.0,171500.0,166000.0,305625.0,64728.0,-19185.0,-45543.0,0.2936,-491666.0,1500.0,FALL
2020-05-21,175000.0,176500.0,177000.0,174000.0,206479.0,-3905.0,39324.0,-35419.0,0.2947,-213245.0,0.0,EVEN
2020-05-20,175000.0,175500.0,177500.0,175000.0,211116.0,26627.0,-26107.0,-520.0,0.2927,-177826.0,2000.0,FALL
2020-05-19,177000.0,176500.0,179000.0,174500.0,413902.0,-59574.0,35773.0,23801.0,0.2931,-177306.0,5000.0,RISE
2020-05-18,172000.0,171000.0,172000.0,168500.0,198110.0,30726.0,-34469.0,3743.0,0.2921,-201107.0,1500.0,RISE
2020-05-15,170500.0,175500.0,175500.0,170000.0,279262.0,129423.0,-85833.0,-43590.0,0.2926,-204850.0,5500.0,FALL
2020-05-14,176000.0,176000.0,176500.0,171500.0,278082.0,15236.0,-17252.0,2016.0,0.2942,-161260.0,1000.0,RISE
2020-05-13,175000.0,169500.0,175000.0,169000.0,196618.0,34174.0,3045.0,-37219.0,0.2944,-163276.0,3000.0,RISE
2020-05-12,172000.0,175500.0,176000.0,171500.0,318411.0,90518.0,-20844.0,-69674.0,0.2948,-126057.0,3500.0,FALL
2020-05-11,175500.0,181000.0,181000.0,175500.0,303382.0,82999.0,-32729.0,-50270.0,0.2948,-56383.0,6000.0,FALL
2020-05-08,181500.0,182000.0,184000.0,180500.0,337541.0,-33813.0,14791.0,19022.0,0.2948,-6113.0,2000.0,RISE
2020-05-07,179500.0,177500.0,180000.0,176500.0,272948.0,-9468.0,1798.0,7670.0,0.2944,-25135.0,1500.0,RISE
2020-05-06,178000.0,179000.0,181000.0,177000.0,288720.0,-1448.0,-25793.0,27241.0,0.2944,-32805.0,3500.0,RISE
2020-05-04,174500.0,174500.0,181500.0,173500.0,405793.0,4939.0,-34011.0,29072.0,0.2952,-60046.0,2500.0,FALL
2020-04-29,177000.0,178000.0,179000.0,173000.0,445182.0,6887.0,-43169.0,36282.0,0.2958,-89118.0,1000.0,RISE
2020-04-28,176000.0,173000.0,181000.0,171000.0,599392.0,-57216.0,28409.0,28807.0,0.2964,-125400.0,4500.0,RISE
2020-04-27,171500.0,171500.0,173000.0,170500.0,231835.0,47950.0,1451.0,-49401.0,0.2958,-154207.0,500.0,RISE
2020-04-24,171000.0,175500.0,176000.0,170000.0,334396.0,116128.0,-28753.0,-87375.0,0.2957,-104806.0,5500.0,FALL
2020-04-23,176500.0,174500.0,178500.0,171500.0,384962.0,19249.0,31852.0,-51101.0,0.2962,-17431.0,1500.0,RISE
2020-04-22,175000.0,171000.0,175000.0,168000.0,217773.0,7958.0,20353.0,-28311.0,0.2955,33670.0,3000.0,RISE
2020-04-21,172000.0,176000.0,178500.0,164000.0,489241.0,94622.0,-54596.0,-40026.0,0.2952,61981.0,5000.0,FALL
2020-04-20,177000.0,180500.0,182500.0,177000.0,294843.0,67254.0,-54235.0,-13019.0,0.2962,102007.0,3500.0,FALL
2020-04-17,180500.0,176000.0,185000.0,175500.0,658064.0,-79415.0,4810.0,74605.0,0.297,115026.0,8000.0,RISE
2020-04-16,172500.0,169500.0,173000.0,169000.0,198097.0,9220.0,-16201.0,6981.0,0.2967,40421.0,500.0,RISE
2020-04-14,172000.0,174000.0,174000.0,171000.0,179886.0,1489.0,-10452.0,8963.0,0.297,33440.0,500.0,RISE
2020-04-13,171500.0,173000.0,175500.0,169000.0,310311.0,17161.0,-40391.0,23230.0,0.2966,24477.0,500.0,FALL
2020-04-10,172000.0,170000.0,172500.0,167500.0,213747.0,20546.0,-11771.0,-8775.0,0.2963,1247.0,500.0,RISE
2020-04-09,171500.0,174500.0,175000.0,168500.0,366516.0,65916.0,-76377.0,10461.0,0.2953,10022.0,0.0,EVEN
2020-04-08,171500.0,169500.0,176500.0,166500.0,466827.0,-2986.0,-17797.0,20783.0,0.2974,-439.0,1500.0,RISE
2020-04-07,170000.0,171000.0,172500.0,165500.0,324276.0,-1235.0,-17820.0,19055.0,0.2972,-21222.0,3000.0,RISE
2020-04-06,167000.0,162500.0,167500.0,162000.0,330947.0,-78466.0,7738.0,70728.0,0.2976,-40277.0,6000.0,RISE
2020-04-03,161000.0,161000.0,163000.0,158500.0,192112.0,22634.0,-12562.0,-10072.0,0.2974,-111005.0,500.0,FALL
2020-04-02,161500.0,159000.0,163500.0,156000.0,266576.0,15481.0,-24974.0,9493.0,0.2977,-100933.0,3500.0,RISE
2020-04-01,158000.0,165500.0,167500.0,157500.0,422750.0,185043.0,-142341.0,-42702.0,0.2983,-110426.0,10500.0,FALL
2020-03-31,168500.0,173000.0,173000.0,164500.0,302409.0,89143.0,-19885.0,-69258.0,0.3007,-67724.0,500.0,FALL
2020-03-30,169000.0,165500.0,170000.0,163000.0,284889.0,62937.0,6139.0,-69076.0,0.3014,1534.0,3000.0,FALL
2020-03-27,172000.0,185000.0,185000.0,167500.0,432871.0,80109.0,-1233.0,-78876.0,0.3011,70610.0,6000.0,FALL
2020-03-26,178000.0,178500.0,182000.0,174000.0,414298.0,-62261.0,52320.0,9941.0,0.3019,149486.0,500.0,RISE
2020-03-25,177500.0,177500.0,182500.0,174500.0,479162.0,-44302.0,32190.0,12112.0,0.3011,139545.0,6500.0,RISE
