,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,80300.0,80300.0,80600.0,79900.0,10330.0,8392,-281,-8111,0.0512,-59811,0.0,EVEN
2020-06-04,80300.0,80400.0,81200.0,80000.0,8560.0,4720,38,-4758,0.0514,-51700,0.0,EVEN
2020-06-03,80300.0,80500.0,81400.0,80100.0,14179.0,12197,-491,-11706,0.0513,-46942,200.0,FALL
2020-06-02,80500.0,80100.0,80600.0,79700.0,5130.0,1474.0,62.0,-1536.0,0.0517,-31259.0,100.0,RISE
2020-06-01,80400.0,80500.0,80900.0,80000.0,2547.0,411.0,-38.0,-373.0,0.0517,-29723.0,100.0,FALL
2020-05-29,80500.0,79700.0,80800.0,79200.0,1491.0,90.0,-183.0,93.0,0.0517,-29350.0,0.0,EVEN
2020-05-28,80500.0,80200.0,81100.0,79000.0,3561.0,896.0,-521.0,-375.0,0.0518,-29443.0,300.0,RISE
2020-05-27,80200.0,81000.0,81600.0,80000.0,2021.0,609.0,262.0,-871.0,0.052000000000000005,-29068.0,800.0,FALL
2020-05-26,81000.0,80500.0,81400.0,79700.0,8830.0,1420.0,-163.0,-1257.0,0.0519,-28197.0,400.0,RISE
2020-05-25,80600.0,77600.0,80700.0,77600.0,4813.0,-1238.0,701.0,537.0,0.052000000000000005,-26940.0,3000.0,RISE
2020-05-21,79900.0,79800.0,80700.0,79600.0,3174.0,1985.0,21.0,-2006.0,0.0519,-18978.0,100.0,RISE
2020-05-20,79800.0,79800.0,80200.0,79600.0,5274.0,3178.0,-74.0,-3104.0,0.0519,-16972.0,400.0,FALL
2020-05-19,80200.0,80100.0,80600.0,79700.0,6408.0,4443.0,401.0,-4844.0,0.0519,-13868.0,500.0,RISE
2020-05-18,79700.0,80600.0,81500.0,79600.0,5847.0,2528.0,129.0,-2657.0,0.0517,-9024.0,1300.0,FALL
2020-05-15,81000.0,80100.0,81200.0,79800.0,2540.0,-381.0,-106.0,487.0,0.0517,-6367.0,900.0,RISE
2020-05-14,80100.0,80600.0,80800.0,79300.0,1693.0,710.0,-195.0,-515.0,0.0517,-6854.0,700.0,FALL
2020-05-13,80800.0,81400.0,82100.0,76700.0,9234.0,3043.0,-67.0,-2976.0,0.0518,-6339.0,1800.0,FALL
2020-05-12,82600.0,83800.0,83800.0,81400.0,4687.0,2484.0,-283.0,-2201.0,0.0519,-3363.0,1200.0,FALL
2020-05-11,83800.0,85800.0,86700.0,83000.0,6208.0,4885.0,-364.0,-4521.0,0.052000000000000005,-1162.0,2000.0,FALL
2020-05-08,85800.0,85200.0,85900.0,84600.0,1956.0,315.0,-183.0,-132.0,0.0521,3359.0,1100.0,RISE
2020-05-07,84700.0,84500.0,85100.0,84100.0,2870.0,765.0,-192.0,-573.0,0.0522,3491.0,100.0,FALL
2020-05-06,84800.0,86300.0,89900.0,84600.0,3175.0,1756.0,-657.0,-1099.0,0.0523,4064.0,1300.0,FALL
2020-05-04,86100.0,82500.0,88700.0,81500.0,6843.0,-832.0,276.0,556.0,0.0526,5163.0,2700.0,RISE
2020-04-29,83400.0,81900.0,83900.0,81900.0,2604.0,-379.0,770.0,-391.0,0.0525,4607.0,1500.0,RISE
2020-04-28,81900.0,81500.0,82300.0,81400.0,2747.0,1270.0,419.0,-1689.0,0.0521,4998.0,500.0,RISE
2020-04-27,81400.0,81100.0,82700.0,80500.0,5271.0,1133.0,741.0,-1874.0,0.0519,6687.0,500.0,RISE
2020-04-24,80900.0,81700.0,82300.0,80600.0,2038.0,284.0,-144.0,-140.0,0.0516,8561.0,900.0,FALL
2020-04-23,81800.0,80900.0,82500.0,80200.0,7129.0,2469.0,807.0,-3276.0,0.0517,8701.0,1700.0,RISE
2020-04-22,80100.0,79200.0,80500.0,77200.0,6770.0,810.0,338.0,-1148.0,0.0513,11977.0,600.0,RISE
2020-04-21,79500.0,82100.0,82500.0,78300.0,5924.0,2666.0,-221.0,-2445.0,0.0512,13125.0,3100.0,FALL
2020-04-20,82600.0,82500.0,83300.0,81800.0,2766.0,635.0,337.0,-972.0,0.0513,15570.0,100.0,RISE
2020-04-17,82500.0,84400.0,86900.0,82300.0,5968.0,2720.0,-429.0,-2291.0,0.0511,16542.0,1500.0,FALL
2020-04-16,84000.0,80800.0,84000.0,79400.0,3967.0,938.0,-346.0,-592.0,0.0513,18833.0,3200.0,RISE
2020-04-14,80800.0,81100.0,82300.0,79500.0,6136.0,2426.0,64.0,-2490.0,0.0515,19425.0,100.0,RISE
2020-04-13,80700.0,81000.0,85000.0,79100.0,8435.0,3811.0,-137.0,-3674.0,0.0514,21915.0,200.0,FALL
2020-04-10,80900.0,79200.0,81500.0,77300.0,5213.0,1170.0,614.0,-1784.0,0.0515,25589.0,2400.0,RISE
2020-04-09,78500.0,78100.0,78900.0,77100.0,2647.0,1088.0,-182.0,-906.0,0.0512,27373.0,600.0,RISE
2020-04-08,77900.0,77700.0,78100.0,76600.0,2755.0,1375.0,401.0,-1776.0,0.0513,28279.0,200.0,RISE
2020-04-07,77700.0,77000.0,78600.0,75400.0,4294.0,1964.0,157.0,-2121.0,0.0511,30055.0,1400.0,RISE
2020-04-06,76300.0,74300.0,76300.0,74300.0,2796.0,545.0,359.0,-904.0,0.051,32176.0,2000.0,RISE
2020-04-03,74300.0,74100.0,75000.0,73400.0,2192.0,-107.0,111.0,-4.0,0.0509,33080.0,600.0,RISE
2020-04-02,73700.0,73300.0,77400.0,72600.0,8349.0,1741.0,98.0,-1839.0,0.0508,33084.0,1000.0,FALL
2020-04-01,74700.0,74800.0,76600.0,73300.0,2195.0,488.0,70.0,-558.0,0.0508,34923.0,100.0,FALL
2020-03-31,74800.0,71100.0,75000.0,71100.0,2500.0,442.0,-21.0,-421.0,0.0507,35481.0,3700.0,RISE
2020-03-30,71100.0,69100.0,71100.0,68900.0,1807.0,-121.0,13.0,108.0,0.0508,35902.0,300.0,RISE
2020-03-27,70800.0,72000.0,73500.0,69400.0,3784.0,1031.0,-32.0,-999.0,0.0507,35794.0,0.0,EVEN
2020-03-26,70800.0,70100.0,72000.0,69600.0,3280.0,1113.0,-43.0,-1070.0,0.0508,36793.0,400.0,RISE
2020-03-25,70400.0,68500.0,70800.0,68200.0,5292.0,314.0,-74.0,-240.0,0.0508,37863.0,2900.0,RISE
2020-03-24,67500.0,68300.0,69700.0,67400.0,5995.0,2872.0,-194.0,-2678.0,0.0508,38103.0,2100.0,FALL
2020-03-23,69600.0,70800.0,71300.0,66200.0,5480.0,851.0,-850.0,-1.0,0.0509,40781.0,3100.0,FALL
2020-03-20,72700.0,73000.0,76000.0,71500.0,10554.0,1549.0,222.0,-1771.0,0.0513,40782.0,3100.0,FALL
2020-03-19,75800.0,81600.0,82300.0,75300.0,2844.0,252.0,-77.0,-175.0,0.0512,42553.0,6500.0,FALL
2020-03-18,82300.0,84700.0,88700.0,82300.0,12215.0,-10675.0,-303.0,10978.0,0.0512,42728.0,4100.0,FALL
2020-03-17,86400.0,85200.0,86600.0,81500.0,1319.0,74.0,23.0,-97.0,0.0518,31750.0,1700.0,FALL
2020-03-16,88100.0,87800.0,88400.0,83700.0,1058.0,284.0,-95.0,-189.0,0.0519,31847.0,500.0,FALL
2020-03-13,88600.0,89500.0,89500.0,82800.0,2893.0,11.0,-379.0,368.0,0.0523,32036.0,2400.0,FALL
2020-03-12,91000.0,91300.0,91500.0,86200.0,2778.0,671.0,-175.0,-496.0,0.0525,31668.0,300.0,FALL
2020-03-11,91300.0,90500.0,91300.0,89000.0,1923.0,437.0,-169.0,-268.0,0.0525,32164.0,0.0,EVEN
2020-03-10,91300.0,90000.0,91300.0,88500.0,1534.0,331.0,-112.0,-219.0,0.0521,32432.0,700.0,RISE
2020-03-09,90600.0,92200.0,92200.0,90500.0,843.0,177.0,-69.0,-108.0,0.0522,32651.0,1900.0,FALL
2020-03-06,92500.0,92700.0,93000.0,91100.0,2643.0,1076.0,-189.0,-887.0,0.0522,32759.0,500.0,FALL
2020-03-05,93000.0,94500.0,94700.0,91900.0,2909.0,1984.0,-382.0,-1602.0,0.0523,33646.0,1500.0,FALL
2020-03-04,94500.0,93500.0,94600.0,92300.0,855.0,561.0,-233.0,-328.0,0.0525,35248.0,800.0,RISE
2020-03-03,93700.0,96400.0,96500.0,92800.0,1695.0,940.0,-32.0,-908.0,0.0526,35576.0,2100.0,FALL
2020-03-02,95800.0,92500.0,95800.0,91500.0,1605.0,-462.0,38.0,424.0,0.0526,36484.0,2900.0,RISE
2020-02-28,92900.0,92700.0,93100.0,91000.0,517.0,-116.0,-7.0,123.0,0.0526,36060.0,100.0,RISE
2020-02-27,92800.0,95000.0,95000.0,92800.0,1344.0,378.0,0.0,-378.0,0.0526,35937.0,2400.0,FALL
2020-02-26,95200.0,98100.0,98700.0,95200.0,2009.0,1468.0,32.0,-1500.0,0.0526,36315.0,4000.0,FALL
2020-02-25,99200.0,98600.0,99800.0,98200.0,1057.0,428.0,16.0,-444.0,0.0523,37815.0,0.0,EVEN
2020-02-24,99200.0,99000.0,101000.0,98000.0,1334.0,190.0,-8.0,-182.0,0.0523,38259.0,100.0,FALL
2020-02-21,99300.0,99000.0,99600.0,97500.0,1533.0,783.0,15.0,-798.0,0.0523,38441.0,500.0,FALL
2020-02-20,99800.0,99600.0,99800.0,98300.0,1208.0,501.0,-135.0,-366.0,0.0523,39239.0,0.0,EVEN
2020-02-19,99800.0,100000.0,100500.0,98300.0,2410.0,1799.0,-36.0,-1763.0,0.0523,39605.0,1200.0,FALL
2020-02-18,101000.0,101000.0,101000.0,99700.0,1243.0,611.0,1.0,-612.0,0.0524,41368.0,0.0,EVEN
2020-02-17,101000.0,101000.0,101500.0,99800.0,1721.0,-114.0,44.0,70.0,0.0524,41980.0,0.0,EVEN
2020-02-14,101000.0,100500.0,101500.0,100000.0,1340.0,526.0,-7.0,-519.0,0.0523,41910.0,0.0,EVEN
2020-02-13,101000.0,102500.0,102500.0,100000.0,2393.0,1435.0,-148.0,-1287.0,0.0523,42429.0,2000.0,FALL
2020-02-12,103000.0,103500.0,103500.0,101000.0,1810.0,603.0,15.0,-618.0,0.0524,43716.0,1500.0,FALL
2020-02-11,104500.0,101000.0,105500.0,101000.0,955.0,128.0,0.0,-128.0,0.0523,44334.0,2000.0,RISE
2020-02-10,102500.0,103500.0,103500.0,101000.0,1113.0,757.0,9.0,-766.0,0.0523,44462.0,1000.0,FALL
2020-02-07,103500.0,103500.0,104000.0,102000.0,560.0,259.0,15.0,-274.0,0.0523,45228.0,500.0,FALL
2020-02-06,104000.0,102000.0,104000.0,99800.0,2314.0,763.0,88.0,-851.0,0.0523,45502.0,2000.0,RISE
2020-02-05,102000.0,100500.0,102000.0,99900.0,2216.0,1112.0,-5.0,-1107.0,0.0523,46353.0,2000.0,RISE
2020-02-04,100000.0,102500.0,102500.0,100000.0,2143.0,1115.0,-14.0,-1101.0,0.0523,47460.0,2500.0,FALL
2020-02-03,102500.0,100500.0,103000.0,99700.0,1477.0,-634.0,-53.0,687.0,0.0523,48561.0,1000.0,RISE
2020-01-31,101500.0,100500.0,102000.0,99800.0,243.0,-66.0,2.0,64.0,0.0523,47874.0,1500.0,RISE
2020-01-30,100000.0,99000.0,100000.0,99000.0,8536.0,-7452.0,-18.0,7470.0,0.0523,47810.0,300.0,RISE
2020-01-29,99700.0,98800.0,100000.0,98800.0,217.0,107.0,0.0,-107.0,0.0523,40340.0,100.0,RISE
