,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2125.0,2135.0,2160.0,2080.0,56818.0,-4667,4667,0,0.0304,-2089980,20.0,FALL
2020-06-04,2145.0,2145.0,2175.0,2110.0,90121.0,-4140,4140,0,0.0301,-2089980,5.0,FALL
2020-06-03,2150.0,2120.0,2160.0,2085.0,158678.0,-8173,8173,0,0.0299,-2089980,30.0,RISE
2020-06-02,2120.0,2125.0,2140.0,2090.0,93763.0,-20229.0,20229.0,0.0,0.0294,-2089980.0,10.0,RISE
2020-06-01,2110.0,2035.0,2150.0,2035.0,106665.0,-24373.0,24373.0,0.0,0.0282,-2089980.0,80.0,RISE
2020-05-29,2030.0,2085.0,2120.0,2015.0,103924.0,-9334.0,9334.0,0.0,0.0268,-2089980.0,55.0,FALL
2020-05-28,2085.0,2230.0,2240.0,2025.0,295450.0,-3315.0,3315.0,0.0,0.0263,-2089980.0,95.0,FALL
2020-05-27,2180.0,2395.0,2395.0,2180.0,715902.0,29175.0,-29175.0,0.0,0.0261,-2089980.0,115.0,FALL
2020-05-26,2295.0,2210.0,2295.0,2190.0,455484.0,975.0,-975.0,0.0,0.0278,-2089980.0,65.0,RISE
2020-05-25,2230.0,2245.0,2245.0,2150.0,122103.0,2742.0,-1750.0,-992.0,0.0279,-2089980.0,45.0,RISE
2020-05-21,2260.0,2235.0,2310.0,2160.0,596789.0,25181.0,1100.0,-26281.0,0.0313,-2088988.0,60.0,RISE
2020-05-20,2200.0,2165.0,2555.0,2130.0,1963959.0,-35837.0,35837.0,0.0,0.0313,-2062707.0,60.0,RISE
2020-05-19,2140.0,2120.0,2145.0,2060.0,143914.0,-22578.0,22578.0,0.0,0.0292,-2062707.0,75.0,RISE
2020-05-18,2065.0,2250.0,2275.0,2035.0,378193.0,-4687.0,4687.0,0.0,0.0279,-2062707.0,170.0,FALL
2020-05-15,2235.0,2225.0,2270.0,2105.0,205992.0,-13598.0,13598.0,0.0,0.0276,-2062707.0,10.0,FALL
2020-05-14,2245.0,2250.0,2300.0,2190.0,137653.0,3299.0,-3299.0,0.0,0.0269,-2062707.0,20.0,FALL
2020-05-13,2265.0,2240.0,2300.0,2175.0,189288.0,-7937.0,7937.0,0.0,0.027000000000000003,-2062707.0,25.0,RISE
2020-05-12,2240.0,2340.0,2355.0,2210.0,316442.0,11748.0,-11748.0,0.0,0.0266,-2062707.0,85.0,FALL
2020-05-11,2325.0,2320.0,2445.0,2260.0,1094485.0,62258.0,-29258.0,-33000.0,0.0273,-2062707.0,15.0,RISE
2020-05-08,2310.0,2300.0,2335.0,2255.0,312282.0,-23252.0,23252.0,0.0,0.029,-2029707.0,10.0,RISE
2020-05-07,2300.0,2330.0,2440.0,2285.0,1026235.0,77988.0,-30988.0,-47000.0,0.0276,-2029707.0,30.0,FALL
2020-05-06,2330.0,2290.0,2370.0,2250.0,1422394.0,57881.0,-10881.0,-47000.0,0.0294,-1982707.0,55.0,RISE
2020-05-04,2275.0,2360.0,2585.0,2175.0,4746923.0,102814.0,-20702.0,-82112.0,0.03,-1935707.0,30.0,FALL
2020-04-29,2305.0,1940.0,2305.0,1900.0,3729552.0,34422.0,-5538.0,-28884.0,0.0312,-1853595.0,530.0,UPPER_LIMIT
2020-04-28,1775.0,1730.0,1775.0,1690.0,130366.0,-41654.0,2128.0,39526.0,0.0315,-1824711.0,60.0,RISE
2020-04-27,1715.0,1715.0,1730.0,1670.0,15089.0,-4127.0,4127.0,0.0,0.0314,-1864237.0,40.0,RISE
2020-04-24,1675.0,1735.0,1785.0,1675.0,58159.0,3068.0,-3068.0,0.0,0.0312,-1864237.0,60.0,FALL
2020-04-23,1735.0,1695.0,1750.0,1655.0,48159.0,-4698.0,4698.0,0.0,0.0314,-1864237.0,50.0,RISE
2020-04-22,1685.0,1665.0,1700.0,1635.0,51529.0,-3617.0,3617.0,0.0,0.0311,-1864237.0,15.0,FALL
2020-04-21,1700.0,1840.0,1840.0,1660.0,126987.0,-4641.0,4641.0,0.0,0.0309,-1864237.0,125.0,FALL
2020-04-20,1825.0,1800.0,1850.0,1750.0,68619.0,-10910.0,10910.0,0.0,0.0306,-1864237.0,45.0,RISE
2020-04-17,1780.0,1740.0,1795.0,1725.0,81775.0,-7411.0,7411.0,0.0,0.03,-1864237.0,40.0,RISE
2020-04-16,1740.0,1750.0,1790.0,1650.0,87197.0,-3772.0,3772.0,0.0,0.0296,-1864237.0,20.0,RISE
2020-04-14,1720.0,1740.0,1830.0,1720.0,71447.0,-6695.0,6695.0,0.0,0.0293,-1864237.0,35.0,FALL
2020-04-13,1755.0,1880.0,1900.0,1735.0,96153.0,6581.0,-6581.0,0.0,0.029,-1864237.0,125.0,FALL
2020-04-10,1880.0,1820.0,1880.0,1780.0,88542.0,5012.0,-5012.0,0.0,0.0293,-1864237.0,60.0,RISE
2020-04-09,1820.0,1790.0,1855.0,1780.0,104773.0,-5760.0,5760.0,0.0,0.0296,-1864237.0,90.0,RISE
2020-04-08,1730.0,1820.0,1820.0,1690.0,51672.0,-502.0,502.0,0.0,0.0293,-1864237.0,5.0,FALL
2020-04-07,1735.0,1750.0,1800.0,1635.0,87603.0,-5637.0,5637.0,0.0,0.0293,-1864237.0,15.0,RISE
2020-04-06,1720.0,1630.0,1735.0,1600.0,116412.0,688.0,-688.0,0.0,0.0289,-1864237.0,110.0,RISE
2020-04-03,1610.0,1575.0,1630.0,1550.0,44209.0,413.0,-413.0,0.0,0.029,-1864237.0,30.0,RISE
2020-04-02,1580.0,1595.0,1595.0,1465.0,49918.0,-5469.0,5469.0,0.0,0.029,-1864237.0,50.0,RISE
2020-04-01,1530.0,1510.0,1660.0,1470.0,177508.0,-5326.0,5326.0,0.0,0.0287,-1864237.0,5.0,FALL
2020-03-31,1535.0,1470.0,1560.0,1470.0,63155.0,4989.0,-4989.0,0.0,0.0284,-1864237.0,85.0,RISE
2020-03-30,1450.0,1340.0,1495.0,1340.0,48357.0,-4079.0,4079.0,0.0,0.0287,-1864237.0,55.0,RISE
2020-03-27,1395.0,1475.0,1525.0,1335.0,120322.0,3863.0,-3863.0,0.0,0.0284,-1864237.0,5.0,FALL
2020-03-26,1400.0,1335.0,1500.0,1300.0,78286.0,7560.0,-7560.0,0.0,0.0286,-1864237.0,65.0,RISE
2020-03-25,1335.0,1270.0,1405.0,1270.0,73723.0,7196.0,-7196.0,0.0,0.0291,-1864237.0,100.0,RISE
