,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2065.0,2040.0,2070.0,2030.0,345201.0,-91448,105722,-14274,0.0208,771328,25.0,RISE
2020-06-04,2040.0,2075.0,2075.0,2025.0,360683.0,-22427,36972,-14545,0.0194,785602,5.0,FALL
2020-06-03,2045.0,2070.0,2080.0,2020.0,527101.0,2216,25291,-27507,0.0189,800147,15.0,RISE
2020-06-02,2030.0,1975.0,2160.0,1975.0,1408026.0,75813.0,-75457.0,-356.0,0.0186,827603.0,55.0,RISE
2020-06-01,1975.0,2000.0,2045.0,1960.0,363478.0,12402.0,-12963.0,561.0,0.0196,827959.0,15.0,RISE
2020-05-29,1960.0,1965.0,1995.0,1930.0,140656.0,15076.0,-15064.0,-12.0,0.0197,827398.0,10.0,FALL
2020-05-28,1970.0,2055.0,2060.0,1925.0,380379.0,76451.0,-37741.0,-38710.0,0.0199,827410.0,75.0,FALL
2020-05-27,2045.0,2050.0,2055.0,2005.0,302197.0,-22936.0,23075.0,-139.0,0.0205,866120.0,20.0,RISE
2020-05-26,2025.0,1990.0,2060.0,1980.0,187982.0,-50471.0,50476.0,-5.0,0.0201,866259.0,35.0,RISE
2020-05-25,1990.0,2000.0,2040.0,1975.0,171666.0,-4748.0,4715.0,33.0,0.0195,866264.0,5.0,FALL
2020-05-21,2060.0,2050.0,2065.0,2035.0,222612.0,3408.0,-3405.0,-3.0,0.0202,849907.0,25.0,RISE
2020-05-20,2035.0,2035.0,2055.0,2005.0,242181.0,-40219.0,40224.0,-5.0,0.0202,849910.0,35.0,RISE
2020-05-19,2000.0,2020.0,2020.0,1980.0,299744.0,-21296.0,26278.0,-4982.0,0.0197,849915.0,20.0,RISE
2020-05-18,1980.0,2010.0,2020.0,1965.0,202140.0,1158.0,-1178.0,20.0,0.0193,854897.0,5.0,RISE
2020-05-15,1975.0,1985.0,2010.0,1960.0,167728.0,6521.0,-7042.0,521.0,0.0193,854877.0,5.0,FALL
2020-05-14,1980.0,1980.0,2010.0,1965.0,275518.0,-2081.0,1784.0,297.0,0.0194,854356.0,20.0,FALL
2020-05-13,2000.0,1975.0,2050.0,1975.0,271792.0,22049.0,-22088.0,39.0,0.0194,854059.0,25.0,FALL
2020-05-12,2025.0,2050.0,2050.0,1960.0,502633.0,12579.0,-13036.0,457.0,0.0197,854020.0,35.0,FALL
2020-05-11,2060.0,2010.0,2100.0,1965.0,707106.0,-50369.0,50748.0,-379.0,0.0199,853563.0,45.0,RISE
2020-05-08,2015.0,1955.0,2150.0,1935.0,2403848.0,91265.0,-88877.0,-2388.0,0.0189,853942.0,90.0,RISE
2020-05-07,1925.0,1920.0,1950.0,1915.0,136207.0,-6916.0,175.0,6741.0,0.0201,856330.0,5.0,RISE
2020-05-06,1920.0,1910.0,1940.0,1910.0,153553.0,-304.0,-19880.0,20184.0,0.0201,849589.0,10.0,RISE
2020-05-04,1910.0,1900.0,1935.0,1870.0,138422.0,23724.0,-24890.0,1166.0,0.0204,829405.0,10.0,RISE
2020-04-29,1900.0,1920.0,1930.0,1885.0,154488.0,3673.0,-2930.0,-743.0,0.0208,828239.0,5.0,RISE
2020-04-28,1895.0,1890.0,1935.0,1840.0,159661.0,5033.0,-9305.0,4272.0,0.0208,828982.0,5.0,FALL
2020-04-27,1900.0,1840.0,1915.0,1840.0,339081.0,-50187.0,50161.0,26.0,0.0209,824710.0,50.0,RISE
2020-04-24,1850.0,1890.0,1890.0,1805.0,206917.0,53634.0,-27990.0,-25644.0,0.0203,824684.0,30.0,FALL
2020-04-23,1880.0,1910.0,1925.0,1880.0,189568.0,-16981.0,16713.0,268.0,0.0206,850328.0,25.0,FALL
2020-04-22,1905.0,1855.0,1910.0,1805.0,268289.0,-30587.0,30649.0,-62.0,0.0204,850060.0,5.0,RISE
2020-04-21,1900.0,1965.0,1970.0,1795.0,578395.0,1704.0,-1704.0,0.0,0.02,850122.0,55.0,FALL
2020-04-20,1955.0,1870.0,1980.0,1825.0,1045546.0,24178.0,-22523.0,-1655.0,0.02,850122.0,115.0,RISE
2020-04-17,1840.0,1800.0,1885.0,1800.0,294979.0,30598.0,-29840.0,-758.0,0.0203,851777.0,40.0,RISE
2020-04-16,1800.0,1735.0,1805.0,1690.0,279773.0,16436.0,-16412.0,-24.0,0.0207,852535.0,65.0,RISE
2020-04-14,1735.0,1725.0,1740.0,1690.0,253634.0,-72570.0,72721.0,-151.0,0.021,852559.0,45.0,RISE
2020-04-13,1690.0,1735.0,1755.0,1690.0,255033.0,21872.0,-21824.0,-48.0,0.02,852710.0,65.0,FALL
2020-04-10,1755.0,1850.0,1850.0,1710.0,553784.0,116736.0,-64678.0,-52058.0,0.0203,852758.0,45.0,FALL
2020-04-09,1800.0,1720.0,1810.0,1710.0,393099.0,-48809.0,3147.0,45662.0,0.0221,904816.0,105.0,RISE
2020-04-08,1695.0,1650.0,1720.0,1600.0,298741.0,-46872.0,44896.0,1976.0,0.0219,859154.0,50.0,RISE
2020-04-07,1645.0,1650.0,1675.0,1600.0,653963.0,105540.0,87490.0,-193030.0,0.0213,857178.0,30.0,RISE
2020-04-06,1615.0,1550.0,1615.0,1550.0,351054.0,-12049.0,46938.0,-34889.0,0.0201,1050208.0,65.0,RISE
2020-04-03,1550.0,1560.0,1600.0,1530.0,229647.0,25549.0,-5752.0,-19797.0,0.0195,1085097.0,10.0,RISE
2020-04-02,1540.0,1500.0,1550.0,1470.0,158588.0,-3031.0,2471.0,560.0,0.0196,1104894.0,35.0,RISE
2020-04-01,1505.0,1550.0,1635.0,1470.0,505910.0,27513.0,-91458.0,63945.0,0.0199,1104334.0,0.0,EVEN
2020-03-31,1505.0,1470.0,1530.0,1435.0,462614.0,-10395.0,406.0,9989.0,0.0211,1040389.0,105.0,RISE
2020-03-30,1400.0,1330.0,1410.0,1315.0,331934.0,-26658.0,26599.0,59.0,0.0211,1030400.0,15.0,RISE
2020-03-27,1385.0,1395.0,1430.0,1350.0,368744.0,46032.0,-46057.0,25.0,0.0208,1030341.0,25.0,RISE
2020-03-26,1360.0,1245.0,1365.0,1245.0,487500.0,254.0,210.0,-464.0,0.0213,1030316.0,50.0,RISE
2020-03-25,1310.0,1275.0,1330.0,1230.0,682926.0,7658.0,-7507.0,-151.0,0.02,1030780.0,105.0,RISE
2020-03-24,1205.0,1135.0,1220.0,1130.0,528727.0,-43874.0,-11326.0,55200.0,0.0202,1030931.0,75.0,RISE
2020-03-23,1130.0,1125.0,1160.0,1100.0,496236.0,38223.0,-37966.0,-257.0,0.0207,975731.0,75.0,FALL
2020-03-20,1205.0,1110.0,1230.0,1110.0,693550.0,-46969.0,46148.0,821.0,0.0212,975988.0,55.0,RISE
2020-03-19,1150.0,1360.0,1395.0,1150.0,914373.0,-44145.0,38486.0,5659.0,0.0205,975167.0,230.0,FALL
2020-03-18,1380.0,1440.0,1475.0,1340.0,488326.0,45246.0,-52721.0,7475.0,0.0201,969508.0,60.0,FALL
2020-03-17,1440.0,1365.0,1450.0,1335.0,788723.0,-115336.0,85816.0,29520.0,0.0205,962033.0,15.0,FALL
2020-03-16,1455.0,1540.0,1605.0,1455.0,408244.0,-12300.0,11251.0,1049.0,0.0175,932513.0,80.0,FALL
2020-03-13,1535.0,1600.0,1650.0,1450.0,1102638.0,-149181.0,155080.0,-5899.0,0.0171,931464.0,230.0,FALL
2020-03-12,1765.0,1985.0,1985.0,1720.0,750216.0,-16350.0,-2024.0,18374.0,0.0177,937363.0,225.0,FALL
2020-03-11,1990.0,2065.0,2080.0,1965.0,362962.0,29024.0,-28519.0,-505.0,0.0177,918989.0,70.0,FALL
2020-03-10,2060.0,2065.0,2105.0,2020.0,260682.0,25116.0,-6183.0,-18933.0,0.0179,919494.0,70.0,FALL
2020-03-09,2130.0,2200.0,2200.0,2090.0,259183.0,21905.0,-21321.0,-584.0,0.018000000000000002,938427.0,80.0,FALL
2020-03-06,2210.0,2230.0,2270.0,2180.0,218008.0,107915.0,-78339.0,-29576.0,0.0183,939011.0,45.0,FALL
2020-03-05,2255.0,2285.0,2285.0,2240.0,106259.0,4157.0,-4453.0,296.0,0.0194,968587.0,15.0,RISE
2020-03-04,2240.0,2195.0,2240.0,2180.0,162854.0,-336.0,21702.0,-21366.0,0.0194,968291.0,40.0,RISE
2020-03-03,2200.0,2210.0,2265.0,2180.0,268151.0,-46270.0,40121.0,6149.0,0.0191,989657.0,25.0,RISE
2020-03-02,2175.0,2160.0,2240.0,2140.0,291468.0,-90108.0,60017.0,30091.0,0.0186,983508.0,15.0,FALL
2020-02-28,2190.0,2225.0,2260.0,2145.0,380383.0,43133.0,-39438.0,-3695.0,0.0178,953417.0,100.0,FALL
2020-02-27,2290.0,2380.0,2410.0,2280.0,254895.0,63757.0,-67635.0,3878.0,0.0183,957112.0,120.0,FALL
2020-02-26,2410.0,2335.0,2410.0,2320.0,152686.0,31618.0,-31624.0,6.0,0.019,953234.0,20.0,RISE
2020-02-25,2390.0,2260.0,2400.0,2175.0,420914.0,-87617.0,58487.0,29130.0,0.0194,953228.0,70.0,RISE
2020-02-24,2320.0,2405.0,2435.0,2320.0,358092.0,39753.0,-79359.0,39606.0,0.0186,924098.0,145.0,FALL
2020-02-21,2465.0,2440.0,2480.0,2400.0,253288.0,51577.0,-49354.0,-2223.0,0.0197,884492.0,10.0,FALL
2020-02-20,2475.0,2500.0,2525.0,2440.0,219314.0,35016.0,-35228.0,212.0,0.0204,886715.0,20.0,FALL
2020-02-19,2495.0,2535.0,2605.0,2455.0,450284.0,-38439.0,37625.0,814.0,0.0208,886503.0,40.0,FALL
2020-02-18,2535.0,2580.0,2600.0,2525.0,232638.0,51091.0,-52987.0,1896.0,0.0203,885689.0,25.0,FALL
