,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,6830.0,6840.0,6870.0,6730.0,330934.0,-12304,12304,0,0.0421,-511003,20.0,RISE
2020-06-04,6810.0,6780.0,6850.0,6720.0,498852.0,-84596,84592,4,0.0416,-511003,90.0,RISE
2020-06-03,6720.0,6880.0,6910.0,6700.0,443937.0,24847,-24549,-298,0.0377,-511007,60.0,FALL
2020-06-02,6780.0,6780.0,6830.0,6700.0,297049.0,26386.0,-26386.0,0.0,0.0389,-510709.0,20.0,RISE
2020-06-01,6760.0,6600.0,6810.0,6570.0,452939.0,-78464.0,77925.0,539.0,0.0401,-510709.0,220.0,RISE
2020-05-29,6540.0,6610.0,6660.0,6450.0,404427.0,39476.0,14172.0,-53648.0,0.0365,-511248.0,70.0,FALL
2020-05-28,6610.0,6870.0,6950.0,6510.0,839646.0,18719.0,-14311.0,-4408.0,0.0359,-457600.0,230.0,FALL
2020-05-27,6840.0,6900.0,7060.0,6810.0,708104.0,-1057.0,768.0,289.0,0.0365,-453192.0,0.0,EVEN
2020-05-26,6840.0,6900.0,6900.0,6780.0,458492.0,-12964.0,13443.0,-479.0,0.0365,-453481.0,40.0,FALL
2020-05-25,6880.0,6920.0,6950.0,6750.0,487190.0,15808.0,-15342.0,-466.0,0.0359,-453002.0,40.0,FALL
2020-05-21,7020.0,6860.0,7180.0,6700.0,1992260.0,-84899.0,84899.0,0.0,0.0418,-458171.0,270.0,RISE
2020-05-20,6750.0,6670.0,6760.0,6630.0,597244.0,-23743.0,22363.0,1380.0,0.038,-458171.0,30.0,RISE
2020-05-19,6720.0,6580.0,6780.0,6500.0,1129438.0,-5337.0,5337.0,0.0,0.0369,-459551.0,270.0,RISE
2020-05-18,6450.0,6520.0,6550.0,6410.0,515061.0,-14696.0,14696.0,0.0,0.0367,-459551.0,10.0,RISE
2020-05-15,6440.0,6530.0,6770.0,6410.0,1987499.0,53267.0,-53267.0,0.0,0.036000000000000004,-459551.0,240.0,RISE
2020-05-14,6200.0,6270.0,6370.0,6150.0,448137.0,-75487.0,21826.0,53661.0,0.0384,-459551.0,120.0,FALL
2020-05-13,6320.0,6330.0,6370.0,6230.0,448020.0,14502.0,-14502.0,0.0,0.0375,-513212.0,100.0,FALL
2020-05-12,6420.0,6250.0,6700.0,6250.0,1993908.0,7401.0,-982.0,-6419.0,0.0381,-513212.0,180.0,RISE
2020-05-11,6240.0,6290.0,6290.0,6130.0,460851.0,-126598.0,126598.0,0.0,0.0382,-506793.0,40.0,RISE
2020-05-08,6200.0,6200.0,6310.0,6150.0,500171.0,-21202.0,14783.0,6419.0,0.0324,-506793.0,80.0,RISE
2020-05-07,6120.0,6030.0,6160.0,6010.0,302294.0,-25614.0,25614.0,0.0,0.0317,-513212.0,100.0,RISE
2020-05-06,6020.0,6050.0,6110.0,5980.0,288725.0,-29858.0,29858.0,0.0,0.0306,-513212.0,50.0,RISE
2020-05-04,5970.0,6030.0,6120.0,5950.0,312631.0,-5085.0,5085.0,0.0,0.0294,-513212.0,160.0,FALL
2020-04-29,6130.0,6300.0,6300.0,6080.0,394544.0,26865.0,-26865.0,0.0,0.0292,-513212.0,110.0,FALL
2020-04-28,6240.0,6150.0,6290.0,6060.0,549414.0,3134.0,-3134.0,0.0,0.0304,-513212.0,90.0,RISE
2020-04-27,6150.0,6120.0,6170.0,6000.0,384561.0,-42428.0,42428.0,0.0,0.0306,-513212.0,60.0,RISE
2020-04-24,6090.0,6330.0,6330.0,6050.0,518537.0,-1833.0,1833.0,0.0,0.0286,-513212.0,240.0,FALL
2020-04-23,6330.0,6480.0,6580.0,6290.0,785001.0,48651.0,-33878.0,-14773.0,0.0286,-513212.0,20.0,FALL
2020-04-22,6350.0,6250.0,6370.0,6100.0,516389.0,4273.0,-4273.0,0.0,0.0301,-498439.0,0.0,EVEN
2020-04-21,6350.0,6310.0,6510.0,5900.0,1694915.0,-38121.0,37121.0,1000.0,0.0303,-498439.0,120.0,RISE
2020-04-20,6230.0,6300.0,6400.0,6200.0,618141.0,-41729.0,26956.0,14773.0,0.0286,-499439.0,20.0,RISE
2020-04-17,6210.0,6350.0,6390.0,6160.0,888691.0,96060.0,-97060.0,1000.0,0.0274,-514212.0,50.0,RISE
2020-04-16,6160.0,5790.0,6230.0,5720.0,1315137.0,75903.0,-75903.0,0.0,0.0318,-515212.0,310.0,RISE
2020-04-14,5850.0,5610.0,5890.0,5590.0,505996.0,-112609.0,111109.0,1500.0,0.0352,-515212.0,320.0,RISE
2020-04-13,5530.0,5870.0,5870.0,5530.0,551478.0,-4195.0,4428.0,-233.0,0.0302,-516712.0,340.0,FALL
2020-04-10,5870.0,6020.0,6080.0,5660.0,715275.0,-25591.0,24728.0,863.0,0.0299,-516479.0,160.0,FALL
2020-04-09,6030.0,6170.0,6180.0,5960.0,729810.0,13583.0,-13583.0,0.0,0.0289,-517342.0,40.0,RISE
2020-04-08,5990.0,5960.0,6160.0,5790.0,1404100.0,58323.0,-58323.0,0.0,0.0295,-517342.0,140.0,RISE
2020-04-07,5850.0,5990.0,5990.0,5550.0,1754841.0,38117.0,-37500.0,-617.0,0.0322,-517342.0,150.0,RISE
2020-04-06,5700.0,5570.0,5740.0,5450.0,900841.0,52980.0,-52980.0,0.0,0.0339,-516725.0,160.0,RISE
2020-04-03,5540.0,5530.0,5700.0,5420.0,878378.0,39149.0,-39149.0,0.0,0.0363,-516725.0,20.0,RISE
2020-04-02,5520.0,5490.0,5620.0,5170.0,1512840.0,109962.0,-96453.0,-13509.0,0.038,-516725.0,190.0,RISE
2020-04-01,5330.0,4900.0,6070.0,4815.0,4298858.0,268154.0,-268153.0,-1.0,0.043,-503216.0,440.0,RISE
2020-03-31,4890.0,4740.0,4990.0,4660.0,1176039.0,114445.0,-114445.0,0.0,0.0552,-503215.0,320.0,RISE
2020-03-30,4570.0,4350.0,4625.0,4305.0,484425.0,16077.0,-16077.0,0.0,0.0604,-503215.0,45.0,RISE
2020-03-27,4525.0,4770.0,4790.0,4320.0,935564.0,60885.0,-60885.0,0.0,0.0612,-503215.0,20.0,FALL
2020-03-26,4545.0,4550.0,4805.0,4380.0,898383.0,48108.0,-48108.0,0.0,0.064,-503215.0,45.0,RISE
2020-03-25,4500.0,4500.0,4595.0,4345.0,955313.0,178862.0,-178862.0,0.0,0.0666,-503215.0,200.0,RISE
2020-03-24,4300.0,4095.0,4350.0,4010.0,914925.0,-28436.0,28436.0,0.0,0.0747,-503215.0,305.0,RISE
