,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1490.0,1495.0,1510.0,1460.0,53715.0,1128,-1128,0,0.0007,-1805355,5.0,FALL
2020-06-04,1495.0,1490.0,1540.0,1445.0,177219.0,-172,172,0,0.0007,-1805355,5.0,RISE
2020-06-03,1490.0,1490.0,1530.0,1480.0,102351.0,2475,-2475,0,0.0007,-1805355,5.0,RISE
2020-06-02,1485.0,1475.0,1490.0,1465.0,62700.0,11.0,-11.0,0.0,0.0008,-1805355.0,5.0,RISE
2020-06-01,1480.0,1495.0,1500.0,1455.0,50929.0,463.0,-463.0,0.0,0.0008,-1805355.0,5.0,FALL
2020-05-29,1485.0,1475.0,1500.0,1455.0,63602.0,1432.0,-1432.0,0.0,0.0008,-1805355.0,15.0,RISE
2020-05-28,1470.0,1515.0,1515.0,1410.0,208686.0,-8139.0,8139.0,0.0,0.0009,-1805355.0,30.0,FALL
2020-05-27,1500.0,1505.0,1520.0,1490.0,73773.0,-2647.0,2647.0,0.0,0.0006,-1805355.0,5.0,FALL
2020-05-26,1505.0,1520.0,1530.0,1495.0,107433.0,937.0,-937.0,0.0,-0.0006,-1805355.0,15.0,FALL
2020-05-25,1520.0,1470.0,1520.0,1470.0,111094.0,-1016.0,1016.0,0.0,-0.0005,-1805355.0,50.0,RISE
2020-05-21,1480.0,1470.0,1495.0,1450.0,139806.0,-4432.0,4432.0,0.0,0.0012,-1805355.0,10.0,RISE
2020-05-20,1470.0,1490.0,1490.0,1440.0,140184.0,0.0,0.0,0.0,0.0,-1805355.0,5.0,FALL
2020-05-19,1475.0,1465.0,1505.0,1460.0,41320.0,-4.0,4.0,0.0,0.0001,-1805355.0,10.0,RISE
2020-05-18,1465.0,1480.0,1510.0,1460.0,87430.0,3234.0,-3234.0,0.0,0.0001,-1805355.0,5.0,FALL
2020-05-15,1470.0,1525.0,1525.0,1470.0,58503.0,1858.0,-1357.0,-501.0,0.0002,-1805355.0,50.0,FALL
2020-05-14,1520.0,1545.0,1545.0,1490.0,96725.0,747.0,-747.0,0.0,0.0002,-1804854.0,10.0,FALL
2020-05-13,1530.0,1530.0,1545.0,1510.0,103122.0,-25.0,25.0,0.0,0.0002,-1804854.0,5.0,FALL
2020-05-12,1535.0,1530.0,1555.0,1470.0,283251.0,-4695.0,4695.0,0.0,0.0002,-1804854.0,25.0,RISE
2020-05-11,1510.0,1525.0,1550.0,1490.0,180762.0,-542.0,542.0,0.0,0.0001,-1804854.0,15.0,FALL
2020-05-08,1525.0,1505.0,1550.0,1485.0,166033.0,3170.0,-2500.0,-670.0,0.0001,-1804854.0,5.0,RISE
2020-05-07,1520.0,1550.0,1550.0,1485.0,174348.0,22268.0,-6248.0,-16020.0,0.0002,-1804184.0,5.0,FALL
2020-05-06,1525.0,1500.0,1570.0,1460.0,617021.0,6276.0,10375.0,-16651.0,0.0004,-1788164.0,40.0,RISE
2020-05-04,1485.0,1490.0,1500.0,1465.0,54147.0,1253.0,-1253.0,0.0,0.0,-1771513.0,15.0,FALL
2020-04-29,1500.0,1440.0,1500.0,1435.0,226408.0,-4271.0,4271.0,0.0,0.0,-1771513.0,60.0,RISE
2020-04-28,1440.0,1435.0,1460.0,1425.0,63428.0,2945.0,-2945.0,0.0,-0.0001,-1771513.0,0.0,EVEN
2020-04-27,1440.0,1435.0,1465.0,1420.0,80119.0,301.0,0.0,-301.0,0.0,-1771513.0,5.0,RISE
2020-04-24,1435.0,1450.0,1480.0,1400.0,47923.0,2364.0,-2364.0,0.0,0.0009,-1771212.0,15.0,FALL
2020-04-23,1450.0,1405.0,1480.0,1390.0,74485.0,8335.0,-8335.0,0.0,0.001,-1771212.0,50.0,RISE
2020-04-22,1400.0,1410.0,1410.0,1340.0,99643.0,2674.0,-2674.0,0.0,0.0013,-1771212.0,15.0,FALL
2020-04-21,1415.0,1460.0,1485.0,1280.0,178087.0,2062.0,-2062.0,0.0,0.0014,-1771212.0,55.0,FALL
2020-04-20,1470.0,1495.0,1520.0,1465.0,224383.0,22763.0,-22763.0,0.0,0.0014,-1771212.0,25.0,FALL
2020-04-17,1495.0,1500.0,1545.0,1440.0,305731.0,-10415.0,10415.0,0.0,0.0023,-1771212.0,5.0,RISE
2020-04-16,1490.0,1510.0,1525.0,1440.0,132100.0,4305.0,-4235.0,-70.0,0.0019,-1771212.0,10.0,FALL
2020-04-14,1500.0,1550.0,1555.0,1490.0,298980.0,-14180.0,14110.0,70.0,0.002,-1771142.0,25.0,FALL
2020-04-13,1525.0,1535.0,1545.0,1470.0,258484.0,-5915.0,5915.0,0.0,0.0015,-1771212.0,10.0,FALL
2020-04-10,1535.0,1570.0,1725.0,1400.0,2580985.0,-7392.0,7092.0,300.0,0.0013,-1771212.0,5.0,RISE
2020-04-09,1530.0,1645.0,1645.0,1520.0,390038.0,-2630.0,2630.0,0.0,0.0011,-1771512.0,70.0,FALL
2020-04-08,1600.0,1420.0,1760.0,1420.0,5387236.0,-12505.0,17505.0,-5000.0,0.001,-1771512.0,190.0,RISE
2020-04-07,1410.0,1415.0,1490.0,1360.0,689133.0,4762.0,-4762.0,0.0,0.0003,-1766512.0,0.0,EVEN
2020-04-06,1410.0,1415.0,1420.0,1355.0,319193.0,-11142.0,11142.0,0.0,0.0005,-1766512.0,10.0,RISE
2020-04-03,1400.0,1350.0,1405.0,1315.0,634589.0,-2843.0,2843.0,0.0,0.0001,-1766512.0,10.0,RISE
2020-04-02,1390.0,1500.0,1625.0,1275.0,3359143.0,57250.0,250.0,-57500.0,0.0,-1766512.0,70.0,FALL
2020-04-01,1460.0,1130.0,1460.0,1130.0,1934586.0,-50597.0,0.0,50597.0,0.0,-1709012.0,335.0,UPPER_LIMIT
