,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,27800.0,28050.0,29000.0,27650.0,856981.0,120883,-60812,-60071,0.0528,1219362,0.0,EVEN
2020-06-04,27800.0,28100.0,28550.0,27450.0,737272.0,72833,-4842,-67991,0.0559,1279433,150.0,RISE
2020-06-03,27650.0,28050.0,28450.0,26900.0,786402.0,48880,3607,-52487,0.0561,1347424,150.0,FALL
2020-06-02,27800.0,28650.0,28850.0,27650.0,937046.0,204734.0,-120958.0,-83776.0,0.0559,1405536.0,1300.0,FALL
2020-06-01,29100.0,27800.0,29550.0,27750.0,941293.0,-1187.0,878.0,309.0,0.0621,1489312.0,1700.0,RISE
2020-05-29,27400.0,27100.0,28500.0,27050.0,793991.0,29541.0,23320.0,-52861.0,0.062,1489003.0,0.0,EVEN
2020-05-28,27400.0,28450.0,28900.0,26700.0,1667327.0,-115358.0,200533.0,-85175.0,0.0608,1541864.0,900.0,FALL
2020-05-27,28300.0,30100.0,30250.0,27400.0,1969117.0,147028.0,21913.0,-168941.0,0.0506,1627039.0,2350.0,FALL
2020-05-26,30650.0,30650.0,31850.0,29950.0,914968.0,19379.0,-10003.0,-9376.0,0.0495,1795980.0,300.0,RISE
2020-05-25,30350.0,31250.0,31250.0,29150.0,1669682.0,321112.0,-277897.0,-43215.0,0.05,1805356.0,850.0,FALL
2020-05-21,28050.0,29050.0,29050.0,27750.0,791469.0,43550.0,58116.0,-101666.0,0.0583,1799491.0,400.0,FALL
2020-05-20,28450.0,28500.0,29500.0,27750.0,987607.0,49364.0,-41236.0,-8128.0,0.0553,1901157.0,50.0,RISE
2020-05-19,28400.0,27100.0,28600.0,26600.0,964409.0,-29270.0,17993.0,11277.0,0.0574,1909285.0,1400.0,RISE
2020-05-18,27000.0,26250.0,27900.0,26100.0,1195024.0,31126.0,-86796.0,55670.0,0.0565,1898008.0,300.0,RISE
2020-05-15,26700.0,23600.0,28550.0,23350.0,4177530.0,-168252.0,91056.0,77196.0,0.0609,1842338.0,3750.0,RISE
2020-05-14,22950.0,22800.0,23900.0,22650.0,520360.0,-10586.0,-15144.0,25730.0,0.0563,1765142.0,200.0,FALL
2020-05-13,23150.0,21400.0,23250.0,21350.0,924384.0,9762.0,5110.0,-14872.0,0.0571,1739412.0,1300.0,RISE
2020-05-12,21850.0,22000.0,22600.0,21600.0,474133.0,17357.0,36526.0,-53883.0,0.0569,1754284.0,300.0,FALL
2020-05-11,22150.0,22000.0,22550.0,21700.0,414584.0,-2516.0,15106.0,-12590.0,0.0553,1808167.0,150.0,RISE
2020-05-08,22000.0,22600.0,22600.0,21650.0,512698.0,-11101.0,38649.0,-27548.0,0.0545,1820757.0,150.0,FALL
2020-05-07,22150.0,21900.0,23150.0,21800.0,710377.0,5857.0,-3925.0,-1932.0,0.0526,1848305.0,200.0,RISE
2020-05-06,21950.0,21300.0,22200.0,20750.0,821709.0,-44186.0,27039.0,17147.0,0.0531,1850237.0,1100.0,RISE
2020-05-04,20850.0,20350.0,22000.0,20300.0,1255763.0,-3979.0,-8047.0,12026.0,0.0518,1833090.0,100.0,FALL
2020-04-29,20950.0,19650.0,21400.0,19250.0,2003848.0,-182649.0,59332.0,123317.0,0.053,1821064.0,1350.0,RISE
2020-04-28,19600.0,19050.0,19800.0,18750.0,917340.0,-57362.0,8599.0,48763.0,0.05,1697747.0,750.0,RISE
2020-04-27,18850.0,19200.0,19350.0,18500.0,557793.0,66829.0,-77507.0,10678.0,0.0501,1648984.0,50.0,RISE
