,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,30550.0,30600.0,31400.0,30100.0,215051.0,-2170,14266,-12096,0.0165,-8639,350.0,RISE
2020-06-04,30200.0,30900.0,31450.0,29950.0,282809.0,31838,8846,-40684,0.015,3457,200.0,FALL
2020-06-03,30400.0,32200.0,32350.0,30050.0,521061.0,96709,-45636,-51073,0.0141,44141,1150.0,FALL
2020-06-02,34400.0,32750.0,35150.0,32200.0,968371.0,41369.0,-42671.0,1302.0,0.0193,98929.0,1750.0,RISE
2020-06-01,32650.0,30200.0,32650.0,30100.0,697141.0,42098.0,44857.0,-86955.0,0.0239,97627.0,2350.0,RISE
2020-05-29,30300.0,29900.0,30500.0,29450.0,219382.0,35182.0,4611.0,-39793.0,0.019,184582.0,100.0,RISE
2020-05-28,30200.0,31500.0,31600.0,29250.0,436066.0,-31646.0,71724.0,-40078.0,0.0208,224375.0,800.0,FALL
2020-05-27,31000.0,32000.0,32150.0,30950.0,303049.0,-3205.0,9859.0,-6654.0,0.013000000000000001,264453.0,1250.0,FALL
2020-05-26,32250.0,32850.0,32900.0,31750.0,316005.0,46970.0,-47273.0,303.0,0.0127,271107.0,0.0,EVEN
2020-05-25,32250.0,31600.0,32300.0,30700.0,455839.0,10635.0,-8394.0,-2241.0,0.0185,270804.0,650.0,RISE
2020-05-21,32050.0,32900.0,32950.0,31600.0,536179.0,4188.0,-569.0,-3619.0,0.012,352850.0,450.0,FALL
2020-05-20,32500.0,31050.0,32750.0,30750.0,722637.0,-71046.0,-3893.0,74939.0,0.0131,356469.0,1800.0,RISE
2020-05-19,30700.0,29900.0,31500.0,28750.0,882507.0,-52727.0,-7204.0,59931.0,0.0135,281530.0,1400.0,RISE
2020-05-18,29300.0,28750.0,29850.0,28200.0,623964.0,27417.0,-8621.0,-18796.0,0.0143,221599.0,200.0,FALL
2020-05-15,29500.0,27100.0,30200.0,26950.0,1799711.0,-172044.0,54784.0,117260.0,0.0153,240395.0,2900.0,RISE
2020-05-14,26600.0,26900.0,27250.0,26300.0,304306.0,17380.0,-9128.0,-8252.0,0.0091,123135.0,800.0,FALL
2020-05-13,27400.0,27050.0,27600.0,26700.0,419237.0,10401.0,176.0,-10577.0,0.0102,131387.0,250.0,FALL
2020-05-12,27650.0,27400.0,28750.0,27100.0,1069968.0,-104836.0,10382.0,94454.0,0.0103,141964.0,1100.0,RISE
2020-05-11,26550.0,25750.0,26950.0,25600.0,675673.0,4883.0,1755.0,-6638.0,0.0092,47510.0,900.0,RISE
2020-05-08,25650.0,26000.0,26100.0,25400.0,327389.0,14421.0,-5958.0,-8463.0,0.009000000000000001,54148.0,200.0,RISE
2020-05-07,25450.0,24850.0,25950.0,24500.0,594501.0,-39829.0,5198.0,34631.0,0.0096,62611.0,1350.0,RISE
2020-05-06,24100.0,24200.0,24400.0,23650.0,209717.0,-1230.0,6214.0,-4984.0,0.0091,27980.0,350.0,RISE
2020-05-04,23750.0,24300.0,24600.0,23700.0,326965.0,20471.0,-2421.0,-18050.0,0.0084,32964.0,1100.0,FALL
2020-04-29,24850.0,24750.0,25500.0,24600.0,236945.0,639.0,2479.0,-3118.0,0.0088,51014.0,50.0,RISE
2020-04-28,24800.0,25300.0,25550.0,24750.0,213418.0,4639.0,-3002.0,-1637.0,0.0085,54132.0,400.0,FALL
2020-04-27,25200.0,25100.0,25450.0,24400.0,257542.0,-3672.0,-1232.0,4904.0,0.0088,55769.0,300.0,RISE
2020-04-24,24900.0,25500.0,25700.0,24550.0,364198.0,5113.0,2047.0,-7160.0,0.009000000000000001,50865.0,800.0,FALL
2020-04-23,25700.0,26650.0,26700.0,25350.0,553700.0,35701.0,-2947.0,-32754.0,0.0088,58025.0,600.0,FALL
2020-04-22,26300.0,24600.0,26400.0,24350.0,492412.0,2987.0,3739.0,-6726.0,0.0091,90779.0,1050.0,RISE
2020-04-21,25250.0,26100.0,26100.0,24200.0,1110206.0,97888.0,-11205.0,-86683.0,0.0087,97505.0,1100.0,FALL
2020-04-20,26350.0,25850.0,27600.0,25350.0,2247605.0,101340.0,-54049.0,-47291.0,0.0099,184188.0,3100.0,FALL
2020-04-17,29450.0,27700.0,30200.0,27200.0,2291818.0,-135377.0,37128.0,98249.0,0.0157,231479.0,3950.0,RISE
2020-04-16,25500.0,23650.0,25550.0,23400.0,504913.0,-47745.0,35216.0,12529.0,0.0117,133230.0,1600.0,RISE
2020-04-14,23900.0,24250.0,24400.0,23650.0,415319.0,77019.0,-1057.0,-75962.0,0.0079,120701.0,150.0,RISE
2020-04-13,23750.0,24900.0,24950.0,23450.0,485946.0,23907.0,1155.0,-25062.0,0.0081,196663.0,1700.0,FALL
2020-04-10,25450.0,26050.0,26100.0,24400.0,662487.0,54934.0,433.0,-55367.0,0.0079,221725.0,700.0,FALL
2020-04-09,26150.0,26400.0,26500.0,25500.0,437075.0,-26614.0,1111.0,25503.0,0.0079,277092.0,500.0,RISE
2020-04-08,25650.0,25300.0,26700.0,24850.0,640434.0,-33865.0,15476.0,18389.0,0.0089,251589.0,150.0,FALL
2020-04-07,25800.0,25550.0,26500.0,24600.0,955090.0,13632.0,-36002.0,22370.0,0.0072,233200.0,1000.0,RISE
2020-04-06,24800.0,23050.0,24900.0,22650.0,820498.0,10539.0,13581.0,-24120.0,0.0111,210830.0,2150.0,RISE
2020-04-03,22650.0,23200.0,23600.0,22200.0,374532.0,18410.0,-3130.0,-15280.0,0.0096,234950.0,250.0,FALL
2020-04-02,22900.0,23000.0,23200.0,21950.0,479726.0,29577.0,8222.0,-37799.0,0.01,250230.0,300.0,RISE
2020-04-01,22600.0,22550.0,24750.0,22300.0,934191.0,-6924.0,7561.0,-637.0,0.0091,288029.0,350.0,FALL
2020-03-31,22950.0,23700.0,24200.0,22200.0,562396.0,37385.0,-1444.0,-35941.0,0.0083,288666.0,100.0,FALL
2020-03-30,23050.0,22050.0,23250.0,21750.0,463548.0,4901.0,5945.0,-10846.0,0.0085,324607.0,100.0,FALL
2020-03-27,23150.0,24750.0,24800.0,22100.0,695135.0,4138.0,3275.0,-7413.0,0.0078,335453.0,300.0,FALL
2020-03-26,23450.0,23600.0,24650.0,22800.0,852862.0,-34328.0,335.0,33993.0,0.0072,342866.0,200.0,FALL
2020-03-25,23650.0,23150.0,23950.0,22200.0,1076356.0,23960.0,-47233.0,23273.0,0.0072,308873.0,1250.0,RISE
2020-03-24,22400.0,20900.0,22600.0,20200.0,1306975.0,-69280.0,17011.0,52269.0,0.0124,285600.0,2900.0,RISE
2020-03-23,19500.0,20400.0,20750.0,19250.0,946839.0,34490.0,-6912.0,-27578.0,0.0107,233331.0,2600.0,FALL
2020-03-20,22100.0,21200.0,22150.0,20450.0,1102631.0,1436.0,-8389.0,6953.0,0.0114,260909.0,2000.0,RISE
2020-03-19,20100.0,24100.0,24250.0,19050.0,1513879.0,177236.0,-130921.0,-46315.0,0.0133,253956.0,2800.0,FALL
2020-03-18,22900.0,24000.0,26100.0,22700.0,1210774.0,-32422.0,6730.0,25692.0,0.0272,300271.0,750.0,FALL
2020-03-17,23650.0,21700.0,24450.0,21100.0,1319898.0,-72586.0,82386.0,-9800.0,0.0265,274579.0,650.0,RISE
2020-03-16,23000.0,27400.0,27800.0,23000.0,1101903.0,-20070.0,25252.0,-5182.0,0.0176,284379.0,3650.0,FALL
2020-03-13,26650.0,25700.0,27700.0,23350.0,1252000.0,-73958.0,91775.0,-17817.0,0.0149,289561.0,1250.0,FALL
2020-03-12,27900.0,28350.0,29700.0,26550.0,1102243.0,-4614.0,22863.0,-18249.0,0.0041,307378.0,950.0,FALL
2020-03-11,28850.0,31000.0,31250.0,28000.0,1087718.0,54403.0,-34704.0,-19699.0,0.0007,325627.0,2500.0,FALL
2020-03-10,31350.0,30500.0,31650.0,29100.0,1396648.0,33997.0,-27028.0,-6969.0,0.0036,345326.0,400.0,RISE
2020-03-09,30950.0,33250.0,34050.0,30500.0,1252396.0,184487.0,-104478.0,-80009.0,0.0062,352295.0,3600.0,FALL
2020-03-06,34550.0,34100.0,36150.0,32950.0,1398394.0,28455.0,-65496.0,37041.0,0.0174,432304.0,50.0,RISE
2020-03-05,34500.0,31400.0,35050.0,30500.0,1345651.0,-76721.0,59213.0,17508.0,0.0248,395263.0,3600.0,RISE
2020-03-04,30900.0,28250.0,30900.0,28150.0,744338.0,-95751.0,70440.0,25311.0,0.0181,377755.0,2650.0,RISE
