,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,11300.0,11450.0,11450.0,11150.0,227643.0,49717,11111,-60828,0.0263,-423841,150.0,FALL
2020-06-04,11450.0,11500.0,11650.0,11150.0,225948.0,36751,-3603,-33148,0.0255,-363013,50.0,FALL
2020-06-03,11500.0,11650.0,11650.0,11200.0,232441.0,58414,-24085,-34329,0.0257,-329865,100.0,FALL
2020-06-02,11600.0,11550.0,11850.0,11400.0,457508.0,27636.0,-28654.0,1018.0,0.0277,-297951.0,250.0,RISE
2020-06-01,11350.0,11000.0,11550.0,10950.0,483010.0,64880.0,-25172.0,-39708.0,0.0299,-298969.0,550.0,RISE
2020-05-29,10800.0,10850.0,11050.0,10600.0,309442.0,9320.0,-5543.0,-3777.0,0.0317,-259261.0,300.0,FALL
2020-05-28,11100.0,11750.0,11750.0,10600.0,611507.0,16981.0,7842.0,-24823.0,0.0321,-255484.0,600.0,FALL
2020-05-27,11700.0,12050.0,12050.0,11350.0,471179.0,15407.0,-4368.0,-11039.0,0.0316,-230661.0,400.0,FALL
2020-05-26,12100.0,12400.0,12450.0,11800.0,541720.0,103703.0,-55189.0,-48514.0,0.0315,-219622.0,200.0,FALL
2020-05-25,12300.0,11850.0,12400.0,11600.0,940108.0,23563.0,-5812.0,-17751.0,0.0356,-171108.0,700.0,RISE
2020-05-21,11400.0,11750.0,11800.0,11350.0,582128.0,-1848.0,-36259.0,38107.0,0.0348,-289954.0,150.0,FALL
2020-05-20,11550.0,10600.0,11650.0,10550.0,918552.0,-90278.0,30065.0,60213.0,0.0375,-328061.0,800.0,RISE
2020-05-19,10750.0,10750.0,10800.0,10400.0,311385.0,3662.0,8485.0,-12147.0,0.0353,-388274.0,250.0,RISE
2020-05-18,10500.0,10850.0,10850.0,10350.0,375018.0,110979.0,18816.0,-129795.0,0.0347,-376127.0,250.0,FALL
2020-05-15,10750.0,10900.0,11100.0,10500.0,631305.0,80647.0,-3714.0,-76933.0,0.0333,-246332.0,100.0,RISE
2020-05-14,10650.0,10850.0,11500.0,10550.0,1020031.0,124263.0,-32993.0,-91270.0,0.0336,-169399.0,350.0,FALL
2020-05-13,11000.0,10800.0,11200.0,10650.0,432157.0,-11036.0,-16912.0,27948.0,0.036000000000000004,-78129.0,0.0,EVEN
2020-05-12,11000.0,10950.0,11050.0,10500.0,536956.0,-63296.0,-8274.0,71570.0,0.0372,-106077.0,50.0,RISE
2020-05-11,10950.0,10800.0,11150.0,10450.0,389444.0,-15396.0,-12805.0,28201.0,0.0379,-177647.0,50.0,RISE
2020-05-08,10900.0,10300.0,11150.0,10300.0,734282.0,-102673.0,10386.0,92287.0,0.0388,-205848.0,750.0,RISE
2020-05-07,10150.0,10100.0,10350.0,9780.0,501152.0,3223.0,-4514.0,1291.0,0.038,-298135.0,280.0,RISE
2020-05-06,9870.0,9370.0,9920.0,9200.0,486099.0,-96029.0,33391.0,62638.0,0.0384,-299426.0,640.0,RISE
2020-05-04,9230.0,9210.0,9480.0,9160.0,278611.0,8887.0,-9821.0,934.0,0.0359,-362064.0,80.0,FALL
2020-04-29,9310.0,8930.0,9360.0,8730.0,526440.0,-42415.0,11962.0,30453.0,0.0366,-362998.0,380.0,RISE
2020-04-28,8930.0,8920.0,9160.0,8860.0,172640.0,17024.0,-10849.0,-6175.0,0.0359,-393451.0,30.0,RISE
2020-04-27,8900.0,8800.0,9060.0,8780.0,162448.0,-37366.0,21333.0,16033.0,0.0367,-387276.0,110.0,RISE
2020-04-24,8790.0,9120.0,9200.0,8720.0,193300.0,11977.0,-32626.0,20649.0,0.0351,-403309.0,400.0,FALL
2020-04-23,9190.0,9040.0,9300.0,8810.0,224670.0,-19659.0,4300.0,15359.0,0.0375,-423958.0,290.0,RISE
2020-04-22,8900.0,8610.0,8900.0,8530.0,175551.0,12203.0,6930.0,-19133.0,0.0372,-439317.0,50.0,RISE
2020-04-21,8850.0,9030.0,9130.0,8540.0,283468.0,-24038.0,-1035.0,25073.0,0.0368,-420184.0,250.0,FALL
2020-04-20,9100.0,9230.0,9300.0,8950.0,266831.0,-22010.0,297.0,21713.0,0.0369,-445257.0,50.0,FALL
2020-04-17,9150.0,9000.0,9410.0,8850.0,357347.0,-12279.0,6096.0,6183.0,0.037000000000000005,-466970.0,340.0,RISE
2020-04-16,8810.0,8360.0,8960.0,8340.0,279519.0,29161.0,-29161.0,0.0,0.0366,-473153.0,260.0,RISE
2020-04-14,8550.0,8430.0,8650.0,8380.0,176964.0,-66773.0,83159.0,-16386.0,0.0389,-473153.0,210.0,RISE
2020-04-13,8340.0,8930.0,8930.0,8340.0,225221.0,72959.0,-22099.0,-50860.0,0.0326,-456767.0,620.0,FALL
2020-04-10,8960.0,9050.0,9070.0,8500.0,205599.0,7903.0,-7903.0,0.0,0.0343,-405907.0,40.0,FALL
2020-04-09,9000.0,9180.0,9190.0,8870.0,231844.0,20988.0,-4169.0,-16819.0,0.0361,-405907.0,0.0,EVEN
2020-04-08,9000.0,8990.0,9240.0,8860.0,234159.0,4417.0,-13256.0,8839.0,0.0364,-389088.0,150.0,FALL
2020-04-07,9150.0,8680.0,9150.0,8570.0,589036.0,-53871.0,-5369.0,59240.0,0.0374,-397927.0,600.0,RISE
2020-04-06,8550.0,7890.0,8550.0,7830.0,424630.0,-69412.0,54061.0,15351.0,0.0378,-457167.0,800.0,RISE
2020-04-03,7750.0,7620.0,7960.0,7620.0,290250.0,28116.0,-5061.0,-23055.0,0.0338,-472518.0,130.0,RISE
2020-04-02,7620.0,7650.0,7890.0,7310.0,281627.0,47201.0,-1239.0,-45962.0,0.0344,-449463.0,10.0,RISE
2020-04-01,7610.0,7840.0,8270.0,7550.0,268165.0,11183.0,1802.0,-12985.0,0.0348,-403501.0,280.0,FALL
2020-03-31,7890.0,7980.0,8200.0,7670.0,258736.0,-18219.0,17924.0,295.0,0.0352,-390516.0,20.0,RISE
2020-03-30,7870.0,7600.0,7880.0,7420.0,190279.0,-6106.0,13873.0,-7767.0,0.0338,-390811.0,30.0,FALL
2020-03-27,7900.0,8330.0,8390.0,7600.0,308891.0,14069.0,-7892.0,-6177.0,0.0331,-383044.0,0.0,EVEN
2020-03-26,7900.0,7850.0,8410.0,7670.0,379177.0,-34678.0,14908.0,19770.0,0.0337,-376867.0,80.0,RISE
2020-03-25,7820.0,7890.0,8210.0,7520.0,472396.0,-18369.0,-5990.0,24359.0,0.033,-396637.0,300.0,RISE
2020-03-24,7520.0,7090.0,7560.0,7050.0,259931.0,-15979.0,11973.0,4006.0,0.0333,-420996.0,710.0,RISE
2020-03-23,6810.0,6820.0,7110.0,6720.0,247619.0,-10556.0,-9467.0,20023.0,0.0312,-425002.0,710.0,FALL
2020-03-20,7520.0,7260.0,7580.0,7000.0,439301.0,39887.0,-51118.0,11231.0,0.0313,-445025.0,530.0,RISE
2020-03-19,6990.0,8150.0,8330.0,6600.0,709830.0,-21454.0,39369.0,-17915.0,0.0362,-456256.0,900.0,FALL
2020-03-18,7890.0,8610.0,8840.0,7890.0,356948.0,64790.0,-72358.0,7568.0,0.0323,-438341.0,640.0,FALL
2020-03-17,8530.0,8050.0,8710.0,7920.0,367876.0,-10996.0,14650.0,-3654.0,0.0385,-445909.0,180.0,RISE
2020-03-16,8350.0,9200.0,9360.0,8290.0,414331.0,-25468.0,-18934.0,44402.0,0.0357,-442255.0,710.0,FALL
2020-03-13,9060.0,9390.0,9740.0,8200.0,872879.0,6631.0,-8778.0,2147.0,0.0371,-486657.0,990.0,FALL
2020-03-12,10050.0,10650.0,10850.0,9760.0,607380.0,-25399.0,13193.0,12206.0,0.0375,-488804.0,700.0,FALL
2020-03-11,10750.0,11400.0,11450.0,10250.0,491528.0,-12229.0,-21117.0,33346.0,0.0363,-501010.0,750.0,FALL
2020-03-10,11500.0,11250.0,11550.0,10900.0,671156.0,39945.0,-15570.0,-24375.0,0.0373,-534356.0,200.0,RISE
2020-03-09,11300.0,11650.0,11750.0,10950.0,550956.0,-24191.0,-20633.0,44824.0,0.0385,-509981.0,800.0,FALL
2020-03-06,12100.0,12400.0,12450.0,11850.0,571151.0,47016.0,-106239.0,59223.0,0.0397,-554805.0,650.0,FALL
2020-03-05,12750.0,12150.0,12800.0,11800.0,805449.0,38722.0,-29861.0,-8861.0,0.0478,-614028.0,850.0,RISE
2020-03-04,11900.0,11000.0,12200.0,11000.0,578027.0,-90142.0,34566.0,55576.0,0.0515,-605167.0,700.0,RISE
2020-03-03,11200.0,11900.0,12050.0,11100.0,534307.0,126930.0,-139836.0,12906.0,0.0489,-660743.0,200.0,FALL
