,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3125.0,3090.0,3130.0,3045.0,180945.0,-63926,63926,0,0.0412,-1390752,55.0,RISE
2020-06-04,3070.0,3055.0,3085.0,3030.0,171402.0,-10537,10537,0,0.0385,-1390752,15.0,RISE
2020-06-03,3055.0,3100.0,3120.0,3025.0,214085.0,36246,-36246,0,0.0381,-1390752,45.0,FALL
2020-06-02,3100.0,3050.0,3120.0,3000.0,307202.0,-73348.0,73348.0,0.0,0.0406,-1390730.0,60.0,RISE
2020-06-01,3040.0,3050.0,3065.0,3000.0,151589.0,-8163.0,8163.0,0.0,0.0375,-1390730.0,5.0,RISE
2020-05-29,3035.0,3030.0,3085.0,2995.0,200936.0,-21562.0,21562.0,0.0,0.0372,-1390730.0,45.0,FALL
2020-05-28,3080.0,3160.0,3160.0,2970.0,318294.0,16842.0,-16842.0,0.0,0.0363,-1390730.0,40.0,FALL
2020-05-27,3120.0,3180.0,3180.0,3105.0,193842.0,-2214.0,2214.0,0.0,0.037000000000000005,-1390730.0,45.0,FALL
2020-05-26,3165.0,3185.0,3225.0,3145.0,384274.0,-63322.0,63322.0,0.0,0.0369,-1390730.0,10.0,FALL
2020-05-25,3175.0,3145.0,3205.0,3110.0,300068.0,-39044.0,39044.0,0.0,0.0342,-1390730.0,75.0,RISE
2020-05-21,3100.0,3120.0,3140.0,3090.0,156848.0,18122.0,-18122.0,0.0,0.0314,-1390741.0,5.0,FALL
2020-05-20,3105.0,3100.0,3115.0,3085.0,124353.0,-15308.0,15308.0,0.0,0.0322,-1390741.0,5.0,RISE
2020-05-19,3100.0,3110.0,3130.0,3070.0,176437.0,4117.0,-4117.0,0.0,0.0315,-1390741.0,45.0,RISE
2020-05-18,3055.0,3045.0,3110.0,3010.0,192091.0,7571.0,-7571.0,0.0,0.0317,-1390741.0,20.0,FALL
2020-05-15,3075.0,3120.0,3125.0,3020.0,232135.0,-517.0,517.0,0.0,0.0316,-1390741.0,15.0,FALL
2020-05-14,3090.0,3100.0,3190.0,3070.0,310584.0,-24039.0,24039.0,0.0,0.0316,-1390741.0,60.0,FALL
2020-05-13,3150.0,3175.0,3230.0,3115.0,238574.0,-26567.0,26567.0,0.0,0.0306,-1390741.0,30.0,FALL
2020-05-12,3180.0,3235.0,3255.0,3115.0,369072.0,361.0,-361.0,0.0,0.0294,-1390741.0,55.0,FALL
2020-05-11,3235.0,3305.0,3305.0,3170.0,373516.0,15986.0,-15986.0,0.0,0.029,-1390741.0,65.0,FALL
2020-05-08,3300.0,3285.0,3325.0,3255.0,317796.0,19483.0,-19483.0,0.0,0.0295,-1390741.0,20.0,RISE
2020-05-07,3280.0,3260.0,3335.0,3190.0,609882.0,-57990.0,57990.0,0.0,0.0303,-1390741.0,70.0,RISE
2020-05-06,3210.0,3160.0,3230.0,3125.0,333610.0,-23680.0,23680.0,0.0,0.0279,-1390741.0,70.0,RISE
2020-05-04,3140.0,3150.0,3195.0,3075.0,617885.0,-18881.0,18881.0,0.0,0.0265,-1390741.0,75.0,RISE
2020-04-29,3065.0,3060.0,3120.0,3000.0,299937.0,22785.0,-22785.0,0.0,0.0248,-1390741.0,5.0,RISE
2020-04-28,3060.0,3030.0,3145.0,2975.0,545852.0,27152.0,-27151.0,-1.0,0.0261,-1390741.0,30.0,RISE
2020-04-27,3030.0,3000.0,3030.0,2920.0,244664.0,-47066.0,47066.0,0.0,0.0272,-1390740.0,105.0,RISE
