,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2350.0,2345.0,2435.0,2325.0,1894477.0,64896,-64896,0,0.0087,2084893,0.0,EVEN
2020-06-04,2350.0,2400.0,2425.0,2330.0,1558015.0,-72740,72740,0,0.0103,2084893,45.0,FALL
2020-06-03,2395.0,2430.0,2455.0,2355.0,1802853.0,-37376,37376,0,0.0089,2084893,45.0,FALL
2020-06-02,2440.0,2500.0,2525.0,2420.0,3158324.0,-4263.0,4263.0,0.0,0.008,2084893.0,85.0,FALL
2020-06-01,2525.0,2390.0,2545.0,2355.0,10775409.0,155412.0,-155412.0,0.0,0.0079,2084893.0,95.0,RISE
2020-05-29,2430.0,2290.0,2470.0,2210.0,6860377.0,61.0,-61.0,0.0,0.0117,2084893.0,125.0,RISE
2020-05-28,2305.0,2410.0,2445.0,2250.0,3851069.0,11162.0,-11162.0,0.0,0.0117,2084893.0,110.0,FALL
2020-05-27,2415.0,2260.0,2550.0,2220.0,18963278.0,-18711.0,18711.0,0.0,0.012,2084893.0,150.0,RISE
2020-05-26,2265.0,2295.0,2315.0,2220.0,2805551.0,50152.0,-50152.0,0.0,0.0115,2084893.0,25.0,FALL
2020-05-25,2290.0,2210.0,2425.0,2205.0,12851279.0,-190697.0,190697.0,0.0,0.0127,2084893.0,110.0,RISE
2020-05-21,2175.0,2140.0,2175.0,2080.0,4125216.0,58402.0,-58402.0,0.0,0.0113,2084908.0,5.0,FALL
2020-05-20,2180.0,2045.0,2225.0,2015.0,5785197.0,-35772.0,35772.0,0.0,0.0128,2084908.0,165.0,RISE
2020-05-19,2015.0,2030.0,2040.0,1985.0,660616.0,31480.0,-31480.0,0.0,0.0119,2084908.0,10.0,FALL
2020-05-18,2025.0,1950.0,2060.0,1905.0,1873792.0,-112454.0,112454.0,0.0,0.0127,2084908.0,75.0,RISE
2020-05-15,1950.0,2005.0,2010.0,1945.0,619714.0,-19067.0,19067.0,0.0,0.0099,2084908.0,50.0,FALL
2020-05-14,2000.0,1970.0,2070.0,1950.0,3112800.0,134386.0,-134386.0,0.0,0.0109,2084908.0,5.0,RISE
2020-05-13,1995.0,1900.0,2030.0,1895.0,1400352.0,-15151.0,15151.0,0.0,0.0142,2084908.0,70.0,RISE
2020-05-12,1925.0,1960.0,1970.0,1890.0,512518.0,-20122.0,20122.0,0.0,0.0142,2084908.0,25.0,FALL
2020-05-11,1950.0,2000.0,2005.0,1930.0,875700.0,-5127.0,5128.0,-1.0,0.0137,2084908.0,50.0,FALL
2020-05-08,2000.0,2050.0,2050.0,1980.0,1180466.0,32370.0,-32370.0,0.0,0.0135,2084909.0,20.0,FALL
2020-05-07,2020.0,2070.0,2075.0,2005.0,2399327.0,-2.0,2.0,0.0,0.0143,2084909.0,60.0,FALL
2020-05-06,2080.0,2025.0,2080.0,1990.0,4538646.0,20856.0,-20856.0,0.0,0.0144,2084909.0,115.0,RISE
2020-05-04,1965.0,1910.0,2070.0,1865.0,3861673.0,99181.0,-99181.0,0.0,0.0149,2084909.0,35.0,RISE
2020-04-29,1930.0,1860.0,1965.0,1835.0,4087506.0,8673.0,-8673.0,0.0,0.0161,2084909.0,90.0,RISE
2020-04-28,1840.0,1870.0,1990.0,1805.0,3888874.0,113461.0,-113461.0,0.0,0.0163,2084909.0,10.0,RISE
2020-04-27,1830.0,1810.0,1865.0,1810.0,687970.0,9679.0,-9679.0,0.0,0.0191,2084909.0,30.0,RISE
2020-04-24,1800.0,1820.0,1870.0,1760.0,677594.0,-50193.0,50193.0,0.0,0.0194,2084909.0,40.0,FALL
2020-04-23,1840.0,1890.0,1945.0,1830.0,3243020.0,251751.0,-251751.0,0.0,0.0177,2084909.0,25.0,RISE
2020-04-22,1815.0,1770.0,1825.0,1730.0,1199823.0,-37570.0,37570.0,0.0,0.0239,2084909.0,30.0,RISE
2020-04-21,1785.0,1810.0,1855.0,1695.0,2058407.0,-142829.0,142829.0,0.0,0.023,2084909.0,85.0,FALL
2020-04-20,1870.0,2120.0,2135.0,1850.0,9003358.0,625441.0,-597941.0,-27500.0,0.0195,2084909.0,45.0,RISE
2020-04-17,1825.0,1690.0,1825.0,1655.0,2305350.0,-135207.0,107707.0,27500.0,0.0342,2112409.0,140.0,RISE
2020-04-16,1685.0,1700.0,1700.0,1610.0,311600.0,2948.0,-2947.0,-1.0,0.0315,2084909.0,20.0,RISE
2020-04-14,1665.0,1625.0,1690.0,1600.0,537008.0,-134685.0,134685.0,0.0,0.0316,2084910.0,55.0,RISE
2020-04-13,1610.0,1625.0,1740.0,1585.0,1599277.0,219801.0,-219801.0,0.0,0.0283,2084910.0,15.0,FALL
2020-04-10,1625.0,1640.0,1645.0,1540.0,435865.0,-15971.0,15971.0,0.0,0.0337,2084910.0,0.0,EVEN
2020-04-09,1625.0,1600.0,1655.0,1595.0,492477.0,-85175.0,85175.0,0.0,0.0333,2084910.0,35.0,RISE
2020-04-08,1590.0,1585.0,1635.0,1550.0,357505.0,-58138.0,58138.0,0.0,0.0312,2084910.0,15.0,RISE
2020-04-07,1575.0,1600.0,1600.0,1540.0,364484.0,-22844.0,21044.0,1800.0,0.0298,2084910.0,10.0,RISE
2020-04-06,1565.0,1500.0,1575.0,1495.0,390826.0,-104539.0,113773.0,-9234.0,0.0293,2083110.0,65.0,RISE
