,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1635.0,1650.0,1650.0,1595.0,231061.0,-78742,78742,0,0.0223,-163387,10.0,RISE
2020-06-04,1625.0,1615.0,1655.0,1610.0,372189.0,-59768,59768,0,0.0209,-163387,5.0,FALL
2020-06-03,1630.0,1605.0,1810.0,1570.0,4519683.0,197102,-197101,-1,0.0198,-163387,45.0,RISE
2020-06-02,1585.0,1560.0,1590.0,1545.0,247192.0,-55224.0,55224.0,0.0,0.0234,-157386.0,30.0,RISE
2020-06-01,1555.0,1600.0,1600.0,1540.0,276085.0,-46606.0,46606.0,0.0,0.0224,-157386.0,15.0,FALL
2020-05-29,1570.0,1570.0,1655.0,1535.0,640224.0,38195.0,-38195.0,0.0,0.0215,-157386.0,0.0,EVEN
2020-05-28,1570.0,1650.0,1650.0,1510.0,430065.0,-11134.0,11134.0,0.0,0.0223,-157386.0,55.0,FALL
2020-05-27,1625.0,1650.0,1655.0,1605.0,539487.0,28975.0,-28975.0,0.0,0.022000000000000002,-157386.0,0.0,EVEN
2020-05-26,1625.0,1575.0,1660.0,1560.0,658013.0,-55971.0,55971.0,0.0,0.0226,-157386.0,50.0,RISE
2020-05-25,1575.0,1570.0,1605.0,1565.0,175776.0,-21225.0,21725.0,-500.0,0.0215,-157386.0,10.0,FALL
2020-05-21,1600.0,1630.0,1655.0,1595.0,340706.0,-16399.0,16399.0,0.0,0.0214,-85648.0,30.0,FALL
2020-05-20,1630.0,1620.0,1640.0,1595.0,252434.0,-56745.0,56745.0,0.0,0.0211,-85648.0,10.0,RISE
2020-05-19,1620.0,1565.0,1625.0,1565.0,279859.0,-98764.0,98764.0,0.0,0.0201,-85648.0,40.0,RISE
2020-05-18,1580.0,1615.0,1615.0,1560.0,202282.0,-40612.0,40612.0,0.0,0.0183,-85648.0,40.0,FALL
2020-05-15,1620.0,1645.0,1670.0,1585.0,305294.0,-6902.0,6902.0,0.0,0.0175,-85648.0,0.0,EVEN
2020-05-14,1620.0,1645.0,1700.0,1605.0,495300.0,-3824.0,3824.0,0.0,0.0174,-85648.0,25.0,FALL
2020-05-13,1645.0,1620.0,1660.0,1585.0,468686.0,46235.0,-46235.0,0.0,0.0173,-85648.0,15.0,RISE
2020-05-12,1630.0,1625.0,1635.0,1560.0,401560.0,14379.0,-14379.0,0.0,0.0182,-85648.0,10.0,RISE
2020-05-11,1620.0,1620.0,1650.0,1560.0,611298.0,23944.0,-23944.0,0.0,0.0184,-85648.0,0.0,EVEN
2020-05-08,1620.0,1590.0,1645.0,1590.0,540414.0,-93212.0,93212.0,0.0,0.0189,-85648.0,30.0,RISE
2020-05-07,1590.0,1600.0,1620.0,1570.0,631669.0,-65821.0,65821.0,0.0,0.0171,-85648.0,10.0,FALL
2020-05-06,1600.0,1570.0,1630.0,1530.0,703617.0,-75514.0,75514.0,0.0,0.0159,-85648.0,40.0,RISE
2020-05-04,1560.0,1530.0,1610.0,1525.0,461325.0,-22301.0,22301.0,0.0,0.0145,-85648.0,20.0,FALL
2020-04-29,1580.0,1570.0,1585.0,1535.0,875777.0,9584.0,-9584.0,0.0,0.0141,-85648.0,30.0,FALL
2020-04-28,1610.0,1545.0,1650.0,1470.0,2326998.0,176797.0,-176796.0,-1.0,0.0143,-85648.0,65.0,RISE
2020-04-27,1545.0,1495.0,1555.0,1460.0,495018.0,-99419.0,99419.0,0.0,0.0176,-85647.0,105.0,RISE
2020-04-24,1440.0,1490.0,1495.0,1425.0,415587.0,-9047.0,9047.0,0.0,0.0157,-85647.0,65.0,FALL
2020-04-23,1505.0,1510.0,1605.0,1485.0,2577048.0,83857.0,-83857.0,0.0,0.0156,-85647.0,15.0,RISE
2020-04-22,1490.0,1485.0,1495.0,1420.0,268460.0,-50319.0,50319.0,0.0,0.0171,-85647.0,20.0,FALL
2020-04-21,1510.0,1545.0,1560.0,1305.0,597599.0,-34260.0,34260.0,0.0,0.0162,-85647.0,35.0,FALL
2020-04-20,1545.0,1530.0,1580.0,1530.0,305351.0,-25532.0,25532.0,0.0,0.0176,-85647.0,0.0,EVEN
2020-04-17,1545.0,1515.0,1595.0,1515.0,534345.0,9176.0,-9176.0,0.0,0.0171,-85647.0,45.0,RISE
2020-04-16,1500.0,1490.0,1500.0,1420.0,259598.0,-20783.0,20784.0,-1.0,0.0173,-85647.0,35.0,RISE
2020-04-14,1465.0,1480.0,1500.0,1450.0,348367.0,-28875.0,28875.0,0.0,0.0169,-85646.0,30.0,RISE
2020-04-13,1435.0,1440.0,1505.0,1410.0,608103.0,43954.0,-43954.0,0.0,0.0164,-85646.0,20.0,RISE
2020-04-10,1415.0,1455.0,1455.0,1310.0,438768.0,36423.0,-36423.0,0.0,0.0172,-85646.0,0.0,EVEN
2020-04-09,1415.0,1430.0,1495.0,1400.0,542457.0,-8277.0,8277.0,0.0,0.0179,-85646.0,15.0,RISE
2020-04-08,1400.0,1375.0,1445.0,1360.0,445310.0,-32004.0,32004.0,0.0,0.0179,-85646.0,0.0,EVEN
2020-04-07,1400.0,1395.0,1400.0,1315.0,541003.0,-559.0,559.0,0.0,0.0173,-85646.0,55.0,RISE
2020-04-06,1345.0,1275.0,1355.0,1275.0,640296.0,-19176.0,19176.0,0.0,0.0173,-85646.0,60.0,RISE
2020-04-03,1285.0,1305.0,1305.0,1245.0,284956.0,-7796.0,7796.0,0.0,0.017,-85646.0,15.0,RISE
2020-04-02,1270.0,1285.0,1320.0,1240.0,461906.0,23510.0,-23510.0,0.0,0.0168,-85646.0,5.0,FALL
2020-04-01,1275.0,1240.0,1340.0,1170.0,1746178.0,4389.0,-4389.0,0.0,0.0173,-85646.0,35.0,RISE
2020-03-31,1240.0,1095.0,1260.0,1075.0,1137875.0,16460.0,-16460.0,0.0,0.0173,-85646.0,180.0,RISE
2020-03-30,1060.0,980.0,1075.0,975.0,268136.0,-44815.0,44815.0,0.0,0.0176,-85646.0,45.0,RISE
2020-03-27,1015.0,1050.0,1100.0,985.0,495805.0,58950.0,-58950.0,0.0,0.0168,-85646.0,10.0,FALL
2020-03-26,1025.0,1010.0,1065.0,989.0,436186.0,14785.0,-14785.0,0.0,0.0179,-85646.0,20.0,RISE
2020-03-25,1005.0,988.0,1035.0,977.0,564358.0,78806.0,-78806.0,0.0,0.0182,-85646.0,51.0,RISE
2020-03-24,954.0,918.0,970.0,908.0,306903.0,13565.0,-13565.0,0.0,0.0197,-85646.0,64.0,RISE
2020-03-23,890.0,872.0,901.0,840.0,521648.0,151276.0,-151276.0,0.0,0.0202,-85646.0,48.0,FALL
2020-03-20,938.0,811.0,948.0,811.0,596283.0,-4726.0,4726.0,0.0,0.0231,-85646.0,116.0,RISE
2020-03-19,822.0,980.0,1025.0,810.0,1185130.0,-184953.0,184954.0,-1.0,0.023,-85646.0,162.0,FALL
2020-03-18,984.0,1065.0,1075.0,975.0,574734.0,69948.0,-69948.0,0.0,0.0197,-85645.0,46.0,FALL
2020-03-17,1030.0,987.0,1090.0,987.0,746822.0,-211461.0,211461.0,0.0,0.0213,-85645.0,25.0,FALL
2020-03-16,1055.0,1150.0,1190.0,1055.0,1386182.0,-3971.0,3969.0,2.0,0.0191,-85645.0,75.0,FALL
2020-03-13,1130.0,1330.0,1390.0,1100.0,4414409.0,54303.0,-54303.0,0.0,0.0188,-85647.0,285.0,FALL
2020-03-12,1415.0,1355.0,1680.0,1320.0,7925326.0,234109.0,-234109.0,0.0,0.0197,-85647.0,30.0,RISE
2020-03-11,1385.0,1515.0,1525.0,1385.0,461089.0,62917.0,-62917.0,0.0,0.0241,-85647.0,125.0,FALL
2020-03-10,1510.0,1500.0,1550.0,1455.0,328422.0,-48431.0,48431.0,0.0,0.0283,-85647.0,15.0,FALL
2020-03-09,1525.0,1595.0,1620.0,1520.0,457661.0,97962.0,-97962.0,0.0,0.0274,-85647.0,95.0,FALL
2020-03-06,1620.0,1635.0,1660.0,1605.0,260849.0,-9006.0,9006.0,0.0,0.0292,-85647.0,45.0,FALL
2020-03-05,1665.0,1660.0,1680.0,1655.0,212352.0,-9758.0,9758.0,0.0,0.0291,-85647.0,10.0,RISE
2020-03-04,1655.0,1585.0,1655.0,1585.0,234346.0,-91869.0,91869.0,0.0,0.0289,-85647.0,40.0,RISE
2020-03-03,1615.0,1680.0,1685.0,1615.0,281695.0,-15370.0,15370.0,0.0,0.0222,-85647.0,15.0,FALL
2020-03-02,1630.0,1610.0,1655.0,1585.0,216022.0,31164.0,-31164.0,0.0,0.0268,-85647.0,5.0,RISE
2020-02-28,1625.0,1690.0,1690.0,1575.0,579488.0,51921.0,-51921.0,0.0,0.0272,-85647.0,70.0,FALL
2020-02-27,1695.0,1800.0,1840.0,1690.0,520264.0,32508.0,-32504.0,-4.0,0.0282,-85647.0,95.0,FALL
2020-02-26,1790.0,1745.0,1795.0,1700.0,388857.0,-16180.0,16180.0,0.0,0.0281,-85643.0,5.0,RISE
2020-02-25,1785.0,1690.0,1785.0,1685.0,419558.0,-43388.0,43388.0,0.0,0.0278,-85643.0,50.0,RISE
2020-02-24,1735.0,1825.0,1830.0,1710.0,751726.0,62206.0,-62206.0,0.0,0.027000000000000003,-85643.0,85.0,FALL
2020-02-21,1820.0,1880.0,1950.0,1800.0,655231.0,38833.0,-38833.0,0.0,0.0236,-85643.0,75.0,FALL
2020-02-20,1895.0,1860.0,1900.0,1840.0,442767.0,25710.0,-25710.0,0.0,0.0243,-85643.0,40.0,RISE
2020-02-19,1855.0,1960.0,2010.0,1855.0,1127696.0,-97736.0,97736.0,0.0,0.0248,-85643.0,70.0,FALL
2020-02-18,1925.0,2110.0,2240.0,1900.0,5368063.0,662331.0,-662331.0,0.0,0.023,-85643.0,160.0,FALL
2020-02-17,2085.0,2010.0,2130.0,1950.0,3458752.0,273312.0,-273312.0,0.0,0.0352,-85643.0,90.0,RISE
2020-02-14,1995.0,1925.0,2035.0,1915.0,1313297.0,5813.0,-5813.0,0.0,0.0403,-85643.0,55.0,RISE
2020-02-13,1940.0,1975.0,1980.0,1915.0,402136.0,-57473.0,57473.0,0.0,0.0404,-85643.0,35.0,FALL
2020-02-12,1975.0,2005.0,2005.0,1930.0,290627.0,-36769.0,36769.0,0.0,0.0393,-85643.0,15.0,FALL
