,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,4240.0,4220.0,4325.0,4185.0,2069870.0,44934,-44934,0,0.0162,-1096930,50.0,RISE
2020-06-04,4190.0,4185.0,4280.0,4105.0,1400725.0,2058,-2058,0,0.018,-1096930,40.0,RISE
2020-06-03,4150.0,4200.0,4225.0,4125.0,415452.0,-3251,3251,0,0.0185,-1096930,45.0,FALL
2020-06-02,4195.0,4130.0,4250.0,4115.0,853021.0,50176.0,-50176.0,0.0,0.0192,-1096930.0,80.0,RISE
2020-06-01,4115.0,4080.0,4225.0,4055.0,774289.0,-7646.0,7646.0,0.0,0.0213,-1096930.0,70.0,RISE
2020-05-29,4045.0,4050.0,4115.0,3980.0,451403.0,18303.0,-18303.0,0.0,0.0209,-1096930.0,5.0,FALL
2020-05-28,4050.0,4220.0,4240.0,3970.0,1331935.0,-119564.0,119564.0,0.0,0.0215,-1096930.0,165.0,FALL
2020-05-27,4215.0,4260.0,4335.0,4200.0,993788.0,22940.0,-22940.0,0.0,0.0171,-1096930.0,60.0,FALL
2020-05-26,4275.0,4240.0,4355.0,4235.0,1299841.0,-87296.0,87296.0,0.0,0.0195,-1096930.0,60.0,RISE
2020-05-25,4215.0,4175.0,4270.0,4130.0,850325.0,-34717.0,34717.0,0.0,0.0159,-1096930.0,40.0,RISE
2020-05-21,4305.0,4440.0,4475.0,4255.0,5403415.0,197463.0,-197463.0,0.0,0.0159,-1096921.0,85.0,FALL
2020-05-20,4390.0,4200.0,4390.0,4165.0,3689467.0,-4151.0,4151.0,0.0,0.0239,-1096921.0,160.0,RISE
2020-05-19,4230.0,4190.0,4350.0,4120.0,3932897.0,-182358.0,182358.0,0.0,0.0217,-1096921.0,105.0,RISE
2020-05-18,4125.0,4015.0,4235.0,4015.0,2112339.0,39298.0,-39298.0,0.0,0.0143,-1096921.0,85.0,RISE
2020-05-15,4040.0,4130.0,4135.0,4010.0,481213.0,7519.0,-7519.0,0.0,0.0159,-1096921.0,90.0,FALL
2020-05-14,4130.0,4100.0,4175.0,4000.0,1335421.0,33742.0,-33742.0,0.0,0.0162,-1096921.0,50.0,FALL
2020-05-13,4180.0,4030.0,4320.0,3995.0,3912721.0,42583.0,-42583.0,0.0,0.0174,-1096921.0,110.0,RISE
2020-05-12,4070.0,4225.0,4230.0,3990.0,1227159.0,-35504.0,35504.0,0.0,0.0192,-1096921.0,120.0,FALL
2020-05-11,4190.0,4255.0,4275.0,4160.0,958326.0,25204.0,-25204.0,0.0,0.0177,-1096921.0,30.0,FALL
2020-05-08,4220.0,4265.0,4270.0,4195.0,810294.0,-33517.0,33517.0,0.0,0.0187,-1096921.0,25.0,RISE
2020-05-07,4195.0,4150.0,4340.0,4125.0,1633780.0,-50315.0,50315.0,0.0,0.0174,-1096921.0,75.0,RISE
2020-05-06,4120.0,4095.0,4160.0,4045.0,713984.0,-18612.0,18614.0,-2.0,0.0157,-1096921.0,80.0,RISE
2020-05-04,4040.0,4055.0,4185.0,3945.0,807393.0,-28678.0,28678.0,0.0,0.0149,-1096919.0,60.0,FALL
2020-04-29,4100.0,4285.0,4485.0,4100.0,7681024.0,58196.0,-58198.0,2.0,0.0142,-1096919.0,5.0,FALL
2020-04-28,4105.0,4215.0,4290.0,4055.0,1444372.0,-68280.0,68281.0,-1.0,0.0165,-1096921.0,40.0,FALL
2020-04-27,4145.0,4150.0,4250.0,4130.0,1054151.0,35140.0,-35140.0,0.0,0.0138,-1096920.0,5.0,RISE
2020-04-24,4140.0,4245.0,4345.0,4140.0,1386269.0,-31976.0,31976.0,0.0,0.0153,-1096920.0,145.0,FALL
2020-04-23,4285.0,4270.0,4440.0,4180.0,5862385.0,28479.0,-28479.0,0.0,0.0139,-1096920.0,55.0,RISE
2020-04-22,4230.0,4060.0,4260.0,3990.0,2275418.0,40331.0,-40331.0,0.0,0.0151,-1096920.0,85.0,RISE
2020-04-21,4145.0,4170.0,4295.0,3760.0,4057860.0,-8673.0,8673.0,0.0,0.0167,-1096920.0,170.0,FALL
2020-04-20,4315.0,4230.0,4320.0,4050.0,5517390.0,-42670.0,42670.0,0.0,0.0164,-1096920.0,305.0,RISE
2020-04-17,4010.0,4010.0,4410.0,3995.0,15513723.0,9675.0,-8626.0,-1049.0,0.0147,-1096920.0,80.0,RISE
2020-04-16,3930.0,3875.0,4060.0,3800.0,3735071.0,3195.0,-3195.0,0.0,0.0151,-1095871.0,30.0,RISE
2020-04-14,3900.0,3680.0,4150.0,3625.0,10938113.0,98114.0,-49447.0,-48667.0,0.0153,-1095871.0,355.0,RISE
2020-04-13,3545.0,3735.0,3785.0,3520.0,1587160.0,-10405.0,-38262.0,48667.0,0.0173,-1047204.0,265.0,FALL
2020-04-10,3810.0,4000.0,4020.0,3660.0,2469730.0,-114440.0,114440.0,0.0,0.0194,-1095871.0,175.0,FALL
2020-04-09,3985.0,4380.0,4540.0,3970.0,13884188.0,116476.0,-101476.0,-15000.0,0.015,-1095871.0,325.0,RISE
2020-04-08,3660.0,3380.0,3660.0,3280.0,2704888.0,-68858.0,53858.0,15000.0,0.0201,-1080871.0,240.0,RISE
2020-04-07,3420.0,3385.0,3480.0,3305.0,2533085.0,1633.0,-1633.0,0.0,0.0179,-1095871.0,85.0,RISE
2020-04-06,3335.0,3260.0,3335.0,3200.0,1557777.0,1427.0,-1427.0,0.0,0.0181,-1095871.0,55.0,RISE
2020-04-03,3280.0,3325.0,3330.0,3080.0,2206794.0,1055.0,-1055.0,0.0,0.0182,-1095871.0,130.0,RISE
2020-04-02,3150.0,3060.0,3155.0,2990.0,1240204.0,-70310.0,70310.0,0.0,0.0184,-1095871.0,60.0,RISE
2020-04-01,3090.0,3170.0,3255.0,3030.0,1966723.0,37875.0,-37875.0,0.0,0.0168,-1095871.0,70.0,FALL
2020-03-31,3160.0,3080.0,3315.0,3000.0,4457687.0,26738.0,-26738.0,0.0,0.0184,-1095871.0,115.0,RISE
2020-03-30,3045.0,2790.0,3045.0,2735.0,2180718.0,-32235.0,32235.0,0.0,0.0195,-1095871.0,155.0,RISE
2020-03-27,2890.0,2990.0,3095.0,2690.0,3290393.0,5653.0,-5653.0,0.0,0.0181,-1095871.0,20.0,RISE
2020-03-26,2870.0,2860.0,2985.0,2725.0,3378415.0,-74258.0,74258.0,0.0,0.0185,-1095871.0,70.0,RISE
2020-03-25,2800.0,2900.0,3050.0,2695.0,6034299.0,10167.0,19833.0,-30000.0,0.0155,-1095871.0,330.0,RISE
2020-03-24,2470.0,2325.0,2530.0,2250.0,2876874.0,-8277.0,-22723.0,31000.0,0.0148,-1065871.0,270.0,RISE
2020-03-23,2200.0,2190.0,2340.0,2120.0,829470.0,49634.0,-49634.0,0.0,0.018000000000000002,-1096871.0,160.0,FALL
2020-03-20,2360.0,2220.0,2410.0,2205.0,1687711.0,-28778.0,28778.0,0.0,0.0202,-1096871.0,210.0,RISE
2020-03-19,2150.0,2865.0,2925.0,1970.0,2336661.0,-6779.0,6780.0,-1.0,0.0191,-1096871.0,650.0,FALL
2020-03-18,2800.0,3070.0,3135.0,2800.0,1845295.0,105837.0,-105837.0,0.0,0.0192,-1096870.0,275.0,FALL
2020-03-17,3075.0,2775.0,3135.0,2770.0,1857767.0,-174886.0,174886.0,0.0,0.0236,-1096870.0,70.0,RISE
2020-03-16,3005.0,3520.0,3590.0,3005.0,4090876.0,218065.0,-218067.0,2.0,0.0173,-1096870.0,120.0,FALL
2020-03-13,3125.0,3110.0,3280.0,2830.0,2076910.0,-160184.0,160184.0,0.0,0.0267,-1096872.0,300.0,FALL
2020-03-12,3425.0,3600.0,3705.0,3400.0,1144013.0,-176030.0,176030.0,0.0,0.0202,-1096872.0,255.0,FALL
2020-03-11,3680.0,3930.0,3935.0,3540.0,1184177.0,69230.0,-69230.0,0.0,0.013,-1096872.0,240.0,FALL
2020-03-10,3920.0,3670.0,3950.0,3665.0,1448331.0,-129439.0,129439.0,0.0,0.0156,-1096872.0,125.0,RISE
2020-03-09,3795.0,3930.0,4015.0,3775.0,913452.0,15435.0,-15435.0,0.0,0.0103,-1096872.0,270.0,FALL
2020-03-06,4065.0,4050.0,4070.0,3920.0,769559.0,23392.0,-23392.0,0.0,0.0109,-1096872.0,100.0,FALL
2020-03-05,4165.0,4230.0,4230.0,4085.0,2133135.0,144042.0,-144042.0,0.0,0.0114,-1096872.0,25.0,RISE
2020-03-04,4140.0,3775.0,4165.0,3770.0,2937271.0,-176198.0,193627.0,-17429.0,0.0171,-1096872.0,295.0,RISE
2020-03-03,3845.0,4050.0,4105.0,3845.0,1875643.0,82194.0,-82194.0,0.0,0.009000000000000001,-1079443.0,85.0,FALL
2020-03-02,3930.0,3835.0,3980.0,3760.0,1861119.0,-18017.0,18017.0,0.0,0.0122,-1079443.0,95.0,RISE
2020-02-28,3835.0,4070.0,4160.0,3760.0,1920750.0,-152781.0,135352.0,17429.0,0.0112,-1079443.0,405.0,FALL
2020-02-27,4240.0,4470.0,4485.0,4240.0,1885382.0,31136.0,-31134.0,-2.0,0.0056,-1096872.0,335.0,FALL
2020-02-26,4575.0,4345.0,4575.0,4235.0,4407419.0,59785.0,-59785.0,0.0,0.0064,-1096870.0,195.0,RISE
2020-02-25,4380.0,4195.0,4435.0,4100.0,4284000.0,76960.0,-76960.0,0.0,0.0085,-1096870.0,165.0,RISE
2020-02-24,4215.0,4355.0,4450.0,4180.0,2310149.0,-51241.0,51241.0,0.0,0.0112,-1096870.0,325.0,FALL
2020-02-21,4540.0,4700.0,4800.0,4530.0,4787617.0,-8752.0,8752.0,0.0,0.0088,-1096870.0,320.0,FALL
2020-02-20,4860.0,4660.0,4860.0,4515.0,7963991.0,-117832.0,117832.0,0.0,0.0084,-1096870.0,355.0,RISE
2020-02-19,4505.0,4710.0,4840.0,4480.0,9844104.0,95410.0,-67543.0,-27867.0,0.0049,-1096870.0,100.0,RISE
2020-02-18,4405.0,4590.0,4615.0,4325.0,2534097.0,-147805.0,124952.0,22853.0,0.0076,-1069003.0,220.0,FALL
2020-02-17,4625.0,4750.0,4970.0,4585.0,8663622.0,60288.0,-57501.0,-2787.0,0.0022,-1091856.0,95.0,RISE
2020-02-14,4530.0,4525.0,4865.0,4450.0,15036333.0,61251.0,-64037.0,2786.0,0.0045,-1089069.0,10.0,FALL
2020-02-13,4540.0,4575.0,4665.0,4370.0,5804055.0,95183.0,-95183.0,0.0,0.0067,-1091855.0,35.0,FALL
2020-02-12,4575.0,4495.0,5100.0,4425.0,31449261.0,83510.0,-88505.0,4995.0,0.0074,-1091855.0,15.0,RISE
2020-02-11,4560.0,3750.0,4780.0,3745.0,49091182.0,74006.0,-74015.0,9.0,0.0111,-1096850.0,845.0,RISE
2020-02-10,3715.0,3670.0,3725.0,3570.0,2807325.0,-53697.0,56097.0,-2400.0,0.0092,-1096859.0,20.0,FALL
2020-02-07,3735.0,3800.0,4195.0,3685.0,33519011.0,209478.0,-209478.0,0.0,0.0072,-1094459.0,330.0,RISE
2020-02-06,3405.0,3320.0,3405.0,3275.0,939728.0,58187.0,-58187.0,0.0,0.0156,-1094459.0,100.0,RISE
2020-02-05,3305.0,3310.0,3355.0,3215.0,437340.0,-107662.0,107662.0,0.0,0.018000000000000002,-1094459.0,90.0,RISE
2020-02-04,3215.0,3220.0,3395.0,3210.0,684421.0,66248.0,-66248.0,0.0,0.0136,-1094459.0,70.0,RISE
2020-02-03,3145.0,3100.0,3160.0,2965.0,614826.0,-9341.0,9341.0,0.0,0.0163,-1094459.0,65.0,FALL
2020-01-31,3210.0,3480.0,3480.0,3200.0,1027462.0,112696.0,-112696.0,0.0,0.0159,-1094459.0,260.0,FALL
2020-01-30,3470.0,3320.0,3650.0,3280.0,4601109.0,328528.0,-328528.0,0.0,0.0205,-1094459.0,235.0,RISE
2020-01-29,3235.0,3275.0,3275.0,3200.0,123761.0,-14445.0,14445.0,0.0,0.0338,-1094459.0,20.0,RISE
2020-01-28,3215.0,3225.0,3270.0,3180.0,292259.0,102395.0,-102395.0,0.0,0.0333,-1094459.0,165.0,FALL
2020-01-23,3380.0,3300.0,3410.0,3260.0,313847.0,-10333.0,8333.0,2000.0,0.0373,-1094459.0,100.0,RISE
2020-01-22,3280.0,3225.0,3320.0,3225.0,107446.0,-19034.0,19034.0,0.0,0.0369,-1096459.0,30.0,RISE
2020-01-21,3250.0,3270.0,3325.0,3220.0,105687.0,-9172.0,9172.0,0.0,0.0361,-1096459.0,40.0,FALL
