,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2995.0,2925.0,3015.0,2820.0,630814.0,-115277,115562,-285,0.6295,-1447093,70.0,RISE
2020-06-04,2925.0,3050.0,3100.0,2875.0,976558.0,83656,-88250,4594,0.6289,-1446808,55.0,FALL
2020-06-03,2980.0,3000.0,3075.0,2980.0,1666469.0,208728,-121208,-87520,0.6293,-1451402,20.0,RISE
2020-06-02,2960.0,2740.0,2980.0,2740.0,1538985.0,-222750.0,214538.0,8212.0,0.63,-1361243.0,225.0,RISE
2020-06-01,2735.0,2685.0,2740.0,2685.0,183325.0,-44915.0,43263.0,1652.0,0.6289,-1369455.0,70.0,RISE
2020-05-29,2665.0,2725.0,2750.0,2665.0,324261.0,39382.0,-38846.0,-536.0,0.6287,-1371107.0,85.0,FALL
2020-05-28,2750.0,2800.0,2835.0,2695.0,746916.0,-33015.0,38241.0,-5226.0,0.6289,-1370571.0,0.0,EVEN
2020-05-27,2750.0,2755.0,2775.0,2700.0,339067.0,-16562.0,5139.0,11423.0,0.6287,-1365345.0,15.0,RISE
2020-05-26,2735.0,2710.0,2745.0,2675.0,331824.0,-42901.0,37981.0,4920.0,0.6286,-1376768.0,55.0,RISE
2020-05-25,2680.0,2660.0,2710.0,2615.0,302406.0,-44879.0,42312.0,2567.0,0.6284,-1381688.0,30.0,RISE
2020-05-21,2765.0,2765.0,2790.0,2720.0,422742.0,29269.0,-29750.0,481.0,0.6286,-911365.0,20.0,RISE
2020-05-20,2745.0,2675.0,2775.0,2665.0,557628.0,-99720.0,84132.0,15588.0,0.6287,-911846.0,60.0,RISE
2020-05-19,2685.0,2755.0,2755.0,2665.0,511773.0,53762.0,-41213.0,-12549.0,0.6277,-927434.0,15.0,RISE
2020-05-18,2670.0,2690.0,2695.0,2610.0,308045.0,9744.0,-11355.0,1611.0,0.6279,-914885.0,0.0,EVEN
2020-05-15,2670.0,2635.0,2735.0,2625.0,550187.0,-8244.0,6274.0,1970.0,0.6279,-916496.0,90.0,RISE
2020-05-14,2580.0,2665.0,2665.0,2580.0,384508.0,14941.0,-17251.0,2310.0,0.6279,-918466.0,105.0,FALL
2020-05-13,2685.0,2630.0,2690.0,2595.0,332406.0,-52971.0,51783.0,1188.0,0.628,-920776.0,15.0,FALL
2020-05-12,2700.0,2800.0,2810.0,2680.0,556551.0,118018.0,-119519.0,1501.0,0.6277,-921964.0,80.0,FALL
2020-05-11,2780.0,2745.0,2815.0,2715.0,653101.0,-190665.0,54919.0,135746.0,0.6283,-923465.0,40.0,RISE
2020-05-08,2740.0,2765.0,2765.0,2700.0,418210.0,34136.0,-70733.0,36597.0,0.6281,-1059211.0,0.0,EVEN
2020-05-07,2740.0,2660.0,2740.0,2660.0,418358.0,-48514.0,27767.0,20747.0,0.6284,-1095808.0,25.0,RISE
2020-05-06,2715.0,2625.0,2770.0,2625.0,1157509.0,74650.0,-91687.0,17037.0,0.6283,-1116555.0,130.0,RISE
2020-05-04,2585.0,2500.0,2635.0,2460.0,727218.0,15090.0,-33905.0,18815.0,0.6288,-1133592.0,15.0,RISE
2020-04-29,2570.0,2400.0,2820.0,2400.0,4309070.0,-82032.0,97212.0,-15180.0,0.6289,-1152407.0,170.0,RISE
2020-04-28,2400.0,2420.0,2435.0,2370.0,307386.0,10838.0,-14963.0,4125.0,0.6284,-1137227.0,5.0,RISE
2020-04-27,2395.0,2350.0,2445.0,2330.0,453080.0,-96404.0,92680.0,3724.0,0.6285,-1141352.0,75.0,RISE
2020-04-24,2320.0,2395.0,2395.0,2300.0,217977.0,32566.0,-16033.0,-16533.0,0.6281,-1145076.0,40.0,FALL
2020-04-23,2360.0,2390.0,2400.0,2340.0,270582.0,27503.0,-34438.0,6935.0,0.6281,-1128543.0,10.0,FALL
2020-04-22,2370.0,2265.0,2375.0,2250.0,391461.0,13056.0,-12680.0,-376.0,0.6283,-1135478.0,30.0,RISE
2020-04-21,2340.0,2375.0,2375.0,2255.0,647666.0,-72980.0,23555.0,49425.0,0.6284,-1135102.0,45.0,FALL
2020-04-20,2385.0,2420.0,2445.0,2365.0,354831.0,38988.0,-37541.0,-1447.0,0.6283,-1184527.0,10.0,FALL
2020-04-17,2395.0,2365.0,2455.0,2365.0,392018.0,-12822.0,-2408.0,15230.0,0.6285,-1183080.0,60.0,RISE
2020-04-16,2335.0,2330.0,2365.0,2280.0,254406.0,24583.0,-28801.0,4218.0,0.6285,-1198310.0,30.0,FALL
2020-04-14,2365.0,2350.0,2395.0,2345.0,247341.0,-24167.0,24739.0,-572.0,0.6286,-1202528.0,25.0,RISE
2020-04-13,2340.0,2345.0,2410.0,2325.0,573781.0,39038.0,-37427.0,-1611.0,0.6285,-1201956.0,15.0,RISE
2020-04-10,2325.0,2235.0,2345.0,2210.0,689820.0,-75010.0,59948.0,15062.0,0.6287,-1200345.0,100.0,RISE
2020-04-09,2225.0,2260.0,2260.0,2185.0,622946.0,11293.0,-10931.0,-362.0,0.6284,-1215407.0,25.0,RISE
2020-04-08,2200.0,2240.0,2240.0,2185.0,295996.0,38307.0,-45556.0,7249.0,0.6284,-1215045.0,30.0,FALL
2020-04-07,2230.0,2250.0,2295.0,2175.0,624992.0,111105.0,-136471.0,25366.0,0.6285,-1222294.0,65.0,RISE
2020-04-06,2165.0,2005.0,2175.0,2000.0,782839.0,-167374.0,115732.0,51642.0,0.6293,-1247660.0,175.0,RISE
2020-04-03,1990.0,1990.0,2020.0,1950.0,410305.0,7026.0,-15628.0,8602.0,0.6289,-1299302.0,15.0,RISE
2020-04-02,1975.0,1945.0,1995.0,1890.0,467526.0,-20789.0,7762.0,13027.0,0.6289,-1307904.0,35.0,RISE
2020-04-01,1940.0,1975.0,2020.0,1935.0,441584.0,-42677.0,30718.0,11959.0,0.6289,-1320931.0,45.0,FALL
2020-03-31,1985.0,2015.0,2035.0,1955.0,696888.0,48092.0,-49812.0,1720.0,0.6287,-1332890.0,15.0,RISE
2020-03-30,1970.0,1870.0,1975.0,1860.0,584378.0,-146243.0,147201.0,-958.0,0.629,-1334610.0,20.0,RISE
2020-03-27,1950.0,2000.0,2030.0,1895.0,808350.0,-41065.0,42761.0,-1696.0,0.6283,-1333652.0,60.0,RISE
2020-03-26,1890.0,1950.0,1985.0,1850.0,1063505.0,23194.0,-23985.0,791.0,0.628,-1331956.0,20.0,FALL
2020-03-25,1910.0,1705.0,1940.0,1705.0,1556222.0,-108521.0,51583.0,56938.0,0.6282,-1332747.0,270.0,RISE
