,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,1900.0,1910.0,1940.0,1870.0,90920.0,7746,-7746,0,0.0105,-348402,0.0,EVEN
2020-06-04,1900.0,1975.0,1975.0,1870.0,80296.0,21321,-21321,0,0.0108,-348402,25.0,FALL
2020-06-03,1925.0,1900.0,1960.0,1890.0,224067.0,9454,-9454,0,0.0117,-348402,30.0,RISE
2020-06-02,1895.0,1880.0,1910.0,1870.0,59225.0,-4626.0,4626.0,0.0,0.0122,-355118.0,15.0,RISE
2020-06-01,1880.0,1825.0,1890.0,1825.0,64903.0,-2520.0,2520.0,0.0,0.012,-355118.0,15.0,RISE
2020-05-29,1865.0,1845.0,1900.0,1845.0,72087.0,4741.0,-4741.0,0.0,0.0118,-355118.0,35.0,FALL
2020-05-28,1900.0,1895.0,1915.0,1825.0,90354.0,14898.0,-14898.0,0.0,0.0121,-355118.0,25.0,RISE
2020-05-27,1875.0,1950.0,1950.0,1875.0,141980.0,34036.0,-34036.0,0.0,0.0127,-355118.0,25.0,FALL
2020-05-26,1900.0,1920.0,1945.0,1855.0,143428.0,1143.0,-1143.0,0.0,0.0142,-355118.0,15.0,RISE
2020-05-25,1885.0,1875.0,1910.0,1860.0,114317.0,-2209.0,2209.0,0.0,0.0142,-355118.0,10.0,RISE
2020-05-21,1950.0,1790.0,2045.0,1780.0,995826.0,636.0,1076.0,-1712.0,0.0149,-365112.0,180.0,RISE
2020-05-20,1770.0,1765.0,1775.0,1705.0,58252.0,-3081.0,3081.0,0.0,0.0149,-363400.0,10.0,RISE
2020-05-19,1760.0,1740.0,1770.0,1700.0,47364.0,-5967.0,5967.0,0.0,0.0148,-363400.0,40.0,RISE
2020-05-18,1720.0,1830.0,1830.0,1680.0,88321.0,-943.0,943.0,0.0,0.0145,-363400.0,75.0,FALL
2020-05-15,1795.0,1780.0,1795.0,1720.0,30551.0,-732.0,732.0,0.0,0.0145,-363400.0,10.0,RISE
2020-05-14,1785.0,1800.0,1820.0,1745.0,74451.0,-1397.0,1397.0,0.0,0.0144,-363400.0,15.0,FALL
2020-05-13,1800.0,1800.0,1840.0,1770.0,41007.0,10412.0,-10412.0,0.0,0.0144,-363400.0,20.0,FALL
2020-05-12,1820.0,1840.0,1845.0,1785.0,40796.0,7580.0,-7580.0,0.0,0.0148,-363400.0,15.0,FALL
2020-05-11,1835.0,1855.0,1860.0,1775.0,83626.0,3535.0,-3535.0,0.0,0.0152,-363400.0,20.0,FALL
2020-05-08,1855.0,1805.0,1870.0,1800.0,258971.0,-30042.0,30042.0,0.0,0.0153,-363400.0,65.0,RISE
2020-05-07,1790.0,1800.0,1805.0,1765.0,102739.0,3920.0,-4483.0,563.0,0.014,-363400.0,15.0,RISE
2020-05-06,1775.0,1735.0,1795.0,1735.0,61846.0,-9042.0,9042.0,0.0,0.0142,-363963.0,45.0,RISE
2020-05-04,1730.0,1755.0,1780.0,1720.0,69681.0,10435.0,-11584.0,1149.0,0.0138,-363963.0,30.0,FALL
2020-04-29,1760.0,1770.0,1800.0,1710.0,202653.0,-15342.0,15342.0,0.0,0.0143,-365112.0,10.0,RISE
2020-04-28,1750.0,1710.0,1755.0,1690.0,95566.0,3145.0,-3145.0,0.0,0.0139,-365112.0,45.0,RISE
2020-04-27,1705.0,1700.0,1725.0,1675.0,35021.0,-7494.0,7495.0,-1.0,0.0141,-365112.0,5.0,RISE
2020-04-24,1700.0,1700.0,1720.0,1650.0,48666.0,8907.0,-8907.0,0.0,0.0138,-365111.0,10.0,FALL
2020-04-23,1710.0,1710.0,1750.0,1685.0,51325.0,3942.0,-3942.0,0.0,0.0141,-365111.0,0.0,EVEN
2020-04-22,1710.0,1715.0,1715.0,1640.0,82456.0,-57.0,57.0,0.0,0.0143,-365111.0,20.0,FALL
2020-04-21,1730.0,1765.0,1785.0,1630.0,104028.0,17635.0,-17635.0,0.0,0.0143,-365111.0,55.0,FALL
2020-04-20,1785.0,1795.0,1835.0,1755.0,141497.0,15288.0,-15288.0,0.0,0.0151,-365111.0,10.0,FALL
2020-04-17,1795.0,1780.0,1825.0,1750.0,152489.0,-14995.0,14995.0,0.0,0.0157,-365111.0,15.0,RISE
2020-04-16,1780.0,1740.0,1780.0,1710.0,70330.0,5631.0,-5631.0,0.0,0.0151,-365111.0,35.0,RISE
2020-04-14,1745.0,1740.0,1775.0,1730.0,116164.0,5740.0,-4497.0,-1243.0,0.0153,-365111.0,0.0,EVEN
2020-04-13,1745.0,1765.0,1770.0,1690.0,114664.0,6862.0,-6862.0,0.0,0.0155,-363868.0,20.0,FALL
2020-04-10,1765.0,1795.0,1795.0,1650.0,208162.0,-7701.0,7701.0,0.0,0.0158,-363868.0,5.0,FALL
2020-04-09,1770.0,1775.0,1775.0,1725.0,245441.0,35824.0,-35824.0,0.0,0.0155,-363868.0,25.0,RISE
2020-04-08,1745.0,1730.0,1760.0,1690.0,196774.0,-2455.0,2455.0,0.0,0.017,-363868.0,15.0,RISE
2020-04-07,1730.0,1680.0,1940.0,1645.0,2080564.0,41675.0,-41675.0,0.0,0.0169,-363868.0,85.0,RISE
2020-04-06,1645.0,1685.0,1690.0,1585.0,334726.0,-137.0,137.0,0.0,0.0187,-363868.0,5.0,RISE
