,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,25100.0,24900.0,25100.0,24400.0,62233.0,-20606,-6149,26755,0.0721,983130,400.0,RISE
2020-06-04,24700.0,24550.0,25100.0,24250.0,116899.0,-29992,-19643,49635,0.0726,956375,150.0,RISE
2020-06-03,24550.0,25000.0,25100.0,24350.0,61273.0,21547,-22595,1048,0.0743,906740,150.0,RISE
2020-06-02,24400.0,24150.0,24650.0,23700.0,80242.0,-3197.0,-4697.0,7894.0,0.0762,965573.0,650.0,RISE
2020-06-01,23750.0,23500.0,24250.0,23500.0,52230.0,23470.0,-16236.0,-7234.0,0.0766,957679.0,0.0,EVEN
2020-05-29,23750.0,23650.0,24600.0,23200.0,69784.0,-3681.0,-4864.0,8545.0,0.078,964913.0,150.0,FALL
2020-05-28,23900.0,24400.0,24700.0,23500.0,72991.0,-11462.0,18188.0,-6726.0,0.0785,956368.0,450.0,FALL
2020-05-27,24350.0,24950.0,25000.0,24300.0,70407.0,13807.0,-11080.0,-2727.0,0.0769,963094.0,650.0,FALL
2020-05-26,25000.0,24800.0,25500.0,24800.0,55812.0,5307.0,-8383.0,3076.0,0.0778,965821.0,200.0,RISE
2020-05-25,24800.0,24900.0,25000.0,24400.0,59248.0,1529.0,-7471.0,5942.0,0.0786,962745.0,300.0,FALL
2020-05-21,25550.0,25500.0,25650.0,25050.0,94828.0,9209.0,2412.0,-11621.0,0.0795,967248.0,50.0,RISE
2020-05-20,25500.0,25500.0,25850.0,25200.0,67694.0,10666.0,-7285.0,-3381.0,0.0793,978869.0,350.0,FALL
2020-05-19,25850.0,26450.0,26450.0,25600.0,59451.0,16076.0,2107.0,-18183.0,0.0799,982250.0,100.0,FALL
2020-05-18,25950.0,26600.0,26700.0,25850.0,80482.0,11247.0,-6184.0,-5063.0,0.0797,1000433.0,450.0,FALL
2020-05-15,26400.0,26450.0,26600.0,25750.0,118597.0,4827.0,4815.0,-9642.0,0.0803,1005496.0,100.0,RISE
2020-05-14,26300.0,26150.0,26750.0,25450.0,96933.0,8244.0,2714.0,-10958.0,0.0798,1015138.0,150.0,RISE
