,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,8900.0,8860.0,8960.0,8820.0,9251.0,-2215,1211,1004,0.0096,6166,90.0,RISE
2020-06-04,8810.0,8890.0,8890.0,8780.0,7536.0,-660,-540,1200,0.0095,5162,20.0,FALL
2020-06-03,8830.0,8770.0,8890.0,8770.0,22680.0,5430,359,-5789,0.0095,3962,0.0,EVEN
2020-06-02,8830.0,8890.0,8890.0,8750.0,13477.0,-699.0,401.0,298.0,0.0095,9839.0,50.0,FALL
2020-06-01,8880.0,8950.0,9000.0,8860.0,22949.0,1838.0,1550.0,-3388.0,0.0095,9541.0,70.0,FALL
2020-05-29,8950.0,9500.0,10300.0,8950.0,187046.0,2211.0,-1862.0,-349.0,0.0093,12929.0,30.0,RISE
2020-05-28,8920.0,8850.0,9000.0,8800.0,14343.0,100.0,-435.0,335.0,0.0095,13278.0,20.0,FALL
2020-05-27,8940.0,8980.0,9040.0,8920.0,5615.0,-984.0,197.0,787.0,0.0095,12943.0,30.0,FALL
2020-05-26,8970.0,9050.0,9050.0,8960.0,8463.0,322.0,312.0,-634.0,0.0095,12156.0,10.0,RISE
2020-05-25,8960.0,9150.0,9170.0,8910.0,8072.0,226.0,-9.0,-217.0,0.0095,12790.0,50.0,RISE
2020-05-21,8820.0,8850.0,8850.0,8700.0,8837.0,-847.0,101.0,746.0,0.0095,12986.0,30.0,FALL
2020-05-20,8850.0,8850.0,8850.0,8770.0,4706.0,-187.0,15.0,172.0,0.0095,12240.0,80.0,RISE
2020-05-19,8770.0,8670.0,8810.0,8550.0,4416.0,-589.0,-78.0,667.0,0.0095,12068.0,120.0,RISE
2020-05-18,8650.0,9000.0,9000.0,8430.0,13549.0,-295.0,291.0,4.0,0.0095,11401.0,340.0,FALL
2020-05-15,8990.0,9100.0,9100.0,8920.0,4619.0,98.0,-175.0,77.0,0.0095,11397.0,0.0,EVEN
2020-05-14,8990.0,8930.0,9250.0,8870.0,13283.0,313.0,-344.0,31.0,0.0095,11320.0,60.0,RISE
2020-05-13,8930.0,8700.0,8980.0,8410.0,16319.0,762.0,-768.0,6.0,0.0095,11289.0,230.0,RISE
2020-05-12,8700.0,8700.0,8830.0,8550.0,6378.0,354.0,-384.0,30.0,0.0096,11283.0,100.0,FALL
2020-05-11,8800.0,8790.0,9000.0,8280.0,3907.0,111.0,-107.0,-4.0,0.0096,11253.0,50.0,FALL
2020-05-08,8850.0,8900.0,8900.0,8790.0,3266.0,183.0,-53.0,-130.0,0.0097,11257.0,50.0,FALL
2020-05-07,8900.0,8830.0,8950.0,8690.0,7153.0,2220.0,-371.0,-1849.0,0.0097,11387.0,70.0,RISE
