,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,8000.0,7750.0,8000.0,7590.0,352541.0,16512,-12110,-4402,0.1132,-3542513,310.0,RISE
2020-06-04,7690.0,7460.0,7880.0,7450.0,453196.0,-64653,52748,11905,0.1139,-3538111,250.0,RISE
2020-06-03,7440.0,7530.0,7630.0,7370.0,313396.0,69536,-30699,-38837,0.1109,-3550016,90.0,FALL
2020-06-02,7530.0,7440.0,7600.0,7250.0,243811.0,16965.0,-16826.0,-139.0,0.1127,-3412785.0,170.0,RISE
2020-06-01,7360.0,7300.0,7450.0,7260.0,128832.0,-21261.0,21293.0,-32.0,0.1136,-3412646.0,60.0,RISE
2020-05-29,7300.0,7130.0,7490.0,7030.0,262459.0,33942.0,-30153.0,-3789.0,0.1124,-3412614.0,160.0,RISE
2020-05-28,7140.0,7290.0,7350.0,7000.0,164697.0,64836.0,-57556.0,-7280.0,0.1141,-3408825.0,120.0,FALL
2020-05-27,7260.0,7500.0,7530.0,7260.0,173806.0,63125.0,-55574.0,-7551.0,0.1173,-3401545.0,270.0,FALL
2020-05-26,7530.0,7280.0,7650.0,7200.0,313815.0,-23972.0,23889.0,83.0,0.1204,-3393994.0,290.0,RISE
2020-05-25,7240.0,7140.0,7250.0,7120.0,77206.0,14258.0,-4468.0,-9790.0,0.1191,-3394077.0,100.0,RISE
2020-05-21,7310.0,7390.0,7420.0,7250.0,131335.0,42765.0,-42786.0,21.0,0.1205,-3379288.0,0.0,EVEN
2020-05-20,7310.0,7040.0,7390.0,7000.0,203191.0,-23579.0,34937.0,-11358.0,0.1229,-3379309.0,270.0,RISE
2020-05-19,7040.0,6930.0,7060.0,6920.0,155157.0,-16586.0,17759.0,-1173.0,0.121,-3367951.0,240.0,RISE
2020-05-18,6800.0,7000.0,7000.0,6700.0,166786.0,6902.0,-6673.0,-229.0,0.12,-3366778.0,230.0,FALL
2020-05-15,7030.0,7050.0,7160.0,6940.0,89482.0,-11210.0,11103.0,107.0,0.1204,-3366549.0,20.0,FALL
2020-05-14,7050.0,7060.0,7140.0,6990.0,87167.0,12173.0,-12289.0,116.0,0.1197,-3366656.0,100.0,FALL
2020-05-13,7150.0,7130.0,7160.0,6980.0,108410.0,14416.0,-2975.0,-11441.0,0.1204,-3366772.0,10.0,FALL
2020-05-12,7160.0,7460.0,7500.0,7100.0,212277.0,63766.0,-43063.0,-20703.0,0.1206,-3355331.0,310.0,FALL
2020-05-11,7470.0,7850.0,7900.0,7460.0,159418.0,44674.0,-42575.0,-2099.0,0.123,-3334628.0,310.0,FALL
2020-05-08,7780.0,7500.0,7930.0,7480.0,202671.0,-28162.0,31287.0,-3125.0,0.1254,-3332529.0,320.0,RISE
2020-05-07,7460.0,7320.0,7490.0,7260.0,91809.0,-18714.0,20661.0,-1947.0,0.1236,-3329404.0,150.0,RISE
2020-05-06,7310.0,7160.0,7370.0,7160.0,93893.0,-25911.0,25404.0,507.0,0.1226,-3327457.0,190.0,RISE
2020-05-04,7120.0,7230.0,7230.0,7060.0,69071.0,8600.0,-9173.0,573.0,0.1212,-3327964.0,180.0,FALL
2020-04-29,7300.0,7190.0,7360.0,7130.0,125929.0,-29624.0,29442.0,182.0,0.1217,-3328537.0,110.0,RISE
2020-04-28,7190.0,7240.0,7240.0,7070.0,55180.0,5120.0,-5271.0,151.0,0.1201,-3328719.0,40.0,RISE
2020-04-27,7150.0,7120.0,7210.0,7020.0,94195.0,-994.0,16625.0,-15631.0,0.1205,-3328870.0,20.0,RISE
2020-04-24,7130.0,7250.0,7250.0,7020.0,77167.0,17229.0,-14586.0,-2643.0,0.1196,-3313239.0,80.0,FALL
2020-04-23,7210.0,7300.0,7300.0,7160.0,77030.0,1197.0,10968.0,-12165.0,0.1204,-3310596.0,30.0,FALL
2020-04-22,7240.0,7100.0,7240.0,7010.0,45487.0,5469.0,-5132.0,-337.0,0.1198,-3298431.0,10.0,FALL
2020-04-21,7250.0,7430.0,7500.0,6920.0,182070.0,3206.0,-4531.0,1325.0,0.1201,-3298094.0,270.0,FALL
2020-04-20,7520.0,7450.0,7680.0,7300.0,148847.0,-12491.0,9146.0,3345.0,0.1234,-3299419.0,150.0,RISE
2020-04-17,7370.0,7450.0,7530.0,7300.0,176020.0,7489.0,-7090.0,-399.0,0.1229,-3302764.0,70.0,RISE
2020-04-16,7300.0,6840.0,7340.0,6680.0,178958.0,-27355.0,27366.0,-11.0,0.1233,-3302365.0,460.0,RISE
2020-04-14,6840.0,6750.0,6960.0,6750.0,91057.0,5444.0,11864.0,-17308.0,0.1219,-3302354.0,120.0,RISE
2020-04-13,6720.0,7070.0,7070.0,6540.0,198151.0,13803.0,3635.0,-17438.0,0.1209,-3285046.0,350.0,FALL
2020-04-10,7070.0,7300.0,7310.0,6890.0,216178.0,54487.0,-19.0,-54468.0,0.1207,-3267608.0,230.0,FALL
2020-04-09,7300.0,7500.0,7670.0,7260.0,261127.0,42257.0,-3995.0,-38262.0,0.1207,-3213140.0,150.0,FALL
2020-04-08,7450.0,6950.0,7730.0,6850.0,577232.0,14338.0,-7422.0,-6916.0,0.121,-3174878.0,810.0,RISE
2020-04-07,6640.0,6310.0,6660.0,6260.0,231528.0,-15845.0,38057.0,-22212.0,0.1214,-3167962.0,440.0,RISE
2020-04-06,6200.0,6000.0,6270.0,5820.0,179454.0,12294.0,10443.0,-22737.0,0.1192,-3145750.0,200.0,RISE
2020-04-03,6000.0,5970.0,6050.0,5780.0,115867.0,29097.0,-22892.0,-6205.0,0.1154,-3123013.0,110.0,RISE
2020-04-02,5890.0,5800.0,5900.0,5690.0,92699.0,7701.0,4609.0,-12310.0,0.1167,-3116808.0,90.0,RISE
2020-04-01,5800.0,5860.0,6150.0,5700.0,145267.0,10129.0,-11276.0,1147.0,0.117,-3104498.0,90.0,FALL
2020-03-31,5890.0,6100.0,6100.0,5810.0,98030.0,25889.0,-15831.0,-10058.0,0.1177,-3105645.0,70.0,RISE
2020-03-30,5820.0,5510.0,5900.0,5510.0,83453.0,14013.0,-4881.0,-9132.0,0.1186,-3095587.0,70.0,RISE
2020-03-27,5750.0,6200.0,6200.0,5590.0,130106.0,16054.0,-12323.0,-3731.0,0.1188,-3086455.0,60.0,RISE
2020-03-26,5690.0,5700.0,5910.0,5470.0,187519.0,66362.0,-60649.0,-5713.0,0.1196,-3082724.0,120.0,RISE
2020-03-25,5570.0,5230.0,5590.0,5230.0,138980.0,6606.0,-6803.0,197.0,0.1239,-3077011.0,520.0,RISE
2020-03-24,5050.0,4950.0,5160.0,4900.0,116880.0,18231.0,-17893.0,-338.0,0.1231,-3077208.0,255.0,RISE
2020-03-23,4795.0,4580.0,4895.0,4500.0,129468.0,35810.0,-15346.0,-20464.0,0.1241,-3076870.0,105.0,FALL
2020-03-20,4900.0,4430.0,5000.0,4430.0,180979.0,-51126.0,49521.0,1605.0,0.1249,-3056406.0,470.0,RISE
2020-03-19,4430.0,5400.0,5520.0,4350.0,421564.0,-11829.0,9470.0,2359.0,0.1222,-3058011.0,960.0,FALL
2020-03-18,5390.0,5920.0,5990.0,5370.0,329936.0,72595.0,-65856.0,-6739.0,0.1204,-3060370.0,430.0,FALL
2020-03-17,5820.0,5830.0,6290.0,5740.0,458423.0,136421.0,-28072.0,-108349.0,0.1241,-3053631.0,550.0,FALL
2020-03-16,6370.0,6700.0,7100.0,6370.0,270791.0,12161.0,-4393.0,-7768.0,0.1257,-2945282.0,400.0,FALL
2020-03-13,6770.0,6520.0,6890.0,6050.0,352395.0,-103164.0,78904.0,24260.0,0.1259,-2937514.0,540.0,FALL
2020-03-12,7310.0,8020.0,8150.0,7300.0,219160.0,6958.0,12107.0,-19065.0,0.1215,-2961774.0,960.0,FALL
2020-03-11,8270.0,8790.0,8790.0,8240.0,119932.0,32942.0,-15534.0,-17408.0,0.1208,-2942709.0,470.0,FALL
2020-03-10,8740.0,8550.0,8810.0,8460.0,91764.0,29929.0,-24826.0,-5103.0,0.1211,-2925301.0,60.0,FALL
2020-03-09,8800.0,9030.0,9070.0,8750.0,65723.0,12654.0,-14099.0,1445.0,0.1225,-2920198.0,410.0,FALL
2020-03-06,9210.0,9270.0,9280.0,9050.0,34319.0,4626.0,-5043.0,417.0,0.1233,-2921643.0,70.0,FALL
2020-03-05,9280.0,9160.0,9350.0,9160.0,39157.0,-6764.0,6898.0,-134.0,0.1236,-2922060.0,170.0,RISE
2020-03-04,9110.0,8730.0,9170.0,8730.0,61953.0,11106.0,-3519.0,-7587.0,0.1232,-2921926.0,170.0,RISE
2020-03-03,8940.0,9140.0,9260.0,8930.0,69107.0,-3095.0,3460.0,-365.0,0.1234,-2914339.0,50.0,RISE
2020-03-02,8890.0,8700.0,9000.0,8620.0,102208.0,8564.0,12915.0,-21479.0,0.1232,-2913974.0,70.0,RISE
2020-02-28,8820.0,9440.0,9440.0,8730.0,229177.0,46504.0,-19888.0,-26616.0,0.1225,-2892495.0,780.0,FALL
2020-02-27,9600.0,9700.0,9840.0,9490.0,93582.0,28920.0,-30561.0,1641.0,0.1235,-2865879.0,150.0,FALL
2020-02-26,9750.0,9650.0,9870.0,9570.0,89473.0,-3035.0,3507.0,-472.0,0.1248,-2867520.0,120.0,FALL
2020-02-25,9870.0,9520.0,9890.0,9520.0,92727.0,6369.0,-3107.0,-3262.0,0.1246,-2867048.0,200.0,RISE
2020-02-24,9670.0,9870.0,9960.0,9660.0,157850.0,8497.0,-11229.0,2732.0,0.1247,-2863786.0,530.0,FALL
2020-02-21,10200.0,10300.0,10600.0,10200.0,94332.0,2536.0,-3204.0,668.0,0.1253,-2866518.0,350.0,FALL
2020-02-20,10550.0,10750.0,10800.0,10500.0,93180.0,13260.0,-12937.0,-323.0,0.1255,-2867186.0,200.0,FALL
2020-02-19,10750.0,10900.0,11050.0,10400.0,123603.0,8651.0,-6810.0,-1841.0,0.1262,-2866863.0,0.0,EVEN
2020-02-18,10750.0,11350.0,11600.0,10700.0,303206.0,59870.0,-68818.0,8948.0,0.1266,-2865022.0,500.0,FALL
2020-02-17,11250.0,11200.0,11300.0,11000.0,223377.0,26668.0,-23661.0,-3007.0,0.1304,-2873970.0,100.0,RISE
2020-02-14,11150.0,10500.0,11200.0,10400.0,382583.0,42245.0,-41738.0,-507.0,0.1317,-2870963.0,800.0,RISE
