,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,6280.0,5980.0,6420.0,5790.0,1122635.0,-97351,97351,0,0.0119,-1683021,540.0,RISE
2020-06-04,5740.0,5900.0,5900.0,5680.0,175052.0,-12485,12485,0,0.0074,-1683021,80.0,FALL
2020-06-03,5820.0,6100.0,6100.0,5820.0,223238.0,23020,-23020,0,0.0068,-1683021,180.0,FALL
2020-06-02,6000.0,6310.0,6310.0,5750.0,902802.0,82648.0,-82648.0,0.0,0.0081,-1683905.0,260.0,FALL
2020-06-01,6260.0,5830.0,6350.0,5800.0,743069.0,-108460.0,108460.0,0.0,0.0119,-1683905.0,450.0,RISE
2020-05-29,5810.0,5970.0,5990.0,5680.0,131656.0,7621.0,-7621.0,0.0,0.0069,-1683905.0,60.0,FALL
2020-05-28,5870.0,6060.0,6110.0,5710.0,281868.0,6459.0,-6459.0,0.0,0.0073,-1683905.0,130.0,FALL
2020-05-27,6000.0,5890.0,6210.0,5810.0,713162.0,3605.0,-3605.0,0.0,0.0076,-1683905.0,140.0,RISE
2020-05-26,5860.0,5660.0,5860.0,5500.0,355723.0,-3668.0,3668.0,0.0,0.0077,-1683905.0,460.0,RISE
2020-05-25,5400.0,5300.0,5510.0,5290.0,151128.0,-13906.0,13906.0,0.0,0.0075,-1683905.0,240.0,RISE
2020-05-21,5400.0,5560.0,5580.0,5390.0,106202.0,22.0,-22.0,0.0,0.006999999999999999,-1680217.0,120.0,FALL
2020-05-20,5520.0,5520.0,5620.0,5480.0,105580.0,-4610.0,4610.0,0.0,0.006999999999999999,-1680217.0,20.0,RISE
2020-05-19,5500.0,5640.0,5640.0,5450.0,113412.0,-3363.0,3363.0,0.0,0.0068,-1680217.0,50.0,FALL
2020-05-18,5550.0,5730.0,5800.0,5510.0,152233.0,18704.0,-18600.0,-104.0,0.0067,-1680217.0,170.0,FALL
2020-05-15,5720.0,5940.0,5940.0,5680.0,277999.0,15393.0,-12870.0,-2523.0,0.0075,-1680113.0,190.0,FALL
2020-05-14,5910.0,5670.0,6090.0,5610.0,633264.0,-28731.0,28731.0,0.0,0.0081,-1677590.0,240.0,RISE
2020-05-13,5670.0,5410.0,5870.0,5370.0,393245.0,-17530.0,17530.0,0.0,0.0068,-1677590.0,300.0,RISE
2020-05-12,5370.0,5590.0,5590.0,5250.0,141309.0,-17082.0,17082.0,0.0,0.006,-1677590.0,110.0,FALL
2020-05-11,5480.0,5770.0,5770.0,5480.0,151244.0,6621.0,-6621.0,0.0,0.0052,-1677590.0,170.0,FALL
2020-05-08,5650.0,5740.0,5840.0,5600.0,209216.0,44907.0,-44907.0,0.0,0.0055,-1677590.0,20.0,RISE
2020-05-07,5630.0,5520.0,5870.0,5450.0,446037.0,-16517.0,16517.0,0.0,0.0076,-1677590.0,160.0,RISE
2020-05-06,5470.0,5400.0,5530.0,5400.0,143229.0,-23946.0,23946.0,0.0,0.0068,-1677590.0,70.0,RISE
2020-05-04,5400.0,5500.0,5530.0,5400.0,148196.0,-9956.0,9956.0,0.0,0.0058,-1677590.0,180.0,FALL
2020-04-29,5580.0,5620.0,5770.0,5500.0,183580.0,6679.0,-4619.0,-2060.0,0.0054,-1677590.0,30.0,FALL
2020-04-28,5610.0,5700.0,5770.0,5560.0,256477.0,-9724.0,9724.0,0.0,0.0056,-1675530.0,50.0,FALL
2020-04-27,5660.0,5580.0,5780.0,5560.0,472924.0,-14555.0,14555.0,0.0,0.0054,-1675530.0,70.0,RISE
2020-04-24,5590.0,5100.0,5940.0,5100.0,1847138.0,2359.0,-2207.0,-152.0,0.0047,-1675530.0,440.0,RISE
2020-04-23,5150.0,5370.0,5400.0,5130.0,343881.0,10565.0,-10565.0,0.0,0.0048,-1675378.0,150.0,FALL
2020-04-22,5300.0,4880.0,5550.0,4840.0,1967249.0,-7821.0,7821.0,0.0,0.0053,-1675378.0,425.0,RISE
