,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3535.0,3540.0,3545.0,3480.0,127299.0,-9086,9145,-59,0.0519,19927,0.0,EVEN
2020-06-04,3535.0,3500.0,3535.0,3480.0,157940.0,-14119,14231,-112,0.0512,19986,35.0,RISE
2020-06-03,3500.0,3485.0,3535.0,3455.0,189913.0,6120,-6005,-115,0.0501,20098,25.0,RISE
2020-06-02,3475.0,3465.0,3690.0,3440.0,802499.0,91429.0,-71863.0,-19566.0,0.0505,20293.0,15.0,RISE
2020-06-01,3460.0,3370.0,3480.0,3330.0,289292.0,-20471.0,20442.0,29.0,0.0561,39859.0,90.0,RISE
2020-05-29,3370.0,3275.0,3425.0,3260.0,366339.0,-15206.0,15248.0,-42.0,0.0545,39830.0,60.0,RISE
2020-05-28,3310.0,3395.0,3400.0,3235.0,327570.0,9369.0,-9323.0,-46.0,0.0533,39872.0,80.0,FALL
2020-05-27,3390.0,3360.0,3415.0,3345.0,148445.0,-6212.0,6223.0,-11.0,0.054000000000000006,39918.0,30.0,RISE
2020-05-26,3360.0,3345.0,3425.0,3330.0,154202.0,-923.0,-581.0,1504.0,0.0536,39929.0,35.0,RISE
2020-05-25,3325.0,3280.0,3345.0,3245.0,175804.0,-39297.0,35226.0,4071.0,0.0536,38425.0,50.0,RISE
2020-05-22,3275.0,3375.0,3415.0,3240.0,268955.0,-9236.0,3308.0,5928.0,0.0509,35645.0,100.0,FALL
2020-05-21,3375.0,3395.0,3425.0,3350.0,319673.0,-28234.0,16299.0,11935.0,0.0506,29717.0,25.0,RISE
2020-05-20,3350.0,3285.0,3580.0,3235.0,1091386.0,76700.0,-76686.0,-14.0,0.0499,17782.0,65.0,RISE
2020-05-19,3285.0,3235.0,3325.0,3185.0,210009.0,14168.0,-14049.0,-119.0,0.0558,17796.0,85.0,RISE
2020-05-18,3200.0,3165.0,3225.0,3095.0,174457.0,-17265.0,17270.0,-5.0,0.0569,17915.0,70.0,RISE
2020-05-15,3130.0,3135.0,3200.0,3110.0,131462.0,-4042.0,1541.0,2501.0,0.0556,17920.0,30.0,FALL
2020-05-14,3160.0,3140.0,3175.0,3115.0,127135.0,17514.0,-17565.0,51.0,0.0555,15419.0,25.0,FALL
2020-05-13,3185.0,3150.0,3215.0,3125.0,153574.0,-21187.0,21179.0,8.0,0.0568,15368.0,5.0,FALL
2020-05-12,3190.0,3260.0,3290.0,3135.0,204606.0,1018.0,-1092.0,74.0,0.0552,15360.0,70.0,FALL
2020-05-11,3260.0,3330.0,3335.0,3205.0,214864.0,-12170.0,12182.0,-12.0,0.0553,15286.0,80.0,FALL
2020-05-08,3340.0,3240.0,3345.0,3240.0,240237.0,3342.0,-3173.0,-169.0,0.0543,15298.0,100.0,RISE
2020-05-07,3240.0,3200.0,3275.0,3160.0,185632.0,15620.0,-15633.0,13.0,0.0546,15467.0,45.0,RISE
2020-05-06,3195.0,3085.0,3195.0,3085.0,282245.0,12388.0,-12479.0,91.0,0.0558,15454.0,125.0,RISE
2020-05-04,3070.0,3050.0,3095.0,3000.0,248232.0,-42098.0,47776.0,-5678.0,0.0568,15363.0,5.0,RISE
2020-04-29,3065.0,3005.0,3075.0,3000.0,386294.0,-60710.0,59650.0,1060.0,0.0531,21041.0,65.0,RISE
2020-04-28,3000.0,2970.0,3020.0,2910.0,271220.0,-44869.0,44866.0,3.0,0.0485,19981.0,55.0,RISE
2020-04-27,2945.0,2910.0,2960.0,2910.0,251631.0,-38608.0,38911.0,-303.0,0.045,19978.0,45.0,RISE
2020-04-24,2900.0,3010.0,3010.0,2895.0,280901.0,49556.0,-49869.0,313.0,0.042,20281.0,115.0,FALL
2020-04-23,3015.0,2965.0,3020.0,2945.0,222614.0,-62541.0,58302.0,4239.0,0.0459,19968.0,50.0,RISE
2020-04-22,2965.0,2910.0,2965.0,2850.0,183444.0,-22564.0,22559.0,5.0,0.0414,15729.0,5.0,RISE
2020-04-21,2960.0,2985.0,3050.0,2805.0,478230.0,-29257.0,29258.0,-1.0,0.0397,15724.0,25.0,FALL
2020-04-20,2985.0,3020.0,3045.0,2970.0,324576.0,-3716.0,3775.0,-59.0,0.0374,15725.0,5.0,FALL
2020-04-17,2990.0,3010.0,3070.0,2985.0,503703.0,4436.0,-4368.0,-68.0,0.0371,15784.0,10.0,FALL
2020-04-16,3000.0,2825.0,3010.0,2820.0,1260843.0,-16818.0,16847.0,-29.0,0.0375,15852.0,345.0,FALL
2020-04-14,3345.0,3005.0,3530.0,3005.0,2104770.0,-142393.0,142236.0,157.0,0.0362,15881.0,280.0,RISE
2020-04-13,3065.0,3300.0,3325.0,3065.0,510356.0,18546.0,-17083.0,-1463.0,0.0253,15724.0,220.0,FALL
2020-04-10,3285.0,3280.0,3520.0,3180.0,1093913.0,93205.0,-38120.0,-55085.0,0.0266,17187.0,5.0,RISE
2020-04-09,3280.0,3265.0,3380.0,3150.0,259465.0,-17757.0,17875.0,-118.0,0.0295,72272.0,15.0,RISE
2020-04-08,3265.0,3140.0,3385.0,3110.0,409264.0,-29949.0,29580.0,369.0,0.0282,72390.0,95.0,RISE
2020-04-07,3170.0,3290.0,3325.0,3070.0,282089.0,-5734.0,5682.0,52.0,0.0259,72021.0,5.0,RISE
2020-04-06,3165.0,3100.0,3225.0,3090.0,281894.0,-6932.0,13144.0,-6212.0,0.0255,71969.0,80.0,RISE
2020-04-03,3085.0,2935.0,3120.0,2875.0,357208.0,53387.0,-47453.0,-5934.0,0.0244,78181.0,205.0,RISE
2020-04-02,2880.0,2865.0,2930.0,2700.0,229890.0,10539.0,-10616.0,77.0,0.0281,84115.0,10.0,RISE
2020-04-01,2870.0,2950.0,3055.0,2850.0,218121.0,-24402.0,-2254.0,26656.0,0.0291,84038.0,80.0,FALL
2020-03-31,2950.0,3000.0,3160.0,2875.0,292584.0,27596.0,-28386.0,790.0,0.0293,57382.0,50.0,FALL
2020-03-30,3000.0,2680.0,3000.0,2540.0,505679.0,20027.0,-19622.0,-405.0,0.0315,56592.0,305.0,RISE
2020-03-27,2695.0,2700.0,2770.0,2500.0,347456.0,40400.0,-40758.0,358.0,0.033,56997.0,140.0,RISE
2020-03-26,2555.0,2470.0,2680.0,2385.0,345339.0,64733.0,-64759.0,26.0,0.0361,56639.0,85.0,RISE
2020-03-25,2470.0,2295.0,2565.0,2270.0,491008.0,59794.0,-55548.0,-4246.0,0.0411,56613.0,255.0,RISE
2020-03-24,2215.0,2090.0,2215.0,2080.0,365173.0,38606.0,-32340.0,-6266.0,0.0454,60859.0,160.0,RISE
2020-03-23,2055.0,2150.0,2165.0,1980.0,507600.0,39060.0,-31937.0,-7123.0,0.0478,67125.0,235.0,FALL
2020-03-20,2290.0,2280.0,2335.0,2150.0,393288.0,39339.0,-24438.0,-14901.0,0.0503,74248.0,90.0,RISE
2020-03-19,2200.0,2565.0,2600.0,2150.0,562436.0,43221.0,-41402.0,-1819.0,0.0522,89149.0,300.0,FALL
2020-03-18,2500.0,2670.0,2740.0,2500.0,360982.0,67327.0,-70259.0,2932.0,0.0556,90968.0,140.0,FALL
