,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,12600.0,12800.0,13550.0,12550.0,1474895.0,-34964,-7265,42229,0.0123,-2101613,400.0,RISE
2020-06-04,12200.0,12250.0,12900.0,12050.0,1206290.0,15942,-14699,-1243,0.0126,-2143842,300.0,RISE
2020-06-03,11900.0,10800.0,13200.0,10700.0,4243210.0,25511,-2023,-23488,0.0131,-2142599,1200.0,RISE
2020-06-02,10700.0,10800.0,10800.0,10650.0,102352.0,6919,-3767,-3152,0.0131,-2075970,50.0,FALL
2020-06-01,10750.0,10550.0,10750.0,10550.0,114575.0,-5630,6015,-385,0.0133,-2072818,50.0,RISE
2020-05-29,10700.0,10450.0,10700.0,10450.0,95564.0,-11577,11815,-238,0.0131,-2072433,100.0,RISE
2020-05-28,10600.0,11050.0,11050.0,10500.0,323516.0,64176,-19852,-44324,0.0127,-2072195,250.0,FALL
2020-05-27,10850.0,11450.0,11500.0,10750.0,522290.0,48069,-22810,-25259,0.0133,-2027871,100.0,RISE
2020-05-26,10750.0,10250.0,11050.0,10150.0,374521.0,-74112,49046,25066,0.0141,-2002612,550.0,RISE
2020-05-25,10200.0,10250.0,10250.0,10000.0,79504.0,-1800,3782,-1982,0.0125,-2027678,50.0,FALL
2020-05-22,10250.0,10500.0,10550.0,10200.0,93745.0,-406,-449,855,0.0123,-1948684,250.0,FALL
2020-05-21,10500.0,10650.0,10700.0,10450.0,159514.0,-5305,-8148,13453,0.0124,-1949539,0.0,EVEN
2020-05-20,10500.0,10350.0,10600.0,10150.0,253396.0,-888,6811,-5923,0.0126,-1962992,100.0,FALL
2020-05-19,10600.0,11600.0,11600.0,10300.0,812475.0,-163973,878,163095,0.0124,-1957069,940.0,RISE
2020-05-18,9660.0,9300.0,10100.0,9240.0,176409.0,10456,-10316,-140,0.0124,-2120164,390.0,RISE
2020-05-15,9270.0,9280.0,9400.0,9180.0,96061.0,-4146,7765,-3619,0.0127,-2120024,60.0,RISE
2020-05-14,9210.0,9620.0,9720.0,9180.0,287915.0,35944,14583,-50527,0.0125,-2116405,590.0,FALL
2020-05-13,9800.0,9950.0,9980.0,9760.0,201531.0,50353,-3575,-46778,0.012,-2065878,180.0,FALL
2020-05-12,9980.0,10100.0,10150.0,9900.0,128559.0,8052,-8532,480,0.0121,-2019100,120.0,FALL
2020-05-11,10100.0,10300.0,10400.0,10050.0,177428.0,20754,-12771,-7983,0.0124,-2019580,300.0,FALL
2020-05-08,10400.0,10450.0,10500.0,10300.0,123865.0,-2350,1364,986,0.0128,-2011597,50.0,RISE
2020-05-07,10350.0,10200.0,11050.0,10050.0,331958.0,-6444,7559,-1115,0.0128,-2012583,150.0,RISE
2020-05-06,10200.0,10500.0,10600.0,10000.0,240633.0,11938,-12120,182,0.0125,-2011468,250.0,FALL
2020-05-04,10450.0,10550.0,10600.0,10400.0,188411.0,65899,-29112,-36787,0.0129,-2011650,400.0,FALL
2020-04-29,10850.0,10800.0,10850.0,10550.0,265308.0,-27548,21202,6346,0.0139,-1974863,200.0,RISE
2020-04-28,10650.0,10650.0,10750.0,10300.0,318006.0,-11196,12777,-1581,0.0132,-1981209,200.0,RISE
2020-04-27,10450.0,10550.0,10650.0,10300.0,213412.0,-2343,2236,107,0.0127,-1979628,0.0,EVEN
2020-04-24,10450.0,10750.0,10800.0,10400.0,195646.0,-877,-2147,3024,0.0127,-1979735,300.0,FALL
2020-04-23,10750.0,10900.0,11000.0,10650.0,139273.0,-1907,365,1542,0.0127,-1982759,100.0,RISE
2020-04-22,10650.0,10900.0,11300.0,10550.0,463764.0,137571,3536,-141107,0.0127,-1984301,50.0,FALL
2020-04-21,10700.0,10750.0,11000.0,10200.0,465453.0,-4257,-27342,31599,0.0126,-1843194,400.0,FALL
2020-04-20,11100.0,11300.0,11650.0,11000.0,649731.0,1695,-11660,9965,0.0135,-1874793,100.0,RISE
2020-04-17,11000.0,10700.0,11750.0,10550.0,1373455.0,-33494,33661,-167,0.0139,-1884758,400.0,RISE
2020-04-16,10600.0,10600.0,10650.0,10150.0,173112.0,8230,-8192,-38,0.0128,-1884591,200.0,RISE
2020-04-14,10400.0,10250.0,10500.0,10200.0,139140.0,-19332,-85,19417,0.0131,-1884553,150.0,RISE
2020-04-13,10250.0,10800.0,10850.0,10250.0,283591.0,18719,-37746,19027,0.0131,-1903970,700.0,FALL
2020-04-10,10950.0,10950.0,11100.0,10650.0,418067.0,6650,-26216,19566,0.0143,-1922997,150.0,RISE
2020-04-09,10800.0,10700.0,11050.0,10450.0,500756.0,-37037,35692,1345,0.0152,-1942563,400.0,RISE
2020-04-08,10400.0,10450.0,10600.0,10000.0,354327.0,-28459,27041,1418,0.014,-1943908,50.0,FALL
2020-04-07,10450.0,10500.0,11250.0,10150.0,735220.0,76342,-17650,-58692,0.0131,-1945326,450.0,RISE
2020-04-06,10000.0,10000.0,10150.0,9620.0,515567.0,33706,18750,-52456,0.0137,-1886634,150.0,FALL
2020-04-03,10150.0,10300.0,10500.0,10000.0,328321.0,-11344,-3399,14743,0.0131,-1834178,300.0,FALL
2020-04-02,10450.0,10000.0,10950.0,10000.0,439991.0,-6934,-12039,18973,0.0132,-1848921,550.0,FALL
2020-04-01,11000.0,11150.0,12400.0,10300.0,1425911.0,-29404,-29990,59394,0.0136,-1867894,100.0,FALL
2020-03-31,11100.0,11750.0,12200.0,10800.0,1780038.0,-22182,-55245,77427,0.0146,-1927288,1430.0,RISE
2020-03-30,9670.0,9490.0,9740.0,8790.0,488208.0,3808,-2319,-1489,0.0164,-2004715,100.0,FALL
2020-03-27,9770.0,9610.0,10750.0,8910.0,1330742.0,-88047,26955,61092,0.0165,-2003226,680.0,RISE
2020-03-26,9090.0,8310.0,9790.0,8150.0,1893134.0,233509,-245444,11935,0.0156,-2064318,1530.0,RISE
2020-03-25,7560.0,6400.0,7560.0,6280.0,874484.0,22690,-58160,35470,0.0238,-2076253,1740.0,UPPER_LIMIT
2020-03-24,5820.0,5620.0,5850.0,5620.0,411650.0,65937,2994,-68931,0.0257,-2111723,270.0,RISE
2020-03-23,5550.0,5300.0,5820.0,5150.0,412890.0,-6819,7252,-433,0.0256,-2042792,230.0,FALL
2020-03-20,5780.0,5390.0,6160.0,5010.0,1268460.0,151724,13664,-165388,0.0254,-2042359,360.0,RISE
2020-03-19,5420.0,7690.0,7890.0,5390.0,1489409.0,384389,-395,-383994,0.0249,-1876971,2270.0,FALL
2020-03-18,7690.0,9230.0,9500.0,7690.0,471652.0,46324,5559,-51883,0.0249,-1492977,1470.0,FALL
2020-03-17,9160.0,9200.0,9650.0,9010.0,237172.0,21173,-22426,1253,0.0248,-1441094,570.0,FALL
2020-03-16,9730.0,10000.0,10600.0,9710.0,314786.0,116943,13151,-130094,0.0255,-1442347,270.0,FALL
2020-03-13,10000.0,9250.0,10400.0,9250.0,469178.0,-965,14325,-13360,0.0251,-1312253,1000.0,FALL
2020-03-12,11000.0,12000.0,12000.0,10950.0,217599.0,64096,-69870,5774,0.0246,-1298893,1100.0,FALL
2020-03-11,12100.0,12450.0,12500.0,12000.0,120206.0,37690,-56526,18836,0.0269,-1304667,200.0,FALL
2020-03-10,12300.0,12150.0,12750.0,12150.0,281820.0,61583,-36301,-25282,0.0288,-1323503,250.0,FALL
2020-03-09,12550.0,12650.0,12850.0,12400.0,146929.0,36065,-25685,-10380,0.03,-1298221,450.0,FALL
2020-03-06,13000.0,13100.0,13200.0,12800.0,172312.0,21020,-27490,6470,0.0309,-1287841,500.0,FALL
2020-03-05,13500.0,13100.0,13750.0,13100.0,516878.0,104308,26257,-130565,0.0318,-1294311,650.0,RISE
2020-03-04,12850.0,12250.0,13050.0,12150.0,352246.0,5681,65479,-71160,0.0309,-1163746,600.0,RISE
2020-03-03,12250.0,12400.0,13350.0,12250.0,429817.0,145117,-17367,-127750,0.0287,-1092586,50.0,RISE
2020-03-02,12200.0,12000.0,12900.0,11600.0,226652.0,-14052,3873,10179,0.0293,-964836,50.0,RISE
2020-02-28,12150.0,12400.0,12450.0,12000.0,141991.0,383,1082,-1465,0.0292,-975015,600.0,FALL
