,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,7840.0,7730.0,7900.0,7660.0,257068.0,-54945,54945,0,0.0058,-2711874,110.0,RISE
2020-06-04,7730.0,7880.0,7890.0,7650.0,192090.0,58,-58,0,0.0023,-2711874,70.0,FALL
2020-06-03,7800.0,7950.0,8150.0,7800.0,868701.0,23463,-2566,-20897,0.0023,-2711874,100.0,RISE
2020-06-02,7700.0,7610.0,7940.0,7560.0,478802.0,16464,-14688,-1776,0.0025,-2690977,100.0,RISE
2020-06-01,7600.0,7470.0,7620.0,7470.0,157807.0,-5288,5288,0,0.0034,-2689201,130.0,RISE
2020-05-29,7470.0,7570.0,7790.0,7470.0,234878.0,11724,-11724,0,0.0031,-2689201,170.0,FALL
2020-05-28,7640.0,7970.0,8080.0,7460.0,515981.0,-46897,21381,25516,0.0038,-2689201,380.0,FALL
2020-05-27,8020.0,8160.0,8290.0,7920.0,514932.0,-5393,5394,-1,0.0025,-2714717,180.0,FALL
2020-05-26,8200.0,8210.0,8770.0,8100.0,2866928.0,3943,-3943,0,0.0064,-2714716,0.0,EVEN
2020-05-25,8200.0,8210.0,8320.0,8070.0,1085776.0,18836,-18836,0,0.0066,-2714716,50.0,RISE
2020-05-22,8150.0,8210.0,8380.0,7900.0,1467029.0,-9084,6449,2635,0.0078,-2714716,170.0,FALL
2020-05-21,8320.0,8740.0,9590.0,8140.0,16608575.0,-6360,15601,-9241,0.0074,-2717351,20.0,RISE
2020-05-20,8300.0,6460.0,8300.0,6400.0,7780772.0,8698,-20735,12037,0.0064,-2708110,1910.0,UPPER_LIMIT
2020-05-19,6390.0,6230.0,6440.0,6230.0,118345.0,-19997,19997,0,0.0077,-2720147,180.0,RISE
2020-05-18,6210.0,6380.0,6400.0,6160.0,97151.0,2500,-2500,0,0.0065,-2720147,130.0,FALL
2020-05-15,6340.0,6600.0,6600.0,6140.0,153857.0,7059,-7059,0,0.0066,-2720147,140.0,FALL
2020-05-14,6480.0,6440.0,6730.0,6400.0,465310.0,22941,-22941,0,0.0071,-2720147,110.0,RISE
2020-05-13,6370.0,6270.0,6480.0,6250.0,104393.0,-6248,6248,0,0.0085,-2720147,20.0,RISE
2020-05-12,6350.0,6590.0,6590.0,6280.0,121867.0,23070,-23070,0,0.0081,-2720147,130.0,FALL
2020-05-11,6480.0,6610.0,6750.0,6480.0,184932.0,17257,-17257,0,0.0096,-2720147,120.0,FALL
2020-05-08,6600.0,6680.0,6760.0,6580.0,136314.0,17995,-17995,0,0.0107,-2720147,20.0,RISE
2020-05-07,6580.0,6570.0,6700.0,6500.0,168177.0,-8763,8763,0,0.0119,-2720147,10.0,RISE
2020-05-06,6570.0,6410.0,6600.0,6390.0,217263.0,-39982,39982,0,0.0113,-2720147,190.0,RISE
2020-05-04,6380.0,6300.0,6500.0,6280.0,109243.0,-1662,1662,0,0.0088,-2720147,0.0,EVEN
2020-04-29,6380.0,6410.0,6470.0,6300.0,77661.0,-9651,9651,0,0.0087,-2720147,20.0,FALL
2020-04-28,6400.0,6590.0,6610.0,6310.0,158872.0,6308,-6308,0,0.008,-2720147,160.0,FALL
2020-04-27,6560.0,6280.0,6760.0,6260.0,318138.0,-30919,30919,0,0.0084,-2720147,350.0,RISE
2020-04-24,6210.0,6430.0,6540.0,6170.0,175199.0,39499,-39499,0,0.0065,-2720147,210.0,FALL
2020-04-23,6420.0,6510.0,6630.0,6410.0,170599.0,-26927,26927,0,0.009000000000000001,-2720147,40.0,FALL
2020-04-22,6460.0,6400.0,6510.0,6300.0,118166.0,-4867,4867,0,0.0073,-2720147,40.0,FALL
2020-04-21,6500.0,6790.0,7070.0,5900.0,560190.0,28070,-28070,0,0.0069,-2720147,290.0,FALL
2020-04-20,6790.0,6860.0,6920.0,6530.0,408376.0,-23745,23745,0,0.0087,-2720147,170.0,FALL
2020-04-17,6960.0,7090.0,7090.0,6770.0,434961.0,3473,-3473,0,0.0072,-2720147,130.0,RISE
2020-04-16,6830.0,6700.0,6870.0,6550.0,612957.0,-8609,8609,0,0.0074,-2720147,280.0,RISE
2020-04-14,6550.0,6340.0,6660.0,6300.0,405447.0,-15762,15762,0,0.0069,-2720147,280.0,RISE
2020-04-13,6270.0,6350.0,6830.0,6210.0,1929481.0,80793,-80793,0,0.0059,-2720147,190.0,RISE
2020-04-10,6080.0,6200.0,6210.0,5850.0,338650.0,-7518,7518,0,0.0111,-2720147,50.0,FALL
2020-04-09,6130.0,6130.0,6180.0,6010.0,200040.0,-55588,55588,0,0.0106,-2720147,100.0,RISE
2020-04-08,6030.0,6320.0,6350.0,6030.0,362366.0,22408,-22407,-1,0.006999999999999999,-2720147,80.0,FALL
2020-04-07,6110.0,6040.0,6270.0,5920.0,556059.0,-7168,7168,0,0.0085,-2720146,130.0,RISE
2020-04-06,5980.0,5830.0,5980.0,5770.0,347752.0,-39293,39293,0,0.008,-2720146,140.0,RISE
2020-04-03,5840.0,5950.0,6310.0,5740.0,457862.0,-7276,7276,0,0.0055,-2720146,110.0,FALL
2020-04-02,5950.0,5970.0,6240.0,5640.0,540464.0,3235,-3235,0,0.005,-2720146,180.0,FALL
2020-04-01,6130.0,5500.0,6800.0,5480.0,3069532.0,107579,-107579,0,0.0052,-2720146,830.0,RISE
2020-03-31,5300.0,5240.0,5370.0,5000.0,521211.0,-18382,18382,0,0.0121,-2720146,300.0,RISE
2020-03-30,5000.0,4800.0,5080.0,4560.0,374513.0,5022,-5022,0,0.0109,-2720146,160.0,RISE
2020-03-27,4840.0,4550.0,5130.0,4480.0,900807.0,-4469,4469,0,0.0113,-2720146,480.0,RISE
2020-03-26,4360.0,4405.0,4660.0,4280.0,504392.0,-10582,10582,0,0.011,-2720146,50.0,RISE
2020-03-25,4310.0,4200.0,4485.0,4110.0,534656.0,-14897,14897,0,0.0103,-2720146,300.0,RISE
2020-03-24,4010.0,3810.0,4050.0,3805.0,259705.0,-31151,31151,0,0.0093,-2720146,250.0,RISE
2020-03-23,3760.0,3910.0,4040.0,3535.0,259625.0,-6620,6620,0,0.0073,-2720146,400.0,FALL
2020-03-20,4160.0,4090.0,4390.0,4040.0,482136.0,33890,-33890,0,0.0069,-2720146,70.0,RISE
2020-03-19,4090.0,6240.0,6430.0,4040.0,2151128.0,151416,-151416,0,0.0097,-2720146,1680.0,FALL
2020-03-18,5770.0,4445.0,5770.0,4435.0,1464082.0,48595,-48595,0,0.0197,-2720146,1325.0,UPPER_LIMIT
2020-03-17,4445.0,3980.0,4635.0,3920.0,152057.0,-47186,47185,1,0.023,-2720146,45.0,RISE
2020-03-16,4400.0,4850.0,5150.0,4400.0,160803.0,-29821,29821,0,0.02,-2720147,410.0,FALL
2020-03-13,4810.0,4685.0,4960.0,4170.0,290565.0,-78967,78967,0,0.0179,-2720147,600.0,FALL
