,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,204.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-1263639,0.0,EVEN
2020-06-04,204.0,0.0,0.0,0.0,0.0,0,0,0,0.0161,-1263639,0.0,EVEN
2020-06-03,204.0,0.0,0.0,0.0,0.0,0,0,0,0.0161,-1263639,0.0,EVEN
2020-06-02,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1263639.0,0.0,EVEN
2020-06-01,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,-1263639.0,0.0,EVEN
2020-05-26,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,-1263639.0,0.0,EVEN
2020-05-22,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1264372.0,0.0,EVEN
2020-03-19,204.0,237.0,250.0,186.0,5006752.0,-268307.0,268309.0,-2.0,0.0162,-1264372.0,37.0,FALL
2020-03-18,241.0,251.0,258.0,235.0,3117131.0,-641379.0,641379.0,0.0,0.0146,-1264370.0,2.0,RISE
2020-03-17,239.0,257.0,269.0,210.0,7623268.0,469393.0,-469393.0,0.0,0.0097,-1264370.0,24.0,FALL
2020-03-16,263.0,264.0,300.0,260.0,8401000.0,-343253.0,343243.0,10.0,0.0133,-1264370.0,1.0,FALL
2020-03-13,264.0,273.0,303.0,258.0,7431367.0,1068713.0,-1068714.0,1.0,0.0132,-1264380.0,20.0,FALL
2020-03-12,284.0,278.0,313.0,255.0,14785699.0,-262345.0,262344.0,1.0,0.0222,-1264381.0,7.0,RISE
2020-03-11,277.0,294.0,314.0,272.0,8598215.0,521165.0,-521165.0,0.0,0.0188,-1264382.0,11.0,FALL
2020-03-10,288.0,275.0,312.0,254.0,19934536.0,-1435268.0,1435268.0,0.0,0.0228,-1264382.0,9.0,FALL
2020-03-09,297.0,426.0,438.0,297.0,26633551.0,-1027474.0,1027474.0,0.0,0.0118,-1264382.0,126.0,LOWER_LIMIT
2020-03-06,423.0,437.0,457.0,413.0,1761996.0,67838.0,-67838.0,0.0,0.0039,-1264382.0,18.0,FALL
2020-03-05,441.0,460.0,467.0,440.0,2357835.0,478658.0,-478658.0,0.0,0.004,-1264382.0,4.0,FALL
2020-03-04,445.0,437.0,470.0,425.0,4187524.0,-32091.0,32091.0,0.0,0.008,-1264382.0,20.0,RISE
2020-03-03,425.0,466.0,495.0,396.0,10479268.0,-679271.0,679271.0,0.0,0.0077,-1264382.0,51.0,FALL
2020-03-02,476.0,496.0,600.0,476.0,14950908.0,31509.0,-31509.0,0.0,0.0023,-1264382.0,204.0,LOWER_LIMIT
2020-02-28,680.0,780.0,780.0,640.0,3324193.0,-67318.0,67318.0,0.0,0.0024,-1264382.0,102.0,FALL
2020-02-27,782.0,815.0,836.0,769.0,992782.0,52578.0,-52568.0,-10.0,0.0019,-1264382.0,40.0,FALL
2020-02-26,822.0,870.0,870.0,815.0,835787.0,87607.0,-87607.0,0.0,0.0021,-1264372.0,38.0,FALL
2020-02-25,860.0,858.0,880.0,820.0,671219.0,29363.0,-29363.0,0.0,0.0028,-1264372.0,2.0,FALL
2020-02-24,862.0,912.0,912.0,840.0,1120108.0,68.0,-67.0,-1.0,0.0031,-1264372.0,73.0,FALL
2020-02-21,935.0,945.0,979.0,930.0,2328532.0,189336.0,-189337.0,1.0,0.0008,-1264371.0,6.0,RISE
2020-02-20,929.0,940.0,941.0,877.0,3801588.0,-27027.0,27026.0,1.0,0.0023,-1264372.0,83.0,RISE
2020-02-19,846.0,845.0,872.0,815.0,1010091.0,120571.0,-120571.0,0.0,0.0021,-1264373.0,1.0,RISE
2020-02-18,845.0,777.0,888.0,773.0,2633235.0,-5415.0,5415.0,0.0,0.0032,-1264373.0,60.0,RISE
2020-02-17,785.0,763.0,800.0,745.0,1484814.0,-85108.0,85108.0,0.0,0.0029,-1264373.0,25.0,RISE
2020-02-14,760.0,726.0,904.0,723.0,6049449.0,379162.0,-379162.0,0.0,0.0015,-1264373.0,37.0,RISE
2020-02-13,723.0,741.0,755.0,714.0,771866.0,-103635.0,103635.0,0.0,0.0045,-1264373.0,18.0,FALL
2020-02-12,741.0,763.0,787.0,735.0,752933.0,-64403.0,64403.0,0.0,0.0037,-1264373.0,30.0,FALL
2020-02-11,771.0,804.0,804.0,770.0,424295.0,-22963.0,22963.0,0.0,0.0024,-1264373.0,20.0,FALL
2020-02-10,791.0,792.0,810.0,774.0,801637.0,210526.0,-210526.0,0.0,0.0021,-1264373.0,19.0,RISE
