,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2195.0,0.0,0.0,0.0,0.0,0,0,0,0.0,825732,0.0,EVEN
2020-06-04,2195.0,0.0,0.0,0.0,0.0,0,0,0,0.0355,825732,0.0,EVEN
2020-06-03,2195.0,0.0,0.0,0.0,0.0,0,0,0,0.0355,825732,0.0,EVEN
2020-06-02,2195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827998.0,0.0,EVEN
2020-06-01,2195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0355,827998.0,0.0,EVEN
2020-05-22,2195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858530.0,0.0,EVEN
2019-03-19,2195.0,2290.0,2290.0,2130.0,259537.0,46744.0,-404.0,-46340.0,0.0384,858530.0,65.0,FALL
2019-03-18,2260.0,2275.0,2275.0,2150.0,651877.0,-13974.0,65491.0,-51517.0,0.0384,904870.0,15.0,FALL
2019-03-15,2275.0,2665.0,2710.0,2200.0,2710485.0,120924.0,-120775.0,-149.0,0.0368,956387.0,525.0,FALL
2019-03-14,2800.0,2675.0,2800.0,2655.0,174883.0,-5975.0,6125.0,-150.0,0.0399,956536.0,150.0,RISE
2019-03-13,2650.0,2650.0,2660.0,2585.0,99869.0,13852.0,-2865.0,-10987.0,0.0399,956686.0,15.0,RISE
2019-03-12,2635.0,2710.0,2735.0,2630.0,99844.0,31044.0,5092.0,-36136.0,0.04,967673.0,60.0,FALL
2019-03-11,2695.0,2785.0,2785.0,2680.0,97938.0,7142.0,9838.0,-16980.0,0.0391,1003809.0,90.0,FALL
2019-03-08,2785.0,2790.0,2790.0,2710.0,89002.0,33885.0,2902.0,-36787.0,0.0389,1020789.0,5.0,FALL
2019-03-07,2790.0,2820.0,2820.0,2710.0,135556.0,65003.0,-1232.0,-63771.0,0.0388,1057576.0,15.0,FALL
2019-03-06,2805.0,2790.0,2805.0,2755.0,270223.0,31855.0,4045.0,-35900.0,0.0388,1121347.0,30.0,RISE
2019-03-05,2775.0,2810.0,2835.0,2760.0,73170.0,12884.0,-12904.0,20.0,0.0387,1157247.0,35.0,FALL
2019-03-04,2810.0,2800.0,2835.0,2740.0,161456.0,6704.0,-6596.0,-108.0,0.039,1157227.0,15.0,RISE
2019-02-28,2795.0,2790.0,2850.0,2640.0,252229.0,-19837.0,19845.0,-8.0,0.0392,1157335.0,0.0,EVEN
2019-02-27,2795.0,2830.0,2830.0,2750.0,132323.0,-8685.0,8969.0,-284.0,0.0387,1157343.0,5.0,FALL
2019-02-26,2800.0,2760.0,2840.0,2760.0,310838.0,1986.0,-1924.0,-62.0,0.0385,1157627.0,40.0,RISE
2019-02-25,2760.0,2775.0,2795.0,2730.0,177453.0,-15955.0,15978.0,-23.0,0.0386,1157689.0,10.0,FALL
2019-02-22,2770.0,2815.0,2820.0,2745.0,213491.0,7.0,19.0,-26.0,0.0381,1157712.0,45.0,FALL
2019-02-21,2815.0,2810.0,2850.0,2790.0,180643.0,-140.0,1071.0,-931.0,0.0381,1157738.0,5.0,FALL
2019-02-20,2820.0,2855.0,2855.0,2800.0,249404.0,7058.0,-7137.0,79.0,0.0381,1158669.0,20.0,FALL
2019-02-19,2840.0,2800.0,2840.0,2775.0,417355.0,24414.0,-24061.0,-353.0,0.0385,1158590.0,55.0,RISE
2019-02-18,2785.0,2715.0,2785.0,2700.0,305020.0,-25756.0,25764.0,-8.0,0.0391,1158943.0,70.0,RISE
2019-02-15,2715.0,2580.0,2770.0,2530.0,834308.0,-96639.0,96649.0,-10.0,0.0384,1158951.0,140.0,RISE
2019-02-14,2575.0,2585.0,2600.0,2525.0,56182.0,-1395.0,1553.0,-158.0,0.036000000000000004,1158961.0,5.0,FALL
2019-02-13,2580.0,2540.0,2585.0,2520.0,65226.0,-2403.0,2289.0,114.0,0.0359,1159119.0,40.0,RISE
2019-02-12,2540.0,2575.0,2575.0,2520.0,68376.0,-7292.0,6934.0,358.0,0.0349,1159005.0,30.0,FALL
2019-02-11,2570.0,2575.0,2580.0,2495.0,112567.0,-4177.0,4135.0,42.0,0.0347,1158647.0,0.0,EVEN
2019-02-08,2570.0,2575.0,2610.0,2530.0,69304.0,-2889.0,2928.0,-39.0,0.0346,1158605.0,10.0,FALL
2019-02-07,2580.0,2560.0,2590.0,2520.0,64030.0,687.0,-663.0,-24.0,0.0347,1158644.0,20.0,RISE
2019-02-01,2560.0,2500.0,2575.0,2495.0,106533.0,-5260.0,5272.0,-12.0,0.0347,1158668.0,45.0,RISE
2019-01-31,2515.0,2555.0,2600.0,2450.0,209069.0,-7794.0,7836.0,-42.0,0.0346,1158680.0,40.0,FALL
2019-01-30,2555.0,2645.0,2680.0,2450.0,734928.0,-28876.0,29066.0,-190.0,0.0344,1158722.0,130.0,FALL
2019-01-29,2685.0,2780.0,2780.0,2620.0,865206.0,37434.0,-37381.0,-53.0,0.0335,1158912.0,105.0,RISE
2019-01-28,2580.0,2645.0,2645.0,2555.0,281888.0,2291.0,-2264.0,-27.0,0.0344,1158965.0,15.0,FALL
2019-01-25,2595.0,2590.0,2595.0,2495.0,253349.0,-13034.0,12759.0,275.0,0.0346,1158992.0,15.0,RISE
2019-01-24,2580.0,2550.0,2580.0,2510.0,147000.0,-502.0,1200.0,-698.0,0.0343,1158717.0,15.0,RISE
2019-01-23,2565.0,2555.0,2575.0,2490.0,251450.0,7614.0,-7574.0,-40.0,0.0344,1159415.0,10.0,FALL
2019-01-22,2575.0,2515.0,2690.0,2380.0,693822.0,29044.0,-28919.0,-125.0,0.0346,1159455.0,55.0,RISE
2019-01-21,2520.0,2465.0,2545.0,2430.0,454059.0,19893.0,-19842.0,-51.0,0.0353,1159580.0,55.0,RISE
2019-01-18,2465.0,2360.0,2550.0,2345.0,853440.0,46462.0,-46317.0,-145.0,0.0358,1159631.0,105.0,RISE
2019-01-17,2360.0,2305.0,2360.0,2275.0,206744.0,35553.0,-35491.0,-62.0,0.0369,1159776.0,55.0,RISE
2019-01-16,2305.0,2185.0,2305.0,2180.0,147705.0,-6856.0,6907.0,-51.0,0.0379,1159838.0,120.0,RISE
2019-01-15,2185.0,2210.0,2210.0,2155.0,78037.0,-10947.0,10913.0,34.0,0.0377,1159889.0,15.0,FALL
2019-01-14,2200.0,2160.0,2220.0,2105.0,118842.0,1818.0,-1739.0,-79.0,0.0375,1159855.0,65.0,RISE
2019-01-11,2135.0,2150.0,2155.0,2070.0,54906.0,-302.0,392.0,-90.0,0.0375,1159934.0,5.0,RISE
2019-01-10,2130.0,2180.0,2180.0,2090.0,67462.0,-8267.0,8297.0,-30.0,0.0375,1160024.0,30.0,FALL
2019-01-09,2160.0,2165.0,2180.0,2145.0,53888.0,-2423.0,2488.0,-65.0,0.0372,1160054.0,20.0,RISE
2019-01-08,2140.0,2120.0,2160.0,2105.0,62279.0,-3274.0,3317.0,-43.0,0.0372,1160119.0,35.0,RISE
2019-01-07,2105.0,2075.0,2110.0,2075.0,45039.0,-7621.0,7601.0,20.0,0.0371,1160162.0,35.0,RISE
