,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3670.0,3625.0,3690.0,3500.0,1738.0,5,0,-5,0.0,36697,45.0,RISE
2020-06-04,3625.0,3495.0,3625.0,3495.0,6413.0,500,0,-500,0.0451,36702,150.0,RISE
2020-06-03,3475.0,3495.0,3495.0,3380.0,5525.0,100,0,-100,0.0451,37202,125.0,RISE
2020-06-02,3350.0,3280.0,3350.0,3270.0,7988.0,0.0,0.0,0.0,0.0,37302.0,70.0,RISE
2020-06-01,3280.0,3180.0,3290.0,3130.0,8473.0,0.0,0.0,0.0,0.0451,37302.0,125.0,RISE
2020-05-29,3155.0,3150.0,3175.0,3070.0,3756.0,0.0,0.0,0.0,0.0451,37302.0,5.0,RISE
2020-05-28,3150.0,3150.0,3185.0,3100.0,2403.0,0.0,0.0,0.0,0.0451,37302.0,10.0,FALL
2020-05-27,3160.0,3170.0,3180.0,3160.0,1199.0,0.0,0.0,0.0,0.0451,37302.0,35.0,RISE
2020-05-26,3125.0,3135.0,3135.0,3120.0,9226.0,0.0,0.0,0.0,0.0451,37302.0,10.0,FALL
2020-05-25,3135.0,3170.0,3170.0,3100.0,1471.0,0.0,0.0,0.0,0.0451,37302.0,35.0,FALL
2020-05-22,3170.0,3195.0,3195.0,3125.0,1083.0,0.0,0.0,0.0,0.0,37556.0,5.0,FALL
2020-05-21,3175.0,3150.0,3180.0,3150.0,5497.0,0.0,0.0,0.0,0.0451,37556.0,35.0,RISE
2020-05-20,3140.0,3070.0,3160.0,3060.0,7194.0,0.0,0.0,0.0,0.0451,37556.0,90.0,RISE
2020-05-19,3050.0,2985.0,3075.0,2985.0,7902.0,0.0,0.0,0.0,0.0451,37556.0,110.0,RISE
2020-05-18,2940.0,2945.0,2960.0,2935.0,2078.0,0.0,0.0,0.0,0.0451,37556.0,25.0,RISE
2020-05-15,2915.0,2910.0,2970.0,2900.0,3991.0,0.0,0.0,0.0,0.0451,37556.0,5.0,RISE
2020-05-14,2910.0,3000.0,3000.0,2825.0,6769.0,0.0,0.0,0.0,0.0451,37556.0,85.0,FALL
2020-05-13,2995.0,3015.0,3030.0,2950.0,1421.0,0.0,0.0,0.0,0.0451,37556.0,10.0,RISE
2020-05-12,2985.0,2990.0,3040.0,2970.0,2212.0,0.0,0.0,0.0,0.0451,37556.0,20.0,FALL
2020-05-11,3005.0,3060.0,3095.0,3005.0,3637.0,414.0,0.0,-414.0,0.0451,37556.0,70.0,FALL
2020-05-08,3075.0,3050.0,3130.0,3025.0,4744.0,0.0,0.0,0.0,0.0451,37970.0,85.0,RISE
2020-05-07,2990.0,2890.0,3035.0,2890.0,4421.0,0.0,0.0,0.0,0.0451,37970.0,90.0,RISE
2020-05-06,2900.0,2900.0,2945.0,2875.0,4894.0,3255.0,-3255.0,0.0,0.0451,37970.0,0.0,EVEN
2020-05-04,2900.0,2950.0,2950.0,2875.0,1023.0,0.0,0.0,0.0,0.0462,37970.0,50.0,FALL
2020-04-29,2950.0,2950.0,2975.0,2935.0,3016.0,1641.0,-1641.0,0.0,0.0462,37970.0,0.0,EVEN
2020-04-28,2950.0,2985.0,3040.0,2950.0,5875.0,5000.0,-5000.0,0.0,0.0468,37970.0,35.0,FALL
2020-04-27,2985.0,3015.0,3015.0,2950.0,2493.0,0.0,0.0,0.0,0.0485,37970.0,10.0,FALL
2020-04-24,2995.0,2995.0,3035.0,2950.0,1631.0,0.0,0.0,0.0,0.0485,37970.0,5.0,RISE
