,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,5460.0,5380.0,5520.0,5310.0,42098.0,-12533,1010,11523,0.0359,-563272,70.0,RISE
2020-06-04,5390.0,5390.0,5530.0,5310.0,49827.0,-4513,3958,555,0.0359,-574795,0.0,EVEN
2020-06-03,5390.0,5440.0,5440.0,5340.0,27920.0,112,-1926,1814,0.0357,-575350,10.0,RISE
2020-06-02,5380.0,5400.0,5400.0,5200.0,42322.0,-4267.0,4257.0,10.0,0.0358,-564602.0,80.0,RISE
2020-06-01,5300.0,5260.0,5360.0,5210.0,36896.0,-6193.0,5613.0,580.0,0.0355,-564612.0,10.0,RISE
2020-05-29,5290.0,5300.0,5400.0,5230.0,21963.0,538.0,204.0,-742.0,0.0353,-565192.0,10.0,RISE
2020-05-28,5280.0,5520.0,5540.0,5200.0,76129.0,7146.0,-6820.0,-326.0,0.0353,-564450.0,270.0,FALL
2020-05-27,5550.0,5570.0,5640.0,5450.0,76751.0,4271.0,-4081.0,-190.0,0.0357,-564124.0,20.0,FALL
2020-05-26,5570.0,5520.0,5600.0,5520.0,34806.0,-7781.0,9229.0,-1448.0,0.0364,-563934.0,20.0,RISE
2020-05-25,5550.0,5540.0,5650.0,5520.0,25786.0,131.0,533.0,-664.0,0.0359,-562486.0,80.0,FALL
2020-05-22,5630.0,5720.0,5720.0,5580.0,30956.0,3997.0,-3737.0,-260.0,0.0358,-968175.0,50.0,FALL
2020-05-21,5680.0,5750.0,5780.0,5680.0,27319.0,8038.0,-7745.0,-293.0,0.036000000000000004,-967915.0,60.0,FALL
2020-05-20,5740.0,5640.0,5740.0,5550.0,39670.0,-4475.0,5156.0,-681.0,0.0365,-967622.0,140.0,RISE
2020-05-19,5600.0,5650.0,5680.0,5530.0,54715.0,-1033.0,1697.0,-664.0,0.0362,-966941.0,0.0,EVEN
2020-05-18,5600.0,5610.0,5640.0,5550.0,46170.0,-5066.0,5526.0,-460.0,0.0361,-966277.0,10.0,FALL
2020-05-15,5610.0,5660.0,5700.0,5590.0,19642.0,-4001.0,3988.0,13.0,0.0358,-965817.0,50.0,FALL
2020-05-14,5660.0,5710.0,5790.0,5610.0,39136.0,-5006.0,4966.0,40.0,0.0356,-965830.0,30.0,FALL
