,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,6140.0,6180.0,6180.0,6080.0,72043.0,-4498,4498,0,0.0144,14262,40.0,FALL
2020-06-04,6180.0,6220.0,6250.0,6130.0,70516.0,-9880,9880,0,0.0142,14262,10.0,RISE
2020-06-03,6170.0,6230.0,6280.0,6150.0,84366.0,5904,-5851,-53,0.0136,14262,60.0,FALL
2020-06-02,6230.0,6340.0,6380.0,6180.0,159584.0,-2236.0,2241.0,-5.0,0.013999999999999999,14315.0,110.0,FALL
2020-06-01,6340.0,6260.0,6420.0,6120.0,318377.0,-4497.0,4503.0,-6.0,0.0138,14320.0,140.0,RISE
2020-05-29,6200.0,6080.0,6680.0,5920.0,643345.0,9379.0,-9072.0,-307.0,0.0136,14326.0,20.0,RISE
2020-05-28,6180.0,6400.0,6410.0,5830.0,332734.0,10532.0,-10249.0,-283.0,0.0141,14633.0,150.0,FALL
2020-05-27,6330.0,6250.0,6330.0,6090.0,294941.0,-3349.0,3421.0,-72.0,0.0147,14916.0,100.0,RISE
2020-05-26,6230.0,6190.0,6280.0,6110.0,270708.0,5232.0,-4921.0,-311.0,0.0145,14988.0,20.0,FALL
2020-05-25,6250.0,6180.0,6250.0,6020.0,361311.0,9395.0,-9395.0,0.0,0.0148,15299.0,90.0,RISE
2020-05-22,6160.0,5800.0,7050.0,5790.0,3554757.0,90855.0,-91892.0,1037.0,0.0153,15304.0,670.0,RISE
2020-05-21,5490.0,5290.0,5490.0,5220.0,130519.0,-13715.0,13715.0,0.0,0.0205,14267.0,270.0,RISE
2020-05-20,5220.0,5160.0,5250.0,5160.0,63996.0,-15612.0,15612.0,0.0,0.0198,14267.0,20.0,RISE
2020-05-19,5200.0,5180.0,5270.0,5160.0,36654.0,-5319.0,5319.0,0.0,0.0189,14267.0,0.0,EVEN
2020-05-18,5200.0,5270.0,5300.0,5090.0,87201.0,-9094.0,9210.0,-116.0,0.0186,14267.0,140.0,FALL
2020-05-15,5340.0,5280.0,5380.0,5160.0,37049.0,9525.0,-9525.0,0.0,0.018000000000000002,14383.0,60.0,RISE
2020-05-14,5280.0,5360.0,5440.0,5140.0,53161.0,8916.0,-8916.0,0.0,0.0186,14383.0,80.0,FALL
2020-05-13,5360.0,5430.0,5480.0,5250.0,34691.0,322.0,-322.0,0.0,0.0191,14383.0,100.0,FALL
2020-05-12,5460.0,5540.0,5600.0,5300.0,64213.0,7606.0,-7606.0,0.0,0.0191,14383.0,80.0,FALL
2020-05-11,5540.0,5400.0,5590.0,5360.0,114792.0,29808.0,-29808.0,0.0,0.0195,14383.0,170.0,RISE
2020-05-08,5370.0,5170.0,5500.0,5160.0,110999.0,-5361.0,5361.0,0.0,0.0212,14383.0,220.0,RISE
2020-05-07,5150.0,5050.0,5150.0,5020.0,41130.0,-6094.0,6094.0,0.0,0.0209,14383.0,100.0,RISE
2020-05-06,5050.0,5030.0,5120.0,4970.0,41091.0,-5627.0,5627.0,0.0,0.0206,14383.0,95.0,RISE
2020-05-04,4955.0,4960.0,5040.0,4885.0,37032.0,-3024.0,3024.0,0.0,0.0203,14383.0,25.0,FALL
2020-04-29,4980.0,4970.0,5040.0,4935.0,28789.0,-1410.0,1410.0,0.0,0.0201,14383.0,10.0,RISE
2020-04-28,4970.0,5010.0,5030.0,4890.0,38598.0,6326.0,-6326.0,0.0,0.02,14383.0,0.0,EVEN
2020-04-27,4970.0,4825.0,4980.0,4825.0,57470.0,-13576.0,13576.0,0.0,0.0204,14383.0,145.0,RISE
2020-04-24,4825.0,4925.0,4965.0,4800.0,32405.0,10439.0,-10270.0,-169.0,0.0196,14383.0,100.0,FALL
2020-04-23,4925.0,4755.0,4955.0,4705.0,69191.0,-5226.0,5226.0,0.0,0.0202,14552.0,170.0,RISE
2020-04-22,4755.0,4600.0,4755.0,4535.0,40014.0,3327.0,-3327.0,0.0,0.0199,14552.0,45.0,RISE
2020-04-21,4710.0,4805.0,4910.0,4475.0,101387.0,7424.0,-7424.0,0.0,0.0201,14552.0,130.0,FALL
2020-04-20,4840.0,4840.0,4935.0,4735.0,44321.0,476.0,-476.0,0.0,0.0205,14552.0,0.0,EVEN
2020-04-17,4840.0,4760.0,4895.0,4755.0,47175.0,2471.0,-2471.0,0.0,0.0205,14552.0,125.0,RISE
2020-04-16,4715.0,4575.0,4730.0,4450.0,57083.0,-3125.0,3125.0,0.0,0.0207,14552.0,140.0,RISE
2020-04-14,4575.0,4480.0,4605.0,4435.0,45484.0,-5586.0,5586.0,0.0,0.0205,14552.0,100.0,RISE
2020-04-13,4475.0,4580.0,4580.0,4425.0,34764.0,4377.0,-4377.0,0.0,0.0202,14552.0,55.0,FALL
