,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,2200.0,2225.0,2245.0,2180.0,327417.0,4917,-4917,0,0.0183,-3720,5.0,FALL
2020-06-04,2205.0,2220.0,2240.0,2170.0,599698.0,-110845,110845,0,0.0184,-3720,15.0,FALL
2020-06-03,2220.0,2180.0,2395.0,2165.0,4423605.0,323538,-323537,-1,0.0173,-3720,70.0,RISE
2020-06-02,2150.0,2095.0,2190.0,2095.0,573553.0,37202.0,-37202.0,0.0,0.02,-3621.0,60.0,RISE
2020-06-01,2090.0,2080.0,2110.0,2050.0,510496.0,-47392.0,47392.0,0.0,0.0204,-3621.0,10.0,RISE
2020-05-29,2080.0,2130.0,2130.0,2020.0,908496.0,-32450.0,32450.0,0.0,0.0198,-3621.0,60.0,FALL
2020-05-28,2140.0,2245.0,2245.0,2140.0,870856.0,40678.0,-40678.0,0.0,0.0196,-3621.0,70.0,FALL
2020-05-27,2210.0,2210.0,2285.0,2190.0,748386.0,7324.0,-7323.0,-1.0,0.02,-3621.0,0.0,EVEN
2020-05-26,2210.0,2205.0,2260.0,2165.0,743476.0,-9531.0,9532.0,-1.0,0.02,-3620.0,5.0,FALL
2020-05-25,2215.0,2280.0,2315.0,2210.0,765129.0,40285.0,-40286.0,1.0,0.0204,-3619.0,70.0,FALL
2020-05-22,2285.0,2310.0,2340.0,2255.0,747415.0,-27453.0,27453.0,0.0,0.0208,-3609.0,20.0,FALL
2020-05-21,2305.0,2465.0,2465.0,2300.0,1864778.0,296010.0,-296010.0,0.0,0.0205,-3609.0,145.0,FALL
2020-05-20,2450.0,2335.0,2500.0,2335.0,1415608.0,-239334.0,239334.0,0.0,0.0231,-3609.0,110.0,RISE
2020-05-19,2340.0,2335.0,2375.0,2305.0,496321.0,9197.0,-9197.0,0.0,0.021,-3609.0,10.0,FALL
2020-05-18,2350.0,2375.0,2385.0,2300.0,460182.0,-12386.0,12386.0,0.0,0.0211,-3609.0,20.0,FALL
2020-05-15,2370.0,2410.0,2415.0,2335.0,874278.0,85621.0,-85621.0,0.0,0.021,-3609.0,15.0,FALL
2020-05-14,2385.0,2370.0,2415.0,2335.0,699415.0,-81038.0,81038.0,0.0,0.0217,-3609.0,0.0,EVEN
2020-05-13,2385.0,2400.0,2440.0,2365.0,468198.0,-45509.0,45509.0,0.0,0.021,-3609.0,20.0,FALL
2020-05-12,2405.0,2490.0,2515.0,2365.0,909468.0,-62236.0,62236.0,0.0,0.0206,-3609.0,65.0,FALL
2020-05-11,2470.0,2480.0,2490.0,2435.0,695532.0,-40784.0,40784.0,0.0,0.0201,-3609.0,15.0,RISE
2020-05-08,2455.0,2495.0,2500.0,2440.0,787731.0,118970.0,-118970.0,0.0,0.0197,-3609.0,30.0,FALL
2020-05-07,2485.0,2410.0,2515.0,2370.0,1660649.0,-91850.0,91850.0,0.0,0.0209,-3609.0,120.0,RISE
2020-05-06,2365.0,2315.0,2405.0,2305.0,809851.0,-142147.0,137419.0,4728.0,0.0201,-3609.0,65.0,RISE
2020-05-04,2300.0,2305.0,2335.0,2270.0,443513.0,-59248.0,59248.0,0.0,0.019,-8337.0,15.0,FALL
2020-04-29,2315.0,2355.0,2360.0,2285.0,417493.0,-22145.0,22146.0,-1.0,0.0185,-8337.0,15.0,FALL
2020-04-28,2330.0,2395.0,2405.0,2300.0,533844.0,-7889.0,7890.0,-1.0,0.0183,-8336.0,35.0,FALL
2020-04-27,2365.0,2305.0,2400.0,2305.0,793314.0,-150855.0,147227.0,3628.0,0.0183,-8335.0,35.0,RISE
2020-04-24,2330.0,2350.0,2530.0,2235.0,4291003.0,222102.0,-222102.0,0.0,0.017,-11963.0,25.0,RISE
2020-04-23,2305.0,2340.0,2365.0,2295.0,444195.0,-48238.0,48238.0,0.0,0.0183,-11963.0,10.0,FALL
2020-04-22,2315.0,2300.0,2345.0,2260.0,637672.0,54935.0,-54935.0,0.0,0.0177,-11963.0,15.0,FALL
2020-04-21,2330.0,2380.0,2435.0,2190.0,1524338.0,-165023.0,165023.0,0.0,0.0182,-11963.0,70.0,FALL
2020-04-20,2400.0,2490.0,2490.0,2390.0,1067144.0,76224.0,-76224.0,0.0,0.0167,-11963.0,70.0,FALL
2020-04-17,2470.0,2530.0,2550.0,2460.0,1253722.0,-52890.0,52890.0,0.0,0.0174,-11963.0,35.0,FALL
2020-04-16,2505.0,2460.0,2630.0,2430.0,2132410.0,-12624.0,12625.0,-1.0,0.0169,-11963.0,10.0,RISE
2020-04-14,2495.0,2520.0,2570.0,2435.0,1263833.0,-72220.0,72220.0,0.0,0.0169,-11962.0,5.0,FALL
2020-04-13,2500.0,2455.0,2630.0,2320.0,4685063.0,458127.0,-458127.0,0.0,0.016,-11962.0,120.0,RISE
2020-04-10,2380.0,2485.0,2510.0,2220.0,2119369.0,-55028.0,55028.0,0.0,0.0203,-11962.0,55.0,FALL
2020-04-09,2435.0,2415.0,2525.0,2415.0,1609165.0,-6455.0,6455.0,0.0,0.0198,-11962.0,15.0,RISE
2020-04-08,2420.0,2700.0,2720.0,2420.0,2956870.0,-30351.0,30351.0,0.0,0.0213,-11962.0,300.0,FALL
2020-04-07,2720.0,2690.0,2740.0,2565.0,2047285.0,-68426.0,68426.0,0.0,0.0212,-11962.0,90.0,RISE
2020-04-06,2630.0,2655.0,2665.0,2585.0,1248810.0,-41436.0,41436.0,0.0,0.0206,-11962.0,30.0,RISE
2020-04-03,2600.0,2615.0,2695.0,2555.0,1567458.0,-19846.0,19846.0,0.0,0.0202,-11962.0,15.0,FALL
2020-04-02,2615.0,2555.0,2670.0,2325.0,3409731.0,-31689.0,78430.0,-46741.0,0.02,-11962.0,20.0,RISE
2020-04-01,2595.0,2555.0,3095.0,2500.0,10309050.0,-34049.0,34049.0,0.0,0.0193,34779.0,105.0,RISE
2020-03-31,2490.0,2090.0,2495.0,2080.0,7197750.0,73706.0,-120446.0,46740.0,0.019,34779.0,460.0,RISE
2020-03-30,2030.0,1865.0,2030.0,1810.0,2323651.0,-244672.0,244672.0,0.0,0.0201,-11961.0,130.0,RISE
2020-03-27,1900.0,1990.0,2040.0,1770.0,5126715.0,59214.0,-59214.0,0.0,0.018000000000000002,-11961.0,20.0,RISE
2020-03-26,1880.0,1785.0,2050.0,1705.0,9183876.0,-38063.0,38063.0,0.0,0.0183,-11961.0,115.0,RISE
2020-03-25,1765.0,1745.0,1840.0,1710.0,5008671.0,-81611.0,81611.0,0.0,0.0187,-11961.0,55.0,RISE
2020-03-24,1710.0,1950.0,1995.0,1560.0,11564320.0,-111490.0,78122.0,33368.0,0.0185,-11961.0,195.0,FALL
2020-03-23,1905.0,1900.0,2085.0,1720.0,2700660.0,-204863.0,204863.0,0.0,0.0176,-45329.0,75.0,FALL
2020-03-20,1980.0,1700.0,1980.0,1690.0,2339128.0,-214793.0,155946.0,58847.0,0.0165,-45329.0,410.0,RISE
2020-03-19,1570.0,2140.0,2160.0,1460.0,3009478.0,-334424.0,334424.0,0.0,0.0154,-104176.0,500.0,FALL
2020-03-18,2070.0,2195.0,2410.0,2070.0,2903501.0,190593.0,-190593.0,0.0,0.0127,-104176.0,45.0,FALL
2020-03-17,2115.0,1900.0,2240.0,1900.0,1403807.0,-174392.0,160295.0,14097.0,0.015,-104176.0,30.0,RISE
2020-03-16,2085.0,2200.0,2310.0,2050.0,1929678.0,-143636.0,139105.0,4531.0,0.0136,-118273.0,5.0,RISE
2020-03-13,2080.0,2150.0,2190.0,1815.0,2840864.0,-388401.0,355453.0,32948.0,0.0123,-122804.0,290.0,FALL
2020-03-12,2370.0,2515.0,2560.0,2335.0,1164285.0,-16084.0,3220.0,12864.0,0.009000000000000001,-155752.0,210.0,FALL
2020-03-11,2580.0,2610.0,2690.0,2430.0,856955.0,79411.0,-91750.0,12339.0,0.0089,-168616.0,30.0,FALL
2020-03-10,2610.0,2665.0,2685.0,2580.0,998991.0,4608.0,-16036.0,11428.0,0.0093,-180955.0,120.0,FALL
2020-03-09,2730.0,2635.0,2730.0,2585.0,1223293.0,52274.0,-79662.0,27388.0,0.0092,-192383.0,50.0,RISE
2020-03-06,2680.0,2980.0,3000.0,2650.0,3714921.0,534310.0,-523219.0,-11091.0,0.0096,-219771.0,50.0,RISE
2020-03-05,2630.0,2690.0,2740.0,2605.0,624009.0,57129.0,-72835.0,15706.0,0.0142,-208680.0,50.0,FALL
2020-03-04,2680.0,2550.0,2705.0,2525.0,893269.0,-179206.0,154836.0,24370.0,0.0152,-224386.0,100.0,RISE
2020-03-03,2580.0,2745.0,2835.0,2550.0,1601324.0,391660.0,-391660.0,0.0,0.0135,-248756.0,120.0,FALL
2020-03-02,2700.0,2440.0,2770.0,2440.0,2268823.0,-360475.0,371832.0,-11357.0,0.0167,-248756.0,315.0,RISE
2020-02-28,2385.0,2450.0,2500.0,2310.0,1173059.0,-130305.0,101562.0,28743.0,0.0133,-237399.0,155.0,FALL
2020-02-27,2540.0,2635.0,2660.0,2490.0,865807.0,64714.0,-50987.0,-13727.0,0.0122,-266142.0,95.0,FALL
2020-02-26,2635.0,2740.0,2775.0,2580.0,1268386.0,400937.0,-414556.0,13619.0,0.0125,-252415.0,150.0,FALL
2020-02-25,2785.0,2530.0,2805.0,2530.0,2162613.0,-379495.0,300800.0,78695.0,0.0163,-266034.0,265.0,RISE
2020-02-24,2520.0,2540.0,2720.0,2385.0,2230279.0,-415588.0,253867.0,161721.0,0.0136,-344729.0,25.0,FALL
2020-02-21,2545.0,2635.0,2765.0,2510.0,1111668.0,-62765.0,94155.0,-31390.0,0.0113,-506450.0,55.0,FALL
2020-02-20,2600.0,2790.0,2790.0,2515.0,950032.0,-68047.0,61807.0,6240.0,0.0106,-475060.0,180.0,FALL
2020-02-19,2780.0,2755.0,2830.0,2685.0,514530.0,-98950.0,98950.0,0.0,0.0101,-481300.0,30.0,RISE
2020-02-18,2750.0,2805.0,2835.0,2730.0,599065.0,91154.0,-93853.0,2699.0,0.0092,-481300.0,65.0,FALL
2020-02-17,2815.0,2740.0,2885.0,2740.0,831155.0,-73906.0,111934.0,-38028.0,0.0099,-483999.0,35.0,RISE
2020-02-14,2780.0,2980.0,2985.0,2745.0,2489638.0,308801.0,-280431.0,-28370.0,0.0081,-445971.0,75.0,FALL
2020-02-13,2855.0,2735.0,2935.0,2735.0,4315310.0,188472.0,-177785.0,-10687.0,0.0102,-417601.0,180.0,RISE
2020-02-12,2675.0,2715.0,2725.0,2665.0,572630.0,49498.0,-49498.0,0.0,0.0118,-406914.0,40.0,FALL
2020-02-11,2715.0,2735.0,2740.0,2665.0,652682.0,65478.0,-74003.0,8525.0,0.0119,-406914.0,25.0,FALL
2020-02-10,2740.0,2740.0,2760.0,2630.0,933461.0,-17212.0,-273.0,17485.0,0.0127,-415439.0,10.0,RISE
2020-02-07,2730.0,2800.0,2805.0,2665.0,1281001.0,-52557.0,35605.0,16952.0,0.0129,-432924.0,45.0,FALL
2020-02-06,2775.0,3130.0,3180.0,2755.0,5374529.0,831637.0,-836766.0,5129.0,0.0126,-449876.0,205.0,FALL
2020-02-05,2980.0,2830.0,2980.0,2770.0,5364681.0,-579860.0,504286.0,75574.0,0.0206,-455005.0,230.0,RISE
2020-02-04,2750.0,2870.0,2870.0,2680.0,1657104.0,63297.0,-25996.0,-37301.0,0.016,-530579.0,40.0,RISE
2020-02-03,2710.0,2905.0,2990.0,2600.0,2980458.0,304068.0,-65160.0,-238908.0,0.0155,-493278.0,70.0,FALL
2020-01-31,2780.0,2810.0,2910.0,2730.0,1291007.0,-29320.0,4124.0,25196.0,0.016,-254370.0,75.0,FALL
2020-01-30,2855.0,2900.0,3000.0,2830.0,2095271.0,-37602.0,-716.0,38318.0,0.0156,-279566.0,15.0,FALL
2020-01-29,2870.0,2940.0,2940.0,2755.0,1710506.0,66346.0,-82596.0,16250.0,0.0155,-317884.0,10.0,RISE
2020-01-28,2860.0,2970.0,3065.0,2675.0,7253596.0,294671.0,-273139.0,-21532.0,0.0156,-334134.0,230.0,RISE
2020-01-23,2630.0,2600.0,2670.0,2560.0,834386.0,-35950.0,35950.0,0.0,0.0166,-312602.0,30.0,RISE
2020-01-22,2600.0,2560.0,2645.0,2530.0,1533340.0,13047.0,-13047.0,0.0,0.0161,-312602.0,30.0,RISE
2020-01-21,2570.0,2430.0,2670.0,2420.0,4105317.0,-300608.0,28334.0,272274.0,0.0161,-312602.0,145.0,RISE
2020-01-20,2425.0,2390.0,2715.0,2370.0,4457166.0,542816.0,-539696.0,-3120.0,0.0151,-584876.0,5.0,FALL
2020-01-17,2430.0,2285.0,2475.0,2265.0,2254537.0,-188829.0,188829.0,0.0,0.0201,-581756.0,120.0,RISE
2020-01-16,2310.0,2410.0,2420.0,2285.0,2809021.0,566379.0,-134191.0,-432188.0,0.0213,-581756.0,140.0,FALL
2020-01-15,2450.0,2095.0,2600.0,2095.0,12803548.0,192382.0,-192382.0,0.0,0.0225,-149568.0,330.0,RISE
2020-01-14,2120.0,2090.0,2165.0,2055.0,1206042.0,221794.0,-221794.0,0.0,0.0244,-149568.0,15.0,RISE
2020-01-13,2105.0,1980.0,2145.0,1935.0,2735722.0,107757.0,-118402.0,10645.0,0.0263,-149568.0,125.0,RISE
2020-01-10,1980.0,1970.0,2000.0,1915.0,1079026.0,20607.0,-20607.0,0.0,0.0274,-160213.0,30.0,RISE
2020-01-09,1950.0,1800.0,2050.0,1770.0,4878848.0,-747927.0,751320.0,-3393.0,0.0276,-160213.0,230.0,RISE
2020-01-08,1720.0,1830.0,1835.0,1720.0,1003066.0,32386.0,-36296.0,3910.0,0.0207,-156820.0,120.0,FALL
2020-01-07,1840.0,1780.0,1855.0,1780.0,601396.0,-135709.0,107203.0,28506.0,0.0211,-160730.0,60.0,RISE
2020-01-06,1780.0,1825.0,1840.0,1750.0,702033.0,-160106.0,160106.0,0.0,0.0201,-189236.0,60.0,FALL
2020-01-03,1840.0,1825.0,1895.0,1820.0,607861.0,-13481.0,13482.0,-1.0,0.0184,-189236.0,5.0,RISE
2020-01-02,1835.0,1860.0,1900.0,1795.0,779246.0,-129627.0,129627.0,0.0,0.019,-189235.0,5.0,RISE
2019-12-30,1830.0,1785.0,1850.0,1755.0,892345.0,-103904.0,128817.0,-24913.0,0.0178,-189235.0,55.0,RISE
2019-12-27,1775.0,1610.0,1825.0,1610.0,2041702.0,28628.0,29374.0,-58002.0,0.0166,-164322.0,155.0,RISE
2019-12-26,1620.0,1575.0,1655.0,1570.0,694639.0,-77137.0,107189.0,-30052.0,0.017,-106320.0,30.0,RISE
2019-12-24,1590.0,1660.0,1675.0,1575.0,1002937.0,-19363.0,19363.0,0.0,0.016,-76268.0,70.0,FALL
2019-12-23,1660.0,1680.0,1710.0,1655.0,841683.0,-138209.0,93872.0,44337.0,0.016,-76268.0,35.0,FALL
2019-12-20,1695.0,1720.0,1745.0,1650.0,1300375.0,-117148.0,117148.0,0.0,0.0152,-120605.0,25.0,FALL
2019-12-19,1720.0,1755.0,1820.0,1710.0,1435609.0,25285.0,-53535.0,28250.0,0.0141,-120605.0,30.0,FALL
2019-12-18,1750.0,1925.0,1960.0,1750.0,4721079.0,242462.0,-242462.0,0.0,0.0144,-148855.0,185.0,FALL
2019-12-17,1935.0,1820.0,2030.0,1715.0,15055880.0,577714.0,-552706.0,-25008.0,0.0163,-148855.0,140.0,RISE
2019-12-16,1795.0,1830.0,1860.0,1785.0,586764.0,28091.0,-28091.0,0.0,0.021,-123847.0,30.0,FALL
2019-12-13,1825.0,1825.0,1875.0,1795.0,873641.0,-99054.0,99054.0,0.0,0.0214,-123847.0,0.0,EVEN
2019-12-12,1825.0,1785.0,1885.0,1755.0,1399733.0,184923.0,-157466.0,-27457.0,0.0209,-123847.0,60.0,RISE
2019-12-11,1765.0,1700.0,1765.0,1655.0,691927.0,-54928.0,54928.0,0.0,0.0229,-96390.0,85.0,RISE
2019-12-10,1680.0,1735.0,1735.0,1635.0,961357.0,-149450.0,178757.0,-29307.0,0.0227,-96390.0,35.0,FALL
2019-12-09,1715.0,1790.0,1805.0,1715.0,632701.0,27094.0,-9691.0,-17403.0,0.021,-67083.0,40.0,FALL
2019-12-06,1755.0,1700.0,1790.0,1685.0,892697.0,-84401.0,84401.0,0.0,0.021,-49680.0,50.0,RISE
2019-12-05,1705.0,1825.0,1845.0,1610.0,2616655.0,90286.0,-61946.0,-28340.0,0.0202,-49680.0,125.0,FALL
2019-12-04,1830.0,1820.0,1890.0,1805.0,1435425.0,72962.0,-52208.0,-20754.0,0.0207,-21340.0,25.0,FALL
2019-12-03,1855.0,1830.0,1935.0,1760.0,4195169.0,-34676.0,34676.0,0.0,0.0209,-586.0,10.0,RISE
2019-12-02,1845.0,1740.0,1845.0,1635.0,5080044.0,96802.0,-96802.0,0.0,0.0206,-586.0,90.0,RISE
2019-11-29,1755.0,1570.0,1795.0,1550.0,14689478.0,241061.0,-241061.0,0.0,0.0213,-586.0,215.0,RISE
2019-11-28,1540.0,1580.0,1715.0,1530.0,5199065.0,-172428.0,226709.0,-54281.0,0.0236,-586.0,60.0,FALL
2019-11-27,1600.0,1490.0,1605.0,1475.0,3706018.0,-123682.0,92000.0,31682.0,0.021,53695.0,105.0,RISE
2019-11-26,1495.0,1445.0,1575.0,1400.0,5858597.0,142348.0,-164947.0,22599.0,0.0197,22013.0,65.0,RISE
2019-11-25,1430.0,1415.0,1455.0,1395.0,1804213.0,-90037.0,90037.0,0.0,0.0212,-586.0,35.0,RISE
2019-11-22,1395.0,1535.0,1545.0,1380.0,3805156.0,326737.0,-326737.0,0.0,0.0218,-586.0,175.0,FALL
2019-11-21,1570.0,1520.0,1665.0,1450.0,8977788.0,58505.0,-58505.0,0.0,0.0254,-586.0,60.0,RISE
2019-11-20,1510.0,1670.0,1810.0,1480.0,19245547.0,-78295.0,78295.0,0.0,0.026,-586.0,175.0,FALL
2019-11-19,1685.0,1685.0,1915.0,1580.0,32256168.0,447194.0,-447194.0,0.0,0.0252,-586.0,135.0,RISE
2019-11-18,1550.0,1205.0,1550.0,1200.0,10162120.0,529500.0,-529500.0,0.0,0.027000000000000003,-586.0,355.0,UPPER_LIMIT
2019-11-15,1195.0,1165.0,1200.0,1160.0,439300.0,10229.0,-10229.0,0.0,0.0315,-586.0,35.0,RISE
2019-11-14,1160.0,1200.0,1200.0,1145.0,423165.0,-15580.0,15580.0,0.0,0.0316,-586.0,15.0,RISE
2019-11-13,1145.0,1155.0,1160.0,1130.0,403049.0,-26390.0,26390.0,0.0,0.0315,-586.0,10.0,FALL
2019-11-12,1155.0,1155.0,1170.0,1140.0,215662.0,-46557.0,46557.0,0.0,0.0312,-586.0,0.0,EVEN
2019-11-11,1155.0,1165.0,1180.0,1140.0,187392.0,18540.0,-18540.0,0.0,0.0311,-586.0,10.0,FALL
2019-11-08,1165.0,1165.0,1180.0,1155.0,266426.0,1805.0,-1805.0,0.0,0.0313,-586.0,10.0,FALL
2019-11-07,1175.0,1175.0,1195.0,1165.0,237318.0,3190.0,-3190.0,0.0,0.0313,-586.0,0.0,EVEN
2019-11-06,1175.0,1180.0,1215.0,1175.0,471001.0,2184.0,-2184.0,0.0,0.0313,-586.0,5.0,FALL
2019-11-05,1180.0,1175.0,1195.0,1155.0,276209.0,-12058.0,12058.0,0.0,0.0314,-586.0,5.0,RISE
2019-11-04,1175.0,1160.0,1190.0,1155.0,398105.0,-49723.0,49724.0,-1.0,0.0312,-586.0,15.0,RISE
2019-11-01,1160.0,1160.0,1170.0,1140.0,183023.0,-12023.0,12023.0,0.0,0.0308,-585.0,5.0,FALL
2019-10-31,1165.0,1155.0,1175.0,1145.0,142823.0,-11911.0,11911.0,0.0,0.0307,-585.0,10.0,RISE
2019-10-30,1155.0,1185.0,1195.0,1145.0,344829.0,17272.0,-17272.0,0.0,0.0306,-585.0,40.0,FALL
2019-10-29,1195.0,1215.0,1250.0,1170.0,905258.0,100306.0,-100306.0,0.0,0.0308,-585.0,30.0,FALL
2019-10-28,1225.0,1125.0,1225.0,1120.0,1012108.0,-164259.0,164259.0,0.0,0.0317,-585.0,100.0,RISE
2019-10-25,1125.0,1135.0,1140.0,1105.0,210307.0,231.0,-231.0,0.0,0.0303,-585.0,15.0,FALL
2019-10-24,1140.0,1140.0,1170.0,1115.0,209002.0,-24476.0,24476.0,0.0,0.0303,-585.0,5.0,FALL
2019-10-23,1145.0,1200.0,1200.0,1130.0,502030.0,-60897.0,60897.0,0.0,0.0301,-585.0,40.0,FALL
2019-10-22,1185.0,1180.0,1200.0,1165.0,686610.0,450.0,-450.0,0.0,0.0295,-585.0,25.0,RISE
2019-10-21,1160.0,1170.0,1200.0,1135.0,884435.0,41252.0,-41252.0,0.0,0.0296,-585.0,20.0,RISE
2019-10-18,1140.0,1140.0,1150.0,1115.0,292711.0,-29115.0,29115.0,0.0,0.0299,-585.0,5.0,FALL
2019-10-17,1145.0,1160.0,1160.0,1115.0,281741.0,7720.0,-7720.0,0.0,0.0297,-585.0,5.0,FALL
2019-10-16,1150.0,1080.0,1150.0,1080.0,645667.0,-102913.0,102913.0,0.0,0.0297,-585.0,80.0,RISE
