,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,3500.0,3515.0,3565.0,3450.0,14581.0,653,-607,-46,0.0079,-50857,20.0,RISE
2020-06-04,3480.0,3415.0,3490.0,3415.0,20632.0,-1046,1113,-67,0.008,-50811,65.0,RISE
2020-06-03,3415.0,3370.0,3420.0,3340.0,17364.0,-1317,1389,-72,0.0079,-50744,55.0,RISE
2020-06-02,3360.0,3480.0,3480.0,3360.0,10632.0,-381.0,424.0,-43.0,0.0077,-50633.0,35.0,FALL
2020-06-01,3395.0,3350.0,3490.0,3335.0,21853.0,-2721.0,2703.0,18.0,0.0076,-50590.0,5.0,RISE
2020-05-29,3390.0,3420.0,3435.0,3335.0,20528.0,-564.0,579.0,-15.0,0.0073,-50608.0,65.0,FALL
2020-05-28,3455.0,3460.0,3525.0,3405.0,11373.0,812.0,-785.0,-27.0,0.0072,-50593.0,5.0,FALL
2020-05-27,3460.0,3375.0,3655.0,3375.0,41894.0,-1678.0,1683.0,-5.0,0.0073,-50566.0,85.0,RISE
2020-05-26,3375.0,3375.0,3400.0,3340.0,19145.0,-1255.0,1254.0,1.0,0.0076,-50561.0,10.0,RISE
2020-05-25,3365.0,3325.0,3390.0,3290.0,14299.0,-1305.0,1302.0,3.0,0.0074,-50562.0,25.0,RISE
2020-05-22,3340.0,3425.0,3450.0,3300.0,27121.0,-1178.0,1181.0,-3.0,0.0072,-48441.0,75.0,FALL
2020-05-21,3415.0,3455.0,3490.0,3410.0,15135.0,-607.0,605.0,2.0,0.0071,-48438.0,5.0,FALL
2020-05-20,3420.0,3380.0,3430.0,3365.0,24656.0,-2273.0,2270.0,3.0,0.006999999999999999,-48440.0,40.0,RISE
2020-05-19,3380.0,3370.0,3400.0,3340.0,11210.0,-253.0,247.0,6.0,0.0067,-48443.0,10.0,RISE
2020-05-18,3370.0,3340.0,3385.0,3320.0,12375.0,-1.0,96.0,-95.0,0.0067,-48449.0,15.0,FALL
2020-05-15,3385.0,3455.0,3470.0,3355.0,8846.0,1775.0,-1319.0,-456.0,0.0067,-48354.0,65.0,FALL
2020-05-14,3450.0,3500.0,3500.0,3430.0,7392.0,-145.0,125.0,20.0,0.0068,-47898.0,50.0,FALL
2020-05-13,3500.0,3470.0,3515.0,3400.0,8667.0,1305.0,-500.0,-805.0,0.0068,-47918.0,15.0,FALL
2020-05-12,3515.0,3565.0,3620.0,3440.0,26802.0,1212.0,-2036.0,824.0,0.0069,-47113.0,85.0,FALL
2020-05-11,3600.0,3730.0,3735.0,3600.0,15742.0,2046.0,-2098.0,52.0,0.0071,-47937.0,40.0,FALL
2020-05-08,3640.0,3730.0,3730.0,3620.0,17690.0,585.0,-509.0,-76.0,0.0074,-47989.0,0.0,EVEN
2020-05-07,3640.0,3700.0,3700.0,3510.0,22961.0,-237.0,225.0,12.0,0.0075,-47913.0,150.0,RISE
2020-05-06,3490.0,3435.0,3500.0,3425.0,17156.0,-1711.0,3320.0,-1609.0,0.0075,-47925.0,65.0,RISE
2020-05-04,3425.0,3485.0,3485.0,3390.0,16009.0,-2247.0,531.0,1716.0,0.0071,-46316.0,10.0,RISE
