,종가,시가,고가,저가,거래량,개인순매수,외국인순매수,기관순매수,외국인보유,기관보유량,전일비,변화
2020-06-05,7290.0,7260.0,7370.0,7250.0,26778.0,2769,-1763,-1006,0.0433,-652735,10.0,FALL
2020-06-04,7300.0,7170.0,7440.0,7090.0,48816.0,-10885,10885,0,0.0435,-651729,140.0,RISE
2020-06-03,7160.0,7280.0,7440.0,7160.0,59427.0,2910,-2910,0,0.0425,-651729,100.0,FALL
2020-06-02,7260.0,7120.0,7350.0,7010.0,46919.0,-1633.0,5054.0,-3421.0,0.0427,-651729.0,180.0,RISE
2020-06-01,7080.0,6800.0,7110.0,6800.0,33481.0,-3127.0,3127.0,0.0,0.0423,-648308.0,300.0,RISE
2020-05-29,6780.0,6800.0,6970.0,6680.0,13098.0,-165.0,165.0,0.0,0.042,-648308.0,20.0,FALL
2020-05-28,6800.0,6950.0,7040.0,6730.0,35344.0,3955.0,-3955.0,0.0,0.0419,-648308.0,180.0,FALL
2020-05-27,6980.0,7160.0,7260.0,6970.0,35798.0,5495.0,-4731.0,-764.0,0.0423,-648308.0,250.0,FALL
2020-05-26,7230.0,7150.0,7280.0,7080.0,24992.0,-4639.0,4639.0,0.0,0.0428,-647544.0,90.0,RISE
2020-05-25,7140.0,7180.0,7190.0,6870.0,48729.0,-2965.0,3610.0,-645.0,0.0423,-647544.0,40.0,FALL
2020-05-22,7180.0,7340.0,7400.0,6900.0,47050.0,2366.0,-2366.0,0.0,0.042,-749434.0,110.0,FALL
2020-05-21,7290.0,7180.0,7500.0,7150.0,121171.0,5086.0,-5086.0,0.0,0.0422,-749434.0,140.0,RISE
2020-05-20,7150.0,7180.0,7200.0,7060.0,24654.0,2596.0,-2596.0,0.0,0.0427,-749434.0,10.0,FALL
2020-05-19,7160.0,7100.0,7250.0,6940.0,83797.0,3424.0,-3424.0,0.0,0.0429,-749434.0,160.0,RISE
2020-05-18,7000.0,6590.0,7070.0,6440.0,99722.0,-13994.0,14208.0,-214.0,0.0433,-749434.0,410.0,RISE
2020-05-15,6590.0,6450.0,6630.0,6410.0,17538.0,-888.0,888.0,0.0,0.0419,-749220.0,90.0,RISE
2020-05-14,6500.0,6650.0,6650.0,6430.0,9346.0,-607.0,607.0,0.0,0.0418,-749220.0,160.0,FALL
2020-05-13,6660.0,6600.0,6690.0,6400.0,19632.0,1808.0,-1687.0,-121.0,0.0418,-749220.0,20.0,FALL
2020-05-12,6680.0,6730.0,6910.0,6450.0,51920.0,5202.0,-3959.0,-1243.0,0.0419,-749099.0,110.0,FALL
2020-05-11,6790.0,6820.0,6950.0,6700.0,26723.0,6385.0,-5566.0,-819.0,0.0423,-747856.0,10.0,FALL
2020-05-08,6800.0,6720.0,6860.0,6720.0,15178.0,-493.0,493.0,0.0,0.0428,-747037.0,90.0,RISE
2020-05-07,6710.0,6580.0,6770.0,6430.0,52727.0,-4580.0,4580.0,0.0,0.0428,-747037.0,120.0,RISE
2020-05-06,6590.0,6350.0,6590.0,6340.0,28176.0,-4543.0,4766.0,-223.0,0.0424,-747037.0,260.0,RISE
2020-05-04,6330.0,6600.0,6600.0,6260.0,25390.0,-127.0,127.0,0.0,0.0419,-746814.0,220.0,FALL
2020-04-29,6550.0,6850.0,6850.0,6470.0,24388.0,3929.0,-3929.0,0.0,0.0419,-746814.0,20.0,FALL
2020-04-28,6570.0,6680.0,6700.0,6450.0,24574.0,5165.0,-5165.0,0.0,0.0423,-746814.0,30.0,FALL
2020-04-27,6600.0,6300.0,6600.0,6210.0,53193.0,-3506.0,4815.0,-1309.0,0.0428,-746814.0,300.0,RISE
2020-04-24,6300.0,6350.0,6380.0,6100.0,49336.0,5174.0,-3330.0,-1844.0,0.0423,-745505.0,50.0,FALL
2020-04-23,6350.0,5750.0,6470.0,5750.0,208201.0,2487.0,-2187.0,-300.0,0.0426,-743661.0,540.0,RISE
2020-04-22,5810.0,5820.0,5820.0,5610.0,19995.0,2548.0,-2548.0,0.0,0.0428,-743361.0,0.0,EVEN
2020-04-21,5810.0,6020.0,6100.0,5460.0,43368.0,-3377.0,3377.0,0.0,0.0431,-743361.0,210.0,FALL
2020-04-20,6020.0,6090.0,6230.0,6020.0,32613.0,1702.0,-1702.0,0.0,0.0428,-743361.0,20.0,RISE
2020-04-17,6000.0,5770.0,6140.0,5770.0,70223.0,-11667.0,11667.0,0.0,0.0429,-743361.0,260.0,RISE
2020-04-16,5740.0,5780.0,5780.0,5510.0,25679.0,454.0,-454.0,0.0,0.0418,-743361.0,40.0,RISE
2020-04-14,5700.0,5600.0,5760.0,5590.0,35072.0,-1772.0,2466.0,-694.0,0.0418,-743361.0,100.0,RISE
2020-04-13,5600.0,5900.0,5900.0,5600.0,25279.0,4740.0,-4785.0,45.0,0.0416,-742667.0,280.0,FALL
2020-04-10,5880.0,5840.0,5990.0,5690.0,43709.0,8172.0,-7731.0,-441.0,0.0421,-742712.0,130.0,RISE
2020-04-09,5750.0,5860.0,5870.0,5650.0,46652.0,2974.0,-2974.0,0.0,0.0428,-742271.0,110.0,RISE
2020-04-08,5640.0,5500.0,5780.0,5410.0,54836.0,-6717.0,6717.0,0.0,0.0431,-742271.0,160.0,RISE
2020-04-07,5480.0,5400.0,5520.0,5360.0,26950.0,-3210.0,3210.0,0.0,0.0425,-742271.0,150.0,RISE
2020-04-06,5330.0,5110.0,5340.0,5090.0,18875.0,-1290.0,1962.0,-672.0,0.0421,-742271.0,170.0,RISE
2020-04-03,5160.0,5280.0,5330.0,5140.0,25860.0,-3201.0,3104.0,97.0,0.042,-741599.0,20.0,RISE
2020-04-02,5140.0,5330.0,5330.0,5010.0,39722.0,-609.0,-3035.0,3644.0,0.0417,-741696.0,90.0,FALL
2020-04-01,5230.0,5250.0,5350.0,5140.0,41266.0,-2425.0,2425.0,0.0,0.0422,-745340.0,30.0,RISE
2020-03-31,5200.0,5210.0,5430.0,5150.0,34920.0,2553.0,-2553.0,0.0,0.042,-745340.0,0.0,EVEN
2020-03-30,5200.0,5140.0,5200.0,4945.0,16156.0,1078.0,-1078.0,0.0,0.0423,-745340.0,0.0,EVEN
2020-03-27,5200.0,5210.0,5360.0,5030.0,31200.0,1868.0,-2006.0,138.0,0.0424,-745340.0,20.0,RISE
2020-03-26,5180.0,4990.0,5200.0,4940.0,32264.0,-4935.0,4836.0,99.0,0.0426,-745478.0,250.0,RISE
